Inverter_Test_ID,Switching_Frequency_kHz,Inverter_Junction_Temp_C,Motor_Speed_RPM,Power_Switching_Loss_W,Inverter_Efficiency_pct,Operating_Regime
HYUNDAI-E-GMP-1037,17.2,69.8,2231,655.2,96.51,Thermal Derating Required
HYUNDAI-E-GMP-1038,14.2,68.6,5747,622.7,96.62,Thermal Derating Required
HYUNDAI-E-GMP-1039,16.8,92.9,3930,732.0,96.24,Thermal Derating Required
HYUNDAI-E-GMP-1040,15.4,87.7,13115,769.3,96.11,Thermal Derating Required
HYUNDAI-E-GMP-1041,17.1,90.6,3909,749.5,96.18,Thermal Derating Required
HYUNDAI-E-GMP-1042,9.6,73.9,6303,522.6,96.97,Thermal Derating Required
HYUNDAI-E-GMP-1043,22.3,77.3,1915,755.2,96.16,Thermal Derating Required
HYUNDAI-E-GMP-1044,18.9,74.7,1710,709.0,96.32,Thermal Derating Required
HYUNDAI-E-GMP-1045,17.0,51.0,12350,566.6,96.82,Thermal Derating Required
HYUNDAI-E-GMP-1046,22.2,77.6,8618,806.7,95.98,Thermal Derating Required
HYUNDAI-E-GMP-1047,11.0,65.1,10432,515.5,97.0,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1048,16.5,48.5,7475,615.5,96.65,Thermal Derating Required
HYUNDAI-E-GMP-1049,10.4,67.6,8593,541.0,96.91,Thermal Derating Required
HYUNDAI-E-GMP-1050,23.7,63.8,3227,764.6,96.12,Thermal Derating Required
HYUNDAI-E-GMP-1051,14.2,75.5,5767,624.5,96.61,Thermal Derating Required
HYUNDAI-E-GMP-1052,19.5,72.7,13938,764.4,96.12,Thermal Derating Required
HYUNDAI-E-GMP-1053,21.8,93.2,4028,854.1,95.81,Thermal Derating Required
HYUNDAI-E-GMP-1054,21.1,80.0,5144,758.3,96.15,Thermal Derating Required
HYUNDAI-E-GMP-1055,19.9,86.0,10680,815.0,95.95,Thermal Derating Required
HYUNDAI-E-GMP-1056,20.3,89.2,14505,865.9,95.77,Thermal Derating Required
HYUNDAI-E-GMP-1057,19.8,90.9,12945,855.2,95.81,Thermal Derating Required
HYUNDAI-E-GMP-1058,21.9,83.4,7549,823.4,95.92,Thermal Derating Required
HYUNDAI-E-GMP-1059,8.9,72.1,10865,555.9,96.85,Thermal Derating Required
HYUNDAI-E-GMP-1060,18.3,59.3,7690,633.5,96.58,Thermal Derating Required
HYUNDAI-E-GMP-1061,22.2,89.5,8904,835.3,95.88,Thermal Derating Required
HYUNDAI-E-GMP-1062,12.3,93.6,13373,706.0,96.33,Thermal Derating Required
HYUNDAI-E-GMP-1063,9.8,55.6,2306,428.9,97.3,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1064,9.4,90.3,13499,669.2,96.46,Thermal Derating Required
HYUNDAI-E-GMP-1065,13.9,78.6,13462,674.7,96.44,Thermal Derating Required
HYUNDAI-E-GMP-1066,20.1,57.6,10120,699.8,96.35,Thermal Derating Required
HYUNDAI-E-GMP-1067,12.1,68.5,6343,554.1,96.86,Thermal Derating Required
HYUNDAI-E-GMP-1068,9.7,94.1,11737,694.6,96.37,Thermal Derating Required
HYUNDAI-E-GMP-1069,15.4,52.3,4442,531.0,96.94,Thermal Derating Required
HYUNDAI-E-GMP-1070,10.3,60.9,4196,462.4,97.18,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1071,8.4,86.9,13101,609.2,96.67,Thermal Derating Required
HYUNDAI-E-GMP-1072,18.3,57.8,5951,634.6,96.58,Thermal Derating Required
HYUNDAI-E-GMP-1073,18.0,65.1,9009,656.9,96.5,Thermal Derating Required
HYUNDAI-E-GMP-1074,23.9,58.4,12127,737.3,96.22,Thermal Derating Required
HYUNDAI-E-GMP-1075,18.5,47.3,13195,663.3,96.48,Thermal Derating Required
HYUNDAI-E-GMP-1076,9.1,47.8,9996,450.6,97.22,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1077,8.3,49.1,9283,443.3,97.25,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1078,21.2,55.3,13728,737.9,96.22,Thermal Derating Required
HYUNDAI-E-GMP-1079,10.0,52.8,6480,444.5,97.24,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1080,19.4,92.1,13477,826.6,95.91,Thermal Derating Required
HYUNDAI-E-GMP-1081,20.9,57.3,8859,684.6,96.4,Thermal Derating Required
HYUNDAI-E-GMP-1082,17.3,65.7,7646,638.6,96.56,Thermal Derating Required
HYUNDAI-E-GMP-1083,17.2,77.4,1537,634.3,96.58,Thermal Derating Required
HYUNDAI-E-GMP-1084,9.6,63.4,14268,521.7,96.97,Thermal Derating Required
HYUNDAI-E-GMP-1085,16.1,47.1,2997,540.0,96.91,Thermal Derating Required
HYUNDAI-E-GMP-1086,13.5,93.1,5673,651.9,96.52,Thermal Derating Required
HYUNDAI-E-GMP-1087,12.7,77.9,14495,673.5,96.44,Thermal Derating Required
HYUNDAI-E-GMP-1088,22.4,73.1,2601,717.8,96.29,Thermal Derating Required
HYUNDAI-E-GMP-1089,10.0,46.9,8255,430.8,97.29,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1090,11.0,68.8,1452,535.4,96.93,Thermal Derating Required
HYUNDAI-E-GMP-1091,10.1,50.4,10113,518.7,96.98,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1092,17.6,49.9,5696,593.6,96.72,Thermal Derating Required
HYUNDAI-E-GMP-1093,18.5,49.3,1509,577.8,96.78,Thermal Derating Required
HYUNDAI-E-GMP-1094,12.8,67.3,14740,667.3,96.46,Thermal Derating Required
HYUNDAI-E-GMP-1095,22.7,74.7,6060,797.2,96.01,Thermal Derating Required
HYUNDAI-E-GMP-1096,22.1,59.8,4470,711.1,96.31,Thermal Derating Required
HYUNDAI-E-GMP-1097,9.3,57.2,5842,402.1,97.39,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1098,20.6,68.9,9609,773.5,96.09,Thermal Derating Required
HYUNDAI-E-GMP-1099,15.0,66.1,4210,561.4,96.83,Thermal Derating Required
HYUNDAI-E-GMP-1100,15.2,65.2,8847,598.8,96.7,Thermal Derating Required
HYUNDAI-E-GMP-1101,14.0,82.3,5640,684.5,96.4,Thermal Derating Required
HYUNDAI-E-GMP-1102,12.9,64.1,8174,558.4,96.85,Thermal Derating Required
HYUNDAI-E-GMP-1103,14.0,86.6,3429,597.1,96.71,Thermal Derating Required
HYUNDAI-E-GMP-1104,8.4,58.2,2317,427.8,97.3,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1105,10.9,93.3,11968,687.1,96.4,Thermal Derating Required
HYUNDAI-E-GMP-1106,17.0,47.4,9223,537.7,96.92,Thermal Derating Required
HYUNDAI-E-GMP-1107,17.5,76.0,14721,754.5,96.16,Thermal Derating Required
HYUNDAI-E-GMP-1108,17.4,56.7,6291,583.2,96.76,Thermal Derating Required
HYUNDAI-E-GMP-1109,10.3,71.8,1071,510.5,97.01,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1110,15.7,81.8,15379,769.0,96.11,Thermal Derating Required
HYUNDAI-E-GMP-1111,10.9,82.0,3282,590.9,96.73,Thermal Derating Required
HYUNDAI-E-GMP-1112,18.5,82.2,10306,782.2,96.06,Thermal Derating Required
HYUNDAI-E-GMP-1113,17.3,92.9,3453,694.9,96.37,Thermal Derating Required
HYUNDAI-E-GMP-1114,14.8,90.1,7371,737.9,96.22,Thermal Derating Required
HYUNDAI-E-GMP-1115,18.4,70.5,9665,741.2,96.21,Thermal Derating Required
HYUNDAI-E-GMP-1116,19.4,59.7,8299,683.3,96.41,Thermal Derating Required
HYUNDAI-E-GMP-1117,15.1,52.6,6230,574.9,96.79,Thermal Derating Required
HYUNDAI-E-GMP-1118,8.3,70.9,8131,518.2,96.99,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1119,21.0,70.7,13435,808.0,95.97,Thermal Derating Required
HYUNDAI-E-GMP-1120,19.8,90.9,13357,798.5,96.01,Thermal Derating Required
HYUNDAI-E-GMP-1121,24.0,79.7,5723,842.7,95.85,Thermal Derating Required
HYUNDAI-E-GMP-1122,20.6,73.3,4836,734.8,96.23,Thermal Derating Required
HYUNDAI-E-GMP-1123,21.7,65.6,1712,712.2,96.31,Thermal Derating Required
HYUNDAI-E-GMP-1124,20.1,93.7,2835,826.8,95.91,Thermal Derating Required
HYUNDAI-E-GMP-1125,19.3,72.0,14814,782.3,96.06,Thermal Derating Required
HYUNDAI-E-GMP-1126,11.5,88.3,8940,618.3,96.64,Thermal Derating Required
HYUNDAI-E-GMP-1127,13.8,64.5,3227,561.2,96.84,Thermal Derating Required
HYUNDAI-E-GMP-1128,11.6,59.9,4259,474.0,97.14,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1129,11.7,65.1,4177,497.5,97.06,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1130,12.2,55.0,13675,569.2,96.81,Thermal Derating Required
HYUNDAI-E-GMP-1131,13.0,72.2,12392,605.6,96.68,Thermal Derating Required
HYUNDAI-E-GMP-1132,20.9,50.6,3106,621.3,96.63,Thermal Derating Required
HYUNDAI-E-GMP-1133,20.9,78.1,5016,744.3,96.19,Thermal Derating Required
HYUNDAI-E-GMP-1134,11.5,78.3,12838,633.5,96.58,Thermal Derating Required
HYUNDAI-E-GMP-1135,23.6,58.9,1227,729.5,96.25,Thermal Derating Required
HYUNDAI-E-GMP-1136,17.4,59.1,3336,582.1,96.76,Thermal Derating Required
HYUNDAI-E-GMP-1137,12.9,48.1,2149,476.3,97.13,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1138,19.0,79.5,2827,734.3,96.23,Thermal Derating Required
HYUNDAI-E-GMP-1139,10.7,86.2,9782,607.3,96.67,Thermal Derating Required
HYUNDAI-E-GMP-1140,13.3,68.5,14846,689.4,96.39,Thermal Derating Required
HYUNDAI-E-GMP-1141,20.1,91.5,11189,830.6,95.89,Thermal Derating Required
HYUNDAI-E-GMP-1142,16.9,56.9,7581,626.4,96.61,Thermal Derating Required
HYUNDAI-E-GMP-1143,20.5,48.5,5206,610.0,96.66,Thermal Derating Required
HYUNDAI-E-GMP-1144,12.4,90.0,4756,674.7,96.44,Thermal Derating Required
HYUNDAI-E-GMP-1145,15.1,92.6,1716,655.9,96.5,Thermal Derating Required
HYUNDAI-E-GMP-1146,13.7,72.0,7321,627.6,96.6,Thermal Derating Required
HYUNDAI-E-GMP-1147,22.6,62.0,11767,771.6,96.1,Thermal Derating Required
HYUNDAI-E-GMP-1148,8.6,52.5,3563,374.3,97.49,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1149,10.7,47.4,9953,476.5,97.13,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1150,9.4,90.3,6253,628.4,96.6,Thermal Derating Required
HYUNDAI-E-GMP-1151,21.4,53.3,11970,726.5,96.26,Thermal Derating Required
HYUNDAI-E-GMP-1152,21.4,52.4,7284,675.1,96.44,Thermal Derating Required
HYUNDAI-E-GMP-1153,15.6,75.2,4896,624.8,96.61,Thermal Derating Required
HYUNDAI-E-GMP-1154,21.1,80.2,12311,793.4,96.02,Thermal Derating Required
HYUNDAI-E-GMP-1155,16.7,46.7,7307,525.7,96.96,Thermal Derating Required
HYUNDAI-E-GMP-1156,22.4,90.8,10397,884.1,95.71,Thermal Derating Required
HYUNDAI-E-GMP-1157,18.3,57.8,11214,659.2,96.49,Thermal Derating Required
HYUNDAI-E-GMP-1158,15.9,87.0,15557,810.8,95.96,Thermal Derating Required
HYUNDAI-E-GMP-1159,15.5,52.1,8656,569.5,96.81,Thermal Derating Required
HYUNDAI-E-GMP-1160,20.5,53.4,14527,729.2,96.25,Thermal Derating Required
HYUNDAI-E-GMP-1161,15.1,83.7,3146,629.2,96.6,Thermal Derating Required
HYUNDAI-E-GMP-1162,19.4,87.1,7020,784.5,96.05,Thermal Derating Required
HYUNDAI-E-GMP-1163,23.0,72.2,6912,759.6,96.14,Thermal Derating Required
HYUNDAI-E-GMP-1164,16.4,61.3,8873,645.8,96.54,Thermal Derating Required
HYUNDAI-E-GMP-1165,11.0,46.6,1874,443.9,97.25,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1166,8.8,57.9,1288,389.9,97.44,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1167,14.9,77.5,14709,719.0,96.28,Thermal Derating Required
HYUNDAI-E-GMP-1168,8.9,74.6,1210,471.9,97.15,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1169,9.8,69.2,8624,543.4,96.9,Thermal Derating Required
HYUNDAI-E-GMP-1170,22.5,82.1,12091,873.9,95.74,Thermal Derating Required
HYUNDAI-E-GMP-1171,9.2,84.3,8281,543.8,96.9,Thermal Derating Required
HYUNDAI-E-GMP-1172,22.9,50.0,12101,750.2,96.17,Thermal Derating Required
HYUNDAI-E-GMP-1173,17.7,45.8,3411,578.9,96.77,Thermal Derating Required
HYUNDAI-E-GMP-1174,22.5,83.6,10707,844.6,95.84,Thermal Derating Required
HYUNDAI-E-GMP-1175,9.3,81.5,1088,553.9,96.86,Thermal Derating Required
HYUNDAI-E-GMP-1176,13.9,84.6,5690,650.4,96.52,Thermal Derating Required
HYUNDAI-E-GMP-1177,15.3,78.6,14802,733.2,96.23,Thermal Derating Required
HYUNDAI-E-GMP-1178,23.6,52.3,10602,698.3,96.36,Thermal Derating Required
HYUNDAI-E-GMP-1179,22.3,70.3,8358,740.3,96.21,Thermal Derating Required
HYUNDAI-E-GMP-1180,13.2,57.4,4846,534.6,96.93,Thermal Derating Required
HYUNDAI-E-GMP-1181,10.4,49.8,14275,472.8,97.15,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1182,16.4,87.7,10043,782.2,96.06,Thermal Derating Required
HYUNDAI-E-GMP-1183,12.2,79.6,11040,675.8,96.43,Thermal Derating Required
HYUNDAI-E-GMP-1184,17.9,71.7,13407,735.6,96.23,Thermal Derating Required
HYUNDAI-E-GMP-1185,20.4,94.8,3561,799.3,96.0,Thermal Derating Required
HYUNDAI-E-GMP-1186,21.7,70.3,8425,746.1,96.19,Thermal Derating Required
HYUNDAI-E-GMP-1187,10.5,81.3,10842,610.0,96.66,Thermal Derating Required
HYUNDAI-E-GMP-1188,8.9,51.8,7176,467.5,97.16,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1189,18.4,87.9,15915,781.3,96.07,Thermal Derating Required
HYUNDAI-E-GMP-1190,9.4,84.0,3327,523.7,96.97,Thermal Derating Required
HYUNDAI-E-GMP-1191,15.9,75.3,4341,655.0,96.51,Thermal Derating Required
HYUNDAI-E-GMP-1192,10.6,80.2,10212,597.2,96.71,Thermal Derating Required
HYUNDAI-E-GMP-1193,23.3,57.5,14545,771.5,96.1,Thermal Derating Required
HYUNDAI-E-GMP-1194,14.8,84.4,4952,659.0,96.49,Thermal Derating Required
HYUNDAI-E-GMP-1195,15.5,71.8,12882,670.9,96.45,Thermal Derating Required
HYUNDAI-E-GMP-1196,21.2,78.8,3447,721.6,96.27,Thermal Derating Required
HYUNDAI-E-GMP-1197,8.7,66.1,10816,483.6,97.11,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1198,10.5,92.4,5330,591.5,96.73,Thermal Derating Required
HYUNDAI-E-GMP-1199,16.2,60.6,5971,642.4,96.55,Thermal Derating Required
HYUNDAI-E-GMP-1200,9.5,53.8,12279,478.0,97.13,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1201,22.8,64.0,1769,728.8,96.25,Thermal Derating Required
HYUNDAI-E-GMP-1202,11.7,61.0,7280,503.1,97.04,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1203,16.6,66.4,1048,590.6,96.73,Thermal Derating Required
HYUNDAI-E-GMP-1204,10.2,50.8,13656,452.0,97.22,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1205,19.6,52.8,1070,561.9,96.83,Thermal Derating Required
HYUNDAI-E-GMP-1206,14.2,76.4,14652,678.1,96.43,Thermal Derating Required
HYUNDAI-E-GMP-1207,14.1,86.9,10442,719.7,96.28,Thermal Derating Required
HYUNDAI-E-GMP-1208,12.9,84.3,15121,698.2,96.36,Thermal Derating Required
HYUNDAI-E-GMP-1209,21.2,64.2,13990,766.9,96.12,Thermal Derating Required
HYUNDAI-E-GMP-1210,13.7,91.4,13319,705.9,96.33,Thermal Derating Required
HYUNDAI-E-GMP-1211,9.3,89.9,4627,580.7,96.77,Thermal Derating Required
HYUNDAI-E-GMP-1212,18.0,65.6,3070,572.5,96.8,Thermal Derating Required
HYUNDAI-E-GMP-1213,11.2,77.5,2253,592.6,96.73,Thermal Derating Required
HYUNDAI-E-GMP-1214,9.7,64.1,7604,534.2,96.93,Thermal Derating Required
HYUNDAI-E-GMP-1215,20.5,67.2,7856,692.5,96.38,Thermal Derating Required
HYUNDAI-E-GMP-1216,11.2,85.1,15214,706.4,96.33,Thermal Derating Required
HYUNDAI-E-GMP-1217,18.8,57.4,1278,619.5,96.63,Thermal Derating Required
HYUNDAI-E-GMP-1218,22.3,83.3,11760,908.2,95.62,Thermal Derating Required
HYUNDAI-E-GMP-1219,17.5,52.7,12544,633.2,96.58,Thermal Derating Required
HYUNDAI-E-GMP-1220,14.5,75.4,13247,680.2,96.42,Thermal Derating Required
HYUNDAI-E-GMP-1221,17.1,66.3,13907,708.8,96.32,Thermal Derating Required
HYUNDAI-E-GMP-1222,20.0,93.3,10170,830.5,95.89,Thermal Derating Required
HYUNDAI-E-GMP-1223,20.9,64.6,12684,737.8,96.22,Thermal Derating Required
HYUNDAI-E-GMP-1224,23.2,67.1,2848,743.3,96.2,Thermal Derating Required
HYUNDAI-E-GMP-1225,9.7,78.5,11944,584.1,96.76,Thermal Derating Required
HYUNDAI-E-GMP-1226,21.2,66.0,15469,778.3,96.08,Thermal Derating Required
HYUNDAI-E-GMP-1227,12.0,63.3,5371,561.1,96.84,Thermal Derating Required
HYUNDAI-E-GMP-1228,8.7,91.6,3463,595.2,96.72,Thermal Derating Required
HYUNDAI-E-GMP-1229,20.3,56.7,5090,617.6,96.64,Thermal Derating Required
HYUNDAI-E-GMP-1230,20.3,89.2,7765,799.6,96.0,Thermal Derating Required
HYUNDAI-E-GMP-1231,17.4,60.8,15826,721.9,96.27,Thermal Derating Required
HYUNDAI-E-GMP-1232,19.7,88.7,5803,778.6,96.08,Thermal Derating Required
HYUNDAI-E-GMP-1233,21.2,80.8,14833,831.8,95.89,Thermal Derating Required
HYUNDAI-E-GMP-1234,11.9,72.5,5550,576.5,96.78,Thermal Derating Required
HYUNDAI-E-GMP-1235,23.8,64.6,13560,802.4,95.99,Thermal Derating Required
HYUNDAI-E-GMP-1236,13.7,62.5,8424,600.4,96.7,Thermal Derating Required
HYUNDAI-E-GMP-1237,22.4,71.9,4358,770.1,96.1,Thermal Derating Required
HYUNDAI-E-GMP-1238,8.3,68.0,6065,480.4,97.12,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1239,21.5,72.9,7018,775.4,96.09,Thermal Derating Required
HYUNDAI-E-GMP-1240,23.4,54.5,2033,723.7,96.27,Thermal Derating Required
HYUNDAI-E-GMP-1241,23.9,72.7,8943,810.8,95.96,Thermal Derating Required
HYUNDAI-E-GMP-1242,17.8,56.1,4462,608.4,96.67,Thermal Derating Required
HYUNDAI-E-GMP-1243,13.1,66.2,13863,626.8,96.61,Thermal Derating Required
HYUNDAI-E-GMP-1244,13.2,66.9,5495,585.4,96.75,Thermal Derating Required
HYUNDAI-E-GMP-1245,13.4,64.9,15461,679.4,96.42,Thermal Derating Required
HYUNDAI-E-GMP-1246,10.5,72.4,5196,542.3,96.9,Thermal Derating Required
HYUNDAI-E-GMP-1247,18.0,79.0,3067,647.5,96.53,Thermal Derating Required
HYUNDAI-E-GMP-1248,18.5,68.1,14746,772.0,96.1,Thermal Derating Required
HYUNDAI-E-GMP-1249,22.6,80.3,11882,840.3,95.86,Thermal Derating Required
HYUNDAI-E-GMP-1250,16.3,52.8,4267,553.1,96.86,Thermal Derating Required
HYUNDAI-E-GMP-1251,14.7,81.4,2732,667.9,96.46,Thermal Derating Required
HYUNDAI-E-GMP-1252,21.1,54.0,2175,650.5,96.52,Thermal Derating Required
HYUNDAI-E-GMP-1253,8.4,55.3,3290,392.6,97.43,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1254,23.6,47.0,5054,684.7,96.4,Thermal Derating Required
HYUNDAI-E-GMP-1255,12.5,51.4,7357,499.9,97.05,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1256,17.6,79.4,15575,781.3,96.07,Thermal Derating Required
HYUNDAI-E-GMP-1257,8.8,76.8,1056,494.8,97.07,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1258,23.2,60.1,11951,761.2,96.14,Thermal Derating Required
HYUNDAI-E-GMP-1259,11.0,93.3,2227,593.0,96.72,Thermal Derating Required
HYUNDAI-E-GMP-1260,11.1,84.1,12317,667.3,96.46,Thermal Derating Required
HYUNDAI-E-GMP-1261,9.4,52.4,10053,464.6,97.17,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1262,10.8,45.9,8942,447.2,97.23,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1263,22.5,85.6,12129,873.6,95.74,Thermal Derating Required
HYUNDAI-E-GMP-1264,19.2,88.4,9091,829.1,95.9,Thermal Derating Required
HYUNDAI-E-GMP-1265,23.0,58.2,7027,739.8,96.21,Thermal Derating Required
HYUNDAI-E-GMP-1266,15.7,48.9,8146,548.8,96.88,Thermal Derating Required
HYUNDAI-E-GMP-1267,15.8,91.6,10114,786.1,96.05,Thermal Derating Required
HYUNDAI-E-GMP-1268,10.4,89.4,2401,604.4,96.68,Thermal Derating Required
HYUNDAI-E-GMP-1269,11.7,77.0,7627,597.8,96.71,Thermal Derating Required
HYUNDAI-E-GMP-1270,16.7,85.1,10425,769.6,96.11,Thermal Derating Required
HYUNDAI-E-GMP-1271,18.0,54.6,2973,594.8,96.72,Thermal Derating Required
HYUNDAI-E-GMP-1272,20.7,63.9,4826,684.3,96.41,Thermal Derating Required
HYUNDAI-E-GMP-1273,8.2,48.2,6541,400.2,97.4,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1274,14.5,61.8,10856,635.4,96.58,Thermal Derating Required
HYUNDAI-E-GMP-1275,16.1,86.7,6572,672.4,96.45,Thermal Derating Required
HYUNDAI-E-GMP-1276,15.6,91.2,9065,733.9,96.23,Thermal Derating Required
HYUNDAI-E-GMP-1277,12.8,76.0,13724,676.3,96.43,Thermal Derating Required
HYUNDAI-E-GMP-1278,16.3,50.6,10449,610.8,96.66,Thermal Derating Required
HYUNDAI-E-GMP-1279,9.5,48.7,14093,521.7,96.97,Thermal Derating Required
HYUNDAI-E-GMP-1280,14.3,56.1,7161,550.2,96.87,Thermal Derating Required
HYUNDAI-E-GMP-1281,19.0,45.3,15082,681.1,96.42,Thermal Derating Required
HYUNDAI-E-GMP-1282,11.2,61.6,1247,456.1,97.2,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1283,9.9,56.5,2794,426.8,97.31,Optimal 800V SiC Efficiency
HYUNDAI-E-GMP-1284,19.9,92.6,8768,846.1,95.84,Thermal Derating Required
HYUNDAI-E-GMP-1285,17.5,53.1,15815,666.5,96.47,Thermal Derating Required
HYUNDAI-E-GMP-1286,23.9,53.6,8581,728.3,96.25,Thermal Derating Required
HYUNDAI-E-GMP-1287,21.1,86.3,11476,790.9,96.03,Thermal Derating Required
HYUNDAI-E-GMP-1288,12.2,84.6,6676,596.4,96.71,Thermal Derating Required
HYUNDAI-E-GMP-1289,9.1,71.9,8717,544.2,96.9,Thermal Derating Required
HYUNDAI-E-GMP-1290,16.4,76.4,1243,637.5,96.57,Thermal Derating Required
HYUNDAI-E-GMP-1291,21.1,82.6,8551,810.8,95.96,Thermal Derating Required
HYUNDAI-E-GMP-1292,22.1,49.0,15219,737.3,96.22,Thermal Derating Required
HYUNDAI-E-GMP-1293,10.8,59.3,13478,556.4,96.85,Thermal Derating Required
HYUNDAI-E-GMP-1294,16.3,78.2,5690,634.7,96.58,Thermal Derating Required
