Hydrogen_Trip_ID,Tank_Storage_Pressure_Bar,Ambient_Temp_C,PEM_Membrane_Humidity_pct,Fuel_Cell_Stack_Voltage_V,Anode_Purge_Interval_s,Fuel_Cell_Status
IVECO-H2-1066,352.1,0.6,87.0,1.122,124,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1067,512.3,18.3,89.5,1.131,120,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1068,686.5,33.5,92.4,1.083,96,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1069,628.5,25.8,96.2,1.009,104,Membrane Flooding / Dryout Alert
IVECO-H2-1070,172.1,6.1,81.3,1.162,144,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1071,501.9,12.2,91.6,1.07,128,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1072,290.9,-5.4,78.6,1.087,159,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1073,656.0,32.4,93.6,1.072,99,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1074,569.3,25.0,90.9,1.087,110,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1075,213.9,7.8,79.4,1.128,153,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1076,317.9,1.8,78.6,1.07,143,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1077,559.3,4.8,85.5,1.157,114,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1078,467.1,13.0,83.0,1.125,133,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1079,267.9,0.3,81.6,1.159,138,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1080,443.6,17.7,85.3,1.151,130,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1081,435.9,-9.0,93.3,1.067,125,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1082,629.5,-1.3,87.6,1.154,90,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1083,191.0,7.3,78.8,1.089,164,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1084,338.9,28.1,92.6,1.08,139,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1085,467.2,13.6,82.1,1.133,128,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1086,173.8,2.9,81.9,1.143,177,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1087,246.2,-7.5,79.8,1.164,167,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1088,120.4,-2.7,75.7,1.041,160,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1089,388.6,-2.4,85.3,1.183,145,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1090,464.2,2.6,86.8,1.157,114,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1091,176.6,1.3,77.0,1.043,165,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1092,264.1,2.3,76.6,1.057,149,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1093,257.1,9.6,81.0,1.095,154,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1094,298.9,5.5,79.7,1.122,158,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1095,418.4,17.5,84.6,1.164,134,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1096,144.7,21.1,83.7,1.182,157,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1097,383.4,3.8,80.2,1.125,149,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1098,538.8,30.6,89.3,1.139,133,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1099,665.9,32.9,94.1,1.017,99,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1100,322.5,20.0,81.1,1.17,152,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1101,509.4,20.1,87.3,1.156,122,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1102,127.5,28.0,78.1,1.094,164,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1103,549.2,2.1,94.2,1.055,112,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1104,385.5,10.8,82.8,1.106,157,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1105,413.9,-1.9,84.0,1.111,133,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1106,553.4,-7.2,84.4,1.147,123,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1107,256.0,32.3,79.9,1.117,152,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1108,566.1,18.8,91.3,1.115,114,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1109,171.6,19.1,77.5,1.11,153,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1110,148.2,-7.9,78.4,1.109,166,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1111,447.7,-5.4,77.6,1.081,129,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1112,551.2,15.5,93.3,1.078,110,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1113,206.4,25.2,83.7,1.162,158,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1114,498.7,23.8,85.8,1.145,134,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1115,437.3,31.7,83.7,1.166,127,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1116,233.0,23.6,82.2,1.14,162,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1117,459.1,-0.6,92.0,1.031,119,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1118,338.5,22.2,80.1,1.1,150,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1119,577.9,17.0,92.0,1.061,120,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1120,496.7,-7.4,94.0,1.048,127,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1121,289.7,-5.9,76.6,1.08,145,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1122,210.2,22.1,82.3,1.17,171,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1123,154.7,-7.9,80.2,1.118,159,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1124,384.5,-0.7,85.2,1.119,122,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1125,334.4,10.1,82.8,1.168,144,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1126,231.8,23.2,79.0,1.088,153,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1127,327.0,10.9,82.1,1.118,139,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1128,210.8,20.0,74.2,1.027,163,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1129,664.8,24.3,100.1,0.85,101,Membrane Flooding / Dryout Alert
IVECO-H2-1130,371.5,8.4,82.6,1.101,135,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1131,324.2,1.1,81.8,1.158,136,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1132,499.9,-7.4,88.0,1.158,122,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1133,524.8,-9.6,88.6,1.11,124,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1134,209.8,2.1,84.3,1.151,162,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1135,576.0,26.5,89.7,1.125,117,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1136,640.4,16.5,98.2,0.926,112,Membrane Flooding / Dryout Alert
IVECO-H2-1137,669.4,27.2,85.4,1.157,109,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1138,680.3,-3.5,99.0,0.912,108,Membrane Flooding / Dryout Alert
IVECO-H2-1139,349.9,9.6,77.6,1.098,138,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1140,520.3,5.2,86.9,1.147,125,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1141,566.4,1.3,89.1,1.124,115,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1142,398.5,33.3,87.1,1.125,120,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1143,237.3,13.0,77.4,1.09,148,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1144,428.0,12.2,80.5,1.144,138,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1145,167.3,0.6,78.3,1.114,160,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1146,482.4,21.9,85.9,1.14,128,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1147,238.7,9.4,83.4,1.139,169,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1148,523.1,34.5,87.8,1.149,122,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1149,143.6,25.9,80.0,1.113,175,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1150,526.6,20.7,84.5,1.11,127,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1151,331.4,8.8,86.6,1.15,134,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1152,638.2,7.5,95.2,0.989,107,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1153,165.5,16.4,80.1,1.116,151,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1154,471.8,1.4,83.4,1.144,126,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1155,249.5,3.9,80.8,1.169,145,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1156,494.9,0.0,89.0,1.138,118,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1157,241.8,34.7,75.1,1.045,148,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1158,280.2,33.8,84.4,1.169,142,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1159,481.6,0.8,85.9,1.155,120,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1160,499.0,34.5,85.1,1.149,133,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1161,154.3,-6.5,80.3,1.139,157,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1162,344.8,4.9,86.3,1.133,141,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1163,576.1,27.0,91.7,1.059,117,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1164,605.2,-8.7,87.4,1.155,108,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1165,236.6,11.5,83.2,1.12,147,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1166,241.4,18.7,79.1,1.099,160,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1167,363.5,7.6,87.3,1.123,129,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1168,195.2,17.5,83.5,1.177,147,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1169,217.4,7.9,79.9,1.156,154,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1170,474.1,22.2,91.0,1.097,124,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1171,491.1,-8.1,91.3,1.117,126,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1172,229.9,-5.4,80.3,1.104,131,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1173,323.8,6.1,77.2,1.098,142,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1174,162.9,2.1,77.7,1.083,158,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1175,302.1,17.6,82.6,1.142,123,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1176,285.4,-7.2,86.7,1.135,151,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1177,454.8,8.5,91.5,1.111,118,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1178,526.5,-8.0,90.0,1.129,118,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1179,674.6,16.2,96.5,0.96,119,Membrane Flooding / Dryout Alert
IVECO-H2-1180,611.4,1.6,90.0,1.118,115,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1181,404.9,23.2,87.1,1.157,130,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1182,348.1,8.3,89.9,1.113,147,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1183,235.7,13.0,78.3,1.082,148,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1184,469.0,17.1,83.8,1.161,109,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1185,625.3,17.5,87.9,1.144,100,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1186,411.0,11.4,81.0,1.137,148,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1187,412.0,-9.0,86.3,1.119,133,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1188,418.7,34.4,87.1,1.179,145,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1189,581.2,-2.6,89.7,1.12,118,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1190,378.1,15.9,87.6,1.123,133,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1191,128.4,32.3,80.0,1.122,167,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1192,314.9,-2.3,79.3,1.08,147,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1193,491.6,-5.6,94.4,1.062,119,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1194,572.3,7.8,91.3,1.094,104,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1195,658.9,19.2,91.0,1.118,108,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1196,347.3,21.3,85.4,1.138,128,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1197,182.5,-4.7,79.3,1.136,159,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1198,159.8,5.6,74.2,1.053,161,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1199,127.5,15.9,81.4,1.161,177,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1200,247.8,-3.6,80.6,1.116,151,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1201,427.8,20.4,89.9,1.111,132,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1202,511.7,4.9,85.7,1.148,118,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1203,268.7,2.6,86.2,1.169,161,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1204,301.5,24.9,85.8,1.154,140,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1205,551.7,6.4,88.8,1.13,115,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1206,415.0,0.5,89.1,1.142,141,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1207,475.1,6.4,89.5,1.143,119,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1208,404.9,28.9,84.0,1.164,125,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1209,570.9,18.7,90.5,1.126,114,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1210,370.5,-8.0,80.8,1.134,127,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1211,527.7,11.0,89.0,1.098,120,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1212,567.3,0.7,91.0,1.093,126,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1213,315.7,-4.4,81.7,1.139,147,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1214,364.6,-7.4,86.4,1.158,144,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1215,355.9,21.2,87.8,1.119,138,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1216,384.5,0.1,81.4,1.165,133,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1217,257.5,2.9,83.0,1.168,156,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1218,232.5,2.4,76.5,1.054,149,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1219,405.7,21.6,89.9,1.118,139,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1220,554.2,20.4,86.6,1.16,114,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1221,241.3,29.4,77.5,1.076,156,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1222,421.6,29.5,82.0,1.143,130,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1223,155.8,30.7,76.4,1.049,159,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1224,200.8,12.7,81.8,1.115,169,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1225,578.5,26.1,98.0,0.927,121,Membrane Flooding / Dryout Alert
IVECO-H2-1226,211.7,34.9,87.2,1.108,160,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1227,332.1,4.7,78.0,1.117,136,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1228,679.0,-0.5,93.5,1.053,110,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1229,284.7,13.3,74.8,0.992,145,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1230,565.8,-2.5,85.9,1.157,105,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1231,179.9,-8.3,79.3,1.122,160,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1232,444.1,5.4,84.0,1.113,116,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1233,162.3,12.3,77.3,1.094,173,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1234,378.2,31.6,87.4,1.143,129,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1235,418.2,-0.2,84.4,1.152,116,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1236,482.5,-7.9,85.5,1.155,137,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1237,157.7,5.4,76.7,1.112,160,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1238,183.2,9.0,81.0,1.15,149,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1239,561.5,1.2,90.2,1.108,119,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1240,251.8,25.7,78.5,1.107,150,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1241,530.8,32.1,88.9,1.105,117,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1242,369.2,29.6,82.1,1.109,133,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1243,480.1,30.1,86.1,1.146,139,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1244,438.2,1.6,85.2,1.153,122,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1245,619.8,-8.6,89.2,1.142,109,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1246,629.8,9.3,88.6,1.105,101,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1247,462.7,21.7,91.7,1.055,129,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1248,647.9,31.3,96.8,0.963,109,Membrane Flooding / Dryout Alert
IVECO-H2-1249,175.8,21.6,73.8,0.991,163,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1250,236.0,7.1,87.1,1.136,150,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1251,539.6,4.0,91.0,1.113,115,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1252,378.0,-1.7,89.8,1.13,123,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1253,661.3,-0.3,85.6,1.136,105,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1254,632.2,29.7,92.3,1.122,114,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1255,272.5,7.4,82.2,1.118,158,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1256,267.9,15.4,80.6,1.128,160,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1257,664.7,14.0,92.7,1.108,84,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1258,269.2,15.5,79.7,1.133,145,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1259,589.2,15.4,92.3,1.104,102,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1260,188.3,8.0,80.2,1.11,159,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1261,432.4,-3.7,81.8,1.141,141,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1262,510.4,17.0,86.6,1.148,123,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1263,292.6,22.5,79.4,1.057,139,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1264,344.2,24.5,84.1,1.121,143,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1265,584.6,23.3,91.0,1.106,101,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1266,362.7,24.1,87.4,1.122,145,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1267,691.7,-9.7,98.0,0.925,91,Membrane Flooding / Dryout Alert
IVECO-H2-1268,664.5,19.0,94.1,1.049,115,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1269,671.8,9.6,89.6,1.139,105,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1270,246.9,24.3,80.2,1.139,148,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1271,165.4,10.5,76.9,1.066,179,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1272,427.5,-8.6,86.6,1.146,149,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1273,248.3,11.8,83.5,1.141,147,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1274,401.7,2.8,84.7,1.117,143,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1275,391.4,-7.9,83.8,1.149,145,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1276,327.7,14.6,85.1,1.175,133,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1277,437.2,-0.6,85.5,1.138,141,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1278,657.9,1.0,92.1,1.086,103,Optimal Fuel Cell Proton Conductivity
IVECO-H2-1279,474.6,20.5,91.4,1.081,126,Optimal Fuel Cell Proton Conductivity
