Shift_Event_ID,Gear_Transition,Engine_Torque_Nm,Clutch_Slip_Duration_ms,Slip_Energy_Dissipated_J,Shift_Quality
ZF-8HP-1048,4 -> 5,526.5,79.2,4645.1,Smooth Fast Shift (<80ms)
ZF-8HP-1049,2 -> 3,268.7,63.9,1846.5,Smooth Fast Shift (<80ms)
ZF-8HP-1050,4 -> 5,456.4,61.0,2583.1,Smooth Fast Shift (<80ms)
ZF-8HP-1051,5 -> 6,380.5,68.4,2742.8,Smooth Fast Shift (<80ms)
ZF-8HP-1052,3 -> 4,411.2,67.8,2811.8,Smooth Fast Shift (<80ms)
ZF-8HP-1053,1 -> 2,423.9,65.1,2280.0,Smooth Fast Shift (<80ms)
ZF-8HP-1054,1 -> 2,540.3,78.4,3613.0,Smooth Fast Shift (<80ms)
ZF-8HP-1055,4 -> 5,193.8,59.1,1164.7,Smooth Fast Shift (<80ms)
ZF-8HP-1056,6 -> 7,521.1,63.6,3111.0,Smooth Fast Shift (<80ms)
ZF-8HP-1057,5 -> 6,478.2,71.4,3244.7,Smooth Fast Shift (<80ms)
ZF-8HP-1058,1 -> 2,452.7,78.3,4217.0,Smooth Fast Shift (<80ms)
ZF-8HP-1059,7 -> 8,531.3,93.9,4380.4,Smooth Fast Shift (<80ms)
ZF-8HP-1060,7 -> 8,270.2,50.6,1285.7,Smooth Fast Shift (<80ms)
ZF-8HP-1061,2 -> 3,273.4,56.2,1455.9,Smooth Fast Shift (<80ms)
ZF-8HP-1062,2 -> 3,487.3,74.0,3053.1,Smooth Fast Shift (<80ms)
ZF-8HP-1063,3 -> 4,495.6,81.8,4714.3,Smooth Fast Shift (<80ms)
ZF-8HP-1064,3 -> 4,464.9,102.2,4862.0,Clutch Slippage Warning
ZF-8HP-1065,3 -> 4,463.2,77.7,4094.2,Smooth Fast Shift (<80ms)
ZF-8HP-1066,5 -> 6,614.2,89.3,6314.9,Smooth Fast Shift (<80ms)
ZF-8HP-1067,4 -> 5,263.4,47.0,1312.9,Smooth Fast Shift (<80ms)
ZF-8HP-1068,2 -> 3,370.2,72.7,2971.2,Smooth Fast Shift (<80ms)
ZF-8HP-1069,2 -> 3,358.3,68.4,2093.4,Smooth Fast Shift (<80ms)
ZF-8HP-1070,3 -> 4,305.8,73.4,2558.9,Smooth Fast Shift (<80ms)
ZF-8HP-1071,6 -> 7,508.7,95.9,5098.4,Clutch Slippage Warning
ZF-8HP-1072,4 -> 5,591.7,80.8,5000.4,Smooth Fast Shift (<80ms)
ZF-8HP-1073,3 -> 4,616.2,96.9,5710.5,Clutch Slippage Warning
ZF-8HP-1074,6 -> 7,539.1,66.6,3901.9,Smooth Fast Shift (<80ms)
ZF-8HP-1075,7 -> 8,648.9,111.4,5942.1,Clutch Slippage Warning
ZF-8HP-1076,7 -> 8,190.6,66.3,1472.6,Smooth Fast Shift (<80ms)
ZF-8HP-1077,7 -> 8,629.8,99.2,5409.5,Clutch Slippage Warning
ZF-8HP-1078,2 -> 3,489.4,58.6,2954.1,Smooth Fast Shift (<80ms)
ZF-8HP-1079,5 -> 6,586.2,86.6,4264.3,Smooth Fast Shift (<80ms)
ZF-8HP-1080,1 -> 2,437.1,76.8,2828.8,Smooth Fast Shift (<80ms)
ZF-8HP-1081,1 -> 2,403.9,74.6,2420.1,Smooth Fast Shift (<80ms)
ZF-8HP-1082,6 -> 7,477.4,85.8,4843.3,Smooth Fast Shift (<80ms)
ZF-8HP-1083,5 -> 6,319.6,68.1,2006.5,Smooth Fast Shift (<80ms)
ZF-8HP-1084,7 -> 8,587.0,83.5,5763.0,Smooth Fast Shift (<80ms)
ZF-8HP-1085,1 -> 2,491.4,81.6,3756.5,Smooth Fast Shift (<80ms)
ZF-8HP-1086,6 -> 7,395.0,83.0,2632.1,Smooth Fast Shift (<80ms)
ZF-8HP-1087,7 -> 8,309.4,70.6,1960.5,Smooth Fast Shift (<80ms)
ZF-8HP-1088,4 -> 5,532.2,77.7,3417.3,Smooth Fast Shift (<80ms)
ZF-8HP-1089,7 -> 8,435.3,72.7,2852.9,Smooth Fast Shift (<80ms)
ZF-8HP-1090,6 -> 7,284.4,54.2,1747.4,Smooth Fast Shift (<80ms)
ZF-8HP-1091,5 -> 6,469.1,88.5,4222.5,Smooth Fast Shift (<80ms)
ZF-8HP-1092,7 -> 8,485.8,90.3,3606.3,Smooth Fast Shift (<80ms)
ZF-8HP-1093,2 -> 3,331.4,80.7,2362.0,Smooth Fast Shift (<80ms)
ZF-8HP-1094,5 -> 6,529.5,90.1,5127.3,Smooth Fast Shift (<80ms)
ZF-8HP-1095,1 -> 2,608.4,80.4,5043.9,Smooth Fast Shift (<80ms)
ZF-8HP-1096,2 -> 3,524.0,69.5,3639.2,Smooth Fast Shift (<80ms)
ZF-8HP-1097,3 -> 4,351.2,66.9,2068.6,Smooth Fast Shift (<80ms)
ZF-8HP-1098,4 -> 5,456.6,82.4,4138.0,Smooth Fast Shift (<80ms)
ZF-8HP-1099,4 -> 5,563.9,94.4,5257.3,Smooth Fast Shift (<80ms)
ZF-8HP-1100,6 -> 7,283.7,62.3,1514.9,Smooth Fast Shift (<80ms)
ZF-8HP-1101,1 -> 2,444.5,77.0,2782.5,Smooth Fast Shift (<80ms)
ZF-8HP-1102,3 -> 4,199.5,59.7,1055.0,Smooth Fast Shift (<80ms)
ZF-8HP-1103,7 -> 8,592.2,85.3,4215.8,Smooth Fast Shift (<80ms)
ZF-8HP-1104,6 -> 7,618.0,86.1,4588.8,Smooth Fast Shift (<80ms)
ZF-8HP-1105,2 -> 3,569.4,82.6,4070.6,Smooth Fast Shift (<80ms)
ZF-8HP-1106,4 -> 5,450.2,76.3,3433.3,Smooth Fast Shift (<80ms)
ZF-8HP-1107,1 -> 2,534.0,80.3,3859.8,Smooth Fast Shift (<80ms)
ZF-8HP-1108,7 -> 8,633.6,82.8,6179.0,Smooth Fast Shift (<80ms)
ZF-8HP-1109,4 -> 5,541.1,78.1,3761.7,Smooth Fast Shift (<80ms)
ZF-8HP-1110,2 -> 3,219.6,52.8,980.8,Smooth Fast Shift (<80ms)
ZF-8HP-1111,7 -> 8,280.6,66.4,1590.5,Smooth Fast Shift (<80ms)
ZF-8HP-1112,2 -> 3,432.4,76.6,3968.2,Smooth Fast Shift (<80ms)
ZF-8HP-1113,4 -> 5,320.3,58.2,1992.0,Smooth Fast Shift (<80ms)
ZF-8HP-1114,1 -> 2,497.2,54.1,3016.8,Smooth Fast Shift (<80ms)
ZF-8HP-1115,4 -> 5,311.0,68.2,2235.5,Smooth Fast Shift (<80ms)
ZF-8HP-1116,2 -> 3,186.8,59.8,1313.9,Smooth Fast Shift (<80ms)
ZF-8HP-1117,6 -> 7,223.9,57.5,1041.9,Smooth Fast Shift (<80ms)
ZF-8HP-1118,5 -> 6,344.0,84.3,2599.6,Smooth Fast Shift (<80ms)
ZF-8HP-1119,2 -> 3,292.5,53.3,1317.3,Smooth Fast Shift (<80ms)
ZF-8HP-1120,6 -> 7,534.8,89.5,4684.1,Smooth Fast Shift (<80ms)
ZF-8HP-1121,5 -> 6,388.3,81.8,2607.0,Smooth Fast Shift (<80ms)
ZF-8HP-1122,7 -> 8,642.2,94.6,6518.2,Smooth Fast Shift (<80ms)
ZF-8HP-1123,4 -> 5,432.8,73.9,3101.8,Smooth Fast Shift (<80ms)
ZF-8HP-1124,7 -> 8,619.0,89.4,4839.2,Smooth Fast Shift (<80ms)
ZF-8HP-1125,5 -> 6,413.0,71.9,3080.0,Smooth Fast Shift (<80ms)
ZF-8HP-1126,3 -> 4,283.9,58.8,1596.2,Smooth Fast Shift (<80ms)
ZF-8HP-1127,7 -> 8,371.8,76.0,3234.2,Smooth Fast Shift (<80ms)
ZF-8HP-1128,7 -> 8,584.3,89.6,5014.8,Smooth Fast Shift (<80ms)
ZF-8HP-1129,3 -> 4,512.5,77.2,4123.8,Smooth Fast Shift (<80ms)
ZF-8HP-1130,7 -> 8,436.1,78.2,2854.1,Smooth Fast Shift (<80ms)
ZF-8HP-1131,3 -> 4,563.1,85.7,4205.8,Smooth Fast Shift (<80ms)
ZF-8HP-1132,5 -> 6,469.8,64.5,3582.5,Smooth Fast Shift (<80ms)
ZF-8HP-1133,6 -> 7,261.2,70.1,2116.6,Smooth Fast Shift (<80ms)
ZF-8HP-1134,4 -> 5,566.8,88.7,5153.8,Smooth Fast Shift (<80ms)
ZF-8HP-1135,3 -> 4,368.8,72.1,2839.4,Smooth Fast Shift (<80ms)
ZF-8HP-1136,2 -> 3,315.1,63.2,1985.4,Smooth Fast Shift (<80ms)
ZF-8HP-1137,5 -> 6,229.0,70.5,1498.6,Smooth Fast Shift (<80ms)
ZF-8HP-1138,5 -> 6,593.6,74.5,4933.6,Smooth Fast Shift (<80ms)
ZF-8HP-1139,7 -> 8,203.6,55.4,1261.1,Smooth Fast Shift (<80ms)
ZF-8HP-1140,4 -> 5,335.7,75.1,2054.6,Smooth Fast Shift (<80ms)
ZF-8HP-1141,6 -> 7,458.9,80.3,4013.4,Smooth Fast Shift (<80ms)
ZF-8HP-1142,5 -> 6,541.6,80.8,3661.5,Smooth Fast Shift (<80ms)
ZF-8HP-1143,5 -> 6,377.8,73.5,2355.3,Smooth Fast Shift (<80ms)
ZF-8HP-1144,3 -> 4,581.9,85.0,5078.2,Smooth Fast Shift (<80ms)
ZF-8HP-1145,1 -> 2,294.5,71.5,1760.0,Smooth Fast Shift (<80ms)
ZF-8HP-1146,1 -> 2,188.0,53.3,861.8,Smooth Fast Shift (<80ms)
ZF-8HP-1147,1 -> 2,503.9,89.2,4827.2,Smooth Fast Shift (<80ms)
ZF-8HP-1148,2 -> 3,191.2,55.3,1201.3,Smooth Fast Shift (<80ms)
ZF-8HP-1149,4 -> 5,210.4,66.1,1257.0,Smooth Fast Shift (<80ms)
ZF-8HP-1150,3 -> 4,313.9,67.1,2111.8,Smooth Fast Shift (<80ms)
ZF-8HP-1151,5 -> 6,514.3,71.2,3570.9,Smooth Fast Shift (<80ms)
ZF-8HP-1152,6 -> 7,276.2,66.2,1958.3,Smooth Fast Shift (<80ms)
ZF-8HP-1153,3 -> 4,554.5,72.2,4282.7,Smooth Fast Shift (<80ms)
ZF-8HP-1154,3 -> 4,646.8,97.1,7267.4,Clutch Slippage Warning
ZF-8HP-1155,6 -> 7,379.7,77.4,2809.1,Smooth Fast Shift (<80ms)
ZF-8HP-1156,2 -> 3,646.0,94.7,5665.1,Smooth Fast Shift (<80ms)
ZF-8HP-1157,2 -> 3,413.3,65.0,2520.5,Smooth Fast Shift (<80ms)
ZF-8HP-1158,4 -> 5,474.9,82.5,4093.5,Smooth Fast Shift (<80ms)
ZF-8HP-1159,1 -> 2,381.6,80.7,3039.2,Smooth Fast Shift (<80ms)
ZF-8HP-1160,6 -> 7,549.3,77.6,3807.2,Smooth Fast Shift (<80ms)
ZF-8HP-1161,2 -> 3,200.7,46.3,924.5,Smooth Fast Shift (<80ms)
ZF-8HP-1162,3 -> 4,253.5,61.7,1373.1,Smooth Fast Shift (<80ms)
ZF-8HP-1163,5 -> 6,354.2,74.5,2833.1,Smooth Fast Shift (<80ms)
ZF-8HP-1164,2 -> 3,584.4,89.2,4495.6,Smooth Fast Shift (<80ms)
ZF-8HP-1165,4 -> 5,558.5,93.7,6128.3,Smooth Fast Shift (<80ms)
ZF-8HP-1166,2 -> 3,391.7,77.7,3298.2,Smooth Fast Shift (<80ms)
ZF-8HP-1167,4 -> 5,593.8,74.4,5260.5,Smooth Fast Shift (<80ms)
ZF-8HP-1168,4 -> 5,491.8,84.5,4433.3,Smooth Fast Shift (<80ms)
ZF-8HP-1169,7 -> 8,309.4,72.7,2421.7,Smooth Fast Shift (<80ms)
ZF-8HP-1170,6 -> 7,460.4,86.6,3840.9,Smooth Fast Shift (<80ms)
ZF-8HP-1171,7 -> 8,439.4,69.2,3290.9,Smooth Fast Shift (<80ms)
ZF-8HP-1172,3 -> 4,396.6,71.4,3124.8,Smooth Fast Shift (<80ms)
ZF-8HP-1173,6 -> 7,192.8,76.5,1344.7,Smooth Fast Shift (<80ms)
ZF-8HP-1174,7 -> 8,327.4,71.2,2175.7,Smooth Fast Shift (<80ms)
ZF-8HP-1175,6 -> 7,452.7,77.6,2848.7,Smooth Fast Shift (<80ms)
ZF-8HP-1176,4 -> 5,180.9,61.4,1057.5,Smooth Fast Shift (<80ms)
ZF-8HP-1177,2 -> 3,380.3,65.0,2765.6,Smooth Fast Shift (<80ms)
ZF-8HP-1178,4 -> 5,412.3,68.0,2527.3,Smooth Fast Shift (<80ms)
ZF-8HP-1179,5 -> 6,190.9,69.5,1561.7,Smooth Fast Shift (<80ms)
ZF-8HP-1180,1 -> 2,584.2,97.1,4721.0,Clutch Slippage Warning
ZF-8HP-1181,1 -> 2,476.0,71.4,3834.7,Smooth Fast Shift (<80ms)
ZF-8HP-1182,7 -> 8,203.0,57.1,1086.9,Smooth Fast Shift (<80ms)
ZF-8HP-1183,2 -> 3,198.9,65.5,1187.4,Smooth Fast Shift (<80ms)
ZF-8HP-1184,3 -> 4,635.0,103.6,7213.0,Clutch Slippage Warning
ZF-8HP-1185,7 -> 8,549.7,87.6,5773.3,Smooth Fast Shift (<80ms)
ZF-8HP-1186,1 -> 2,426.5,73.3,3171.2,Smooth Fast Shift (<80ms)
ZF-8HP-1187,4 -> 5,362.3,74.3,3216.4,Smooth Fast Shift (<80ms)
ZF-8HP-1188,4 -> 5,523.7,79.2,4457.6,Smooth Fast Shift (<80ms)
ZF-8HP-1189,3 -> 4,405.2,69.7,2696.9,Smooth Fast Shift (<80ms)
ZF-8HP-1190,2 -> 3,343.0,72.6,2223.5,Smooth Fast Shift (<80ms)
ZF-8HP-1191,7 -> 8,551.8,100.8,5448.3,Clutch Slippage Warning
ZF-8HP-1192,4 -> 5,324.8,74.2,2312.4,Smooth Fast Shift (<80ms)
ZF-8HP-1193,5 -> 6,643.0,118.2,7891.7,Clutch Slippage Warning
ZF-8HP-1194,2 -> 3,364.3,62.8,2455.5,Smooth Fast Shift (<80ms)
ZF-8HP-1195,6 -> 7,293.2,67.4,2339.2,Smooth Fast Shift (<80ms)
ZF-8HP-1196,3 -> 4,280.6,71.6,2370.2,Smooth Fast Shift (<80ms)
ZF-8HP-1197,5 -> 6,556.9,88.9,5282.4,Smooth Fast Shift (<80ms)
ZF-8HP-1198,4 -> 5,576.4,85.5,4814.4,Smooth Fast Shift (<80ms)
ZF-8HP-1199,3 -> 4,295.1,67.1,1856.3,Smooth Fast Shift (<80ms)
ZF-8HP-1200,2 -> 3,560.9,81.8,5045.3,Smooth Fast Shift (<80ms)
ZF-8HP-1201,1 -> 2,521.4,83.7,3758.6,Smooth Fast Shift (<80ms)
ZF-8HP-1202,1 -> 2,260.7,70.1,1995.0,Smooth Fast Shift (<80ms)
ZF-8HP-1203,5 -> 6,549.3,94.5,5621.8,Smooth Fast Shift (<80ms)
ZF-8HP-1204,4 -> 5,204.6,39.9,706.1,Smooth Fast Shift (<80ms)
ZF-8HP-1205,5 -> 6,568.9,81.6,5128.8,Smooth Fast Shift (<80ms)
ZF-8HP-1206,2 -> 3,426.8,81.1,3033.1,Smooth Fast Shift (<80ms)
ZF-8HP-1207,5 -> 6,537.7,84.9,4696.3,Smooth Fast Shift (<80ms)
ZF-8HP-1208,7 -> 8,545.0,85.6,4973.6,Smooth Fast Shift (<80ms)
ZF-8HP-1209,3 -> 4,605.0,78.6,4125.9,Smooth Fast Shift (<80ms)
ZF-8HP-1210,3 -> 4,290.1,71.0,2133.0,Smooth Fast Shift (<80ms)
ZF-8HP-1211,7 -> 8,358.1,63.7,2474.3,Smooth Fast Shift (<80ms)
ZF-8HP-1212,5 -> 6,520.1,86.4,3763.3,Smooth Fast Shift (<80ms)
ZF-8HP-1213,6 -> 7,506.3,80.2,3377.5,Smooth Fast Shift (<80ms)
ZF-8HP-1214,2 -> 3,334.7,60.3,2358.1,Smooth Fast Shift (<80ms)
ZF-8HP-1215,7 -> 8,314.9,79.2,2480.8,Smooth Fast Shift (<80ms)
ZF-8HP-1216,6 -> 7,596.6,79.0,4579.4,Smooth Fast Shift (<80ms)
ZF-8HP-1217,3 -> 4,317.4,72.1,2001.4,Smooth Fast Shift (<80ms)
ZF-8HP-1218,6 -> 7,373.9,76.5,3079.6,Smooth Fast Shift (<80ms)
ZF-8HP-1219,7 -> 8,444.4,68.8,2536.7,Smooth Fast Shift (<80ms)
ZF-8HP-1220,1 -> 2,611.8,81.6,4693.8,Smooth Fast Shift (<80ms)
ZF-8HP-1221,6 -> 7,490.3,75.3,3753.3,Smooth Fast Shift (<80ms)
ZF-8HP-1222,3 -> 4,392.2,74.6,3444.1,Smooth Fast Shift (<80ms)
ZF-8HP-1223,7 -> 8,545.6,87.6,5436.6,Smooth Fast Shift (<80ms)
ZF-8HP-1224,1 -> 2,266.6,54.2,1171.1,Smooth Fast Shift (<80ms)
ZF-8HP-1225,1 -> 2,581.6,75.8,4954.6,Smooth Fast Shift (<80ms)
ZF-8HP-1226,5 -> 6,261.5,57.3,1681.4,Smooth Fast Shift (<80ms)
ZF-8HP-1227,2 -> 3,476.1,68.3,3089.9,Smooth Fast Shift (<80ms)
ZF-8HP-1228,4 -> 5,375.5,75.6,2668.7,Smooth Fast Shift (<80ms)
ZF-8HP-1229,5 -> 6,469.1,75.5,2995.9,Smooth Fast Shift (<80ms)
ZF-8HP-1230,3 -> 4,440.6,87.3,4422.5,Smooth Fast Shift (<80ms)
ZF-8HP-1231,4 -> 5,199.1,57.2,1176.4,Smooth Fast Shift (<80ms)
ZF-8HP-1232,6 -> 7,330.9,52.9,1441.7,Smooth Fast Shift (<80ms)
ZF-8HP-1233,3 -> 4,559.5,72.7,3812.8,Smooth Fast Shift (<80ms)
ZF-8HP-1234,6 -> 7,277.2,74.3,2428.9,Smooth Fast Shift (<80ms)
ZF-8HP-1235,5 -> 6,442.4,80.2,2976.0,Smooth Fast Shift (<80ms)
ZF-8HP-1236,6 -> 7,277.6,61.6,1856.5,Smooth Fast Shift (<80ms)
ZF-8HP-1237,7 -> 8,324.0,61.1,1593.6,Smooth Fast Shift (<80ms)
ZF-8HP-1238,7 -> 8,272.4,65.5,1887.3,Smooth Fast Shift (<80ms)
ZF-8HP-1239,6 -> 7,622.9,86.9,4778.5,Smooth Fast Shift (<80ms)
ZF-8HP-1240,4 -> 5,286.9,63.6,1871.7,Smooth Fast Shift (<80ms)
ZF-8HP-1241,5 -> 6,422.5,85.9,3635.7,Smooth Fast Shift (<80ms)
ZF-8HP-1242,2 -> 3,412.0,88.7,2997.3,Smooth Fast Shift (<80ms)
ZF-8HP-1243,2 -> 3,427.2,66.7,2382.8,Smooth Fast Shift (<80ms)
ZF-8HP-1244,4 -> 5,502.3,81.5,3926.3,Smooth Fast Shift (<80ms)
ZF-8HP-1245,2 -> 3,524.7,78.5,4915.3,Smooth Fast Shift (<80ms)
ZF-8HP-1246,2 -> 3,603.8,72.2,4547.3,Smooth Fast Shift (<80ms)
ZF-8HP-1247,2 -> 3,633.2,87.2,5791.1,Smooth Fast Shift (<80ms)
ZF-8HP-1248,6 -> 7,206.7,61.4,1202.5,Smooth Fast Shift (<80ms)
ZF-8HP-1249,1 -> 2,207.3,51.5,1162.8,Smooth Fast Shift (<80ms)
ZF-8HP-1250,2 -> 3,602.6,84.8,5744.2,Smooth Fast Shift (<80ms)
ZF-8HP-1251,4 -> 5,467.2,73.8,3414.0,Smooth Fast Shift (<80ms)
ZF-8HP-1252,2 -> 3,237.1,51.1,1425.2,Smooth Fast Shift (<80ms)
ZF-8HP-1253,5 -> 6,186.2,67.2,1402.8,Smooth Fast Shift (<80ms)
ZF-8HP-1254,3 -> 4,460.2,77.8,3203.2,Smooth Fast Shift (<80ms)
ZF-8HP-1255,1 -> 2,184.9,65.3,1006.6,Smooth Fast Shift (<80ms)
ZF-8HP-1256,6 -> 7,307.6,69.9,1892.8,Smooth Fast Shift (<80ms)
ZF-8HP-1257,1 -> 2,487.7,83.7,4833.8,Smooth Fast Shift (<80ms)
ZF-8HP-1258,2 -> 3,347.5,64.2,2076.9,Smooth Fast Shift (<80ms)
ZF-8HP-1259,3 -> 4,649.2,98.7,5742.5,Clutch Slippage Warning
ZF-8HP-1260,3 -> 4,181.9,52.3,1084.0,Smooth Fast Shift (<80ms)
ZF-8HP-1261,7 -> 8,293.2,64.9,1595.7,Smooth Fast Shift (<80ms)
ZF-8HP-1262,7 -> 8,559.6,86.9,5022.4,Smooth Fast Shift (<80ms)
ZF-8HP-1263,1 -> 2,225.3,56.9,1073.6,Smooth Fast Shift (<80ms)
ZF-8HP-1264,7 -> 8,504.6,79.7,4339.5,Smooth Fast Shift (<80ms)
ZF-8HP-1265,2 -> 3,619.2,100.0,5923.5,Clutch Slippage Warning
ZF-8HP-1266,6 -> 7,294.9,59.7,1501.0,Smooth Fast Shift (<80ms)
ZF-8HP-1267,1 -> 2,182.5,62.8,1355.4,Smooth Fast Shift (<80ms)
ZF-8HP-1268,5 -> 6,581.3,79.5,5527.9,Smooth Fast Shift (<80ms)
ZF-8HP-1269,6 -> 7,568.2,87.4,5308.8,Smooth Fast Shift (<80ms)
ZF-8HP-1270,6 -> 7,523.1,83.8,4285.1,Smooth Fast Shift (<80ms)
ZF-8HP-1271,1 -> 2,181.2,43.4,662.8,Smooth Fast Shift (<80ms)
ZF-8HP-1272,5 -> 6,416.2,82.5,3896.4,Smooth Fast Shift (<80ms)
ZF-8HP-1273,3 -> 4,540.0,81.3,4388.7,Smooth Fast Shift (<80ms)
ZF-8HP-1274,3 -> 4,218.9,59.4,1372.6,Smooth Fast Shift (<80ms)
ZF-8HP-1275,3 -> 4,337.6,72.0,2866.4,Smooth Fast Shift (<80ms)
ZF-8HP-1276,3 -> 4,569.4,76.4,4316.0,Smooth Fast Shift (<80ms)
ZF-8HP-1277,6 -> 7,504.8,94.2,4998.1,Smooth Fast Shift (<80ms)
ZF-8HP-1278,3 -> 4,576.6,73.9,4983.9,Smooth Fast Shift (<80ms)
ZF-8HP-1279,4 -> 5,367.2,63.0,2301.9,Smooth Fast Shift (<80ms)
ZF-8HP-1280,1 -> 2,632.2,96.1,6223.8,Clutch Slippage Warning
ZF-8HP-1281,6 -> 7,464.0,74.6,3536.9,Smooth Fast Shift (<80ms)
ZF-8HP-1282,7 -> 8,375.2,83.7,2630.9,Smooth Fast Shift (<80ms)
ZF-8HP-1283,3 -> 4,611.2,82.1,5055.0,Smooth Fast Shift (<80ms)
ZF-8HP-1284,7 -> 8,593.2,80.6,5647.8,Smooth Fast Shift (<80ms)
ZF-8HP-1285,4 -> 5,300.6,64.1,1946.4,Smooth Fast Shift (<80ms)
ZF-8HP-1286,5 -> 6,644.0,97.2,6981.5,Clutch Slippage Warning
ZF-8HP-1287,5 -> 6,413.7,64.7,2807.9,Smooth Fast Shift (<80ms)
ZF-8HP-1288,6 -> 7,439.3,86.2,3528.8,Smooth Fast Shift (<80ms)
ZF-8HP-1289,1 -> 2,635.7,79.0,4209.4,Smooth Fast Shift (<80ms)
