Platoon_Trip_ID,Trucks_in_Platoon,Inter_Vehicle_Spacing_m,Highway_Speed_kmh,Aerodynamic_Drag_Reduction_pct,Diesel_Fuel_Savings_pct,Platooning_Status
SCANIA-PLT-1046,2,44.2,88.9,8.2,5.8,Standard Extended Following
SCANIA-PLT-1047,2,19.1,94.5,23.0,13.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1048,3,16.6,78.1,28.9,15.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1049,4,37.3,80.4,20.3,12.5,Standard Extended Following
SCANIA-PLT-1050,3,40.7,94.8,17.0,9.6,Standard Extended Following
SCANIA-PLT-1051,3,44.5,81.4,13.4,7.5,Standard Extended Following
SCANIA-PLT-1052,2,8.6,76.0,24.4,14.5,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1053,2,15.6,80.7,24.6,13.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1054,2,31.9,93.9,20.1,9.4,Standard Extended Following
SCANIA-PLT-1055,3,26.9,86.7,23.7,13.7,Standard Extended Following
SCANIA-PLT-1056,4,15.8,91.2,29.0,15.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1057,2,19.4,78.9,21.0,11.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1058,3,8.7,75.5,33.4,17.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1059,2,31.9,78.6,17.2,9.2,Standard Extended Following
SCANIA-PLT-1060,3,27.6,92.5,25.7,14.0,Standard Extended Following
SCANIA-PLT-1061,2,30.6,77.2,14.6,8.4,Standard Extended Following
SCANIA-PLT-1062,3,19.1,85.1,26.1,14.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1063,2,40.9,83.3,10.4,6.4,Standard Extended Following
SCANIA-PLT-1064,2,34.6,78.1,15.7,7.9,Standard Extended Following
SCANIA-PLT-1065,2,43.3,87.5,10.1,4.9,Standard Extended Following
SCANIA-PLT-1066,3,22.7,79.4,25.3,14.0,Standard Extended Following
SCANIA-PLT-1067,3,44.6,86.3,14.4,7.5,Standard Extended Following
SCANIA-PLT-1068,2,24.7,78.7,20.9,11.0,Standard Extended Following
SCANIA-PLT-1069,2,34.9,86.7,17.4,9.2,Standard Extended Following
SCANIA-PLT-1070,3,20.7,85.6,25.8,13.5,Standard Extended Following
SCANIA-PLT-1071,2,41.9,83.6,12.9,7.0,Standard Extended Following
SCANIA-PLT-1072,2,10.4,77.5,26.6,14.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1073,3,8.3,86.8,31.4,17.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1074,4,25.7,94.9,25.8,13.5,Standard Extended Following
SCANIA-PLT-1075,3,25.4,76.5,23.2,12.0,Standard Extended Following
SCANIA-PLT-1076,3,9.2,86.7,32.0,18.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1077,2,41.8,89.2,11.6,6.2,Standard Extended Following
SCANIA-PLT-1078,4,42.4,94.4,18.9,10.4,Standard Extended Following
SCANIA-PLT-1079,4,27.0,82.8,28.1,15.2,Standard Extended Following
SCANIA-PLT-1080,3,28.1,79.6,25.6,13.5,Standard Extended Following
SCANIA-PLT-1081,4,28.5,87.8,24.7,13.6,Standard Extended Following
SCANIA-PLT-1082,4,39.3,90.5,20.6,11.8,Standard Extended Following
SCANIA-PLT-1083,2,41.9,85.4,15.1,7.3,Standard Extended Following
SCANIA-PLT-1084,2,17.1,76.3,19.8,11.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1085,3,41.5,82.3,14.1,7.7,Standard Extended Following
SCANIA-PLT-1086,3,33.5,75.9,19.8,11.1,Standard Extended Following
SCANIA-PLT-1087,3,34.8,90.1,18.6,9.9,Standard Extended Following
SCANIA-PLT-1088,3,19.0,86.9,28.3,14.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1089,3,27.6,83.6,20.7,11.4,Standard Extended Following
SCANIA-PLT-1090,3,14.4,77.9,29.1,14.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1091,4,22.4,87.0,27.6,16.3,Standard Extended Following
SCANIA-PLT-1092,3,8.2,82.3,25.3,14.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1093,3,13.9,91.5,28.0,14.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1094,2,36.4,81.1,11.1,7.5,Standard Extended Following
SCANIA-PLT-1095,2,27.1,80.1,18.5,9.8,Standard Extended Following
SCANIA-PLT-1096,2,33.1,92.3,14.1,7.5,Standard Extended Following
SCANIA-PLT-1097,3,10.5,75.9,28.6,15.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1098,2,40.1,88.2,14.4,6.8,Standard Extended Following
SCANIA-PLT-1099,3,22.4,79.6,26.1,14.4,Standard Extended Following
SCANIA-PLT-1100,3,10.1,90.0,28.9,16.5,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1101,2,25.8,86.8,18.0,10.4,Standard Extended Following
SCANIA-PLT-1102,3,38.3,79.1,16.0,9.2,Standard Extended Following
SCANIA-PLT-1103,2,26.9,78.5,19.8,10.0,Standard Extended Following
SCANIA-PLT-1104,2,9.0,92.0,24.9,13.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1105,2,39.0,83.2,12.8,6.6,Standard Extended Following
SCANIA-PLT-1106,2,13.6,84.6,24.4,13.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1107,3,43.4,82.5,15.1,8.0,Standard Extended Following
SCANIA-PLT-1108,2,9.1,87.6,26.1,14.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1109,2,16.1,83.9,27.7,14.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1110,3,42.1,76.8,14.7,8.4,Standard Extended Following
SCANIA-PLT-1111,4,19.9,83.7,30.8,16.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1112,3,45.0,94.9,14.1,8.6,Standard Extended Following
SCANIA-PLT-1113,3,28.6,81.8,19.0,11.4,Standard Extended Following
SCANIA-PLT-1114,3,31.0,76.0,18.5,11.2,Standard Extended Following
SCANIA-PLT-1115,2,20.8,84.9,21.4,11.2,Standard Extended Following
SCANIA-PLT-1116,2,40.8,78.6,12.4,6.8,Standard Extended Following
SCANIA-PLT-1117,2,12.2,94.1,24.9,13.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1118,2,14.2,87.1,25.1,13.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1119,2,34.1,93.7,16.5,9.0,Standard Extended Following
SCANIA-PLT-1120,3,42.8,94.8,15.9,9.1,Standard Extended Following
SCANIA-PLT-1121,2,40.0,75.3,11.6,6.2,Standard Extended Following
SCANIA-PLT-1122,3,40.5,86.9,20.0,11.7,Standard Extended Following
SCANIA-PLT-1123,2,14.2,76.2,24.4,13.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1124,2,11.7,91.3,26.5,14.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1125,4,23.1,90.9,27.6,15.0,Standard Extended Following
SCANIA-PLT-1126,3,8.0,92.3,31.2,17.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1127,2,14.5,75.5,27.5,13.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1128,4,26.0,91.5,25.4,14.2,Standard Extended Following
SCANIA-PLT-1129,3,41.0,94.5,16.4,8.5,Standard Extended Following
SCANIA-PLT-1130,2,30.3,94.9,16.1,8.4,Standard Extended Following
SCANIA-PLT-1131,4,24.9,75.9,26.9,15.2,Standard Extended Following
SCANIA-PLT-1132,3,43.5,85.1,14.8,8.0,Standard Extended Following
SCANIA-PLT-1133,3,24.9,77.5,21.0,11.8,Standard Extended Following
SCANIA-PLT-1134,3,24.6,86.7,24.9,13.5,Standard Extended Following
SCANIA-PLT-1135,2,20.8,77.3,17.8,9.5,Standard Extended Following
SCANIA-PLT-1136,2,14.0,83.0,19.1,12.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1137,3,36.8,88.3,19.2,10.9,Standard Extended Following
SCANIA-PLT-1138,3,17.7,79.7,26.1,14.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1139,2,24.3,80.3,21.6,11.8,Standard Extended Following
SCANIA-PLT-1140,3,41.3,85.0,13.3,7.5,Standard Extended Following
SCANIA-PLT-1141,3,24.0,77.9,28.9,14.6,Standard Extended Following
SCANIA-PLT-1142,2,42.8,94.2,8.7,4.9,Standard Extended Following
SCANIA-PLT-1143,3,28.1,90.7,23.3,12.8,Standard Extended Following
SCANIA-PLT-1144,2,42.5,80.1,13.8,7.2,Standard Extended Following
SCANIA-PLT-1145,2,25.0,79.0,18.6,10.2,Standard Extended Following
SCANIA-PLT-1146,2,35.7,92.2,10.0,6.2,Standard Extended Following
SCANIA-PLT-1147,3,11.1,87.4,29.5,15.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1148,2,31.9,94.6,14.4,7.5,Standard Extended Following
SCANIA-PLT-1149,2,26.3,78.7,17.7,9.2,Standard Extended Following
SCANIA-PLT-1150,3,29.4,87.8,20.8,11.4,Standard Extended Following
SCANIA-PLT-1151,2,8.2,94.2,27.3,15.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1152,4,11.5,89.1,33.8,19.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1153,3,31.8,84.1,22.1,11.4,Standard Extended Following
SCANIA-PLT-1154,2,10.2,90.2,25.1,14.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1155,2,37.4,82.0,14.1,7.1,Standard Extended Following
SCANIA-PLT-1156,2,20.1,89.6,19.2,10.9,Standard Extended Following
SCANIA-PLT-1157,2,43.3,79.3,13.7,6.2,Standard Extended Following
SCANIA-PLT-1158,2,17.0,79.7,21.1,11.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1159,2,32.9,91.9,14.9,8.5,Standard Extended Following
SCANIA-PLT-1160,2,19.0,80.5,20.9,11.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1161,2,10.1,76.8,23.5,12.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1162,2,15.9,85.0,23.2,12.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1163,3,42.5,84.4,17.8,9.0,Standard Extended Following
SCANIA-PLT-1164,3,37.0,89.4,20.3,10.2,Standard Extended Following
SCANIA-PLT-1165,3,32.2,86.5,20.7,10.7,Standard Extended Following
SCANIA-PLT-1166,4,41.9,94.6,18.6,10.5,Standard Extended Following
SCANIA-PLT-1167,3,39.4,85.1,16.4,9.3,Standard Extended Following
SCANIA-PLT-1168,3,40.3,78.1,18.0,8.4,Standard Extended Following
SCANIA-PLT-1169,2,35.9,76.0,11.1,6.6,Standard Extended Following
SCANIA-PLT-1170,3,35.0,75.7,19.1,10.7,Standard Extended Following
SCANIA-PLT-1171,2,16.3,89.6,25.0,12.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1172,2,27.7,75.2,17.5,9.8,Standard Extended Following
SCANIA-PLT-1173,3,35.9,79.3,18.9,10.6,Standard Extended Following
SCANIA-PLT-1174,4,39.4,81.7,18.0,9.7,Standard Extended Following
SCANIA-PLT-1175,2,26.8,84.7,19.4,10.2,Standard Extended Following
SCANIA-PLT-1176,2,11.9,75.1,24.3,12.5,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1177,3,32.3,78.6,19.9,10.4,Standard Extended Following
SCANIA-PLT-1178,2,11.0,76.2,24.1,13.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1179,3,18.4,84.6,25.8,13.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1180,4,33.7,86.3,27.7,14.5,Standard Extended Following
SCANIA-PLT-1181,3,20.1,91.1,26.4,14.5,Standard Extended Following
SCANIA-PLT-1182,3,13.0,78.8,29.5,15.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1183,2,16.2,81.5,23.0,11.5,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1184,3,20.9,78.1,25.2,13.7,Standard Extended Following
SCANIA-PLT-1185,2,11.2,76.5,27.4,13.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1186,3,25.5,81.0,21.3,11.3,Standard Extended Following
SCANIA-PLT-1187,2,12.8,91.7,24.8,13.5,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1188,3,25.7,93.4,24.5,13.1,Standard Extended Following
SCANIA-PLT-1189,2,42.2,77.5,12.9,6.7,Standard Extended Following
SCANIA-PLT-1190,2,23.4,80.9,22.1,11.0,Standard Extended Following
SCANIA-PLT-1191,3,10.5,79.6,35.8,18.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1192,2,8.8,79.8,29.0,14.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1193,4,39.2,91.5,20.5,12.7,Standard Extended Following
SCANIA-PLT-1194,2,42.0,80.7,10.9,5.8,Standard Extended Following
SCANIA-PLT-1195,3,10.1,78.1,30.5,16.8,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1196,2,24.5,77.1,18.8,9.7,Standard Extended Following
SCANIA-PLT-1197,3,20.4,87.3,26.5,13.7,Standard Extended Following
SCANIA-PLT-1198,2,19.0,85.5,22.8,12.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1199,2,44.0,83.8,11.8,6.8,Standard Extended Following
SCANIA-PLT-1200,3,17.3,90.0,25.4,13.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1201,2,37.6,79.2,10.9,6.3,Standard Extended Following
SCANIA-PLT-1202,3,23.0,77.0,25.7,13.1,Standard Extended Following
SCANIA-PLT-1203,2,10.1,92.8,27.1,14.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1204,2,18.9,80.1,23.8,12.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1205,2,27.5,78.4,17.4,9.7,Standard Extended Following
SCANIA-PLT-1206,3,14.4,83.0,31.9,16.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1207,2,32.3,90.2,15.7,8.4,Standard Extended Following
SCANIA-PLT-1208,4,34.6,92.9,20.5,11.0,Standard Extended Following
SCANIA-PLT-1209,3,10.9,83.7,29.1,15.5,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1210,3,13.3,80.9,29.7,15.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1211,2,18.0,94.7,22.6,12.5,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1212,3,27.9,89.7,22.2,11.2,Standard Extended Following
SCANIA-PLT-1213,3,29.0,90.3,21.5,11.4,Standard Extended Following
SCANIA-PLT-1214,2,8.4,79.6,28.6,15.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1215,4,16.6,83.1,31.7,17.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1216,3,20.2,92.8,25.3,14.3,Standard Extended Following
SCANIA-PLT-1217,4,9.8,75.1,34.5,18.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1218,2,39.1,94.4,16.4,7.6,Standard Extended Following
SCANIA-PLT-1219,2,37.9,78.3,11.3,6.0,Standard Extended Following
SCANIA-PLT-1220,2,31.7,78.4,14.1,7.5,Standard Extended Following
SCANIA-PLT-1221,2,33.7,77.1,13.4,7.7,Standard Extended Following
SCANIA-PLT-1222,3,8.8,91.9,31.6,17.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1223,2,9.8,81.5,26.6,14.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1224,3,42.1,76.1,16.4,8.3,Standard Extended Following
SCANIA-PLT-1225,3,13.8,93.5,30.7,16.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1226,3,19.5,92.4,25.7,13.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1227,2,39.7,90.4,12.5,6.8,Standard Extended Following
SCANIA-PLT-1228,4,32.5,88.3,21.3,13.2,Standard Extended Following
SCANIA-PLT-1229,3,33.8,84.6,18.9,10.6,Standard Extended Following
SCANIA-PLT-1230,2,12.0,75.1,29.9,15.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1231,3,27.8,86.0,22.1,12.2,Standard Extended Following
SCANIA-PLT-1232,2,38.5,94.0,12.1,6.4,Standard Extended Following
SCANIA-PLT-1233,2,36.2,92.5,13.8,6.8,Standard Extended Following
SCANIA-PLT-1234,4,35.7,82.9,23.7,12.0,Standard Extended Following
SCANIA-PLT-1235,3,40.7,92.7,13.9,8.8,Standard Extended Following
SCANIA-PLT-1236,4,34.9,87.3,24.0,12.7,Standard Extended Following
SCANIA-PLT-1237,3,8.8,82.4,30.9,15.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1238,3,19.2,79.9,25.1,13.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1239,2,41.3,86.7,10.5,5.7,Standard Extended Following
SCANIA-PLT-1240,2,26.6,91.6,15.3,8.5,Standard Extended Following
SCANIA-PLT-1241,3,39.2,84.0,19.8,9.8,Standard Extended Following
SCANIA-PLT-1242,4,17.8,94.3,33.2,16.5,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1243,3,30.9,88.2,20.5,10.9,Standard Extended Following
SCANIA-PLT-1244,3,11.2,79.4,31.5,16.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1245,2,27.1,85.7,15.6,8.9,Standard Extended Following
SCANIA-PLT-1246,3,23.8,86.6,24.0,12.7,Standard Extended Following
SCANIA-PLT-1247,2,42.6,83.2,10.5,5.2,Standard Extended Following
SCANIA-PLT-1248,2,23.4,89.1,18.8,10.6,Standard Extended Following
SCANIA-PLT-1249,2,23.0,82.7,22.4,11.6,Standard Extended Following
SCANIA-PLT-1250,4,27.0,92.1,24.8,13.8,Standard Extended Following
SCANIA-PLT-1251,3,9.8,78.1,31.6,17.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1252,3,36.4,92.6,18.0,9.0,Standard Extended Following
SCANIA-PLT-1253,2,29.5,92.2,13.9,8.5,Standard Extended Following
SCANIA-PLT-1254,4,44.9,79.8,19.8,10.6,Standard Extended Following
SCANIA-PLT-1255,2,31.5,84.5,13.6,8.4,Standard Extended Following
SCANIA-PLT-1256,2,31.8,81.3,18.1,9.3,Standard Extended Following
SCANIA-PLT-1257,2,15.0,79.0,21.6,12.5,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1258,3,23.5,94.1,22.9,12.5,Standard Extended Following
SCANIA-PLT-1259,2,42.2,85.2,12.7,7.6,Standard Extended Following
SCANIA-PLT-1260,4,11.1,88.1,32.4,17.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1261,4,27.7,87.5,26.9,14.4,Standard Extended Following
SCANIA-PLT-1262,2,18.2,85.3,24.5,13.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1263,3,18.2,82.8,30.3,16.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1264,2,10.2,76.1,25.1,13.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1265,3,10.7,85.9,33.2,16.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1266,3,14.3,81.2,24.9,13.6,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1267,3,24.6,94.5,23.5,13.0,Standard Extended Following
SCANIA-PLT-1268,3,13.2,80.1,24.4,14.9,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1269,2,29.6,80.5,14.2,7.7,Standard Extended Following
SCANIA-PLT-1270,2,23.2,78.1,19.0,8.4,Standard Extended Following
SCANIA-PLT-1271,2,8.6,77.0,24.5,13.0,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1272,2,24.2,86.2,19.6,10.7,Standard Extended Following
SCANIA-PLT-1273,3,29.0,92.9,21.5,11.7,Standard Extended Following
SCANIA-PLT-1274,2,33.0,84.6,17.0,8.5,Standard Extended Following
SCANIA-PLT-1275,3,28.5,79.5,22.3,11.7,Standard Extended Following
SCANIA-PLT-1276,2,11.0,90.7,26.5,14.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1277,2,31.0,91.6,13.9,8.3,Standard Extended Following
SCANIA-PLT-1278,2,24.8,90.8,18.4,9.7,Standard Extended Following
SCANIA-PLT-1279,4,45.0,76.3,14.4,9.6,Standard Extended Following
SCANIA-PLT-1280,2,37.2,91.6,12.6,7.8,Standard Extended Following
SCANIA-PLT-1281,4,18.0,90.3,30.6,16.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1282,3,22.0,75.6,24.5,12.5,Standard Extended Following
SCANIA-PLT-1283,2,30.8,76.2,16.6,9.3,Standard Extended Following
SCANIA-PLT-1284,3,36.4,92.8,18.2,10.1,Standard Extended Following
SCANIA-PLT-1285,2,33.8,77.5,15.7,8.9,Standard Extended Following
SCANIA-PLT-1286,2,39.0,87.1,12.1,6.3,Standard Extended Following
SCANIA-PLT-1287,2,44.9,85.8,9.8,4.8,Standard Extended Following
SCANIA-PLT-1288,2,9.6,89.4,25.7,13.7,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1289,2,41.2,80.1,12.2,6.1,Standard Extended Following
SCANIA-PLT-1290,2,15.6,89.8,25.6,13.2,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1291,2,35.3,85.1,13.4,7.4,Standard Extended Following
SCANIA-PLT-1292,3,28.0,91.5,20.7,12.7,Standard Extended Following
SCANIA-PLT-1293,3,26.9,85.1,23.0,12.1,Standard Extended Following
SCANIA-PLT-1294,4,43.6,78.9,20.7,11.2,Standard Extended Following
SCANIA-PLT-1295,2,35.4,86.3,15.2,7.8,Standard Extended Following
SCANIA-PLT-1296,2,34.8,79.6,12.4,7.0,Standard Extended Following
SCANIA-PLT-1297,3,31.4,92.1,20.7,10.7,Standard Extended Following
SCANIA-PLT-1298,2,18.5,83.1,21.5,12.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1299,2,35.9,86.9,13.8,7.3,Standard Extended Following
SCANIA-PLT-1300,4,22.8,94.6,29.7,16.3,Standard Extended Following
SCANIA-PLT-1301,2,37.7,76.8,13.5,6.8,Standard Extended Following
SCANIA-PLT-1302,3,14.8,88.4,29.1,15.3,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1303,2,20.5,87.5,19.4,10.7,Standard Extended Following
SCANIA-PLT-1304,2,25.5,86.9,19.2,11.1,Standard Extended Following
SCANIA-PLT-1305,2,34.6,89.9,15.2,8.4,Standard Extended Following
SCANIA-PLT-1306,3,25.3,83.9,19.9,11.5,Standard Extended Following
SCANIA-PLT-1307,2,28.4,76.0,18.7,9.9,Standard Extended Following
SCANIA-PLT-1308,3,25.0,91.8,22.8,13.1,Standard Extended Following
SCANIA-PLT-1309,3,14.3,93.2,27.7,15.4,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1310,4,24.1,90.2,26.3,14.2,Standard Extended Following
SCANIA-PLT-1311,3,31.7,77.3,21.2,11.7,Standard Extended Following
SCANIA-PLT-1312,2,36.2,93.5,12.9,6.7,Standard Extended Following
SCANIA-PLT-1313,2,12.6,82.7,25.5,14.1,Optimal Aerodynamic Drafting (<20m)
SCANIA-PLT-1314,3,31.1,80.8,20.2,11.6,Standard Extended Following
