Winter_Test_ID,Road_Incline_deg,Front_Wheel_Slip_pct,Clutch_Hydraulic_Clamp_Bar,Rear_Axle_Torque_Split_pct,AWD_Operational_Mode
SUBARU-XMODE-1021,27.3,44.2,85.0,58.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1022,22.3,21.3,73.4,55.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1023,6.6,47.2,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1024,21.4,8.5,48.8,50.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1025,8.9,15.3,45.1,49.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1026,18.7,37.9,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1027,19.2,16.8,60.4,53.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1028,16.9,35.0,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1029,8.7,16.3,51.3,51.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1030,10.5,22.7,60.2,52.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1031,18.3,42.7,85.0,59.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1032,24.8,43.6,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1033,5.7,28.9,66.2,57.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1034,15.2,11.7,45.6,48.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1035,19.4,12.4,57.3,55.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1036,13.7,27.6,72.4,57.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1037,25.8,13.9,63.7,55.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1038,11.4,33.1,78.0,59.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1039,20.6,29.5,81.8,59.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1040,21.0,42.4,85.0,59.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1041,8.1,45.2,85.0,58.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1042,26.5,42.9,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1043,21.0,34.3,85.0,59.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1044,22.0,30.2,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1045,16.4,46.8,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1046,25.6,18.2,71.8,55.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1047,20.3,6.6,44.1,51.2,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1048,9.0,40.9,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1049,21.7,19.8,68.4,56.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1050,23.0,23.6,78.7,59.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1051,18.5,24.3,74.7,56.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1052,11.7,31.4,75.8,58.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1053,7.3,16.0,44.4,53.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1054,6.9,44.8,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1055,24.8,18.2,70.5,53.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1056,22.7,35.2,85.0,59.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1057,25.8,27.6,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1058,20.5,16.6,62.7,57.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1059,10.4,45.6,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1060,9.9,41.8,85.0,59.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1061,21.7,47.5,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1062,17.5,31.5,80.2,58.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1063,8.7,39.8,85.0,58.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1064,9.5,6.5,32.7,45.7,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1065,25.2,42.6,85.0,58.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1066,27.8,34.0,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1067,6.1,23.2,58.0,55.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1068,11.6,42.1,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1069,5.5,31.9,70.4,58.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1070,12.5,24.2,65.2,57.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1071,13.6,32.0,78.8,58.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1072,22.2,34.7,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1073,25.8,6.9,56.8,53.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1074,27.7,18.2,76.6,57.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1075,19.3,46.7,85.0,59.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1076,16.7,16.1,55.4,52.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1077,22.7,4.0,47.3,51.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1078,18.3,30.1,80.9,58.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1079,7.7,29.4,71.8,57.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1080,7.6,45.9,85.0,58.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1081,7.8,23.9,57.5,53.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1082,20.6,21.2,70.9,57.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1083,19.1,7.7,48.0,53.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1084,22.3,26.0,77.5,56.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1085,9.7,24.6,61.6,55.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1086,17.7,27.9,75.5,57.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1087,16.3,29.3,79.3,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1088,5.7,45.1,85.0,56.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1089,11.2,37.5,84.6,59.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1090,12.1,39.0,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1091,17.6,14.2,57.4,54.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1092,15.7,46.9,85.0,59.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1093,17.8,7.1,45.7,51.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1094,25.5,20.7,75.8,59.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1095,17.8,26.9,76.9,58.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1096,16.8,31.4,83.1,59.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1097,14.3,26.8,70.5,52.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1098,13.8,15.8,52.2,50.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1099,23.4,46.1,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1100,22.8,38.2,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1101,12.2,12.6,46.0,51.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1102,7.9,22.6,60.3,56.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1103,10.5,22.0,58.0,53.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1104,16.0,33.0,81.7,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1105,20.4,26.4,80.7,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1106,15.1,12.7,45.8,51.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1107,19.8,26.2,77.7,58.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1108,14.0,24.1,70.1,59.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1109,20.0,41.9,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1110,25.6,46.5,85.0,58.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1111,5.8,30.3,69.3,56.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1112,8.9,23.5,63.5,55.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1113,23.1,37.6,85.0,59.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1114,22.1,3.5,47.1,49.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1115,25.8,8.1,57.1,53.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1116,10.6,9.9,40.6,47.5,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1117,6.3,4.7,25.1,49.9,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1118,21.8,24.8,81.2,57.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1119,5.9,29.5,64.1,52.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1120,23.9,7.7,54.7,52.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1121,16.6,41.2,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1122,10.7,31.8,77.5,59.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1123,8.5,8.9,37.5,49.0,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1124,11.1,16.8,53.3,50.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1125,16.6,8.7,47.3,55.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1126,21.3,14.6,61.8,53.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1127,20.0,42.0,85.0,57.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1128,13.0,43.8,85.0,59.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1129,6.8,34.8,75.4,58.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1130,15.9,21.5,67.4,57.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1131,14.5,44.5,85.0,58.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1132,14.6,10.7,48.7,51.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1133,27.8,41.1,85.0,59.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1134,24.2,44.0,85.0,58.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1135,24.9,25.0,80.8,57.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1136,26.6,21.1,77.5,58.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1137,12.6,38.9,85.0,59.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1138,24.2,34.0,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1139,16.7,18.7,60.7,56.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1140,7.2,29.6,71.3,54.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1141,18.7,24.1,72.4,58.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1142,9.9,33.1,74.4,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1143,12.7,14.3,50.9,52.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1144,8.0,5.1,26.9,45.7,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1145,26.8,26.1,83.3,56.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1146,19.7,25.7,74.3,58.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1147,26.0,15.6,68.4,57.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1148,25.5,28.7,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1149,26.0,46.1,85.0,58.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1150,25.1,27.9,84.9,58.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1151,16.1,43.9,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1152,10.8,9.6,41.6,47.9,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1153,9.3,12.5,43.9,51.2,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1154,10.4,38.3,85.0,59.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1155,9.7,12.8,45.4,51.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1156,14.3,14.8,54.2,51.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1157,6.6,30.7,71.9,58.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1158,24.6,17.4,65.7,58.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1159,19.5,32.3,84.2,59.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1160,24.9,29.9,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1161,11.7,19.7,58.3,53.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1162,8.6,15.9,48.8,51.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1163,23.5,4.8,47.8,53.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1164,22.1,33.6,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1165,9.6,36.5,81.5,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1166,8.6,9.3,36.0,50.6,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1167,23.8,9.6,58.7,53.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1168,8.7,20.9,55.1,51.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1169,16.5,9.8,48.0,51.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1170,22.0,13.7,57.5,55.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1171,7.2,12.3,39.0,50.0,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1172,12.2,26.9,71.4,56.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1173,21.5,44.0,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1174,11.5,47.3,85.0,57.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1175,5.5,46.0,85.0,58.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1176,10.0,9.8,39.8,46.6,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1177,11.4,37.1,81.1,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1178,23.8,39.9,85.0,58.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1179,23.6,43.5,85.0,58.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1180,6.6,40.8,85.0,59.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1181,6.0,22.0,55.7,52.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1182,24.5,29.8,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1183,17.3,38.7,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1184,12.7,24.9,68.7,54.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1185,12.0,9.8,41.9,48.3,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1186,12.0,44.1,85.0,59.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1187,15.6,21.0,65.9,56.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1188,7.1,33.3,70.5,55.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1189,16.3,24.3,69.8,57.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1190,18.1,19.6,68.6,57.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1191,20.8,42.3,85.0,58.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1192,12.4,5.2,34.4,47.6,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1193,25.3,22.4,78.2,56.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1194,23.1,36.4,85.0,57.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1195,8.0,43.6,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1196,7.4,33.3,75.1,58.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1197,7.5,13.8,43.1,50.7,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1198,6.2,45.1,85.0,56.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1199,5.4,41.2,83.8,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1200,23.5,38.3,85.0,58.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1201,6.8,12.2,39.9,52.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1202,15.5,29.3,80.8,56.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1203,17.0,44.8,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1204,8.3,20.4,54.6,54.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1205,13.9,36.3,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1206,11.1,17.1,55.2,52.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1207,21.4,10.5,52.8,51.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1208,15.3,20.3,65.1,55.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1209,18.3,35.3,85.0,58.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1210,13.9,9.8,44.5,50.8,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1211,7.1,39.6,85.0,59.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1212,21.7,38.8,85.0,58.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1213,10.3,45.8,85.0,58.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1214,18.9,30.3,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1215,27.4,44.6,85.0,58.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1216,26.4,10.7,59.6,53.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1217,20.5,4.6,45.5,50.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1218,18.9,3.7,40.7,50.3,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1219,27.5,13.9,69.2,57.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1220,7.0,11.6,38.1,49.3,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1221,24.0,34.0,85.0,58.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1222,7.5,41.6,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1223,22.1,41.7,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1224,25.9,20.7,74.4,56.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1225,25.6,34.9,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1226,9.3,28.1,66.3,55.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1227,18.2,40.2,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1228,20.0,8.9,50.5,50.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1229,21.8,16.1,67.5,57.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1230,13.4,29.9,76.3,59.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1231,6.7,7.2,28.6,45.4,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1232,24.3,44.1,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1233,22.7,29.8,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1234,8.6,8.8,35.5,47.8,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1235,5.8,41.0,81.1,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1236,22.4,15.8,65.9,57.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1237,13.2,21.5,61.2,52.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1238,12.0,40.8,85.0,59.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1239,24.5,39.5,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1240,22.4,35.6,85.0,59.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1241,16.3,14.5,53.4,53.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1242,15.8,36.7,84.9,58.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1243,24.4,41.3,85.0,58.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1244,15.6,34.4,84.2,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1245,5.1,38.1,82.8,59.4,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1246,9.8,32.9,80.3,58.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1247,14.4,6.7,39.5,48.4,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1248,22.7,22.0,75.4,58.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1249,14.1,30.7,76.1,59.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1250,13.2,24.3,67.6,55.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1251,8.4,42.6,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1252,5.4,5.7,26.2,46.2,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1253,21.6,25.4,80.0,59.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1254,17.1,37.5,85.0,59.1,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1255,18.7,6.0,46.5,50.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1256,11.1,8.7,41.8,51.7,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1257,24.7,11.2,58.5,52.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1258,25.5,37.5,85.0,58.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1259,19.6,10.1,52.1,52.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1260,11.5,8.5,38.8,49.7,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1261,21.4,16.7,63.7,55.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1262,16.3,39.6,85.0,59.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1263,10.5,39.0,85.0,56.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1264,7.7,12.6,47.2,52.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1265,9.7,47.8,85.0,59.7,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1266,18.7,10.8,53.0,54.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1267,18.5,30.2,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1268,26.9,5.0,49.7,51.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1269,10.4,12.7,44.2,51.2,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1270,6.9,42.4,85.0,59.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1271,14.8,30.4,72.7,58.2,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1272,14.8,45.8,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1273,27.5,44.2,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1274,22.8,14.1,61.1,51.8,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1275,8.9,25.3,60.9,55.6,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1276,25.8,12.0,63.6,54.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1277,14.9,32.8,80.8,56.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1278,15.4,13.3,54.7,53.3,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1279,11.3,14.7,49.4,50.5,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1280,18.7,29.7,80.8,58.9,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1281,9.1,43.1,85.0,60.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1282,14.7,5.5,39.8,49.4,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1283,20.4,42.1,85.0,58.0,X-Mode Deep Snow Traction Lock
SUBARU-XMODE-1284,13.1,8.9,42.1,47.3,Standard All-Wheel Drive Split (60:40)
SUBARU-XMODE-1285,14.5,18.7,59.8,55.5,X-Mode Deep Snow Traction Lock
