Thermal_Run_ID,Ambient_Temp_C,Refrigerant_Discharge_Bar,Condenser_Subcooling_K,Heating_Coefficient_COP,Cabin_Heat_Range_Penalty_pct,Heat_Pump_State
DENSO-HP-1036,-14.2,14.1,9.3,3.34,12.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1037,12.6,27.3,5.9,3.59,10.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1038,0.6,24.0,7.6,3.56,14.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1039,2.8,23.3,5.1,2.83,14.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1040,4.0,24.2,9.1,3.8,10.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1041,-9.2,18.5,4.5,2.55,18.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1042,13.2,31.1,9.8,3.8,11.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1043,4.9,25.1,5.6,3.25,10.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1044,-11.1,18.0,8.4,3.28,13.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1045,0.3,21.5,4.1,2.49,17.8,Standard PTC Resistive Assist
DENSO-HP-1046,6.1,25.7,6.6,3.56,11.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1047,1.8,23.5,4.5,2.91,14.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1048,-13.7,17.4,5.4,2.42,19.0,Standard PTC Resistive Assist
DENSO-HP-1049,7.0,27.4,9.7,3.8,11.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1050,11.6,29.3,7.4,3.56,10.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1051,11.2,29.1,7.5,3.8,9.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1052,11.8,27.6,5.8,3.46,12.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1053,1.9,23.3,8.0,3.65,9.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1054,-17.4,14.4,9.9,3.63,11.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1055,3.8,23.9,4.5,2.97,15.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1056,-17.1,17.2,4.3,2.22,18.7,Standard PTC Resistive Assist
DENSO-HP-1057,5.8,25.1,8.3,3.73,8.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1058,10.1,28.5,8.7,3.8,8.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1059,9.5,27.8,7.2,3.62,9.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1060,-6.0,18.8,4.7,2.59,17.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1061,-7.2,19.8,5.0,2.67,18.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1062,-9.8,17.0,4.6,2.44,17.7,Standard PTC Resistive Assist
DENSO-HP-1063,-0.8,22.0,3.8,2.69,16.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1064,8.8,26.9,8.1,3.8,8.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1065,0.1,23.0,6.5,3.08,14.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1066,7.3,28.7,4.1,2.93,13.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1067,6.4,25.5,8.7,3.8,10.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1068,7.6,26.3,7.3,3.55,11.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1069,4.3,26.9,4.0,2.71,16.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1070,-1.6,21.9,9.6,3.8,10.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1071,-13.9,16.3,8.5,3.52,11.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1072,10.6,27.2,4.1,2.82,16.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1073,-16.8,14.7,4.9,2.74,17.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1074,-1.5,21.9,8.0,3.43,12.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1075,-10.9,17.7,7.0,3.18,15.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1076,1.9,22.1,9.2,3.8,10.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1077,14.1,29.1,3.6,2.88,16.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1078,8.3,26.0,6.1,3.26,12.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1079,14.1,30.0,7.4,3.8,11.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1080,5.0,27.1,3.8,2.68,15.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1081,-16.6,15.8,5.3,2.58,16.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1082,3.1,24.8,4.0,2.68,18.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1083,6.6,25.4,8.1,3.69,10.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1084,-14.2,13.7,7.8,3.16,12.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1085,1.2,22.8,4.7,2.83,17.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1086,-13.4,17.0,6.6,2.97,16.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1087,-12.5,17.2,8.8,3.59,10.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1088,-13.2,17.8,8.9,3.37,13.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1089,13.0,28.6,7.7,3.8,10.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1090,-8.6,18.5,7.3,3.23,13.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1091,9.8,25.4,6.3,3.68,10.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1092,14.9,29.8,3.5,2.89,14.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1093,-17.7,15.2,8.2,3.14,14.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1094,-1.1,23.9,8.1,3.65,10.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1095,-13.7,17.3,7.3,3.21,11.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1096,13.2,28.5,9.9,3.8,12.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1097,-1.8,21.9,7.0,3.36,11.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1098,-2.9,21.6,6.2,2.88,16.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1099,14.6,30.0,7.8,3.8,8.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1100,-6.7,18.9,4.6,2.54,17.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1101,-4.2,21.5,7.2,3.3,14.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1102,-8.4,19.1,9.7,3.64,11.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1103,6.2,26.1,9.5,3.8,10.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1104,-14.9,15.3,6.9,2.61,16.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1105,8.5,27.4,9.9,3.8,11.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1106,-15.9,14.5,6.5,2.75,17.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1107,4.8,25.6,9.1,3.8,9.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1108,-3.2,21.9,8.4,3.67,11.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1109,-14.1,16.5,6.0,2.68,16.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1110,1.1,21.9,4.7,2.63,15.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1111,-6.0,19.8,5.3,2.87,13.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1112,1.0,23.4,5.4,3.03,12.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1113,9.1,28.2,5.4,3.32,13.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1114,-5.6,20.3,5.4,2.83,16.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1115,-15.2,16.6,6.8,2.59,18.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1116,-0.3,23.0,8.0,3.68,10.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1117,-11.0,17.0,8.2,3.35,13.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1118,-14.8,16.1,7.1,2.82,13.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1119,-15.7,17.0,5.4,2.46,19.7,Standard PTC Resistive Assist
DENSO-HP-1120,-13.0,17.6,5.2,2.55,17.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1121,-9.6,20.8,5.2,2.66,17.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1122,10.2,26.6,9.0,3.8,8.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1123,-15.3,14.9,8.9,3.28,12.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1124,-8.7,17.8,5.7,2.9,15.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1125,1.5,25.9,7.8,3.62,12.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1126,-14.5,16.4,6.0,2.55,15.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1127,-14.8,18.4,8.2,3.03,15.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1128,15.0,27.3,5.9,3.41,14.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1129,7.1,26.5,7.4,3.62,10.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1130,-15.5,14.8,9.1,3.11,14.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1131,10.8,27.4,7.5,3.8,10.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1132,-15.2,17.2,9.9,3.38,12.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1133,-9.4,20.3,9.4,3.6,13.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1134,-9.9,19.0,4.4,2.54,16.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1135,-8.5,20.3,5.2,2.75,16.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1136,-0.9,23.4,9.8,3.8,9.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1137,8.2,25.8,7.0,3.69,10.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1138,-11.8,17.2,10.0,3.69,10.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1139,-10.5,18.6,7.5,3.28,12.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1140,8.0,25.8,5.3,3.06,15.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1141,-5.9,19.1,4.1,2.41,15.7,Standard PTC Resistive Assist
DENSO-HP-1142,10.1,27.9,9.6,3.8,8.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1143,-9.7,19.4,7.2,3.25,15.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1144,13.8,29.3,5.2,3.36,12.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1145,-10.4,17.6,8.9,3.34,12.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1146,13.6,29.8,5.6,3.32,13.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1147,13.5,29.2,6.7,3.59,9.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1148,4.0,25.2,3.5,2.68,15.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1149,-3.1,21.1,3.7,2.45,17.5,Standard PTC Resistive Assist
DENSO-HP-1150,5.1,23.7,6.9,3.41,13.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1151,-12.7,18.5,7.4,3.1,16.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1152,6.3,23.3,5.7,3.16,14.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1153,-7.9,21.7,6.0,2.93,15.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1154,-11.9,17.3,7.0,3.03,13.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1155,6.8,26.7,9.6,3.8,7.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1156,7.8,28.1,4.1,3.2,13.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1157,-4.2,21.7,6.7,2.99,14.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1158,-10.9,17.8,4.8,2.67,17.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1159,4.6,25.8,7.5,3.67,10.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1160,15.0,29.9,6.5,3.7,8.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1161,-7.1,20.8,8.6,3.63,10.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1162,8.6,28.2,7.7,3.72,12.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1163,1.6,23.1,5.0,2.93,16.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1164,5.0,23.5,4.5,3.13,13.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1165,3.7,22.3,9.7,3.8,10.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1166,-7.3,18.7,5.3,2.91,14.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1167,2.6,23.6,9.9,3.8,11.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1168,-10.1,20.4,9.4,3.48,10.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1169,4.2,25.5,4.4,3.04,13.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1170,11.3,26.9,8.8,3.8,7.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1171,2.6,24.0,9.8,3.8,10.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1172,1.2,23.2,9.2,3.8,11.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1173,-1.5,22.2,8.8,3.8,9.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1174,-6.1,19.2,6.7,3.07,13.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1175,-13.2,15.6,7.8,2.98,12.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1176,6.3,24.6,7.2,3.41,11.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1177,13.2,29.0,3.6,2.8,16.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1178,3.1,24.5,7.9,3.77,10.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1179,4.0,23.8,5.5,3.04,12.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1180,-6.1,19.9,4.4,2.72,16.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1181,7.1,26.8,5.8,3.51,14.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1182,-9.2,19.3,4.4,2.26,18.4,Standard PTC Resistive Assist
DENSO-HP-1183,14.5,29.3,9.8,3.8,10.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1184,-1.7,22.4,7.5,3.31,14.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1185,14.4,29.1,8.1,3.8,10.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1186,-17.8,16.2,8.7,3.24,13.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1187,-0.3,22.1,8.9,3.8,10.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1188,2.3,23.3,4.4,2.73,16.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1189,-13.4,18.5,7.4,2.95,14.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1190,-1.8,24.1,4.5,2.69,14.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1191,10.0,28.8,4.5,3.09,11.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1192,-0.6,20.5,3.8,2.58,20.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1193,-1.6,22.6,8.6,3.45,12.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1194,-12.6,16.8,5.8,2.46,16.1,Standard PTC Resistive Assist
DENSO-HP-1195,-10.7,17.8,6.7,3.0,15.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1196,-16.5,15.6,9.3,3.36,13.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1197,-1.1,23.0,3.8,2.73,16.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1198,-1.3,20.8,4.6,2.44,19.1,Standard PTC Resistive Assist
DENSO-HP-1199,9.2,26.9,8.6,3.8,9.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1200,-0.5,22.8,6.1,2.92,15.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1201,-14.3,15.8,8.2,3.07,14.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1202,13.2,28.2,4.9,3.16,15.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1203,-7.2,20.0,5.7,2.86,16.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1204,-13.3,16.7,7.1,2.95,14.0,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1205,-15.2,15.6,3.6,2.03,21.3,Standard PTC Resistive Assist
DENSO-HP-1206,4.2,24.6,5.6,3.33,10.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1207,0.6,24.7,5.9,3.09,13.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1208,-14.5,17.1,9.3,3.3,11.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1209,-14.4,15.0,5.0,2.55,17.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1210,10.1,29.4,8.6,3.8,8.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1211,12.7,28.7,7.4,3.8,10.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1212,8.1,27.4,9.2,3.8,9.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1213,-11.7,17.6,8.0,3.29,13.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1214,-2.7,23.7,7.3,3.27,13.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1215,14.4,28.9,7.5,3.8,11.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1216,-6.2,19.5,9.7,3.8,8.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1217,-2.8,21.2,5.9,3.09,13.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1218,-8.9,20.2,6.9,2.81,15.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1219,-6.1,22.7,4.1,2.57,17.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1220,-3.1,20.9,10.0,3.8,10.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1221,-12.7,16.3,4.1,2.45,15.3,Standard PTC Resistive Assist
DENSO-HP-1222,-9.7,18.7,5.1,2.6,17.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1223,13.9,29.2,8.1,3.8,10.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1224,9.1,26.5,5.8,3.2,14.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1225,3.8,24.3,9.6,3.8,10.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1226,-6.1,22.3,4.2,2.54,18.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1227,-12.4,17.5,9.0,3.59,12.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1228,-5.5,20.4,7.0,3.0,15.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1229,-10.5,17.5,3.9,2.41,16.1,Standard PTC Resistive Assist
DENSO-HP-1230,6.6,25.8,7.0,3.42,12.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1231,-4.6,19.2,9.6,3.8,11.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1232,-7.6,19.3,4.9,2.67,15.6,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1233,-11.1,17.1,7.9,3.29,14.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1234,-3.5,20.6,4.1,2.71,16.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1235,7.6,25.7,7.8,3.77,8.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1236,-2.3,22.1,8.4,3.61,10.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1237,-4.9,21.8,4.2,2.49,19.1,Standard PTC Resistive Assist
DENSO-HP-1238,-12.2,18.2,5.7,2.74,18.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1239,13.9,27.6,8.5,3.8,9.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1240,-11.4,16.7,6.0,2.66,16.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1241,4.5,23.0,6.4,3.26,11.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1242,11.1,27.2,7.7,3.8,8.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1243,13.1,27.5,7.9,3.8,10.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1244,14.0,27.7,9.3,3.8,8.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1245,-12.7,18.0,9.7,3.7,9.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1246,9.6,29.0,9.5,3.8,7.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1247,6.1,25.3,9.6,3.8,10.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1248,-16.1,17.4,8.2,3.28,14.8,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1249,-3.1,21.5,6.4,2.98,15.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1250,11.6,26.7,4.0,3.2,13.4,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1251,8.5,26.7,8.3,3.8,10.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1252,-7.6,20.7,7.3,3.12,12.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1253,-13.5,16.9,3.7,2.06,21.7,Standard PTC Resistive Assist
DENSO-HP-1254,-10.3,18.2,6.4,2.93,15.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1255,-1.9,20.8,8.1,3.53,12.7,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1256,-11.5,18.1,6.1,2.88,14.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1257,15.0,29.5,7.6,3.8,9.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1258,-9.5,19.1,4.3,2.56,18.3,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1259,10.8,27.0,9.0,3.8,10.5,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1260,-11.9,16.6,6.3,2.78,14.2,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1261,10.6,30.1,5.5,3.25,11.9,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1262,10.7,28.4,8.2,3.8,11.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1263,6.0,24.9,8.4,3.8,11.1,High-Efficiency Subcooling (COP >2.5)
DENSO-HP-1264,-4.7,20.6,5.2,2.74,17.6,High-Efficiency Subcooling (COP >2.5)
