Driveline_Run_ID,Driveshaft_Speed_RPM,Driveline_Torque_Nm,Torsional_Vibration_G,Dynamic_Damping_Stiffness,Driveline_Smoothness
ALFA-GIORGIO-1137,2927,258.9,0.232,1566.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1138,5901,310.7,0.341,1440.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1139,7178,234.2,0.403,1319.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1140,2417,517.8,0.35,1355.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1141,4266,207.0,0.301,1350.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1142,6929,265.6,0.436,1284.2,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1143,4962,382.0,0.329,1375.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1144,2079,489.2,0.227,1484.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1145,4398,460.7,0.327,1394.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1146,4989,275.5,0.314,1382.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1147,5725,303.5,0.408,1322.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1148,5887,529.4,0.419,1244.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1149,2985,572.7,0.347,1410.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1150,2064,595.1,0.307,1419.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1151,7068,170.6,0.376,1369.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1152,2559,214.0,0.204,1565.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1153,5748,415.1,0.437,1271.1,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1154,1701,453.0,0.194,1643.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1155,5649,160.5,0.329,1356.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1156,2739,591.8,0.275,1444.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1157,3785,347.2,0.318,1420.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1158,4705,483.5,0.402,1259.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1159,4525,192.5,0.304,1398.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1160,5206,563.4,0.428,1323.4,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1161,6889,180.3,0.383,1397.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1162,3370,468.3,0.378,1296.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1163,4270,156.7,0.265,1521.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1164,1748,344.4,0.178,1641.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1165,6832,335.3,0.426,1303.3,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1166,4254,254.1,0.313,1495.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1167,6519,249.9,0.342,1440.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1168,4189,177.6,0.223,1583.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1169,2322,596.1,0.339,1392.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1170,3294,489.0,0.287,1474.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1171,3171,256.8,0.24,1482.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1172,5986,583.8,0.414,1306.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1173,7448,203.6,0.427,1248.1,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1174,5161,172.1,0.321,1379.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1175,7440,275.7,0.408,1311.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1176,6894,447.0,0.449,1199.2,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1177,3767,325.3,0.26,1441.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1178,3909,563.6,0.316,1425.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1179,2718,328.3,0.235,1522.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1180,4273,380.6,0.342,1373.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1181,2367,461.8,0.281,1425.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1182,3991,498.6,0.358,1384.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1183,1868,568.1,0.299,1394.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1184,4389,590.0,0.39,1387.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1185,2140,272.7,0.24,1538.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1186,4229,336.3,0.332,1356.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1187,2493,444.2,0.284,1411.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1188,4472,232.7,0.291,1399.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1189,1991,550.5,0.292,1470.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1190,1613,195.2,0.173,1569.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1191,5999,165.0,0.37,1331.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1192,5632,527.5,0.442,1280.4,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1193,5168,368.6,0.396,1321.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1194,5727,158.1,0.331,1371.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1195,5555,450.1,0.375,1329.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1196,5345,569.8,0.396,1339.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1197,6367,338.9,0.396,1256.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1198,7069,520.8,0.44,1250.3,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1199,6326,340.2,0.366,1452.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1200,1813,253.5,0.196,1630.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1201,3662,405.3,0.359,1400.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1202,2618,421.8,0.279,1441.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1203,5685,415.8,0.374,1374.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1204,5501,188.2,0.32,1388.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1205,3354,412.9,0.31,1486.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1206,5477,313.7,0.359,1355.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1207,5610,418.4,0.411,1311.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1208,1836,537.8,0.337,1368.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1209,6786,424.3,0.424,1231.5,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1210,1997,230.4,0.226,1560.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1211,2872,452.9,0.297,1460.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1212,3705,308.6,0.313,1406.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1213,4875,230.4,0.323,1367.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1214,4365,229.9,0.295,1479.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1215,4416,330.9,0.322,1395.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1216,4987,410.8,0.392,1313.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1217,6621,164.7,0.392,1352.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1218,6853,246.7,0.38,1380.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1219,2720,220.8,0.223,1571.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1220,4361,403.8,0.331,1438.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1221,4564,422.0,0.328,1403.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1222,4029,443.3,0.287,1506.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1223,3568,402.6,0.323,1370.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1224,2175,376.9,0.235,1533.8,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1225,5760,185.0,0.371,1355.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1226,6168,255.4,0.348,1434.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1227,1570,233.9,0.237,1543.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1228,6687,222.9,0.375,1411.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1229,5046,507.1,0.427,1308.7,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1230,4777,359.9,0.329,1408.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1231,4305,174.8,0.29,1433.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1232,6532,578.6,0.479,1181.7,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1233,5511,513.6,0.384,1316.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1234,1558,253.4,0.148,1619.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1235,6013,284.8,0.343,1310.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1236,1831,179.6,0.196,1589.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1237,1714,544.2,0.295,1456.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1238,6831,172.2,0.401,1286.9,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1239,3972,429.3,0.359,1375.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1240,5253,390.8,0.355,1354.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1241,1999,541.3,0.28,1456.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1242,3076,303.5,0.242,1520.3,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1243,6216,577.3,0.471,1244.7,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1244,3587,469.7,0.301,1515.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1245,5638,236.4,0.359,1344.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1246,7500,211.9,0.431,1276.7,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1247,5938,294.7,0.381,1339.4,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1248,4110,495.3,0.378,1342.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1249,4904,241.7,0.34,1373.1,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1250,3458,564.2,0.354,1444.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1251,5624,168.1,0.353,1367.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1252,6775,218.4,0.422,1267.0,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1253,2040,250.8,0.223,1544.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1254,1930,483.8,0.299,1480.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1255,6116,401.6,0.364,1415.7,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1256,3540,156.2,0.245,1461.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1257,2852,469.1,0.242,1603.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1258,4595,553.2,0.343,1424.6,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1259,2656,528.5,0.324,1407.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1260,6820,313.8,0.343,1410.5,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1261,6246,484.8,0.464,1269.7,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1262,6532,522.9,0.487,1197.9,Torsional Resonance Detected / Damper Sizing
ALFA-GIORGIO-1263,6695,475.1,0.402,1338.2,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1264,7163,263.7,0.371,1359.0,Nominal Carbon-Fiber Driveline Balance
ALFA-GIORGIO-1265,1736,442.5,0.285,1473.6,Nominal Carbon-Fiber Driveline Balance
