Monocoque_Scan_ID,Ultrasonic_Probe_Freq_MHz,Acoustic_Attenuation_dB_mm,Resin_Void_Content_pct,Chassis_Torsional_Rigidity_kNm_deg,Composite_Quality
PAGANI-UTOPIA-1033,6.8,0.46,0.29,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1034,7.1,0.81,0.55,50.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1035,7.7,0.48,0.28,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1036,4.2,0.63,0.35,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1037,10.1,0.48,0.18,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1038,8.5,0.45,0.29,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1039,4.1,0.57,0.25,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1040,9.8,0.86,0.59,49.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1041,3.7,0.54,0.26,53.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1042,7.7,0.87,0.64,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1043,7.8,0.51,0.43,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1044,11.4,0.46,0.37,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1045,11.6,0.49,0.38,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1046,8.2,0.61,0.44,54.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1047,5.5,0.8,0.33,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1048,5.5,0.64,0.32,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1049,11.2,0.45,0.2,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1050,10.3,0.75,0.45,53.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1051,5.7,0.49,0.27,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1052,7.8,0.46,0.37,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1053,9.2,1.49,1.16,50.4,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1054,5.0,0.61,0.37,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1055,8.4,0.51,0.3,53.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1056,5.0,0.49,0.35,54.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1057,9.9,0.52,0.31,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1058,8.8,0.56,0.35,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1059,7.4,0.83,0.55,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1060,4.5,0.48,0.27,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1061,4.1,0.57,0.29,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1062,6.9,0.5,0.46,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1063,8.0,0.64,0.42,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1064,5.6,0.46,0.33,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1065,7.0,0.89,0.57,50.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1066,10.4,0.57,0.38,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1067,6.5,1.0,0.76,50.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1068,7.8,1.04,0.69,50.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1069,6.7,0.87,0.59,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1070,5.0,0.84,0.47,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1071,7.9,0.56,0.4,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1072,4.3,0.82,0.49,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1073,5.3,0.74,0.44,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1074,10.9,0.65,0.45,53.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1075,9.8,0.53,0.25,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1076,10.5,0.93,0.53,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1077,6.1,0.6,0.2,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1078,7.4,0.59,0.5,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1079,4.0,0.66,0.39,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1080,9.1,1.11,0.77,50.8,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1081,3.8,0.79,0.46,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1082,6.2,0.61,0.49,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1083,5.4,0.71,0.36,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1084,11.0,0.73,0.44,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1085,9.4,0.46,0.22,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1086,10.3,0.64,0.36,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1087,4.9,0.65,0.57,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1088,6.5,0.83,0.57,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1089,6.8,0.82,0.58,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1090,7.6,0.56,0.49,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1091,7.4,0.59,0.3,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1092,5.4,0.58,0.29,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1093,4.9,0.56,0.43,53.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1094,10.6,0.78,0.46,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1095,10.5,0.46,0.27,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1096,6.9,0.55,0.35,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1097,10.3,0.52,0.25,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1098,5.0,0.61,0.42,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1099,7.4,0.81,0.52,50.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1100,11.0,0.55,0.39,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1101,5.9,0.66,0.44,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1102,10.7,1.26,0.77,49.8,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1103,4.4,0.46,0.47,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1104,7.7,0.69,0.48,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1105,8.7,0.5,0.28,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1106,8.9,0.53,0.41,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1107,5.5,0.53,0.35,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1108,6.5,0.49,0.33,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1109,7.4,0.47,0.24,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1110,7.6,0.46,0.35,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1111,9.5,0.57,0.46,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1112,8.9,1.43,0.81,50.5,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1113,4.3,0.71,0.42,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1114,8.4,0.81,0.46,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1115,10.6,1.06,0.71,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1116,5.4,0.48,0.36,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1117,8.2,0.48,0.47,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1118,4.6,0.64,0.37,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1119,11.3,0.95,0.66,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1120,10.6,0.79,0.49,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1121,5.7,0.84,0.56,49.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1122,7.6,0.47,0.3,53.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1123,7.5,0.53,0.32,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1124,4.6,0.61,0.32,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1125,8.6,0.57,0.36,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1126,7.5,0.46,0.26,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1127,6.1,1.16,0.86,49.9,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1128,10.4,0.54,0.37,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1129,10.0,0.46,0.19,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1130,7.9,0.58,0.43,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1131,3.8,1.18,0.71,51.7,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1132,4.1,0.75,0.45,50.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1133,8.4,0.47,0.32,53.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1134,5.7,0.66,0.38,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1135,5.8,0.55,0.35,53.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1136,6.4,0.92,0.51,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1137,10.0,0.76,0.49,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1138,11.3,0.5,0.4,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1139,6.4,0.63,0.39,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1140,8.6,0.94,0.46,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1141,7.3,0.63,0.41,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1142,11.3,1.0,0.58,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1143,11.5,0.51,0.43,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1144,10.3,0.65,0.56,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1145,7.8,0.56,0.36,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1146,6.3,0.67,0.36,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1147,8.9,0.6,0.47,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1148,7.4,0.82,0.36,53.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1149,10.4,0.55,0.3,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1150,4.0,0.49,0.4,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1151,5.3,0.73,0.42,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1152,10.3,1.36,0.9,48.6,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1153,8.2,0.64,0.46,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1154,9.7,0.76,0.45,53.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1155,5.0,0.87,0.52,50.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1156,9.1,0.52,0.42,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1157,7.3,0.47,0.3,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1158,9.4,0.6,0.28,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1159,3.9,0.69,0.51,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1160,10.1,1.06,0.43,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1161,4.4,0.46,0.35,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1162,8.7,0.62,0.38,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1163,11.2,0.76,0.4,53.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1164,10.0,0.47,0.25,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1165,10.3,0.51,0.42,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1166,8.7,0.5,0.17,55.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1167,7.6,1.06,0.72,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1168,11.0,0.73,0.47,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1169,4.4,0.65,0.41,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1170,8.2,0.91,0.47,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1171,9.9,0.55,0.37,53.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1172,5.6,0.65,0.44,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1173,6.8,0.64,0.36,53.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1174,3.7,0.51,0.34,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1175,6.6,0.47,0.35,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1176,3.8,0.77,0.56,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1177,10.5,0.64,0.36,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1178,6.2,0.47,0.25,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1179,5.9,0.48,0.32,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1180,9.0,0.8,0.49,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1181,8.0,0.52,0.42,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1182,8.5,0.92,0.56,50.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1183,3.5,0.82,0.46,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1184,11.7,0.64,0.4,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1185,6.6,0.68,0.5,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1186,10.4,1.01,0.69,50.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1187,7.0,0.56,0.52,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1188,8.4,0.83,0.61,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1189,3.7,0.51,0.39,54.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1190,10.3,0.46,0.23,53.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1191,4.3,0.77,0.52,50.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1192,9.9,0.81,0.46,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1193,3.9,0.54,0.29,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1194,3.9,0.62,0.47,50.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1195,10.5,0.47,0.16,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1196,9.7,0.97,0.58,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1197,7.6,0.82,0.56,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1198,5.0,0.96,0.64,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1199,9.8,0.99,0.68,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1200,11.2,0.7,0.74,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1201,9.4,0.68,0.48,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1202,7.7,0.6,0.33,53.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1203,4.3,0.53,0.29,53.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1204,7.8,0.47,0.34,53.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1205,5.0,1.0,0.68,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1206,5.8,0.54,0.21,53.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1207,9.7,0.77,0.39,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1208,4.7,0.81,0.59,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1209,7.5,0.7,0.51,53.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1210,9.4,0.71,0.47,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1211,9.4,0.51,0.26,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1212,5.5,0.63,0.43,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1213,8.1,0.46,0.29,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1214,11.4,0.96,0.53,50.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1215,4.2,0.47,0.23,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1216,10.9,0.46,0.27,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1217,3.6,0.58,0.34,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1218,10.6,0.78,0.33,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1219,11.9,0.61,0.42,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1220,8.3,0.51,0.26,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1221,9.0,0.91,0.61,50.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1222,11.9,0.47,0.47,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1223,4.9,1.02,0.51,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1224,4.6,0.57,0.3,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1225,8.1,0.67,0.43,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1226,9.1,0.56,0.38,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1227,4.2,0.47,0.36,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1228,4.9,0.65,0.42,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1229,7.9,0.56,0.35,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1230,4.7,1.27,0.83,50.5,Composite Micro-Delamination Defect
PAGANI-UTOPIA-1231,10.6,0.64,0.46,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1232,7.3,0.64,0.39,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1233,7.3,0.52,0.3,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1234,10.2,0.88,0.59,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1235,8.9,0.64,0.47,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1236,11.9,0.72,0.47,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1237,11.1,0.72,0.34,53.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-1238,10.1,0.48,0.3,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
