Trip_ID,Hard_Braking_Count,Acceleration_Smoothness,Cornering_Force_G,Average_Speed_kmh,Cluster,Driver_Category
TRIP-10072,0,1.57,0.182,56.9,2,High-Risk (Aggressive)
TRIP-10073,3,2.75,0.331,67.5,0,Eco-Friendly (Safe)
TRIP-10074,1,1.92,0.31,74.9,0,Eco-Friendly (Safe)
TRIP-10075,3,2.53,0.172,46.0,2,High-Risk (Aggressive)
TRIP-10076,4,3.13,0.195,68.8,0,Eco-Friendly (Safe)
TRIP-10077,1,1.07,0.179,51.2,2,High-Risk (Aggressive)
TRIP-10078,0,0.81,0.085,46.2,2,High-Risk (Aggressive)
TRIP-10079,5,3.74,0.268,70.4,0,Eco-Friendly (Safe)
TRIP-10080,8,4.36,0.444,103.1,1,Standard Commuter
TRIP-10081,4,1.14,0.316,70.7,0,Eco-Friendly (Safe)
TRIP-10082,9,3.98,0.812,73.7,1,Standard Commuter
TRIP-10083,1,2.69,0.274,67.5,0,Eco-Friendly (Safe)
TRIP-10084,0,1.0,0.208,47.9,2,High-Risk (Aggressive)
TRIP-10085,6,4.15,0.487,87.1,1,Standard Commuter
TRIP-10086,1,2.51,0.258,68.7,0,Eco-Friendly (Safe)
TRIP-10087,6,4.9,0.563,84.6,1,Standard Commuter
TRIP-10088,1,0.96,0.172,40.9,2,High-Risk (Aggressive)
TRIP-10089,4,5.6,0.587,72.6,1,Standard Commuter
TRIP-10090,2,2.13,0.166,59.7,2,High-Risk (Aggressive)
TRIP-10091,3,2.82,0.376,84.9,0,Eco-Friendly (Safe)
TRIP-10092,2,2.5,0.369,48.8,0,Eco-Friendly (Safe)
TRIP-10093,5,1.64,0.285,72.0,0,Eco-Friendly (Safe)
TRIP-10094,2,2.31,0.342,72.9,0,Eco-Friendly (Safe)
TRIP-10095,1,2.9,0.352,81.1,0,Eco-Friendly (Safe)
TRIP-10096,0,1.05,0.171,45.0,2,High-Risk (Aggressive)
TRIP-10097,1,1.88,0.278,69.8,0,Eco-Friendly (Safe)
TRIP-10098,7,4.82,0.937,75.8,1,Standard Commuter
TRIP-10099,8,4.22,0.684,88.3,1,Standard Commuter
TRIP-10100,0,0.96,0.136,50.4,2,High-Risk (Aggressive)
TRIP-10101,1,1.43,0.261,45.5,2,High-Risk (Aggressive)
TRIP-10102,10,6.3,0.463,89.4,1,Standard Commuter
TRIP-10103,0,1.64,0.181,47.3,2,High-Risk (Aggressive)
TRIP-10104,1,2.12,0.252,68.4,0,Eco-Friendly (Safe)
TRIP-10105,5,4.99,0.633,90.6,1,Standard Commuter
TRIP-10106,0,1.2,0.179,63.0,2,High-Risk (Aggressive)
TRIP-10107,0,0.84,0.144,60.3,2,High-Risk (Aggressive)
TRIP-10108,5,3.14,0.507,60.7,0,Eco-Friendly (Safe)
TRIP-10109,0,2.64,0.344,75.7,0,Eco-Friendly (Safe)
TRIP-10110,2,1.16,0.192,52.3,2,High-Risk (Aggressive)
TRIP-10111,2,2.12,0.238,72.5,0,Eco-Friendly (Safe)
TRIP-10112,3,2.32,0.269,51.1,0,Eco-Friendly (Safe)
TRIP-10113,2,1.77,0.28,67.2,0,Eco-Friendly (Safe)
TRIP-10114,1,1.83,0.339,67.9,0,Eco-Friendly (Safe)
TRIP-10115,0,3.33,0.262,53.9,0,Eco-Friendly (Safe)
TRIP-10116,1,1.47,0.284,46.6,2,High-Risk (Aggressive)
TRIP-10117,17,3.31,0.351,91.8,1,Standard Commuter
TRIP-10118,0,3.01,0.342,63.9,0,Eco-Friendly (Safe)
TRIP-10119,1,2.48,0.344,52.7,0,Eco-Friendly (Safe)
TRIP-10120,2,5.38,0.416,93.0,1,Standard Commuter
TRIP-10121,6,5.48,0.586,81.2,1,Standard Commuter
TRIP-10122,2,1.94,0.318,74.1,0,Eco-Friendly (Safe)
TRIP-10123,2,0.9,0.113,54.7,2,High-Risk (Aggressive)
TRIP-10124,1,2.51,0.33,75.3,0,Eco-Friendly (Safe)
TRIP-10125,0,0.62,0.15,46.2,2,High-Risk (Aggressive)
TRIP-10126,9,5.32,0.553,88.0,1,Standard Commuter
TRIP-10127,1,0.8,0.204,53.8,2,High-Risk (Aggressive)
TRIP-10128,1,1.31,0.157,57.9,2,High-Risk (Aggressive)
TRIP-10129,3,1.37,0.171,61.0,2,High-Risk (Aggressive)
TRIP-10130,0,1.03,0.184,59.0,2,High-Risk (Aggressive)
TRIP-10131,1,1.37,0.198,47.4,2,High-Risk (Aggressive)
TRIP-10132,0,1.36,0.177,55.8,2,High-Risk (Aggressive)
TRIP-10133,2,2.95,0.376,72.2,0,Eco-Friendly (Safe)
TRIP-10134,2,1.92,0.359,82.7,0,Eco-Friendly (Safe)
TRIP-10135,0,1.57,0.187,62.9,2,High-Risk (Aggressive)
TRIP-10136,5,1.72,0.272,42.1,2,High-Risk (Aggressive)
TRIP-10137,8,5.56,0.469,78.4,1,Standard Commuter
TRIP-10138,1,1.16,0.185,52.3,2,High-Risk (Aggressive)
TRIP-10139,2,0.96,0.125,72.0,2,High-Risk (Aggressive)
TRIP-10140,1,5.16,0.704,70.4,1,Standard Commuter
TRIP-10141,1,1.45,0.221,66.0,2,High-Risk (Aggressive)
TRIP-10142,2,1.21,0.153,53.8,2,High-Risk (Aggressive)
TRIP-10143,2,2.14,0.201,75.2,0,Eco-Friendly (Safe)
TRIP-10144,1,0.84,0.306,60.9,2,High-Risk (Aggressive)
TRIP-10145,10,5.84,0.315,106.4,1,Standard Commuter
TRIP-10146,2,2.52,0.311,74.8,0,Eco-Friendly (Safe)
TRIP-10147,0,2.58,0.311,62.3,0,Eco-Friendly (Safe)
TRIP-10148,3,2.27,0.216,50.8,2,High-Risk (Aggressive)
TRIP-10149,3,1.03,0.234,51.9,2,High-Risk (Aggressive)
TRIP-10150,0,1.21,0.17,56.0,2,High-Risk (Aggressive)
TRIP-10151,2,3.02,0.312,61.5,0,Eco-Friendly (Safe)
TRIP-10152,1,1.65,0.148,48.2,2,High-Risk (Aggressive)
TRIP-10153,2,2.62,0.39,94.3,0,Eco-Friendly (Safe)
TRIP-10154,2,2.41,0.398,53.5,0,Eco-Friendly (Safe)
TRIP-10155,0,1.35,0.212,51.6,2,High-Risk (Aggressive)
TRIP-10156,3,4.39,0.702,76.5,1,Standard Commuter
TRIP-10157,1,2.56,0.318,64.0,0,Eco-Friendly (Safe)
TRIP-10158,0,1.36,0.149,43.2,2,High-Risk (Aggressive)
TRIP-10159,3,1.45,0.307,59.4,0,Eco-Friendly (Safe)
TRIP-10160,0,1.83,0.172,63.9,2,High-Risk (Aggressive)
TRIP-10161,0,1.21,0.234,60.8,2,High-Risk (Aggressive)
TRIP-10162,2,1.94,0.307,80.2,0,Eco-Friendly (Safe)
TRIP-10163,0,1.17,0.162,68.5,2,High-Risk (Aggressive)
TRIP-10164,0,1.23,0.168,52.9,2,High-Risk (Aggressive)
TRIP-10165,6,3.7,0.755,118.3,1,Standard Commuter
TRIP-10166,1,2.57,0.437,56.3,0,Eco-Friendly (Safe)
TRIP-10167,2,3.15,0.363,64.0,0,Eco-Friendly (Safe)
TRIP-10168,2,1.97,0.364,67.0,0,Eco-Friendly (Safe)
TRIP-10169,0,2.51,0.262,85.7,0,Eco-Friendly (Safe)
TRIP-10170,7,4.63,0.591,68.8,1,Standard Commuter
TRIP-10171,2,1.72,0.342,62.1,0,Eco-Friendly (Safe)
TRIP-10172,0,1.31,0.25,64.0,2,High-Risk (Aggressive)
TRIP-10173,1,2.9,0.365,73.4,0,Eco-Friendly (Safe)
TRIP-10174,1,3.07,0.353,69.2,0,Eco-Friendly (Safe)
TRIP-10175,3,2.45,0.28,73.3,0,Eco-Friendly (Safe)
TRIP-10176,10,4.62,0.389,62.0,1,Standard Commuter
TRIP-10177,7,2.96,0.636,69.8,1,Standard Commuter
TRIP-10178,4,1.75,0.348,82.5,0,Eco-Friendly (Safe)
TRIP-10179,1,1.1,0.165,48.2,2,High-Risk (Aggressive)
TRIP-10180,7,4.09,0.451,106.0,1,Standard Commuter
TRIP-10181,3,2.55,0.263,72.8,0,Eco-Friendly (Safe)
TRIP-10182,6,2.96,0.559,85.0,1,Standard Commuter
TRIP-10183,1,2.51,0.3,51.0,2,High-Risk (Aggressive)
TRIP-10184,9,4.8,0.433,78.6,1,Standard Commuter
TRIP-10185,1,1.12,0.249,54.6,2,High-Risk (Aggressive)
TRIP-10186,0,1.17,0.237,37.7,2,High-Risk (Aggressive)
TRIP-10187,6,2.22,0.275,70.4,0,Eco-Friendly (Safe)
TRIP-10188,0,0.75,0.229,68.2,2,High-Risk (Aggressive)
TRIP-10189,1,2.42,0.384,73.9,0,Eco-Friendly (Safe)
TRIP-10190,0,0.49,0.153,48.5,2,High-Risk (Aggressive)
TRIP-10191,5,2.54,0.364,71.1,0,Eco-Friendly (Safe)
TRIP-10192,6,4.7,0.601,75.5,1,Standard Commuter
TRIP-10193,9,4.75,0.511,111.3,1,Standard Commuter
TRIP-10194,1,1.02,0.114,68.9,2,High-Risk (Aggressive)
TRIP-10195,1,0.9,0.135,55.6,2,High-Risk (Aggressive)
TRIP-10196,0,1.46,0.119,37.3,2,High-Risk (Aggressive)
TRIP-10197,4,2.03,0.269,76.2,0,Eco-Friendly (Safe)
TRIP-10198,1,2.52,0.402,72.6,0,Eco-Friendly (Safe)
TRIP-10199,7,2.7,0.491,89.2,1,Standard Commuter
TRIP-10200,7,3.52,0.507,91.0,1,Standard Commuter
TRIP-10201,1,0.84,0.204,56.9,2,High-Risk (Aggressive)
TRIP-10202,0,3.02,0.178,67.8,0,Eco-Friendly (Safe)
TRIP-10203,0,1.17,0.164,52.1,2,High-Risk (Aggressive)
TRIP-10204,1,0.92,0.059,63.1,2,High-Risk (Aggressive)
TRIP-10205,2,2.23,0.262,75.2,0,Eco-Friendly (Safe)
TRIP-10206,1,1.48,0.218,51.5,2,High-Risk (Aggressive)
TRIP-10207,0,1.24,0.142,62.3,2,High-Risk (Aggressive)
TRIP-10208,2,1.84,0.167,47.9,2,High-Risk (Aggressive)
TRIP-10209,1,1.06,0.144,64.4,2,High-Risk (Aggressive)
TRIP-10210,2,1.12,0.238,65.0,2,High-Risk (Aggressive)
TRIP-10211,7,2.65,0.318,56.7,0,Eco-Friendly (Safe)
TRIP-10212,1,1.0,0.153,49.9,2,High-Risk (Aggressive)
TRIP-10213,1,1.55,0.197,68.4,2,High-Risk (Aggressive)
TRIP-10214,1,1.35,0.161,49.7,2,High-Risk (Aggressive)
TRIP-10215,0,1.46,0.127,52.0,2,High-Risk (Aggressive)
TRIP-10216,11,5.35,0.617,105.8,1,Standard Commuter
TRIP-10217,6,2.71,0.273,62.9,0,Eco-Friendly (Safe)
TRIP-10218,0,0.96,0.188,58.1,2,High-Risk (Aggressive)
TRIP-10219,1,1.06,0.195,49.6,2,High-Risk (Aggressive)
TRIP-10220,1,2.39,0.324,76.9,0,Eco-Friendly (Safe)
TRIP-10221,5,2.49,0.255,86.9,0,Eco-Friendly (Safe)
TRIP-10222,3,2.54,0.376,59.2,0,Eco-Friendly (Safe)
TRIP-10223,0,0.94,0.173,55.9,2,High-Risk (Aggressive)
TRIP-10224,10,5.17,0.654,103.2,1,Standard Commuter
TRIP-10225,1,2.2,0.232,66.8,0,Eco-Friendly (Safe)
TRIP-10226,3,2.37,0.306,55.9,0,Eco-Friendly (Safe)
TRIP-10227,1,3.36,0.229,70.6,0,Eco-Friendly (Safe)
TRIP-10228,0,0.81,0.144,65.3,2,High-Risk (Aggressive)
TRIP-10229,3,2.9,0.337,70.6,0,Eco-Friendly (Safe)
TRIP-10230,2,1.05,0.21,45.4,2,High-Risk (Aggressive)
TRIP-10231,0,1.24,0.17,60.8,2,High-Risk (Aggressive)
TRIP-10232,0,1.29,0.201,64.2,2,High-Risk (Aggressive)
TRIP-10233,0,1.51,0.29,67.8,2,High-Risk (Aggressive)
TRIP-10234,6,4.41,0.603,89.1,1,Standard Commuter
TRIP-10235,6,5.36,0.326,83.3,1,Standard Commuter
TRIP-10236,0,0.59,0.257,64.0,2,High-Risk (Aggressive)
TRIP-10237,4,5.79,0.68,109.1,1,Standard Commuter
TRIP-10238,1,1.3,0.131,53.0,2,High-Risk (Aggressive)
TRIP-10239,1,0.91,0.129,58.4,2,High-Risk (Aggressive)
TRIP-10240,1,1.86,0.405,54.6,0,Eco-Friendly (Safe)
TRIP-10241,1,1.04,0.143,45.4,2,High-Risk (Aggressive)
TRIP-10242,6,4.29,0.467,75.7,1,Standard Commuter
TRIP-10243,0,0.94,0.182,57.2,2,High-Risk (Aggressive)
TRIP-10244,6,2.09,0.415,63.3,0,Eco-Friendly (Safe)
TRIP-10245,1,2.62,0.366,78.7,0,Eco-Friendly (Safe)
TRIP-10246,4,1.3,0.397,68.7,0,Eco-Friendly (Safe)
TRIP-10247,1,1.96,0.287,75.6,0,Eco-Friendly (Safe)
TRIP-10248,9,4.15,0.698,87.5,1,Standard Commuter
TRIP-10249,2,1.91,0.282,78.9,0,Eco-Friendly (Safe)
TRIP-10250,1,1.33,0.099,57.7,2,High-Risk (Aggressive)
TRIP-10251,3,0.66,0.202,61.3,2,High-Risk (Aggressive)
TRIP-10252,2,1.71,0.349,55.5,0,Eco-Friendly (Safe)
TRIP-10253,2,0.41,0.177,57.5,2,High-Risk (Aggressive)
TRIP-10254,1,5.73,0.401,82.8,1,Standard Commuter
TRIP-10255,7,6.31,0.705,71.2,1,Standard Commuter
TRIP-10256,2,1.54,0.292,65.6,0,Eco-Friendly (Safe)
TRIP-10257,11,2.55,0.47,89.0,1,Standard Commuter
TRIP-10258,5,3.09,0.536,95.3,1,Standard Commuter
TRIP-10259,2,2.46,0.438,75.3,0,Eco-Friendly (Safe)
TRIP-10260,0,1.66,0.273,51.7,2,High-Risk (Aggressive)
TRIP-10261,1,2.25,0.323,63.7,0,Eco-Friendly (Safe)
TRIP-10262,0,1.12,0.148,67.7,2,High-Risk (Aggressive)
TRIP-10263,5,3.56,0.564,120.4,1,Standard Commuter
TRIP-10264,2,3.14,0.285,79.7,0,Eco-Friendly (Safe)
TRIP-10265,2,1.11,0.152,47.3,2,High-Risk (Aggressive)
TRIP-10266,3,2.48,0.323,78.4,0,Eco-Friendly (Safe)
TRIP-10267,5,4.51,0.889,93.1,1,Standard Commuter
TRIP-10268,2,2.22,0.415,91.5,0,Eco-Friendly (Safe)
TRIP-10269,0,0.6,0.217,48.3,2,High-Risk (Aggressive)
TRIP-10270,1,2.31,0.394,72.1,0,Eco-Friendly (Safe)
TRIP-10271,0,1.13,0.158,60.5,2,High-Risk (Aggressive)
TRIP-10272,2,2.4,0.328,72.7,0,Eco-Friendly (Safe)
TRIP-10273,2,1.34,0.202,55.1,2,High-Risk (Aggressive)
TRIP-10274,4,2.7,0.173,60.3,0,Eco-Friendly (Safe)
TRIP-10275,5,1.88,0.371,54.0,0,Eco-Friendly (Safe)
TRIP-10276,1,2.69,0.326,81.3,0,Eco-Friendly (Safe)
TRIP-10277,2,2.77,0.431,80.8,0,Eco-Friendly (Safe)
TRIP-10278,0,1.53,0.147,60.9,2,High-Risk (Aggressive)
TRIP-10279,1,2.61,0.315,64.8,0,Eco-Friendly (Safe)
TRIP-10280,1,1.27,0.197,47.6,2,High-Risk (Aggressive)
TRIP-10281,5,4.27,0.556,94.4,1,Standard Commuter
TRIP-10282,4,5.11,0.569,78.7,1,Standard Commuter
TRIP-10283,2,2.42,0.259,79.5,0,Eco-Friendly (Safe)
TRIP-10284,3,2.18,0.295,82.1,0,Eco-Friendly (Safe)
TRIP-10285,3,5.31,0.532,101.3,1,Standard Commuter
TRIP-10286,4,2.64,0.15,58.4,0,Eco-Friendly (Safe)
TRIP-10287,0,1.19,0.17,61.7,2,High-Risk (Aggressive)
TRIP-10288,3,1.82,0.268,56.5,0,Eco-Friendly (Safe)
TRIP-10289,2,2.19,0.322,70.3,0,Eco-Friendly (Safe)
TRIP-10290,0,2.32,0.369,60.1,0,Eco-Friendly (Safe)
TRIP-10291,3,2.66,0.307,66.1,0,Eco-Friendly (Safe)
TRIP-10292,4,2.53,0.345,67.8,0,Eco-Friendly (Safe)
TRIP-10293,2,1.77,0.262,57.9,2,High-Risk (Aggressive)
TRIP-10294,11,4.04,0.676,123.3,1,Standard Commuter
TRIP-10295,9,3.71,0.575,82.0,1,Standard Commuter
TRIP-10296,8,3.75,0.501,97.2,1,Standard Commuter
TRIP-10297,4,2.66,0.491,83.0,0,Eco-Friendly (Safe)
TRIP-10298,4,5.45,0.689,74.6,1,Standard Commuter
TRIP-10299,3,1.61,0.275,73.3,0,Eco-Friendly (Safe)
TRIP-10300,7,2.89,0.403,68.7,0,Eco-Friendly (Safe)
TRIP-10301,5,3.3,0.538,81.8,1,Standard Commuter
TRIP-10302,4,4.13,0.512,70.9,1,Standard Commuter
TRIP-10303,3,1.19,0.123,58.4,2,High-Risk (Aggressive)
TRIP-10304,5,2.96,0.342,83.2,0,Eco-Friendly (Safe)
TRIP-10305,2,1.58,0.265,79.2,0,Eco-Friendly (Safe)
TRIP-10306,1,0.73,0.189,48.0,2,High-Risk (Aggressive)
TRIP-10307,4,6.39,0.553,90.6,1,Standard Commuter
TRIP-10308,10,3.5,0.752,94.5,1,Standard Commuter
TRIP-10309,1,1.05,0.139,54.4,2,High-Risk (Aggressive)
TRIP-10310,6,2.21,0.271,57.7,0,Eco-Friendly (Safe)
TRIP-10311,0,2.21,0.318,66.8,0,Eco-Friendly (Safe)
TRIP-10312,8,5.05,0.377,98.6,1,Standard Commuter
TRIP-10313,1,1.32,0.171,67.6,2,High-Risk (Aggressive)
TRIP-10314,0,0.69,0.136,50.2,2,High-Risk (Aggressive)
TRIP-10315,0,1.08,0.25,56.3,2,High-Risk (Aggressive)
TRIP-10316,0,1.65,0.082,53.4,2,High-Risk (Aggressive)
TRIP-10317,3,1.6,0.369,67.2,0,Eco-Friendly (Safe)
TRIP-10318,6,5.26,0.399,103.1,1,Standard Commuter
TRIP-10319,0,1.2,0.197,52.3,2,High-Risk (Aggressive)
TRIP-10320,0,1.26,0.185,51.4,2,High-Risk (Aggressive)
TRIP-10321,16,3.14,0.603,46.2,1,Standard Commuter
TRIP-10322,2,1.12,0.171,51.5,2,High-Risk (Aggressive)
TRIP-10323,3,5.01,0.515,73.5,1,Standard Commuter
TRIP-10324,3,5.11,0.645,85.9,1,Standard Commuter
TRIP-10325,0,0.98,0.191,54.0,2,High-Risk (Aggressive)
TRIP-10326,3,1.01,0.158,61.3,2,High-Risk (Aggressive)
TRIP-10327,1,0.96,0.193,60.7,2,High-Risk (Aggressive)
TRIP-10328,1,2.05,0.327,62.2,0,Eco-Friendly (Safe)
TRIP-10329,0,1.66,0.153,51.5,2,High-Risk (Aggressive)
TRIP-10330,4,2.42,0.378,81.5,0,Eco-Friendly (Safe)
TRIP-10331,7,5.48,0.609,74.5,1,Standard Commuter
TRIP-10332,4,2.3,0.398,54.0,0,Eco-Friendly (Safe)
TRIP-10333,2,1.23,0.2,54.6,2,High-Risk (Aggressive)
TRIP-10334,3,2.46,0.428,90.6,0,Eco-Friendly (Safe)
TRIP-10335,0,1.67,0.185,56.3,2,High-Risk (Aggressive)
TRIP-10336,11,4.47,0.691,103.7,1,Standard Commuter
TRIP-10337,6,4.97,0.691,80.7,1,Standard Commuter
TRIP-10338,0,1.55,0.195,58.8,2,High-Risk (Aggressive)
TRIP-10339,2,2.4,0.366,56.9,0,Eco-Friendly (Safe)
TRIP-10340,1,2.89,0.363,73.0,0,Eco-Friendly (Safe)
TRIP-10341,1,1.32,0.144,49.6,2,High-Risk (Aggressive)
TRIP-10342,1,1.16,0.17,55.2,2,High-Risk (Aggressive)
TRIP-10343,3,2.58,0.267,78.2,0,Eco-Friendly (Safe)
TRIP-10344,1,3.22,0.278,65.4,0,Eco-Friendly (Safe)
TRIP-10345,13,4.6,0.639,98.7,1,Standard Commuter
TRIP-10346,7,3.55,0.48,78.9,1,Standard Commuter
TRIP-10347,1,0.8,0.231,51.6,2,High-Risk (Aggressive)
TRIP-10348,0,1.42,0.228,63.8,2,High-Risk (Aggressive)
TRIP-10349,2,2.45,0.298,75.5,0,Eco-Friendly (Safe)
TRIP-10350,1,1.16,0.207,49.8,2,High-Risk (Aggressive)
TRIP-10351,1,1.26,0.183,59.7,2,High-Risk (Aggressive)
TRIP-10352,1,0.89,0.196,51.6,2,High-Risk (Aggressive)
TRIP-10353,1,2.61,0.328,63.0,0,Eco-Friendly (Safe)
TRIP-10354,0,0.8,0.141,48.5,2,High-Risk (Aggressive)
TRIP-10355,4,2.56,0.417,71.1,0,Eco-Friendly (Safe)
TRIP-10356,3,1.72,0.347,53.4,0,Eco-Friendly (Safe)
TRIP-10357,3,3.97,0.746,88.2,1,Standard Commuter
TRIP-10358,2,1.98,0.228,61.6,2,High-Risk (Aggressive)
TRIP-10359,7,2.52,0.328,83.5,0,Eco-Friendly (Safe)
TRIP-10360,1,1.3,0.139,56.4,2,High-Risk (Aggressive)
TRIP-10361,1,2.66,0.357,85.2,0,Eco-Friendly (Safe)
TRIP-10362,9,5.25,0.602,109.6,1,Standard Commuter
TRIP-10363,9,3.36,0.47,119.9,1,Standard Commuter
TRIP-10364,1,1.22,0.215,64.3,2,High-Risk (Aggressive)
TRIP-10365,4,2.65,0.342,67.4,0,Eco-Friendly (Safe)
TRIP-10366,2,0.83,0.204,46.5,2,High-Risk (Aggressive)
TRIP-10367,2,2.28,0.288,72.7,0,Eco-Friendly (Safe)
TRIP-10368,8,5.12,0.651,86.9,1,Standard Commuter
TRIP-10369,5,3.77,0.332,97.6,1,Standard Commuter
TRIP-10370,0,0.77,0.193,71.1,2,High-Risk (Aggressive)
TRIP-10371,0,0.75,0.172,56.8,2,High-Risk (Aggressive)
TRIP-10372,1,2.8,0.411,63.7,0,Eco-Friendly (Safe)
TRIP-10373,10,3.99,0.465,83.2,1,Standard Commuter
TRIP-10374,0,1.27,0.171,67.3,2,High-Risk (Aggressive)
TRIP-10375,7,2.74,0.592,73.1,1,Standard Commuter
TRIP-10376,1,1.35,0.37,68.5,0,Eco-Friendly (Safe)
TRIP-10377,4,2.3,0.307,76.5,0,Eco-Friendly (Safe)
TRIP-10378,0,1.48,0.241,60.3,2,High-Risk (Aggressive)
TRIP-10379,0,1.25,0.138,55.0,2,High-Risk (Aggressive)
TRIP-10380,0,1.12,0.188,47.8,2,High-Risk (Aggressive)
TRIP-10381,1,2.08,0.24,73.3,0,Eco-Friendly (Safe)
