Sensor_Read_ID,Vehicle_Speed_kmh,Road_Water_Depth_mm,Tread_Depth_mm,Wet_Braking_Distance_m,Hydroplaning_Risk
CONTI-TIRE-3026,106.6,3.2,5.3,89.5,Safe Wet Grip Margin
CONTI-TIRE-3027,73.6,5.0,5.8,45.0,Safe Wet Grip Margin
CONTI-TIRE-3028,64.8,3.7,3.9,40.9,Safe Wet Grip Margin
CONTI-TIRE-3029,103.9,4.8,6.0,94.3,High Hydroplaning Risk
CONTI-TIRE-3030,120.5,1.6,5.9,102.2,Safe Wet Grip Margin
CONTI-TIRE-3031,102.9,2.6,6.7,77.4,Safe Wet Grip Margin
CONTI-TIRE-3032,124.5,4.4,1.8,168.3,High Hydroplaning Risk
CONTI-TIRE-3033,123.5,7.6,6.2,152.0,High Hydroplaning Risk
CONTI-TIRE-3034,116.0,6.1,4.9,132.7,High Hydroplaning Risk
CONTI-TIRE-3035,121.2,6.6,3.1,163.5,High Hydroplaning Risk
CONTI-TIRE-3036,120.8,5.1,2.9,159.0,High Hydroplaning Risk
CONTI-TIRE-3037,75.9,2.3,3.2,53.5,Safe Wet Grip Margin
CONTI-TIRE-3038,123.3,3.5,2.7,148.8,High Hydroplaning Risk
CONTI-TIRE-3039,69.7,2.7,6.6,36.8,Safe Wet Grip Margin
CONTI-TIRE-3040,58.7,8.1,3.1,43.2,High Hydroplaning Risk
CONTI-TIRE-3041,56.8,8.2,3.7,38.4,Safe Wet Grip Margin
CONTI-TIRE-3042,121.6,1.8,6.6,101.8,Safe Wet Grip Margin
CONTI-TIRE-3043,101.6,8.2,4.1,119.8,High Hydroplaning Risk
CONTI-TIRE-3044,80.4,6.6,5.9,65.1,Safe Wet Grip Margin
CONTI-TIRE-3045,129.3,6.6,4.0,181.2,High Hydroplaning Risk
CONTI-TIRE-3046,51.8,5.5,3.2,32.7,Safe Wet Grip Margin
CONTI-TIRE-3047,128.5,2.9,4.3,143.9,High Hydroplaning Risk
CONTI-TIRE-3048,118.2,1.5,4.9,106.1,Safe Wet Grip Margin
CONTI-TIRE-3049,57.7,2.9,3.3,30.8,Safe Wet Grip Margin
CONTI-TIRE-3050,81.3,6.6,7.7,57.3,Safe Wet Grip Margin
CONTI-TIRE-3051,73.1,8.1,2.9,66.5,High Hydroplaning Risk
CONTI-TIRE-3052,66.5,2.8,1.7,44.2,Safe Wet Grip Margin
CONTI-TIRE-3053,70.3,6.2,2.3,56.8,High Hydroplaning Risk
CONTI-TIRE-3054,51.3,3.4,5.6,20.7,Safe Wet Grip Margin
CONTI-TIRE-3055,137.2,4.3,2.8,195.7,High Hydroplaning Risk
CONTI-TIRE-3056,95.3,8.2,7.9,83.5,High Hydroplaning Risk
CONTI-TIRE-3057,107.8,3.7,6.7,90.4,Safe Wet Grip Margin
CONTI-TIRE-3058,98.4,8.2,7.6,88.3,High Hydroplaning Risk
CONTI-TIRE-3059,105.7,5.5,7.5,90.5,Safe Wet Grip Margin
CONTI-TIRE-3060,89.7,3.5,7.7,52.9,Safe Wet Grip Margin
CONTI-TIRE-3061,81.9,6.5,3.2,76.3,High Hydroplaning Risk
CONTI-TIRE-3062,75.3,3.1,2.9,56.8,Safe Wet Grip Margin
CONTI-TIRE-3063,101.9,8.4,5.0,113.2,High Hydroplaning Risk
CONTI-TIRE-3064,121.8,7.6,2.8,173.6,High Hydroplaning Risk
CONTI-TIRE-3065,61.9,3.2,6.0,29.1,Safe Wet Grip Margin
CONTI-TIRE-3066,134.8,3.0,1.7,188.2,High Hydroplaning Risk
CONTI-TIRE-3067,88.7,6.1,2.4,91.1,High Hydroplaning Risk
CONTI-TIRE-3068,82.3,8.1,2.8,81.6,High Hydroplaning Risk
CONTI-TIRE-3069,121.1,3.3,5.8,120.2,High Hydroplaning Risk
CONTI-TIRE-3070,81.0,8.9,7.8,62.2,Safe Wet Grip Margin
CONTI-TIRE-3071,105.3,8.1,5.8,116.7,High Hydroplaning Risk
CONTI-TIRE-3072,64.0,4.1,3.1,43.0,Safe Wet Grip Margin
CONTI-TIRE-3073,72.2,4.3,4.2,50.6,Safe Wet Grip Margin
CONTI-TIRE-3074,67.6,4.0,4.4,43.9,Safe Wet Grip Margin
CONTI-TIRE-3075,94.5,1.6,3.7,73.6,Safe Wet Grip Margin
CONTI-TIRE-3076,77.4,7.2,6.0,60.0,Safe Wet Grip Margin
CONTI-TIRE-3077,69.6,5.2,4.4,46.4,Safe Wet Grip Margin
CONTI-TIRE-3078,87.8,1.4,6.8,47.1,Safe Wet Grip Margin
CONTI-TIRE-3079,54.7,2.4,6.4,20.6,Safe Wet Grip Margin
CONTI-TIRE-3080,138.3,3.1,2.3,194.4,High Hydroplaning Risk
CONTI-TIRE-3081,57.3,1.1,7.7,19.3,Safe Wet Grip Margin
CONTI-TIRE-3082,114.6,3.8,4.8,116.4,High Hydroplaning Risk
CONTI-TIRE-3083,63.2,8.1,5.0,44.5,Safe Wet Grip Margin
CONTI-TIRE-3084,81.7,8.5,4.9,76.7,High Hydroplaning Risk
CONTI-TIRE-3085,134.9,8.2,3.4,218.9,High Hydroplaning Risk
CONTI-TIRE-3086,94.7,3.8,7.4,67.4,Safe Wet Grip Margin
CONTI-TIRE-3087,118.6,7.0,6.0,135.4,High Hydroplaning Risk
CONTI-TIRE-3088,68.0,5.8,5.8,45.8,Safe Wet Grip Margin
CONTI-TIRE-3089,98.1,2.5,4.3,78.1,Safe Wet Grip Margin
CONTI-TIRE-3090,137.7,2.7,6.5,136.3,Safe Wet Grip Margin
CONTI-TIRE-3091,138.6,4.4,7.7,140.4,High Hydroplaning Risk
CONTI-TIRE-3092,65.6,8.5,7.1,39.9,Safe Wet Grip Margin
CONTI-TIRE-3093,81.7,3.2,2.3,69.8,High Hydroplaning Risk
CONTI-TIRE-3094,105.1,0.8,2.5,99.5,Safe Wet Grip Margin
CONTI-TIRE-3095,127.1,1.7,3.0,148.4,High Hydroplaning Risk
CONTI-TIRE-3096,87.0,4.3,2.0,84.1,High Hydroplaning Risk
CONTI-TIRE-3097,64.9,4.3,3.5,43.5,Safe Wet Grip Margin
CONTI-TIRE-3098,106.3,5.8,3.9,119.3,High Hydroplaning Risk
CONTI-TIRE-3099,69.5,3.0,7.6,31.6,Safe Wet Grip Margin
CONTI-TIRE-3100,66.3,4.5,4.1,43.0,Safe Wet Grip Margin
CONTI-TIRE-3101,138.2,5.7,5.7,178.4,High Hydroplaning Risk
CONTI-TIRE-3102,137.7,5.7,6.4,169.0,High Hydroplaning Risk
CONTI-TIRE-3103,78.5,9.0,7.5,60.5,Safe Wet Grip Margin
CONTI-TIRE-3104,68.3,6.4,4.5,43.7,Safe Wet Grip Margin
CONTI-TIRE-3105,82.4,1.2,2.6,58.3,Safe Wet Grip Margin
CONTI-TIRE-3106,116.9,1.8,2.8,126.3,High Hydroplaning Risk
CONTI-TIRE-3107,102.0,8.5,5.9,110.2,High Hydroplaning Risk
CONTI-TIRE-3108,95.5,7.3,7.4,83.6,High Hydroplaning Risk
CONTI-TIRE-3109,125.6,6.6,5.0,160.6,High Hydroplaning Risk
CONTI-TIRE-3110,120.8,6.3,4.4,150.0,High Hydroplaning Risk
CONTI-TIRE-3111,50.0,5.7,6.3,23.8,Safe Wet Grip Margin
CONTI-TIRE-3112,120.9,8.2,5.0,161.7,High Hydroplaning Risk
CONTI-TIRE-3113,105.5,1.6,6.6,74.2,Safe Wet Grip Margin
CONTI-TIRE-3114,134.5,5.2,2.3,201.3,High Hydroplaning Risk
CONTI-TIRE-3115,100.4,3.4,3.9,93.2,High Hydroplaning Risk
CONTI-TIRE-3116,107.5,5.7,2.2,132.7,High Hydroplaning Risk
CONTI-TIRE-3117,139.1,3.7,4.3,171.9,High Hydroplaning Risk
CONTI-TIRE-3118,76.0,0.7,5.8,40.3,Safe Wet Grip Margin
CONTI-TIRE-3119,104.2,1.7,3.0,98.5,Safe Wet Grip Margin
CONTI-TIRE-3120,88.6,4.7,2.1,85.1,High Hydroplaning Risk
CONTI-TIRE-3121,50.6,8.5,6.1,25.4,Safe Wet Grip Margin
CONTI-TIRE-3122,62.1,6.7,8.0,29.9,Safe Wet Grip Margin
CONTI-TIRE-3123,103.2,6.4,2.4,126.1,High Hydroplaning Risk
CONTI-TIRE-3124,77.4,8.8,2.7,78.7,High Hydroplaning Risk
CONTI-TIRE-3125,85.2,2.1,4.3,59.0,Safe Wet Grip Margin
CONTI-TIRE-3126,85.2,5.1,3.2,73.9,High Hydroplaning Risk
CONTI-TIRE-3127,50.1,7.9,4.7,27.7,Safe Wet Grip Margin
CONTI-TIRE-3128,133.9,6.5,4.5,186.6,High Hydroplaning Risk
CONTI-TIRE-3129,69.0,4.0,5.8,40.2,Safe Wet Grip Margin
CONTI-TIRE-3130,132.2,7.7,3.8,198.7,High Hydroplaning Risk
CONTI-TIRE-3131,134.3,8.9,6.5,193.0,High Hydroplaning Risk
CONTI-TIRE-3132,127.3,8.5,6.9,162.4,High Hydroplaning Risk
CONTI-TIRE-3133,77.0,4.9,7.0,48.6,Safe Wet Grip Margin
CONTI-TIRE-3134,119.3,3.9,2.6,147.0,High Hydroplaning Risk
CONTI-TIRE-3135,111.9,7.3,5.5,127.1,High Hydroplaning Risk
CONTI-TIRE-3136,91.3,3.4,2.2,86.6,High Hydroplaning Risk
CONTI-TIRE-3137,59.5,6.8,6.1,33.2,Safe Wet Grip Margin
CONTI-TIRE-3138,55.6,7.8,6.4,28.4,Safe Wet Grip Margin
CONTI-TIRE-3139,63.8,7.5,5.0,47.4,Safe Wet Grip Margin
CONTI-TIRE-3140,93.9,1.4,3.5,73.6,Safe Wet Grip Margin
CONTI-TIRE-3141,139.4,7.4,3.9,220.3,High Hydroplaning Risk
CONTI-TIRE-3142,56.2,7.0,6.1,32.9,Safe Wet Grip Margin
CONTI-TIRE-3143,103.7,4.0,5.5,91.5,Safe Wet Grip Margin
CONTI-TIRE-3144,108.7,0.7,4.0,94.0,Safe Wet Grip Margin
CONTI-TIRE-3145,88.8,3.4,2.4,80.3,High Hydroplaning Risk
CONTI-TIRE-3146,72.1,8.2,7.2,51.9,Safe Wet Grip Margin
CONTI-TIRE-3147,98.5,8.2,2.8,118.2,High Hydroplaning Risk
CONTI-TIRE-3148,97.9,1.8,5.0,74.9,Safe Wet Grip Margin
CONTI-TIRE-3149,81.4,5.2,3.4,67.3,High Hydroplaning Risk
CONTI-TIRE-3150,84.4,2.8,4.0,63.9,Safe Wet Grip Margin
CONTI-TIRE-3151,111.8,6.6,5.6,123.6,High Hydroplaning Risk
CONTI-TIRE-3152,58.2,4.6,7.4,25.4,Safe Wet Grip Margin
CONTI-TIRE-3153,124.9,1.2,6.8,99.4,Safe Wet Grip Margin
CONTI-TIRE-3154,92.4,0.9,6.3,56.2,Safe Wet Grip Margin
CONTI-TIRE-3155,107.6,4.1,3.9,110.8,High Hydroplaning Risk
CONTI-TIRE-3156,115.0,1.7,3.4,117.1,Safe Wet Grip Margin
CONTI-TIRE-3157,57.0,4.9,4.2,31.0,Safe Wet Grip Margin
CONTI-TIRE-3158,98.5,4.4,1.8,106.9,High Hydroplaning Risk
CONTI-TIRE-3159,76.9,6.5,6.3,55.4,Safe Wet Grip Margin
CONTI-TIRE-3160,113.0,4.8,5.1,121.7,High Hydroplaning Risk
CONTI-TIRE-3161,127.0,4.7,3.8,161.9,High Hydroplaning Risk
CONTI-TIRE-3162,88.2,1.8,5.6,59.9,Safe Wet Grip Margin
CONTI-TIRE-3163,51.0,4.7,6.5,16.8,Safe Wet Grip Margin
CONTI-TIRE-3164,104.2,7.1,4.1,116.3,High Hydroplaning Risk
CONTI-TIRE-3165,118.7,4.7,3.8,136.5,High Hydroplaning Risk
CONTI-TIRE-3166,94.0,1.7,4.6,73.9,Safe Wet Grip Margin
CONTI-TIRE-3167,76.3,1.9,8.0,36.0,Safe Wet Grip Margin
CONTI-TIRE-3168,57.2,7.6,7.3,30.8,Safe Wet Grip Margin
CONTI-TIRE-3169,67.7,8.5,5.6,46.9,Safe Wet Grip Margin
CONTI-TIRE-3170,54.9,0.9,1.7,26.8,Safe Wet Grip Margin
CONTI-TIRE-3171,50.2,8.1,2.4,29.8,Safe Wet Grip Margin
CONTI-TIRE-3172,53.2,6.9,4.5,28.0,Safe Wet Grip Margin
CONTI-TIRE-3173,86.7,4.9,6.5,60.2,Safe Wet Grip Margin
CONTI-TIRE-3174,135.6,8.2,5.5,196.1,High Hydroplaning Risk
CONTI-TIRE-3175,138.7,7.4,7.9,167.0,High Hydroplaning Risk
CONTI-TIRE-3176,69.7,5.4,5.3,42.7,Safe Wet Grip Margin
CONTI-TIRE-3177,60.7,5.2,7.1,28.1,Safe Wet Grip Margin
CONTI-TIRE-3178,79.0,7.5,4.7,64.5,High Hydroplaning Risk
CONTI-TIRE-3179,66.2,2.0,1.9,44.0,Safe Wet Grip Margin
CONTI-TIRE-3180,78.5,0.7,5.1,41.6,Safe Wet Grip Margin
CONTI-TIRE-3181,97.3,6.1,3.2,105.1,High Hydroplaning Risk
CONTI-TIRE-3182,112.1,6.8,2.5,145.5,High Hydroplaning Risk
CONTI-TIRE-3183,119.0,7.8,2.8,172.8,High Hydroplaning Risk
CONTI-TIRE-3184,126.8,4.2,5.1,140.9,High Hydroplaning Risk
CONTI-TIRE-3185,102.9,5.3,5.8,94.7,High Hydroplaning Risk
CONTI-TIRE-3186,109.0,3.9,7.3,88.7,Safe Wet Grip Margin
CONTI-TIRE-3187,127.2,3.9,6.0,133.1,High Hydroplaning Risk
CONTI-TIRE-3188,124.3,8.9,6.5,161.4,High Hydroplaning Risk
CONTI-TIRE-3189,118.2,5.1,2.5,154.5,High Hydroplaning Risk
CONTI-TIRE-3190,54.2,6.9,3.4,31.5,Safe Wet Grip Margin
CONTI-TIRE-3191,52.2,4.5,3.0,26.8,Safe Wet Grip Margin
CONTI-TIRE-3192,114.9,2.7,7.3,88.4,Safe Wet Grip Margin
CONTI-TIRE-3193,85.6,8.1,4.1,83.2,High Hydroplaning Risk
CONTI-TIRE-3194,84.8,6.4,7.0,64.1,Safe Wet Grip Margin
CONTI-TIRE-3195,64.0,3.6,4.4,37.5,Safe Wet Grip Margin
CONTI-TIRE-3196,89.0,5.4,7.1,66.2,Safe Wet Grip Margin
CONTI-TIRE-3197,60.7,8.6,7.5,37.8,Safe Wet Grip Margin
CONTI-TIRE-3198,113.1,2.0,6.6,87.3,Safe Wet Grip Margin
CONTI-TIRE-3199,51.5,7.6,7.8,23.1,Safe Wet Grip Margin
CONTI-TIRE-3200,92.7,8.9,4.0,101.3,High Hydroplaning Risk
CONTI-TIRE-3201,68.4,2.0,3.9,40.1,Safe Wet Grip Margin
CONTI-TIRE-3202,139.6,3.5,7.9,133.6,High Hydroplaning Risk
CONTI-TIRE-3203,84.5,2.6,3.2,66.8,Safe Wet Grip Margin
CONTI-TIRE-3204,118.4,8.1,4.7,153.4,High Hydroplaning Risk
CONTI-TIRE-3205,122.4,2.4,7.3,98.9,Safe Wet Grip Margin
CONTI-TIRE-3206,77.7,1.9,7.9,37.3,Safe Wet Grip Margin
CONTI-TIRE-3207,90.7,4.4,2.1,86.3,High Hydroplaning Risk
CONTI-TIRE-3208,69.6,4.2,2.2,55.2,High Hydroplaning Risk
CONTI-TIRE-3209,96.3,8.2,7.4,88.0,High Hydroplaning Risk
CONTI-TIRE-3210,57.3,6.9,2.1,42.2,High Hydroplaning Risk
CONTI-TIRE-3211,110.4,4.6,2.1,132.8,High Hydroplaning Risk
CONTI-TIRE-3212,80.3,7.0,7.1,58.1,Safe Wet Grip Margin
CONTI-TIRE-3213,73.9,5.9,3.7,55.8,Safe Wet Grip Margin
CONTI-TIRE-3214,58.5,5.1,3.9,32.1,Safe Wet Grip Margin
CONTI-TIRE-3215,132.8,3.9,7.9,125.5,High Hydroplaning Risk
CONTI-TIRE-3216,61.9,7.7,1.8,49.8,High Hydroplaning Risk
CONTI-TIRE-3217,129.6,2.8,4.4,145.3,High Hydroplaning Risk
CONTI-TIRE-3218,138.9,5.4,6.3,169.1,High Hydroplaning Risk
CONTI-TIRE-3219,56.3,5.8,5.1,29.3,Safe Wet Grip Margin
CONTI-TIRE-3220,96.5,7.0,4.2,100.9,High Hydroplaning Risk
CONTI-TIRE-3221,110.3,2.4,6.7,86.0,Safe Wet Grip Margin
CONTI-TIRE-3222,122.8,7.5,6.3,146.8,High Hydroplaning Risk
CONTI-TIRE-3223,133.0,5.3,6.5,154.6,High Hydroplaning Risk
CONTI-TIRE-3224,122.6,7.8,6.2,149.3,High Hydroplaning Risk
CONTI-TIRE-3225,53.1,2.2,6.8,16.7,Safe Wet Grip Margin
CONTI-TIRE-3226,57.5,6.5,5.5,35.4,Safe Wet Grip Margin
CONTI-TIRE-3227,79.7,1.4,1.8,58.4,Safe Wet Grip Margin
CONTI-TIRE-3228,120.2,0.9,3.6,122.3,Safe Wet Grip Margin
CONTI-TIRE-3229,90.2,6.1,2.6,93.7,High Hydroplaning Risk
CONTI-TIRE-3230,113.8,5.0,6.2,113.4,High Hydroplaning Risk
CONTI-TIRE-3231,92.4,0.6,2.1,75.9,Safe Wet Grip Margin
CONTI-TIRE-3232,136.5,8.2,6.2,190.1,High Hydroplaning Risk
CONTI-TIRE-3233,120.4,2.7,4.1,125.7,High Hydroplaning Risk
CONTI-TIRE-3234,107.8,8.9,3.0,149.2,High Hydroplaning Risk
CONTI-TIRE-3235,90.3,8.7,1.8,109.4,High Hydroplaning Risk
CONTI-TIRE-3236,65.4,4.8,2.3,44.7,High Hydroplaning Risk
CONTI-TIRE-3237,94.6,6.2,3.9,94.7,High Hydroplaning Risk
CONTI-TIRE-3238,51.7,7.2,7.1,25.0,Safe Wet Grip Margin
CONTI-TIRE-3239,125.1,6.3,5.9,148.6,High Hydroplaning Risk
CONTI-TIRE-3240,109.2,3.8,4.5,108.5,High Hydroplaning Risk
CONTI-TIRE-3241,89.6,0.9,2.1,71.9,Safe Wet Grip Margin
CONTI-TIRE-3242,85.2,8.5,6.8,71.3,High Hydroplaning Risk
CONTI-TIRE-3243,134.5,4.4,2.3,191.0,High Hydroplaning Risk
CONTI-TIRE-3244,78.7,0.9,3.3,52.9,Safe Wet Grip Margin
CONTI-TIRE-3245,99.7,6.1,5.4,96.2,High Hydroplaning Risk
CONTI-TIRE-3246,79.9,1.3,7.8,33.6,Safe Wet Grip Margin
CONTI-TIRE-3247,71.2,4.0,4.5,49.1,Safe Wet Grip Margin
CONTI-TIRE-3248,113.9,8.8,4.9,148.1,High Hydroplaning Risk
CONTI-TIRE-3249,59.9,0.9,5.7,22.7,Safe Wet Grip Margin
CONTI-TIRE-3250,76.6,4.5,5.6,52.9,Safe Wet Grip Margin
CONTI-TIRE-3251,133.1,4.1,5.8,150.0,High Hydroplaning Risk
CONTI-TIRE-3252,126.3,7.2,1.9,198.1,High Hydroplaning Risk
CONTI-TIRE-3253,53.3,2.7,4.1,25.5,Safe Wet Grip Margin
CONTI-TIRE-3254,99.0,1.4,7.9,56.3,Safe Wet Grip Margin
CONTI-TIRE-3255,108.2,2.3,7.7,74.4,Safe Wet Grip Margin
CONTI-TIRE-3256,107.8,7.9,2.1,144.8,High Hydroplaning Risk
CONTI-TIRE-3257,100.8,8.6,2.6,129.3,High Hydroplaning Risk
CONTI-TIRE-3258,138.3,1.8,3.3,170.1,High Hydroplaning Risk
CONTI-TIRE-3259,61.3,5.8,2.4,44.4,High Hydroplaning Risk
CONTI-TIRE-3260,73.1,0.9,7.0,32.7,Safe Wet Grip Margin
CONTI-TIRE-3261,118.0,7.2,5.4,141.1,High Hydroplaning Risk
CONTI-TIRE-3262,122.0,5.3,4.9,146.0,High Hydroplaning Risk
CONTI-TIRE-3263,82.3,0.7,5.1,48.6,Safe Wet Grip Margin
CONTI-TIRE-3264,102.4,2.4,1.7,105.1,High Hydroplaning Risk
CONTI-TIRE-3265,97.8,7.4,6.4,96.2,High Hydroplaning Risk
CONTI-TIRE-3266,57.7,7.0,6.6,34.2,Safe Wet Grip Margin
CONTI-TIRE-3267,79.8,8.1,3.1,75.1,High Hydroplaning Risk
CONTI-TIRE-3268,52.5,6.8,3.6,28.9,Safe Wet Grip Margin
CONTI-TIRE-3269,114.0,7.8,7.5,120.7,High Hydroplaning Risk
CONTI-TIRE-3270,72.4,3.7,2.1,54.6,High Hydroplaning Risk
CONTI-TIRE-3271,105.8,8.7,6.2,118.0,High Hydroplaning Risk
CONTI-TIRE-3272,64.9,5.3,2.4,47.7,High Hydroplaning Risk
CONTI-TIRE-3273,100.0,8.0,5.2,109.8,High Hydroplaning Risk
CONTI-TIRE-3274,126.2,3.2,7.2,112.4,Safe Wet Grip Margin
CONTI-TIRE-3275,135.8,3.2,2.5,184.8,High Hydroplaning Risk
CONTI-TIRE-3276,96.8,4.2,4.8,86.1,Safe Wet Grip Margin
CONTI-TIRE-3277,122.5,3.5,7.2,107.1,Safe Wet Grip Margin
CONTI-TIRE-3278,61.8,5.0,6.3,34.3,Safe Wet Grip Margin
CONTI-TIRE-3279,70.8,7.1,7.2,42.0,Safe Wet Grip Margin
CONTI-TIRE-3280,58.5,4.7,4.5,32.8,Safe Wet Grip Margin
CONTI-TIRE-3281,56.9,2.2,6.1,27.0,Safe Wet Grip Margin
CONTI-TIRE-3282,76.8,3.6,1.9,60.6,High Hydroplaning Risk
CONTI-TIRE-3283,95.6,7.9,4.7,102.7,High Hydroplaning Risk
CONTI-TIRE-3284,97.1,5.0,6.0,83.0,Safe Wet Grip Margin
CONTI-TIRE-3285,80.2,2.3,3.2,57.9,Safe Wet Grip Margin
CONTI-TIRE-3286,127.5,3.7,4.1,151.7,High Hydroplaning Risk
CONTI-TIRE-3287,63.4,2.9,5.9,29.2,Safe Wet Grip Margin
CONTI-TIRE-3288,136.1,7.4,3.1,218.3,High Hydroplaning Risk
CONTI-TIRE-3289,116.9,5.8,4.3,140.7,High Hydroplaning Risk
CONTI-TIRE-3290,101.0,5.3,7.4,78.6,Safe Wet Grip Margin
CONTI-TIRE-3291,101.4,2.0,4.3,86.4,Safe Wet Grip Margin
CONTI-TIRE-3292,130.1,0.8,6.5,106.2,Safe Wet Grip Margin
CONTI-TIRE-3293,120.5,4.3,6.7,115.3,High Hydroplaning Risk
CONTI-TIRE-3294,93.4,7.2,3.1,101.1,High Hydroplaning Risk
CONTI-TIRE-3295,137.1,7.0,6.9,174.2,High Hydroplaning Risk
CONTI-TIRE-3296,78.1,2.4,5.8,42.9,Safe Wet Grip Margin
CONTI-TIRE-3297,88.2,5.4,5.6,72.3,Safe Wet Grip Margin
CONTI-TIRE-3298,126.6,8.5,3.4,198.9,High Hydroplaning Risk
CONTI-TIRE-3299,86.6,6.9,4.7,80.4,High Hydroplaning Risk
CONTI-TIRE-3300,71.7,6.6,7.4,42.0,Safe Wet Grip Margin
CONTI-TIRE-3301,86.6,5.0,7.5,60.3,Safe Wet Grip Margin
CONTI-TIRE-3302,91.5,5.8,4.1,90.4,High Hydroplaning Risk
CONTI-TIRE-3303,92.2,2.8,4.9,68.3,Safe Wet Grip Margin
CONTI-TIRE-3304,119.9,4.2,7.1,109.8,High Hydroplaning Risk
CONTI-TIRE-3305,70.4,5.5,6.3,42.7,Safe Wet Grip Margin
CONTI-TIRE-3306,96.8,7.2,3.0,109.8,High Hydroplaning Risk
CONTI-TIRE-3307,97.0,8.9,5.6,102.8,High Hydroplaning Risk
CONTI-TIRE-3308,125.4,7.1,3.3,183.8,High Hydroplaning Risk
CONTI-TIRE-3309,104.9,1.0,6.5,70.4,Safe Wet Grip Margin
CONTI-TIRE-3310,123.0,7.8,7.5,141.9,High Hydroplaning Risk
CONTI-TIRE-3311,120.7,7.7,2.8,172.7,High Hydroplaning Risk
CONTI-TIRE-3312,97.2,7.8,4.1,110.1,High Hydroplaning Risk
CONTI-TIRE-3313,99.8,2.3,5.6,75.0,Safe Wet Grip Margin
CONTI-TIRE-3314,108.9,7.0,7.5,103.2,High Hydroplaning Risk
CONTI-TIRE-3315,89.4,2.6,6.1,60.4,Safe Wet Grip Margin
CONTI-TIRE-3316,92.8,1.4,7.5,54.4,Safe Wet Grip Margin
CONTI-TIRE-3317,69.1,1.2,4.1,37.5,Safe Wet Grip Margin
CONTI-TIRE-3318,108.0,5.2,5.3,106.2,High Hydroplaning Risk
CONTI-TIRE-3319,134.3,0.9,5.8,120.9,Safe Wet Grip Margin
CONTI-TIRE-3320,129.5,0.8,6.0,112.1,Safe Wet Grip Margin
CONTI-TIRE-3321,76.9,6.3,6.5,51.6,Safe Wet Grip Margin
CONTI-TIRE-3322,129.8,8.7,2.7,210.8,High Hydroplaning Risk
CONTI-TIRE-3323,76.0,6.3,2.2,69.2,High Hydroplaning Risk
CONTI-TIRE-3324,136.6,5.7,1.7,222.8,High Hydroplaning Risk
CONTI-TIRE-3325,59.8,5.8,3.9,35.7,Safe Wet Grip Margin
CONTI-TIRE-3326,89.5,4.5,2.6,85.1,High Hydroplaning Risk
CONTI-TIRE-3327,53.0,3.1,4.1,26.5,Safe Wet Grip Margin
CONTI-TIRE-3328,68.2,8.8,3.3,56.3,High Hydroplaning Risk
CONTI-TIRE-3329,115.3,7.1,2.0,162.0,High Hydroplaning Risk
CONTI-TIRE-3330,58.2,4.0,6.2,24.2,Safe Wet Grip Margin
CONTI-TIRE-3331,130.2,8.5,4.3,196.6,High Hydroplaning Risk
CONTI-TIRE-3332,60.6,2.3,2.4,38.4,Safe Wet Grip Margin
