Safety_Test_ID,Blade_Cell_Max_Temp_C,Thermal_Gradient_deg_s,Pack_Internal_Pressure_kPa,Adjacent_Cell_Temp_C,Thermal_Safety_Status
BYD-BLADE-1048,52.7,0.49,109.2,26.9,Nominal Pack Thermal Balance
BYD-BLADE-1049,45.7,2.46,106.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1050,41.4,1.65,108.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1051,74.5,0.83,108.9,33.3,Nominal Pack Thermal Balance
BYD-BLADE-1052,68.1,0.9,111.2,32.0,Nominal Pack Thermal Balance
BYD-BLADE-1053,44.1,2.57,104.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1054,29.4,0.63,103.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1055,73.7,0.64,110.9,33.1,Nominal Pack Thermal Balance
BYD-BLADE-1056,65.4,0.01,107.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1057,25.5,0.12,103.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1058,60.5,1.84,107.3,26.7,Nominal Pack Thermal Balance
BYD-BLADE-1059,73.9,4.33,109.3,33.7,Nominal Pack Thermal Balance
BYD-BLADE-1060,77.8,0.37,110.9,33.3,Nominal Pack Thermal Balance
BYD-BLADE-1061,93.8,0.45,112.8,43.2,Nominal Pack Thermal Balance
BYD-BLADE-1062,84.4,0.82,111.6,39.9,Nominal Pack Thermal Balance
BYD-BLADE-1063,56.1,0.06,108.1,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1064,86.6,0.91,113.1,37.4,Nominal Pack Thermal Balance
BYD-BLADE-1065,79.6,0.88,112.4,35.7,Nominal Pack Thermal Balance
BYD-BLADE-1066,83.7,4.28,113.0,34.5,Localized Thermal Venting Intercept
BYD-BLADE-1067,55.9,0.28,110.3,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1068,39.3,1.29,104.1,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1069,36.7,2.24,105.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1070,79.6,2.66,108.3,38.5,Nominal Pack Thermal Balance
BYD-BLADE-1071,30.0,1.75,104.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1072,35.2,2.47,104.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1073,86.2,1.16,109.8,36.7,Nominal Pack Thermal Balance
BYD-BLADE-1074,31.2,0.3,101.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1075,81.6,0.27,110.5,35.2,Nominal Pack Thermal Balance
BYD-BLADE-1076,59.6,2.27,107.6,27.7,Nominal Pack Thermal Balance
BYD-BLADE-1077,53.6,0.97,106.9,25.2,Nominal Pack Thermal Balance
BYD-BLADE-1078,34.3,0.51,105.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1079,72.7,0.64,108.2,30.8,Nominal Pack Thermal Balance
BYD-BLADE-1080,79.7,0.64,111.7,39.7,Nominal Pack Thermal Balance
BYD-BLADE-1081,67.7,2.05,109.7,26.8,Nominal Pack Thermal Balance
BYD-BLADE-1082,94.1,0.4,111.3,41.4,Nominal Pack Thermal Balance
BYD-BLADE-1083,54.0,0.64,110.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1084,81.1,0.19,109.2,36.8,Nominal Pack Thermal Balance
BYD-BLADE-1085,31.0,1.67,105.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1086,25.5,0.72,105.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1087,75.7,0.01,112.2,36.2,Nominal Pack Thermal Balance
BYD-BLADE-1088,48.7,3.26,106.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1089,94.4,3.34,112.3,36.7,Nominal Pack Thermal Balance
BYD-BLADE-1090,31.3,0.05,101.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1091,80.3,1.67,110.1,38.0,Nominal Pack Thermal Balance
BYD-BLADE-1092,34.6,2.64,105.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1093,46.9,0.41,103.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1094,92.7,0.18,115.8,41.9,Nominal Pack Thermal Balance
BYD-BLADE-1095,65.7,3.61,110.1,30.7,Nominal Pack Thermal Balance
BYD-BLADE-1096,68.9,0.96,106.6,28.1,Nominal Pack Thermal Balance
BYD-BLADE-1097,30.9,1.58,103.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1098,75.4,0.32,108.4,33.4,Nominal Pack Thermal Balance
BYD-BLADE-1099,81.4,1.82,111.4,36.7,Nominal Pack Thermal Balance
BYD-BLADE-1100,48.0,0.65,107.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1101,28.8,0.96,103.2,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1102,86.9,0.52,110.8,38.3,Nominal Pack Thermal Balance
BYD-BLADE-1103,56.0,0.07,105.9,26.9,Nominal Pack Thermal Balance
BYD-BLADE-1104,68.4,1.9,109.3,29.6,Nominal Pack Thermal Balance
BYD-BLADE-1105,32.4,0.06,105.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1106,94.3,1.12,111.3,45.3,Nominal Pack Thermal Balance
BYD-BLADE-1107,81.1,0.38,111.0,42.1,Nominal Pack Thermal Balance
BYD-BLADE-1108,88.7,0.16,112.1,37.5,Nominal Pack Thermal Balance
BYD-BLADE-1109,33.4,2.9,104.2,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1110,72.1,0.23,110.5,29.0,Nominal Pack Thermal Balance
BYD-BLADE-1111,50.4,0.48,107.1,25.5,Nominal Pack Thermal Balance
BYD-BLADE-1112,30.7,2.73,105.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1113,49.3,0.13,104.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1114,60.7,1.12,108.2,25.3,Nominal Pack Thermal Balance
BYD-BLADE-1115,63.0,2.26,107.6,26.4,Nominal Pack Thermal Balance
BYD-BLADE-1116,82.6,0.35,111.6,39.8,Nominal Pack Thermal Balance
BYD-BLADE-1117,37.0,0.24,105.1,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1118,79.8,1.63,113.1,39.5,Nominal Pack Thermal Balance
BYD-BLADE-1119,54.7,1.37,107.4,25.8,Nominal Pack Thermal Balance
BYD-BLADE-1120,91.0,1.23,114.2,40.7,Nominal Pack Thermal Balance
BYD-BLADE-1121,51.6,1.31,107.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1122,87.1,1.09,111.9,40.8,Nominal Pack Thermal Balance
BYD-BLADE-1123,74.5,0.96,109.5,34.7,Nominal Pack Thermal Balance
BYD-BLADE-1124,72.4,1.56,109.7,32.5,Nominal Pack Thermal Balance
BYD-BLADE-1125,40.9,0.86,103.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1126,40.8,0.51,103.3,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1127,83.5,3.18,114.1,41.5,Nominal Pack Thermal Balance
BYD-BLADE-1128,83.7,0.84,112.0,39.1,Nominal Pack Thermal Balance
BYD-BLADE-1129,68.5,0.01,106.7,29.9,Nominal Pack Thermal Balance
BYD-BLADE-1130,36.2,0.03,105.1,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1131,25.5,0.33,105.3,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1132,58.0,1.64,108.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1133,75.8,1.57,107.8,35.8,Nominal Pack Thermal Balance
BYD-BLADE-1134,60.6,1.4,108.1,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1135,54.6,0.65,108.4,25.8,Nominal Pack Thermal Balance
BYD-BLADE-1136,59.1,0.14,110.2,27.5,Nominal Pack Thermal Balance
BYD-BLADE-1137,32.7,1.34,105.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1138,50.6,2.15,106.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1139,56.6,0.94,109.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1140,28.0,2.4,102.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1141,39.1,1.56,106.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1142,30.6,0.23,104.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1143,31.8,3.94,106.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1144,29.5,1.53,106.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1145,49.3,0.46,105.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1146,44.5,2.55,108.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1147,42.1,2.23,107.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1148,57.1,0.98,107.7,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1149,53.9,0.54,108.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1150,94.4,1.16,111.3,41.7,Nominal Pack Thermal Balance
BYD-BLADE-1151,33.3,1.09,104.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1152,88.8,6.44,111.0,42.0,Localized Thermal Venting Intercept
BYD-BLADE-1153,70.2,0.1,107.7,32.2,Nominal Pack Thermal Balance
BYD-BLADE-1154,43.2,1.81,106.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1155,52.8,0.36,110.7,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1156,69.8,0.44,110.2,35.0,Nominal Pack Thermal Balance
BYD-BLADE-1157,64.9,3.91,108.8,29.8,Nominal Pack Thermal Balance
BYD-BLADE-1158,90.9,2.31,111.1,41.9,Nominal Pack Thermal Balance
BYD-BLADE-1159,91.7,0.6,113.0,40.5,Nominal Pack Thermal Balance
BYD-BLADE-1160,50.4,0.38,105.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1161,89.2,1.14,110.9,40.7,Nominal Pack Thermal Balance
BYD-BLADE-1162,83.3,0.17,111.5,39.3,Nominal Pack Thermal Balance
BYD-BLADE-1163,55.8,0.41,106.9,26.3,Nominal Pack Thermal Balance
BYD-BLADE-1164,37.2,0.67,106.3,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1165,26.6,1.4,102.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1166,61.9,0.33,108.0,28.3,Nominal Pack Thermal Balance
BYD-BLADE-1167,28.7,0.22,104.7,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1168,55.9,2.31,110.2,31.4,Nominal Pack Thermal Balance
BYD-BLADE-1169,86.9,0.18,110.1,37.8,Nominal Pack Thermal Balance
BYD-BLADE-1170,94.2,0.62,111.4,43.4,Nominal Pack Thermal Balance
BYD-BLADE-1171,25.5,2.99,104.1,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1172,58.1,1.24,108.2,28.0,Nominal Pack Thermal Balance
BYD-BLADE-1173,54.7,0.85,107.7,25.3,Nominal Pack Thermal Balance
BYD-BLADE-1174,57.1,1.68,104.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1175,72.5,0.46,109.4,30.1,Nominal Pack Thermal Balance
BYD-BLADE-1176,87.0,1.64,111.0,41.3,Nominal Pack Thermal Balance
BYD-BLADE-1177,31.6,0.15,106.7,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1178,78.1,0.08,110.4,36.7,Nominal Pack Thermal Balance
BYD-BLADE-1179,74.2,0.2,110.2,31.9,Nominal Pack Thermal Balance
BYD-BLADE-1180,58.1,0.08,108.5,29.4,Nominal Pack Thermal Balance
BYD-BLADE-1181,25.6,0.76,101.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1182,92.6,0.06,113.7,40.7,Nominal Pack Thermal Balance
BYD-BLADE-1183,37.9,0.49,103.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1184,72.7,2.22,107.5,31.4,Nominal Pack Thermal Balance
BYD-BLADE-1185,28.7,0.27,105.3,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1186,70.1,0.67,111.0,29.2,Nominal Pack Thermal Balance
BYD-BLADE-1187,63.0,1.41,109.6,28.1,Nominal Pack Thermal Balance
BYD-BLADE-1188,48.3,0.45,106.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1189,81.2,2.15,108.0,37.3,Nominal Pack Thermal Balance
BYD-BLADE-1190,73.3,1.54,109.8,37.5,Nominal Pack Thermal Balance
BYD-BLADE-1191,49.5,1.84,108.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1192,58.6,1.78,107.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1193,43.5,1.45,107.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1194,83.7,0.42,113.6,36.3,Nominal Pack Thermal Balance
BYD-BLADE-1195,73.8,0.63,108.9,29.8,Nominal Pack Thermal Balance
BYD-BLADE-1196,92.5,0.2,112.4,44.8,Nominal Pack Thermal Balance
BYD-BLADE-1197,46.8,0.6,108.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1198,36.2,0.46,103.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1199,68.5,0.94,109.3,31.8,Nominal Pack Thermal Balance
BYD-BLADE-1200,89.8,0.18,111.3,39.6,Nominal Pack Thermal Balance
BYD-BLADE-1201,86.3,0.42,111.5,40.2,Nominal Pack Thermal Balance
BYD-BLADE-1202,92.2,1.15,111.0,42.1,Nominal Pack Thermal Balance
BYD-BLADE-1203,79.7,0.46,108.4,34.0,Nominal Pack Thermal Balance
BYD-BLADE-1204,25.2,0.02,103.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1205,44.8,0.96,105.7,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1206,80.5,0.83,111.5,37.9,Nominal Pack Thermal Balance
BYD-BLADE-1207,82.7,0.84,112.3,39.4,Nominal Pack Thermal Balance
BYD-BLADE-1208,28.0,0.75,104.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1209,93.1,1.08,113.6,43.4,Nominal Pack Thermal Balance
BYD-BLADE-1210,94.0,0.49,110.5,43.4,Nominal Pack Thermal Balance
BYD-BLADE-1211,33.3,1.27,105.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1212,81.2,0.96,110.0,33.0,Nominal Pack Thermal Balance
BYD-BLADE-1213,61.7,0.67,108.2,28.5,Nominal Pack Thermal Balance
BYD-BLADE-1214,39.0,1.44,107.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1215,83.4,6.15,113.8,39.1,Localized Thermal Venting Intercept
BYD-BLADE-1216,31.9,2.77,107.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1217,76.4,0.11,109.7,34.7,Nominal Pack Thermal Balance
BYD-BLADE-1218,44.4,0.29,105.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1219,85.9,0.9,113.3,37.9,Nominal Pack Thermal Balance
BYD-BLADE-1220,78.7,3.61,110.5,34.4,Nominal Pack Thermal Balance
BYD-BLADE-1221,38.2,0.51,106.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1222,68.0,0.04,107.8,30.0,Nominal Pack Thermal Balance
BYD-BLADE-1223,33.4,0.22,104.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1224,70.3,0.28,111.9,34.3,Nominal Pack Thermal Balance
BYD-BLADE-1225,63.1,0.73,107.3,28.7,Nominal Pack Thermal Balance
BYD-BLADE-1226,29.7,2.76,105.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1227,56.8,0.5,108.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1228,31.2,0.96,105.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1229,43.9,0.21,104.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1230,58.9,3.46,107.4,29.3,Nominal Pack Thermal Balance
BYD-BLADE-1231,61.3,1.72,108.0,26.0,Nominal Pack Thermal Balance
BYD-BLADE-1232,65.9,0.17,108.8,30.2,Nominal Pack Thermal Balance
BYD-BLADE-1233,64.6,2.29,110.1,29.1,Nominal Pack Thermal Balance
BYD-BLADE-1234,42.9,2.27,105.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1235,62.9,1.38,109.6,28.2,Nominal Pack Thermal Balance
BYD-BLADE-1236,76.0,0.78,111.1,34.9,Nominal Pack Thermal Balance
BYD-BLADE-1237,49.8,0.73,105.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1238,28.8,0.71,104.3,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1239,69.9,0.21,109.1,29.7,Nominal Pack Thermal Balance
BYD-BLADE-1240,28.5,3.62,105.3,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1241,32.4,1.48,105.1,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1242,44.3,0.09,106.2,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1243,41.3,1.82,106.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1244,61.7,1.64,107.7,27.1,Nominal Pack Thermal Balance
BYD-BLADE-1245,48.6,2.16,108.2,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1246,71.8,0.47,112.4,32.1,Nominal Pack Thermal Balance
BYD-BLADE-1247,78.9,0.29,112.4,33.8,Nominal Pack Thermal Balance
BYD-BLADE-1248,85.9,0.04,112.7,38.7,Nominal Pack Thermal Balance
BYD-BLADE-1249,93.6,0.92,112.8,42.6,Nominal Pack Thermal Balance
BYD-BLADE-1250,84.4,1.46,110.4,35.7,Nominal Pack Thermal Balance
BYD-BLADE-1251,73.6,0.49,110.2,32.8,Nominal Pack Thermal Balance
BYD-BLADE-1252,79.6,0.17,112.1,38.3,Nominal Pack Thermal Balance
BYD-BLADE-1253,45.6,3.29,104.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1254,87.5,0.3,115.1,41.5,Nominal Pack Thermal Balance
BYD-BLADE-1255,26.5,0.65,104.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1256,49.5,0.76,108.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1257,88.6,0.62,112.5,41.3,Nominal Pack Thermal Balance
BYD-BLADE-1258,64.4,0.24,109.2,27.9,Nominal Pack Thermal Balance
BYD-BLADE-1259,39.6,2.01,106.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1260,76.3,0.88,111.0,36.5,Nominal Pack Thermal Balance
BYD-BLADE-1261,92.7,1.66,112.2,46.9,Nominal Pack Thermal Balance
BYD-BLADE-1262,92.2,0.71,113.0,45.1,Nominal Pack Thermal Balance
BYD-BLADE-1263,74.7,1.19,107.9,35.8,Nominal Pack Thermal Balance
BYD-BLADE-1264,74.9,0.19,111.6,29.0,Nominal Pack Thermal Balance
BYD-BLADE-1265,36.7,2.06,106.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1266,47.9,4.73,104.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1267,91.6,2.51,113.6,42.3,Nominal Pack Thermal Balance
BYD-BLADE-1268,69.8,1.04,107.4,29.1,Nominal Pack Thermal Balance
BYD-BLADE-1269,61.6,0.41,108.9,28.6,Nominal Pack Thermal Balance
BYD-BLADE-1270,70.1,0.27,110.2,34.1,Nominal Pack Thermal Balance
BYD-BLADE-1271,76.6,3.07,111.2,32.9,Nominal Pack Thermal Balance
BYD-BLADE-1272,56.2,1.37,107.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1273,57.0,2.49,109.7,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1274,84.1,0.91,112.5,36.2,Nominal Pack Thermal Balance
BYD-BLADE-1275,33.7,1.96,105.6,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1276,82.4,0.44,111.4,36.2,Nominal Pack Thermal Balance
BYD-BLADE-1277,37.2,3.17,108.2,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1278,36.7,1.19,108.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1279,74.8,3.17,108.6,32.0,Nominal Pack Thermal Balance
BYD-BLADE-1280,76.2,0.11,110.8,36.5,Nominal Pack Thermal Balance
BYD-BLADE-1281,25.1,0.57,104.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1282,73.4,1.75,107.0,30.9,Nominal Pack Thermal Balance
BYD-BLADE-1283,79.9,0.17,109.8,34.1,Nominal Pack Thermal Balance
BYD-BLADE-1284,27.5,0.28,106.3,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1285,82.9,0.24,110.0,35.9,Nominal Pack Thermal Balance
BYD-BLADE-1286,63.1,0.38,109.6,28.3,Nominal Pack Thermal Balance
BYD-BLADE-1287,77.0,0.64,111.4,30.7,Nominal Pack Thermal Balance
BYD-BLADE-1288,81.7,3.05,110.4,36.8,Nominal Pack Thermal Balance
BYD-BLADE-1289,33.8,2.36,105.7,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1290,88.7,0.03,111.6,38.8,Nominal Pack Thermal Balance
BYD-BLADE-1291,87.8,0.14,112.3,39.8,Nominal Pack Thermal Balance
BYD-BLADE-1292,44.7,0.21,106.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1293,71.7,0.1,109.1,32.0,Nominal Pack Thermal Balance
BYD-BLADE-1294,51.3,1.12,107.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1295,60.7,0.79,108.8,30.9,Nominal Pack Thermal Balance
BYD-BLADE-1296,87.0,0.94,113.5,39.8,Nominal Pack Thermal Balance
BYD-BLADE-1297,59.9,1.85,108.8,27.2,Nominal Pack Thermal Balance
BYD-BLADE-1298,84.1,0.69,108.8,38.5,Nominal Pack Thermal Balance
BYD-BLADE-1299,26.1,2.17,102.2,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1300,63.0,0.9,109.4,30.8,Nominal Pack Thermal Balance
BYD-BLADE-1301,73.7,1.43,108.6,33.5,Nominal Pack Thermal Balance
BYD-BLADE-1302,43.5,1.63,106.9,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1303,38.0,0.29,105.8,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1304,45.1,0.02,103.3,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1305,27.4,3.42,105.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1306,47.2,0.19,108.1,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1307,63.8,1.02,109.7,27.7,Nominal Pack Thermal Balance
BYD-BLADE-1308,59.5,3.76,107.7,28.4,Nominal Pack Thermal Balance
BYD-BLADE-1309,67.3,0.74,109.8,31.6,Nominal Pack Thermal Balance
BYD-BLADE-1310,82.2,0.8,112.3,39.2,Nominal Pack Thermal Balance
BYD-BLADE-1311,65.9,0.38,110.1,31.0,Nominal Pack Thermal Balance
BYD-BLADE-1312,77.7,0.5,109.8,36.9,Nominal Pack Thermal Balance
BYD-BLADE-1313,36.1,3.64,106.1,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1314,43.5,2.56,108.2,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1315,37.3,2.23,106.0,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1316,49.9,1.06,106.4,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1317,79.1,1.7,111.4,35.9,Nominal Pack Thermal Balance
BYD-BLADE-1318,38.5,0.47,102.5,25.0,Nominal Pack Thermal Balance
BYD-BLADE-1319,57.9,0.36,107.4,25.6,Nominal Pack Thermal Balance
BYD-BLADE-1320,29.2,0.96,106.2,25.0,Nominal Pack Thermal Balance
