V2G_Event_ID,Utility_Voltage_V,Power_Export_kW,Total_Harmonic_Distortion_pct,Phase_Angle_Jitter_deg,Grid_Synchronization
FORD-PRO-1066,239.7,8.15,2.57,0.46,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1067,228.3,4.11,2.39,0.61,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1068,229.3,4.44,1.75,0.32,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1069,245.3,7.2,2.14,0.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1070,223.3,3.01,1.87,0.8,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1071,247.6,7.82,2.19,0.98,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1072,233.2,6.29,2.59,0.16,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1073,239.7,5.11,1.99,0.11,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1074,225.5,8.61,2.84,1.45,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1075,239.4,8.39,2.76,0.76,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1076,237.3,6.18,2.21,0.35,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1077,232.7,8.49,2.95,0.68,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1078,222.0,5.59,1.93,0.46,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1079,247.1,7.09,2.85,0.38,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1080,221.0,6.96,2.67,0.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1081,243.8,7.08,2.47,0.42,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1082,231.5,3.6,1.4,1.33,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1083,234.5,3.11,1.73,0.76,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1084,232.9,6.64,2.26,0.99,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1085,230.7,8.17,2.51,1.76,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1086,246.9,8.14,2.93,0.58,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1087,234.9,4.37,1.52,0.64,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1088,233.6,3.23,1.68,0.71,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1089,221.9,9.48,3.76,0.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1090,246.3,8.64,3.46,1.06,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1091,237.7,4.75,2.99,0.7,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1092,232.1,5.45,2.01,0.15,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1093,224.2,6.5,2.35,0.45,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1094,240.9,3.21,2.68,0.48,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1095,244.1,7.24,2.47,1.25,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1096,221.6,5.12,2.05,0.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1097,241.5,6.04,3.08,0.97,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1098,232.8,3.75,2.11,0.51,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1099,223.7,8.47,2.79,0.72,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1100,235.2,9.22,2.7,0.54,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1101,238.9,7.34,2.88,1.52,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1102,228.2,4.71,2.01,0.42,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1103,225.3,2.96,1.89,0.12,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1104,246.5,8.57,3.09,0.87,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1105,235.3,3.97,1.51,0.12,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1106,246.4,5.59,2.46,0.79,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1107,244.8,4.19,1.82,0.15,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1108,242.3,3.52,1.9,0.76,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1109,236.6,4.64,2.32,0.78,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1110,245.3,5.88,1.77,0.61,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1111,232.2,6.39,2.35,0.42,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1112,226.5,3.84,1.87,0.08,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1113,237.6,3.44,1.84,0.13,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1114,236.0,6.53,2.16,1.29,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1115,223.1,4.77,2.19,2.07,Harmonic Filter Compensation Active
FORD-PRO-1116,246.8,7.82,2.51,1.25,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1117,229.0,4.32,1.83,1.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1118,245.1,8.04,2.82,0.78,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1119,240.6,8.98,2.9,0.21,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1120,245.7,7.65,2.9,0.05,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1121,239.8,6.09,2.33,0.46,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1122,246.9,2.43,1.84,0.43,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1123,221.2,8.73,2.79,0.06,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1124,243.0,8.87,2.93,0.87,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1125,227.7,7.7,2.73,1.39,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1126,221.4,8.55,2.49,0.71,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1127,245.0,8.82,3.0,0.2,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1128,220.4,5.98,2.24,1.05,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1129,239.6,5.98,2.45,0.67,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1130,232.0,9.43,3.02,0.69,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1131,244.0,9.55,2.78,0.76,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1132,228.1,7.35,2.65,1.06,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1133,235.5,5.94,2.35,0.2,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1134,243.6,3.32,1.96,0.81,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1135,228.2,4.99,1.85,0.0,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1136,243.5,4.21,2.1,0.07,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1137,230.5,4.71,1.91,0.16,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1138,223.7,9.07,2.53,0.06,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1139,246.0,5.48,1.9,0.44,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1140,225.5,9.19,2.69,0.61,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1141,220.3,4.37,2.27,0.44,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1142,236.5,7.18,2.34,0.58,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1143,243.8,3.93,1.66,0.94,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1144,232.8,5.45,2.42,0.93,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1145,228.5,9.24,2.73,0.57,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1146,236.1,8.96,3.06,0.25,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1147,230.4,9.46,3.21,0.37,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1148,229.4,7.3,2.92,1.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1149,226.4,4.1,1.79,0.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1150,236.1,7.0,2.45,0.31,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1151,228.7,8.21,2.8,0.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1152,229.9,6.18,2.89,0.48,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1153,235.3,8.98,2.35,0.31,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1154,225.9,9.24,3.32,0.56,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1155,225.6,4.48,1.71,0.09,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1156,235.8,3.24,2.21,0.37,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1157,230.4,7.17,2.05,1.16,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1158,245.0,2.97,1.94,0.58,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1159,229.2,4.92,2.16,0.69,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1160,228.2,5.55,2.26,0.2,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1161,235.5,2.71,1.87,0.57,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1162,243.5,3.18,1.9,0.95,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1163,246.3,8.16,3.04,0.57,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1164,234.9,2.47,1.62,0.07,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1165,247.6,9.42,3.29,1.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1166,223.5,7.23,3.09,1.13,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1167,227.3,8.99,2.85,0.55,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1168,233.3,3.1,1.87,0.09,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1169,246.8,3.29,1.58,0.01,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1170,235.8,2.92,1.95,0.9,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1171,231.7,5.58,2.51,0.37,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1172,236.2,4.96,2.03,0.39,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1173,230.3,5.16,2.29,0.01,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1174,245.6,3.56,1.85,0.42,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1175,237.7,8.32,2.72,0.05,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1176,242.6,7.15,3.04,0.59,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1177,236.0,7.75,2.17,0.28,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1178,246.4,9.36,3.09,0.08,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1179,245.8,7.02,2.05,1.21,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1180,222.9,9.19,3.24,0.72,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1181,233.5,7.95,2.97,0.63,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1182,235.5,4.46,1.71,0.43,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1183,239.2,3.92,2.75,0.11,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1184,241.9,5.5,2.15,0.25,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1185,220.5,4.41,2.16,0.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1186,239.8,6.12,2.24,0.05,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1187,233.9,2.68,1.45,0.03,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1188,220.0,8.88,2.5,0.66,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1189,247.0,4.6,1.98,0.93,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1190,243.4,7.45,2.97,0.67,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1191,226.1,9.47,3.03,0.81,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1192,247.7,5.7,2.03,0.05,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1193,226.7,7.03,2.73,0.18,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1194,228.4,7.45,2.71,0.68,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1195,245.0,8.97,2.87,0.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1196,241.5,4.14,1.95,0.39,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1197,235.3,8.94,3.01,0.08,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1198,241.1,2.99,1.82,0.22,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1199,223.3,8.32,3.38,0.49,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1200,233.1,4.67,2.32,0.81,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1201,223.0,8.25,2.99,0.51,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1202,229.5,4.89,2.25,0.46,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1203,221.3,4.42,1.41,0.55,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1204,247.8,9.12,3.16,0.02,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1205,229.1,5.53,2.41,1.08,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1206,227.3,7.82,2.81,0.46,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1207,235.2,2.84,1.71,0.72,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1208,230.3,7.09,2.37,0.25,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1209,225.7,6.17,2.33,1.19,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1210,223.5,2.81,1.92,0.41,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1211,228.2,7.61,2.62,0.64,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1212,229.6,7.39,2.49,0.07,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1213,244.4,3.95,1.84,0.82,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1214,226.7,9.26,3.24,1.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1215,238.7,4.64,2.02,0.85,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1216,247.6,9.51,2.58,0.39,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1217,228.4,9.12,2.84,0.33,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1218,236.5,8.65,2.97,0.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1219,247.9,7.17,2.53,0.21,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1220,226.7,8.2,2.62,0.33,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1221,240.0,5.95,2.7,0.27,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1222,239.2,8.7,2.88,1.25,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1223,224.7,6.49,2.24,0.46,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1224,227.6,5.66,2.48,0.75,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1225,243.8,3.05,1.86,0.47,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1226,236.8,7.44,2.54,0.58,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1227,231.1,9.0,2.77,1.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1228,225.8,7.01,2.51,0.61,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1229,238.5,4.74,1.9,0.32,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1230,220.6,7.52,2.73,0.41,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1231,236.6,2.64,2.2,0.79,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1232,230.4,4.21,1.81,0.63,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1233,245.4,7.19,3.12,0.94,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1234,243.1,6.56,2.4,0.47,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1235,233.0,3.43,1.79,0.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1236,230.2,3.02,1.67,0.16,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1237,242.7,5.34,1.59,1.06,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1238,232.6,4.38,2.02,0.82,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1239,220.8,9.24,2.49,1.08,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1240,230.9,5.69,1.86,0.03,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1241,247.8,6.02,2.43,0.53,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1242,224.7,7.83,2.8,0.68,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1243,246.6,6.57,2.44,0.8,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1244,224.6,4.73,2.02,0.42,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1245,222.9,5.43,2.11,1.03,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1246,221.5,4.39,1.52,0.75,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1247,223.7,9.22,2.57,0.68,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1248,243.0,6.8,2.54,0.14,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1249,228.9,4.57,1.7,0.26,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1250,221.7,7.73,2.68,0.22,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1251,236.3,4.41,2.62,0.87,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1252,226.8,8.33,2.71,0.33,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1253,225.1,3.21,1.19,0.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1254,235.5,5.0,2.28,0.63,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1255,227.0,2.78,1.63,0.33,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1256,232.0,8.96,2.88,0.53,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1257,229.5,9.41,2.66,0.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1258,224.2,4.79,1.97,0.75,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1259,228.2,3.77,1.47,0.73,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1260,247.6,3.87,1.87,0.93,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1261,220.0,6.29,1.97,1.24,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1262,233.6,3.52,1.84,0.38,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1263,221.6,8.97,3.16,1.01,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1264,221.1,8.49,2.86,0.1,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1265,227.8,2.96,2.2,0.14,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1266,238.9,6.76,2.04,1.33,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1267,235.9,4.33,2.25,0.14,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1268,243.8,8.15,2.75,0.64,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1269,230.9,5.72,2.29,0.89,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1270,238.3,4.27,1.99,1.35,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1271,244.0,9.44,2.79,0.04,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1272,237.6,9.55,3.13,0.19,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1273,235.4,2.88,1.68,1.02,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1274,220.0,2.86,1.3,0.65,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1275,233.5,3.33,1.74,0.23,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1276,220.8,4.26,1.58,0.69,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1277,235.7,9.2,2.57,0.51,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1278,248.0,9.23,3.21,0.49,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1279,236.5,3.3,2.07,0.25,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1280,244.4,2.79,1.56,1.13,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1281,224.7,2.62,1.61,0.08,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1282,246.6,4.6,1.78,0.34,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1283,246.2,4.21,2.04,0.15,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1284,224.0,2.89,1.16,0.63,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1285,225.7,7.87,2.72,0.13,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1286,239.2,6.2,2.9,1.52,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1287,247.2,2.57,1.2,0.53,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1288,225.5,2.51,1.22,0.6,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1289,226.6,4.63,1.54,0.99,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1290,238.7,7.22,2.37,0.56,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1291,244.4,7.67,2.8,0.3,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1292,233.0,4.19,1.61,1.03,Clean Utility Grid Sync (<3% THD)
FORD-PRO-1293,246.5,3.81,2.13,0.22,Clean Utility Grid Sync (<3% THD)
