Road_Event_ID,Pothole_Obstacle_Depth_mm,Vehicle_Speed_kmh,Camera_Lookahead_Time_ms,Damper_Pre_Softening_Force_N,Cabin_Vertical_Impact_G,Ride_Isolation_Score_pct,Suspension_Action
GENESIS-G90-1086,5.0,57.1,945,3691,0.129,96.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1087,29.6,103.6,521,2894,0.248,93.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1088,19.0,98.3,549,3191,0.176,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1089,33.3,40.8,1323,2912,0.274,94.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1090,11.2,80.4,671,3514,0.174,98.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1091,5.0,72.8,742,3570,0.138,96.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1092,52.4,76.4,707,2349,0.244,92.3,Pothole Pre-Damping Softening Active
GENESIS-G90-1093,74.0,102.0,530,1625,0.348,93.2,Pothole Pre-Damping Softening Active
GENESIS-G90-1094,8.1,54.2,997,3632,0.128,99.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1095,5.0,104.5,517,3731,0.114,96.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1096,58.1,37.5,1439,2095,0.325,94.3,Pothole Pre-Damping Softening Active
GENESIS-G90-1097,31.5,54.2,996,2803,0.212,94.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1098,33.8,47.2,1144,2827,0.249,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1099,11.3,95.9,563,3308,0.14,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1100,10.4,49.3,1095,3400,0.147,97.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1101,19.8,51.9,1040,3199,0.136,98.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1102,95.0,41.8,1291,1236,0.378,93.1,Pothole Pre-Damping Softening Active
GENESIS-G90-1103,12.0,41.0,1317,3297,0.147,97.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1104,9.5,58.9,917,3580,0.132,96.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1105,37.4,91.1,593,2746,0.203,93.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1106,21.8,44.3,1220,2974,0.2,94.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1107,5.0,36.4,1482,3538,0.119,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1108,67.4,55.8,967,1814,0.324,92.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1109,5.0,63.5,851,3700,0.108,97.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1110,32.4,48.8,1107,3063,0.24,95.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1111,5.0,108.2,499,3785,0.179,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1112,31.8,89.9,600,2784,0.206,95.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1113,28.7,38.8,1391,3145,0.237,94.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1114,23.3,47.9,1127,3157,0.249,93.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1115,5.5,89.7,602,3699,0.146,94.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1116,43.0,53.6,1008,2890,0.194,95.5,Pothole Pre-Damping Softening Active
GENESIS-G90-1117,15.7,40.6,1330,3222,0.166,96.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1118,28.1,46.5,1161,3027,0.195,93.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1119,11.6,62.6,863,3370,0.118,97.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1120,60.7,89.0,607,1996,0.272,94.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1121,5.0,81.7,661,3702,0.218,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1122,5.0,64.0,843,3651,0.131,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1123,6.6,54.6,989,3733,0.15,96.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1124,43.7,82.4,655,2772,0.263,94.4,Pothole Pre-Damping Softening Active
GENESIS-G90-1125,21.8,85.9,629,3236,0.167,96.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1126,45.7,63.6,849,2674,0.29,92.1,Pothole Pre-Damping Softening Active
GENESIS-G90-1127,14.3,100.3,539,3205,0.156,95.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1128,63.2,106.0,510,2039,0.257,94.2,Pothole Pre-Damping Softening Active
GENESIS-G90-1129,19.3,100.3,538,3206,0.178,96.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1130,19.5,49.3,1095,3445,0.097,98.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1131,17.7,66.6,811,3377,0.122,97.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1132,83.5,67.2,804,1717,0.349,89.1,Pothole Pre-Damping Softening Active
GENESIS-G90-1133,12.6,89.9,601,3632,0.174,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1134,5.0,90.3,598,3595,0.14,96.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1135,95.0,50.9,1062,1200,0.406,92.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1136,5.0,109.7,492,3684,0.109,97.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1137,15.7,53.6,1008,3477,0.167,97.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1138,6.2,52.1,1036,3524,0.128,98.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1139,95.0,30.1,1796,1200,0.42,89.0,Pothole Pre-Damping Softening Active
GENESIS-G90-1140,32.3,99.8,541,2709,0.214,94.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1141,21.7,30.1,1794,3271,0.147,96.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1142,5.0,88.4,611,3546,0.124,95.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1143,13.7,71.8,753,3378,0.187,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1144,5.0,70.2,769,3795,0.159,98.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1145,75.6,42.6,1267,1673,0.287,94.3,Pothole Pre-Damping Softening Active
GENESIS-G90-1146,12.7,80.7,670,3493,0.188,95.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1147,58.4,85.2,634,2117,0.266,96.1,Pothole Pre-Damping Softening Active
GENESIS-G90-1148,30.1,40.1,1347,3027,0.197,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1149,57.5,57.7,936,2375,0.253,94.8,Pothole Pre-Damping Softening Active
GENESIS-G90-1150,18.5,44.5,1213,3169,0.173,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1151,14.2,106.7,506,3367,0.125,98.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1152,9.8,100.5,538,3349,0.144,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1153,48.7,64.0,844,2293,0.265,94.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1154,6.9,90.0,600,3430,0.144,95.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1155,69.4,32.9,1642,2043,0.304,94.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1156,5.8,56.4,957,3597,0.113,96.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1157,15.7,90.1,599,3380,0.188,93.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1158,5.0,39.0,1383,3715,0.148,96.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1159,5.0,103.7,521,3666,0.124,98.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1160,40.1,58.8,918,2421,0.257,93.2,Pothole Pre-Damping Softening Active
GENESIS-G90-1161,25.7,35.3,1532,2958,0.193,96.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1162,25.2,95.4,566,2985,0.199,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1163,9.5,83.7,645,3443,0.171,93.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1164,5.9,53.5,1010,3587,0.121,94.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1165,37.1,62.7,862,2698,0.219,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1166,17.1,107.9,501,3257,0.174,95.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1167,31.1,42.8,1262,2793,0.211,95.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1168,22.5,86.9,621,3120,0.186,94.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1169,9.0,103.6,521,3639,0.217,95.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1170,18.8,98.0,551,3197,0.165,96.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1171,23.1,30.4,1776,3102,0.212,94.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1172,43.1,95.7,564,2542,0.202,94.4,Pothole Pre-Damping Softening Active
GENESIS-G90-1173,6.1,99.2,544,3737,0.173,94.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1174,25.2,31.0,1741,2862,0.196,93.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1175,12.0,70.3,768,3557,0.1,97.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1176,6.5,106.0,509,3585,0.134,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1177,8.3,80.6,670,3746,0.116,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1178,13.5,61.2,882,3497,0.147,97.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1179,13.5,45.1,1197,3554,0.215,95.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1180,25.5,62.4,866,2805,0.204,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1181,9.7,96.6,559,3533,0.173,96.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1182,76.5,58.8,919,1630,0.315,93.1,Pothole Pre-Damping Softening Active
GENESIS-G90-1183,12.3,37.1,1454,3600,0.145,98.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1184,5.0,98.2,550,3615,0.105,97.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1185,28.4,75.8,712,3292,0.158,95.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1186,17.8,100.3,538,3127,0.122,95.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1187,14.7,83.7,645,3383,0.159,97.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1188,35.2,96.7,559,2708,0.247,94.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1189,6.7,97.2,556,3549,0.081,97.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1190,24.2,65.1,829,3009,0.186,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1191,25.2,43.0,1256,3176,0.201,94.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1192,12.9,105.1,514,3395,0.13,98.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1193,12.2,36.4,1482,3346,0.19,95.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1194,51.6,82.2,657,2323,0.204,94.9,Pothole Pre-Damping Softening Active
GENESIS-G90-1195,25.7,95.6,565,3221,0.178,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1196,64.3,74.7,723,1985,0.341,92.0,Pothole Pre-Damping Softening Active
GENESIS-G90-1197,30.2,50.4,1072,3076,0.156,93.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1198,10.0,57.1,946,3563,0.13,97.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1199,25.8,81.8,660,3008,0.226,95.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1200,7.4,103.7,521,3723,0.133,98.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1201,18.6,42.9,1258,3160,0.17,96.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1202,8.5,70.7,764,3732,0.084,98.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1203,8.7,56.3,959,3465,0.133,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1204,14.5,52.4,1030,3538,0.151,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1205,23.6,91.8,588,3107,0.176,94.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1206,16.2,51.8,1043,3383,0.146,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1207,17.3,101.2,534,3267,0.23,94.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1208,21.3,41.2,1309,3010,0.144,96.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1209,5.0,83.0,651,3747,0.133,94.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1210,5.0,86.0,628,3690,0.198,95.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1211,5.0,47.7,1132,3544,0.176,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1212,42.5,92.4,584,2596,0.223,94.2,Pothole Pre-Damping Softening Active
GENESIS-G90-1213,11.4,93.5,577,3557,0.143,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1214,37.2,102.6,526,2553,0.265,95.3,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1215,12.2,81.5,662,3195,0.172,97.4,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1216,5.0,40.2,1342,3589,0.094,96.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1217,26.0,98.7,547,3066,0.157,94.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1218,5.5,99.0,546,3675,0.119,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1219,14.9,90.0,600,3382,0.19,94.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1220,63.5,81.3,664,1867,0.303,92.3,Pothole Pre-Damping Softening Active
GENESIS-G90-1221,44.1,47.3,1141,2585,0.252,94.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1222,24.5,94.5,571,3051,0.126,98.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1223,10.8,45.9,1176,3478,0.09,99.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1224,11.4,41.9,1289,3432,0.16,93.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1225,11.3,47.7,1133,3481,0.158,96.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1226,5.0,67.9,795,3631,0.168,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1227,46.4,62.7,861,2634,0.238,95.1,Pothole Pre-Damping Softening Active
GENESIS-G90-1228,5.0,105.4,512,3587,0.106,98.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1229,5.5,52.9,1020,3720,0.164,95.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1230,5.0,53.2,1015,3482,0.155,97.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1231,23.8,99.2,545,3116,0.194,96.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1232,43.3,40.8,1324,2736,0.259,94.3,Pothole Pre-Damping Softening Active
GENESIS-G90-1233,5.0,89.1,606,3762,0.12,98.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1234,61.5,100.1,539,1997,0.268,93.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1235,38.3,87.3,618,2850,0.167,96.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1236,43.4,35.1,1540,2673,0.26,95.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1237,12.4,46.6,1158,3491,0.152,97.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1238,93.0,72.3,747,1245,0.363,87.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1239,42.8,33.7,1601,2547,0.284,93.4,Pothole Pre-Damping Softening Active
GENESIS-G90-1240,64.9,108.5,498,1918,0.261,95.7,Pothole Pre-Damping Softening Active
GENESIS-G90-1241,5.0,45.3,1192,3660,0.181,94.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1242,26.2,42.7,1264,3165,0.206,96.1,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1243,6.6,43.7,1237,3518,0.156,96.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1244,9.6,99.1,545,3345,0.147,96.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1245,15.2,105.4,512,3399,0.172,96.9,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1246,5.0,70.6,765,3646,0.133,94.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1247,86.1,99.6,542,1460,0.339,94.8,Pothole Pre-Damping Softening Active
GENESIS-G90-1248,5.0,46.7,1156,3694,0.156,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1249,5.0,78.7,687,3654,0.139,96.6,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1250,20.4,35.4,1524,3114,0.218,95.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1251,7.8,43.4,1245,3471,0.156,95.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1252,5.0,35.0,1542,3537,0.083,96.7,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1253,5.0,79.3,681,3737,0.148,99.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1254,14.8,90.4,598,3467,0.134,98.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1255,33.5,69.3,780,2948,0.214,94.0,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1256,6.6,104.7,516,3634,0.11,95.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1257,69.2,51.8,1042,1799,0.285,93.9,Pothole Pre-Damping Softening Active
GENESIS-G90-1258,62.2,46.1,1171,2048,0.251,93.6,Pothole Pre-Damping Softening Active
GENESIS-G90-1259,64.8,31.3,1724,1879,0.284,92.8,Pothole Pre-Damping Softening Active
GENESIS-G90-1260,16.6,48.2,1121,3300,0.154,94.8,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1261,16.1,58.6,921,3379,0.152,97.5,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1262,16.2,100.4,538,3605,0.183,93.2,Nominal Magic Carpet Luxury Ride
GENESIS-G90-1263,32.4,44.4,1217,3132,0.209,94.5,Nominal Magic Carpet Luxury Ride
