Fleet_ID,Truck_Model,Cargo_Weight_kg,Wind_Resistance_Cd,Tire_Pressure_PSI,Hill_Elevation_m,Average_Speed_MPH,Fuel_Economy_MPG
TRUCK-5096,UrbanDelivery 4x2,5084,0.383,101.2,58.0,48.8,8.59
TRUCK-5097,EcoVan 2500,16957,0.49,95.5,358.1,52.9,4.57
TRUCK-5098,AeroTruck V6,9572,0.677,89.3,518.7,61.0,5.06
TRUCK-5099,UrbanDelivery 4x2,9322,0.66,104.4,12.2,52.7,6.16
TRUCK-5100,TransHaul Heavy 8,14909,0.572,102.7,165.5,74.9,5.13
TRUCK-5101,UrbanDelivery 4x2,17085,0.71,101.1,961.9,73.8,4.5
TRUCK-5102,TransHaul Heavy 8,10409,0.696,101.2,507.1,54.8,5.56
TRUCK-5103,UrbanDelivery 4x2,9600,0.548,102.1,1163.8,62.2,5.93
TRUCK-5104,UrbanDelivery 4x2,5004,0.634,96.1,187.8,62.6,6.88
TRUCK-5105,EcoVan 2500,12898,0.352,99.2,377.9,52.8,6.84
TRUCK-5106,TransHaul Heavy 8,12365,0.713,101.9,629.5,65.1,4.9
TRUCK-5107,EcoVan 2500,14442,0.529,118.8,604.9,66.6,5.42
TRUCK-5108,EcoVan 2500,11643,0.552,86.4,8.7,61.6,5.04
TRUCK-5109,UrbanDelivery 4x2,15445,0.416,112.2,473.7,53.8,6.41
TRUCK-5110,AeroTruck V6,13426,0.662,96.9,21.0,65.8,4.79
TRUCK-5111,UrbanDelivery 4x2,2552,0.538,104.6,61.1,68.4,8.11
TRUCK-5112,EcoVan 2500,14757,0.574,109.4,130.6,58.7,6.03
TRUCK-5113,EcoVan 2500,8837,0.507,101.7,213.9,62.7,7.0
TRUCK-5114,EcoVan 2500,9882,0.442,89.8,9.5,61.1,6.06
TRUCK-5115,EcoVan 2500,9492,0.572,119.0,33.3,62.8,7.72
TRUCK-5116,UrbanDelivery 4x2,16855,0.632,113.1,237.6,61.6,4.92
TRUCK-5117,EcoVan 2500,12973,0.641,101.7,161.0,62.0,5.63
TRUCK-5118,TransHaul Heavy 8,10617,0.585,98.7,668.7,47.8,5.65
TRUCK-5119,TransHaul Heavy 8,5778,0.674,99.3,190.7,66.3,5.98
TRUCK-5120,TransHaul Heavy 8,9940,0.669,108.9,34.8,68.6,5.78
TRUCK-5121,EcoVan 2500,11001,0.7,94.2,165.1,75.2,4.5
TRUCK-5122,AeroTruck V6,15916,0.363,103.0,176.9,70.0,5.32
TRUCK-5123,UrbanDelivery 4x2,4544,0.438,109.5,169.9,57.4,8.59
TRUCK-5124,TransHaul Heavy 8,3529,0.459,115.8,117.1,66.5,8.46
TRUCK-5125,TransHaul Heavy 8,14238,0.592,101.9,731.9,58.1,5.1
TRUCK-5126,AeroTruck V6,5624,0.527,96.7,489.4,59.9,7.39
TRUCK-5127,TransHaul Heavy 8,3418,0.464,88.0,29.5,59.9,7.91
TRUCK-5128,TransHaul Heavy 8,12568,0.386,105.6,415.4,62.0,6.91
TRUCK-5129,UrbanDelivery 4x2,17410,0.663,104.9,376.6,66.6,4.5
TRUCK-5130,TransHaul Heavy 8,13783,0.707,100.1,317.1,78.4,4.5
TRUCK-5131,TransHaul Heavy 8,5203,0.451,121.7,45.0,58.2,9.14
TRUCK-5132,EcoVan 2500,16901,0.598,86.6,120.0,57.4,4.58
TRUCK-5133,EcoVan 2500,5542,0.41,103.3,185.3,60.5,7.83
TRUCK-5134,AeroTruck V6,5350,0.361,107.3,925.1,66.5,7.98
TRUCK-5135,AeroTruck V6,6841,0.46,103.4,422.3,75.5,6.46
TRUCK-5136,EcoVan 2500,13560,0.415,113.4,926.9,56.6,6.78
TRUCK-5137,EcoVan 2500,13699,0.695,104.7,711.1,55.0,5.65
TRUCK-5138,EcoVan 2500,17290,0.637,110.3,179.0,65.9,4.55
TRUCK-5139,EcoVan 2500,2969,0.489,95.0,815.8,70.7,7.63
TRUCK-5140,AeroTruck V6,11521,0.377,109.6,1241.9,55.3,6.89
TRUCK-5141,EcoVan 2500,13090,0.677,111.0,52.5,64.8,5.2
TRUCK-5142,EcoVan 2500,14005,0.62,102.5,1264.2,71.8,4.5
TRUCK-5143,UrbanDelivery 4x2,11596,0.56,94.1,39.4,71.6,5.57
TRUCK-5144,EcoVan 2500,15035,0.543,105.3,260.5,61.1,5.78
TRUCK-5145,EcoVan 2500,9737,0.414,105.9,345.1,51.3,7.29
TRUCK-5146,TransHaul Heavy 8,12008,0.686,115.9,42.4,59.1,6.39
TRUCK-5147,EcoVan 2500,9152,0.379,110.8,477.5,67.8,7.09
TRUCK-5148,TransHaul Heavy 8,13033,0.565,94.6,791.3,58.0,5.16
TRUCK-5149,UrbanDelivery 4x2,14076,0.601,107.7,53.7,50.4,6.08
TRUCK-5150,EcoVan 2500,7687,0.459,103.1,56.5,63.4,8.11
TRUCK-5151,UrbanDelivery 4x2,7955,0.526,95.5,14.1,65.7,7.57
TRUCK-5152,EcoVan 2500,5974,0.417,110.1,151.6,57.0,8.48
TRUCK-5153,EcoVan 2500,4937,0.539,108.0,380.9,59.2,7.85
TRUCK-5154,TransHaul Heavy 8,14750,0.527,103.5,481.8,65.9,5.71
TRUCK-5155,TransHaul Heavy 8,6462,0.449,107.4,133.9,57.1,8.36
TRUCK-5156,TransHaul Heavy 8,10037,0.386,90.1,1322.8,54.9,5.87
TRUCK-5157,TransHaul Heavy 8,12442,0.672,104.5,414.0,73.1,4.83
TRUCK-5158,AeroTruck V6,15848,0.578,111.7,420.4,57.1,5.2
TRUCK-5159,EcoVan 2500,9093,0.599,105.7,105.2,75.2,5.49
TRUCK-5160,TransHaul Heavy 8,4276,0.71,99.1,112.3,58.4,6.82
TRUCK-5161,AeroTruck V6,15974,0.548,95.9,188.5,69.8,4.5
TRUCK-5162,AeroTruck V6,7015,0.423,106.2,214.4,68.9,7.07
TRUCK-5163,TransHaul Heavy 8,10183,0.514,105.2,357.5,55.1,6.79
TRUCK-5164,TransHaul Heavy 8,2787,0.652,117.2,31.1,58.7,8.57
TRUCK-5165,EcoVan 2500,5402,0.426,90.8,262.2,54.3,7.31
TRUCK-5166,AeroTruck V6,12964,0.48,94.3,240.1,56.8,6.16
TRUCK-5167,UrbanDelivery 4x2,17835,0.494,105.0,363.3,54.1,4.98
TRUCK-5168,UrbanDelivery 4x2,7255,0.386,109.7,220.7,71.3,7.27
TRUCK-5169,EcoVan 2500,5597,0.508,105.8,489.2,48.4,7.71
TRUCK-5170,UrbanDelivery 4x2,8672,0.601,111.5,9.0,50.0,7.4
TRUCK-5171,UrbanDelivery 4x2,11331,0.53,106.8,202.3,53.6,7.08
TRUCK-5172,EcoVan 2500,8686,0.571,104.7,456.1,77.6,5.49
TRUCK-5173,UrbanDelivery 4x2,4399,0.477,127.0,992.8,64.4,8.19
TRUCK-5174,UrbanDelivery 4x2,6841,0.603,112.7,23.6,62.3,7.71
TRUCK-5175,TransHaul Heavy 8,5440,0.677,102.4,886.5,66.8,6.22
TRUCK-5176,AeroTruck V6,3725,0.46,108.3,178.2,77.4,7.31
TRUCK-5177,TransHaul Heavy 8,8281,0.462,106.6,223.9,71.1,7.35
TRUCK-5178,AeroTruck V6,8284,0.574,102.2,82.6,63.8,6.81
TRUCK-5179,EcoVan 2500,13348,0.549,92.6,503.2,62.8,4.92
TRUCK-5180,TransHaul Heavy 8,10919,0.503,100.5,173.4,51.1,5.45
TRUCK-5181,EcoVan 2500,13001,0.509,103.7,9.6,55.8,6.27
TRUCK-5182,AeroTruck V6,5650,0.56,94.2,383.7,58.4,6.68
TRUCK-5183,AeroTruck V6,3882,0.387,100.7,35.8,53.2,8.2
TRUCK-5184,UrbanDelivery 4x2,17081,0.515,86.5,677.8,72.1,4.5
TRUCK-5185,EcoVan 2500,9303,0.639,109.2,255.9,60.8,6.35
TRUCK-5186,EcoVan 2500,12825,0.484,110.7,586.2,46.6,5.9
TRUCK-5187,TransHaul Heavy 8,11712,0.482,94.0,103.0,63.7,5.6
TRUCK-5188,AeroTruck V6,14676,0.407,111.0,714.3,74.2,4.79
TRUCK-5189,UrbanDelivery 4x2,8979,0.614,114.7,453.8,51.4,7.0
TRUCK-5190,TransHaul Heavy 8,16279,0.663,90.9,7.4,64.6,4.5
TRUCK-5191,AeroTruck V6,17379,0.672,90.6,100.1,63.6,4.5
TRUCK-5192,UrbanDelivery 4x2,4106,0.464,110.3,173.6,56.3,8.78
TRUCK-5193,UrbanDelivery 4x2,2441,0.395,105.4,284.0,59.7,9.06
TRUCK-5194,TransHaul Heavy 8,7591,0.618,101.3,200.9,66.0,6.71
TRUCK-5195,TransHaul Heavy 8,12947,0.575,101.4,125.9,68.4,5.13
TRUCK-5196,AeroTruck V6,8764,0.643,111.3,100.1,62.1,6.33
TRUCK-5197,TransHaul Heavy 8,7509,0.639,105.2,728.7,65.6,6.66
TRUCK-5198,EcoVan 2500,17949,0.593,113.0,202.2,60.7,5.3
TRUCK-5199,TransHaul Heavy 8,3519,0.408,109.2,65.9,66.0,8.68
TRUCK-5200,EcoVan 2500,2501,0.7,103.0,320.7,75.3,6.42
TRUCK-5201,EcoVan 2500,7872,0.401,107.3,301.7,66.8,7.79
TRUCK-5202,TransHaul Heavy 8,5624,0.562,100.8,106.4,65.6,7.2
TRUCK-5203,AeroTruck V6,12789,0.352,98.0,138.2,70.7,5.61
TRUCK-5204,UrbanDelivery 4x2,6965,0.444,110.2,192.4,67.9,6.98
TRUCK-5205,TransHaul Heavy 8,3897,0.459,107.5,38.5,51.9,8.25
TRUCK-5206,TransHaul Heavy 8,2740,0.5,106.7,756.4,59.7,8.44
TRUCK-5207,EcoVan 2500,2027,0.501,108.7,322.8,56.0,8.99
TRUCK-5208,AeroTruck V6,16671,0.655,114.5,91.6,66.4,5.56
TRUCK-5209,TransHaul Heavy 8,4135,0.518,106.9,454.0,56.2,8.13
TRUCK-5210,EcoVan 2500,17715,0.43,100.3,299.3,59.8,5.49
TRUCK-5211,TransHaul Heavy 8,16757,0.41,95.3,71.7,63.8,4.79
TRUCK-5212,UrbanDelivery 4x2,5178,0.641,92.9,624.2,67.4,5.73
TRUCK-5213,UrbanDelivery 4x2,10712,0.501,105.8,71.8,67.5,6.29
TRUCK-5214,EcoVan 2500,13705,0.374,105.4,4.2,57.2,7.2
TRUCK-5215,AeroTruck V6,17119,0.565,118.8,178.6,65.6,5.43
TRUCK-5216,EcoVan 2500,17911,0.553,100.9,179.6,59.5,4.5
TRUCK-5217,TransHaul Heavy 8,13200,0.632,107.4,165.1,64.6,5.36
TRUCK-5218,AeroTruck V6,4518,0.506,101.2,546.7,56.7,7.93
TRUCK-5219,AeroTruck V6,7221,0.489,103.5,198.7,46.8,7.44
TRUCK-5220,EcoVan 2500,10031,0.556,103.9,93.3,57.0,6.48
TRUCK-5221,AeroTruck V6,2102,0.591,104.6,865.7,42.1,6.83
TRUCK-5222,EcoVan 2500,13368,0.416,98.8,1204.3,66.7,5.37
TRUCK-5223,EcoVan 2500,4218,0.687,103.1,146.5,68.9,6.81
TRUCK-5224,EcoVan 2500,3652,0.678,109.4,1350.7,65.7,6.45
TRUCK-5225,EcoVan 2500,9588,0.68,109.2,27.0,69.3,5.83
TRUCK-5226,AeroTruck V6,15764,0.449,105.0,362.9,64.7,5.58
TRUCK-5227,UrbanDelivery 4x2,16628,0.546,90.1,870.7,49.0,4.5
TRUCK-5228,EcoVan 2500,2050,0.667,96.0,282.5,54.2,7.3
TRUCK-5229,EcoVan 2500,6617,0.447,113.5,1037.5,60.3,7.94
TRUCK-5230,TransHaul Heavy 8,6139,0.43,110.0,164.0,56.5,8.21
TRUCK-5231,AeroTruck V6,2877,0.599,100.5,191.7,62.7,8.43
TRUCK-5232,AeroTruck V6,9177,0.667,107.9,353.9,57.6,6.77
TRUCK-5233,EcoVan 2500,5050,0.392,107.5,73.8,68.7,8.81
TRUCK-5234,UrbanDelivery 4x2,16104,0.488,95.9,142.3,78.5,4.5
TRUCK-5235,EcoVan 2500,4067,0.51,105.3,179.5,57.9,8.88
TRUCK-5236,TransHaul Heavy 8,15828,0.663,103.5,160.5,54.0,5.06
TRUCK-5237,TransHaul Heavy 8,11950,0.644,117.5,295.9,58.9,6.64
TRUCK-5238,AeroTruck V6,14459,0.569,113.6,358.3,54.8,6.51
TRUCK-5239,UrbanDelivery 4x2,12126,0.571,106.8,538.6,64.9,5.15
TRUCK-5240,AeroTruck V6,4802,0.691,121.3,23.2,64.1,7.78
TRUCK-5241,EcoVan 2500,7886,0.584,104.2,361.0,65.9,6.61
TRUCK-5242,AeroTruck V6,2076,0.62,105.3,345.1,66.1,7.97
TRUCK-5243,TransHaul Heavy 8,2617,0.553,105.8,187.7,48.4,8.23
TRUCK-5244,EcoVan 2500,5154,0.522,115.6,131.3,59.0,8.71
TRUCK-5245,AeroTruck V6,5358,0.369,111.3,335.2,76.0,7.64
TRUCK-5246,EcoVan 2500,16093,0.45,93.2,255.9,63.9,4.92
TRUCK-5247,TransHaul Heavy 8,8434,0.461,95.8,200.7,53.8,6.52
TRUCK-5248,TransHaul Heavy 8,17952,0.541,103.1,180.0,66.3,4.85
TRUCK-5249,UrbanDelivery 4x2,3545,0.55,120.6,216.2,66.8,8.48
TRUCK-5250,AeroTruck V6,5658,0.6,100.8,37.9,67.5,6.57
TRUCK-5251,UrbanDelivery 4x2,16781,0.556,106.7,696.7,73.3,4.5
TRUCK-5252,UrbanDelivery 4x2,12742,0.439,93.0,888.3,47.2,5.11
TRUCK-5253,UrbanDelivery 4x2,15830,0.491,100.5,455.6,54.5,5.1
TRUCK-5254,EcoVan 2500,12994,0.618,118.7,101.8,64.8,6.4
TRUCK-5255,UrbanDelivery 4x2,9234,0.631,102.0,47.1,68.8,6.45
TRUCK-5256,EcoVan 2500,6086,0.512,97.1,199.3,58.8,7.31
TRUCK-5257,TransHaul Heavy 8,3332,0.483,113.6,229.7,72.4,7.93
TRUCK-5258,TransHaul Heavy 8,12419,0.446,106.0,264.2,60.7,7.1
TRUCK-5259,UrbanDelivery 4x2,11767,0.373,103.6,260.2,58.8,7.21
TRUCK-5260,EcoVan 2500,7257,0.371,116.2,246.8,66.9,8.06
TRUCK-5261,AeroTruck V6,11451,0.52,112.5,83.1,46.2,6.69
TRUCK-5262,EcoVan 2500,2432,0.71,103.7,1174.8,60.1,6.62
TRUCK-5263,EcoVan 2500,13035,0.436,111.5,579.9,61.7,6.5
TRUCK-5264,AeroTruck V6,14223,0.381,98.4,171.0,76.5,4.6
TRUCK-5265,TransHaul Heavy 8,10295,0.478,109.6,25.6,56.2,6.84
TRUCK-5266,EcoVan 2500,16228,0.709,93.0,177.9,60.7,4.5
TRUCK-5267,UrbanDelivery 4x2,15195,0.438,106.9,21.6,53.9,6.68
TRUCK-5268,UrbanDelivery 4x2,7660,0.444,113.4,177.2,72.9,7.29
TRUCK-5269,UrbanDelivery 4x2,4564,0.645,112.1,8.5,58.2,8.56
TRUCK-5270,AeroTruck V6,4721,0.686,113.0,99.6,65.8,6.89
TRUCK-5271,UrbanDelivery 4x2,16287,0.494,106.8,238.9,69.8,4.65
TRUCK-5272,AeroTruck V6,13250,0.424,98.8,386.4,76.2,4.72
TRUCK-5273,AeroTruck V6,9504,0.351,109.6,284.1,52.3,7.69
TRUCK-5274,AeroTruck V6,10218,0.694,105.1,647.4,69.3,5.42
TRUCK-5275,UrbanDelivery 4x2,15898,0.477,108.9,1008.0,54.2,4.68
TRUCK-5276,UrbanDelivery 4x2,17428,0.653,105.8,201.5,53.6,4.87
TRUCK-5277,EcoVan 2500,6519,0.638,110.7,101.3,69.1,6.83
TRUCK-5278,EcoVan 2500,14309,0.628,100.2,143.7,52.7,5.48
TRUCK-5279,AeroTruck V6,3134,0.656,109.0,101.1,59.5,7.7
TRUCK-5280,AeroTruck V6,4829,0.605,110.4,681.3,64.4,6.89
TRUCK-5281,EcoVan 2500,17610,0.714,99.5,33.0,59.7,4.5
TRUCK-5282,EcoVan 2500,2199,0.401,106.0,224.0,51.1,9.19
TRUCK-5283,UrbanDelivery 4x2,2373,0.662,106.4,373.0,72.5,7.04
TRUCK-5284,AeroTruck V6,4662,0.474,120.4,135.3,64.0,8.71
TRUCK-5285,AeroTruck V6,15061,0.455,98.0,24.8,57.1,5.72
TRUCK-5286,UrbanDelivery 4x2,9962,0.695,111.4,424.8,60.5,6.21
TRUCK-5287,TransHaul Heavy 8,3758,0.455,102.1,64.3,72.2,8.4
TRUCK-5288,TransHaul Heavy 8,12653,0.461,97.1,371.9,61.1,6.21
TRUCK-5289,UrbanDelivery 4x2,17325,0.368,99.7,185.7,74.5,4.5
TRUCK-5290,UrbanDelivery 4x2,15103,0.442,98.9,236.6,56.6,6.26
TRUCK-5291,AeroTruck V6,2386,0.532,109.3,200.5,67.4,8.62
TRUCK-5292,EcoVan 2500,13076,0.601,100.9,971.5,63.7,4.8
TRUCK-5293,TransHaul Heavy 8,16324,0.496,105.3,807.2,64.3,5.17
TRUCK-5294,EcoVan 2500,2072,0.467,90.3,711.0,68.7,7.28
TRUCK-5295,TransHaul Heavy 8,13954,0.619,100.1,646.0,63.8,4.6
TRUCK-5296,AeroTruck V6,5692,0.375,93.5,400.2,66.4,7.26
TRUCK-5297,AeroTruck V6,5728,0.382,118.5,237.4,61.2,9.19
TRUCK-5298,TransHaul Heavy 8,9090,0.719,103.8,71.2,58.8,6.03
TRUCK-5299,TransHaul Heavy 8,11916,0.681,106.8,585.1,52.3,5.62
TRUCK-5300,EcoVan 2500,2556,0.607,99.5,134.7,64.3,7.3
TRUCK-5301,UrbanDelivery 4x2,5133,0.518,121.6,93.7,58.2,8.65
TRUCK-5302,EcoVan 2500,3089,0.68,89.7,3.8,61.6,7.54
TRUCK-5303,AeroTruck V6,16412,0.607,117.7,317.6,51.4,5.66
TRUCK-5304,TransHaul Heavy 8,13973,0.685,103.0,45.6,60.9,5.61
TRUCK-5305,UrbanDelivery 4x2,15857,0.7,112.7,140.1,66.9,4.91
TRUCK-5306,TransHaul Heavy 8,6635,0.435,112.4,69.7,57.9,8.45
TRUCK-5307,AeroTruck V6,8111,0.452,112.5,800.6,59.7,6.68
TRUCK-5308,EcoVan 2500,12037,0.639,110.2,2.1,60.7,6.43
TRUCK-5309,TransHaul Heavy 8,3606,0.445,113.7,319.3,53.8,8.51
TRUCK-5310,TransHaul Heavy 8,10480,0.648,116.2,495.2,76.8,4.77
TRUCK-5311,UrbanDelivery 4x2,8029,0.617,83.5,164.3,56.6,6.2
TRUCK-5312,AeroTruck V6,12347,0.503,101.0,243.7,57.9,5.6
TRUCK-5313,EcoVan 2500,9776,0.647,105.7,260.7,63.1,7.73
TRUCK-5314,UrbanDelivery 4x2,5615,0.691,114.1,439.3,57.0,6.81
TRUCK-5315,UrbanDelivery 4x2,7159,0.636,108.5,217.7,62.9,7.58
TRUCK-5316,EcoVan 2500,4222,0.375,97.1,196.5,68.6,8.18
TRUCK-5317,AeroTruck V6,6882,0.458,108.3,66.0,61.3,7.85
TRUCK-5318,AeroTruck V6,17891,0.382,99.8,352.0,57.3,5.54
TRUCK-5319,EcoVan 2500,2759,0.522,109.2,175.7,60.7,8.63
TRUCK-5320,AeroTruck V6,11240,0.501,99.6,86.3,63.1,6.08
TRUCK-5321,EcoVan 2500,16787,0.577,108.4,120.0,68.3,4.5
TRUCK-5322,TransHaul Heavy 8,14863,0.653,101.8,528.5,68.1,4.62
