RDE_Trip_ID,Exhaust_Gas_Temp_C,AdBlue_Dosing_mg_s,SCR_Catalyst_Efficiency_pct,Tailpipe_NOx_mg_km,Euro7_Status
STLA-RDE-4064,246.5,35.0,87.0,25.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4065,201.1,43.4,70.6,53.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4066,680.3,48.8,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4067,272.0,19.4,94.9,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4068,400.2,77.9,96.3,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4069,265.8,76.5,78.1,41.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4070,168.7,58.8,38.5,127.5,Emissions Exceedance Flag
STLA-RDE-4071,141.0,21.5,67.5,65.6,Emissions Exceedance Flag
STLA-RDE-4072,343.8,29.3,97.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4073,573.4,48.4,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4074,482.7,27.1,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4075,307.3,16.5,97.3,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4076,187.8,45.1,63.5,72.5,Emissions Exceedance Flag
STLA-RDE-4077,284.5,20.2,95.5,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4078,158.3,57.6,30.9,139.7,Emissions Exceedance Flag
STLA-RDE-4079,286.5,70.5,84.7,25.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4080,144.0,48.6,29.4,128.0,Emissions Exceedance Flag
STLA-RDE-4081,141.8,81.4,10.0,170.0,Emissions Exceedance Flag
STLA-RDE-4082,384.9,61.4,96.4,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4083,240.2,75.3,69.7,64.2,Emissions Exceedance Flag
STLA-RDE-4084,221.7,67.9,65.0,67.5,Emissions Exceedance Flag
STLA-RDE-4085,235.3,45.6,80.4,40.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4086,189.7,45.9,63.8,64.4,Emissions Exceedance Flag
STLA-RDE-4087,162.8,43.7,50.5,98.6,Emissions Exceedance Flag
STLA-RDE-4088,301.1,13.3,97.6,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4089,167.4,65.6,30.2,120.6,Emissions Exceedance Flag
STLA-RDE-4090,224.8,25.3,87.5,25.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4091,368.4,66.9,95.1,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4092,184.2,27.4,76.8,45.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4093,294.7,47.5,90.7,17.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4094,346.6,44.5,95.7,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4095,202.7,78.3,48.0,99.7,Emissions Exceedance Flag
STLA-RDE-4096,206.6,39.4,75.2,47.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4097,200.7,65.9,55.1,88.5,Emissions Exceedance Flag
STLA-RDE-4098,323.0,72.2,90.4,17.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4099,216.5,58.9,67.5,54.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4100,238.3,59.1,75.6,44.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4101,275.6,29.3,92.6,13.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4102,154.1,50.8,35.5,130.4,Emissions Exceedance Flag
STLA-RDE-4103,536.2,27.5,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4104,270.5,29.8,92.0,16.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4105,426.6,18.6,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4106,224.5,79.6,60.5,89.2,Emissions Exceedance Flag
STLA-RDE-4107,249.3,11.6,95.9,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4108,162.3,37.3,57.6,69.6,Emissions Exceedance Flag
STLA-RDE-4109,448.4,77.8,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4110,146.9,49.1,31.4,139.5,Emissions Exceedance Flag
STLA-RDE-4111,225.6,63.6,68.9,55.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4112,257.6,68.9,78.0,43.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4113,243.0,81.2,68.5,59.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4114,265.5,29.1,91.7,16.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4115,494.3,51.6,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4116,183.4,44.6,61.7,71.7,Emissions Exceedance Flag
STLA-RDE-4117,341.2,50.4,94.7,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4118,239.2,26.5,89.2,20.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4119,166.8,29.6,68.2,57.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4120,351.0,65.9,93.9,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4121,281.0,27.9,93.5,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4122,430.4,18.2,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4123,278.1,54.5,86.8,25.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4124,465.8,32.2,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4125,227.5,46.5,77.8,46.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4126,179.0,22.1,79.9,34.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4127,187.6,45.6,63.0,68.9,Emissions Exceedance Flag
STLA-RDE-4128,172.2,80.8,19.4,161.5,Emissions Exceedance Flag
STLA-RDE-4129,186.5,41.4,65.9,61.8,Emissions Exceedance Flag
STLA-RDE-4130,258.0,74.1,76.4,41.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4131,202.6,62.9,58.2,76.7,Emissions Exceedance Flag
STLA-RDE-4132,393.2,41.8,97.8,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4133,157.0,10.0,87.8,22.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4134,161.9,41.0,53.1,95.7,Emissions Exceedance Flag
STLA-RDE-4135,169.0,12.5,87.0,21.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4136,146.8,52.4,26.7,138.1,Emissions Exceedance Flag
STLA-RDE-4137,145.3,52.7,24.7,149.3,Emissions Exceedance Flag
STLA-RDE-4138,276.3,12.2,97.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4139,209.1,60.4,63.2,71.9,Emissions Exceedance Flag
STLA-RDE-4140,211.4,69.5,58.9,80.1,Emissions Exceedance Flag
STLA-RDE-4141,502.0,63.1,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4142,291.0,71.0,85.5,27.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4143,301.6,31.2,94.5,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4144,199.1,56.6,60.6,58.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4145,312.0,59.8,90.8,20.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4146,321.3,52.3,92.9,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4147,199.5,28.0,80.6,39.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4148,156.1,41.6,48.7,89.2,Emissions Exceedance Flag
STLA-RDE-4149,151.4,23.0,69.7,66.1,Emissions Exceedance Flag
STLA-RDE-4150,296.5,79.0,85.0,25.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4151,192.3,81.2,38.1,113.1,Emissions Exceedance Flag
STLA-RDE-4152,239.3,37.5,84.7,26.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4153,204.0,58.3,61.9,63.3,Emissions Exceedance Flag
STLA-RDE-4154,186.4,71.0,41.4,99.0,Emissions Exceedance Flag
STLA-RDE-4155,399.9,40.4,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4156,168.4,18.9,80.2,46.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4157,624.8,14.2,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4158,296.5,50.8,90.3,19.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4159,194.8,83.6,38.3,99.1,Emissions Exceedance Flag
STLA-RDE-4160,282.9,72.2,83.5,37.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4161,232.7,42.0,81.3,35.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4162,318.2,69.0,90.2,17.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4163,393.5,83.3,95.7,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4164,183.3,84.9,27.0,127.4,Emissions Exceedance Flag
STLA-RDE-4165,374.9,83.1,94.4,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4166,205.6,13.9,91.1,16.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4167,146.5,39.5,44.5,108.8,Emissions Exceedance Flag
STLA-RDE-4168,172.2,44.8,55.3,81.9,Emissions Exceedance Flag
STLA-RDE-4169,306.0,81.6,86.3,25.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4170,191.9,47.0,64.0,57.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4171,183.3,12.2,89.5,21.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4172,329.3,62.5,92.3,15.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4173,217.0,23.2,87.3,20.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4174,168.8,43.1,55.0,75.3,Emissions Exceedance Flag
STLA-RDE-4175,174.9,59.4,42.9,97.3,Emissions Exceedance Flag
STLA-RDE-4176,196.2,14.5,89.5,21.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4177,741.1,17.9,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4178,163.4,49.4,44.6,115.5,Emissions Exceedance Flag
STLA-RDE-4179,153.2,38.0,51.2,90.9,Emissions Exceedance Flag
STLA-RDE-4180,142.5,31.7,53.1,91.1,Emissions Exceedance Flag
STLA-RDE-4181,287.5,25.8,94.5,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4182,365.1,27.6,97.9,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4183,239.9,45.3,81.7,40.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4184,140.2,17.2,73.7,56.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4185,323.9,75.1,90.1,19.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4186,319.0,36.9,94.8,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4187,164.3,51.0,43.5,105.9,Emissions Exceedance Flag
STLA-RDE-4188,261.0,75.5,76.9,42.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4189,379.0,26.7,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4190,226.8,64.6,68.9,60.3,Emissions Exceedance Flag
STLA-RDE-4191,575.8,38.6,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4192,173.4,40.3,60.5,74.0,Emissions Exceedance Flag
STLA-RDE-4193,233.7,78.4,65.6,66.8,Emissions Exceedance Flag
STLA-RDE-4194,253.1,67.0,77.3,42.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4195,157.9,71.4,13.9,164.7,Emissions Exceedance Flag
STLA-RDE-4196,169.2,72.4,24.9,127.4,Emissions Exceedance Flag
STLA-RDE-4197,250.5,83.8,70.6,56.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4198,160.3,48.0,43.9,114.8,Emissions Exceedance Flag
STLA-RDE-4199,212.8,51.9,69.9,63.3,Emissions Exceedance Flag
STLA-RDE-4200,182.2,38.5,66.4,62.0,Emissions Exceedance Flag
STLA-RDE-4201,188.3,36.4,70.7,46.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4202,179.9,46.3,58.4,81.4,Emissions Exceedance Flag
STLA-RDE-4203,283.2,59.0,86.6,24.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4204,236.9,32.5,86.3,27.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4205,716.8,54.6,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4206,155.3,55.1,31.2,121.1,Emissions Exceedance Flag
STLA-RDE-4207,533.1,56.0,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4208,207.8,60.0,62.7,71.3,Emissions Exceedance Flag
STLA-RDE-4209,350.6,75.7,93.0,14.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4210,263.7,47.8,85.9,24.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4211,143.6,33.7,50.8,85.0,Emissions Exceedance Flag
STLA-RDE-4212,155.2,20.2,74.7,51.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4213,476.6,13.2,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4214,178.4,54.0,50.4,99.3,Emissions Exceedance Flag
STLA-RDE-4215,210.7,36.4,78.3,40.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4216,354.5,20.3,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4217,176.8,53.3,50.0,89.3,Emissions Exceedance Flag
STLA-RDE-4218,189.3,40.9,67.5,60.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4219,472.4,48.7,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4220,165.1,27.3,70.1,61.0,Emissions Exceedance Flag
STLA-RDE-4221,269.9,84.7,77.0,46.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4222,152.1,30.3,60.5,78.1,Emissions Exceedance Flag
STLA-RDE-4223,145.9,14.4,79.6,40.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4224,202.2,48.1,67.8,60.5,Emissions Exceedance Flag
STLA-RDE-4225,173.2,10.1,90.1,17.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4226,174.2,75.4,26.7,138.0,Emissions Exceedance Flag
STLA-RDE-4227,144.6,55.5,20.0,145.2,Emissions Exceedance Flag
STLA-RDE-4228,269.9,16.7,95.5,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4229,240.9,35.7,85.8,23.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4230,567.0,32.7,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4231,453.0,31.7,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4232,254.3,42.0,86.0,24.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4233,187.8,62.9,49.1,94.5,Emissions Exceedance Flag
STLA-RDE-4234,319.6,25.3,96.5,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4235,177.8,52.7,51.3,89.0,Emissions Exceedance Flag
STLA-RDE-4236,142.6,49.5,26.8,136.6,Emissions Exceedance Flag
STLA-RDE-4237,152.4,16.3,78.9,40.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4238,140.1,47.1,27.9,149.6,Emissions Exceedance Flag
STLA-RDE-4239,215.0,34.3,80.7,43.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4240,175.5,35.4,66.2,69.1,Emissions Exceedance Flag
STLA-RDE-4241,230.9,75.7,65.5,69.3,Emissions Exceedance Flag
STLA-RDE-4242,174.8,72.9,29.8,110.4,Emissions Exceedance Flag
STLA-RDE-4243,219.8,43.2,77.1,45.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4244,234.4,62.7,72.7,51.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4245,143.4,78.4,10.0,162.8,Emissions Exceedance Flag
STLA-RDE-4246,226.2,40.3,80.5,40.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4247,370.7,23.5,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4248,220.2,77.5,59.2,86.2,Emissions Exceedance Flag
STLA-RDE-4249,167.5,84.8,10.0,163.4,Emissions Exceedance Flag
STLA-RDE-4250,152.9,22.4,71.1,50.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4251,163.4,82.7,10.0,180.0,Emissions Exceedance Flag
STLA-RDE-4252,320.1,83.3,88.4,20.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4253,183.0,73.6,36.5,108.2,Emissions Exceedance Flag
STLA-RDE-4254,460.5,29.6,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4255,177.6,82.0,23.9,143.0,Emissions Exceedance Flag
STLA-RDE-4256,244.8,72.6,72.5,56.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4257,230.4,55.7,74.4,47.8,Euro 7 Compliant (<60mg/km)
STLA-RDE-4258,296.5,78.6,85.1,33.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4259,166.8,40.1,57.0,95.6,Emissions Exceedance Flag
STLA-RDE-4260,207.8,73.1,54.7,100.5,Emissions Exceedance Flag
STLA-RDE-4261,221.1,10.1,94.7,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4262,776.8,64.2,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4263,234.6,34.7,84.9,31.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4264,233.2,23.7,89.5,18.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4265,205.3,30.0,80.7,38.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4266,204.9,71.1,54.1,76.7,Emissions Exceedance Flag
STLA-RDE-4267,251.4,63.2,78.1,43.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4268,200.5,32.1,78.0,41.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4269,178.6,26.5,75.7,40.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4270,213.2,34.9,79.8,37.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4271,317.6,30.4,95.6,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4272,160.7,30.4,64.6,69.1,Emissions Exceedance Flag
STLA-RDE-4273,263.8,49.5,85.5,23.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4274,201.6,37.5,74.7,51.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4275,391.3,24.6,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4276,209.1,75.9,53.7,89.9,Emissions Exceedance Flag
STLA-RDE-4277,192.7,11.4,91.4,15.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4278,217.5,65.3,64.4,66.5,Emissions Exceedance Flag
STLA-RDE-4279,385.8,62.8,96.4,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4280,291.8,46.9,90.5,19.5,Euro 7 Compliant (<60mg/km)
STLA-RDE-4281,444.6,51.2,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4282,217.6,56.3,69.4,60.4,Emissions Exceedance Flag
STLA-RDE-4283,267.0,19.8,94.4,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4284,345.8,59.1,94.2,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4285,243.4,55.4,78.6,42.1,Euro 7 Compliant (<60mg/km)
STLA-RDE-4286,197.5,67.0,52.3,85.6,Emissions Exceedance Flag
STLA-RDE-4287,260.2,13.9,95.7,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4288,311.5,15.1,97.6,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4289,280.2,46.3,89.1,21.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4290,311.8,22.4,96.5,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4291,213.8,68.0,61.1,66.6,Emissions Exceedance Flag
STLA-RDE-4292,372.5,68.6,95.3,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4293,437.2,77.2,97.8,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4294,145.8,16.2,77.1,46.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4295,156.1,28.7,64.5,73.0,Emissions Exceedance Flag
STLA-RDE-4296,146.5,55.9,21.4,157.3,Emissions Exceedance Flag
STLA-RDE-4297,182.5,13.4,88.4,23.4,Euro 7 Compliant (<60mg/km)
STLA-RDE-4298,383.6,26.3,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4299,167.4,60.6,35.6,145.9,Emissions Exceedance Flag
STLA-RDE-4300,302.7,21.3,96.3,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4301,223.3,63.2,68.1,67.5,Emissions Exceedance Flag
STLA-RDE-4302,224.6,18.4,90.9,17.6,Euro 7 Compliant (<60mg/km)
STLA-RDE-4303,245.5,21.0,92.1,15.9,Euro 7 Compliant (<60mg/km)
STLA-RDE-4304,300.5,84.5,84.8,29.2,Euro 7 Compliant (<60mg/km)
STLA-RDE-4305,504.4,66.7,98.0,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4306,174.2,73.7,28.4,143.4,Emissions Exceedance Flag
STLA-RDE-4307,199.4,17.5,87.9,23.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4308,278.2,23.1,94.4,12.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4309,167.1,65.2,30.4,123.1,Emissions Exceedance Flag
STLA-RDE-4310,255.1,30.3,90.0,19.0,Euro 7 Compliant (<60mg/km)
STLA-RDE-4311,190.3,71.3,44.2,104.4,Emissions Exceedance Flag
STLA-RDE-4312,239.6,45.7,81.5,37.3,Euro 7 Compliant (<60mg/km)
STLA-RDE-4313,247.9,72.6,73.6,59.7,Euro 7 Compliant (<60mg/km)
STLA-RDE-4314,190.1,65.3,48.7,93.6,Emissions Exceedance Flag
STLA-RDE-4315,173.2,35.5,65.1,61.2,Emissions Exceedance Flag
