Cold_Start_ID,Ambient_Temp_C,Heated_Fuel_Rail_Temp_C,Direct_Injection_Pressure_Bar,Ethanol_Vaporization_pct,Engine_Crank_Time_s,Ignition_Status
BIOFLEX-E100-1025,10.2,63.5,244.8,72.7,1.6,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1026,22.1,68.0,244.3,77.1,1.35,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1027,18.5,66.7,235.9,76.0,1.31,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1028,11.6,59.9,224.4,68.8,1.7,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1029,-0.9,57.7,218.8,68.3,1.42,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1030,15.1,63.6,220.8,74.4,1.44,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1031,27.3,88.0,267.0,98.6,1.08,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1032,28.1,88.0,256.2,99.8,1.18,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1033,-1.7,49.5,221.3,56.1,2.0,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1034,19.2,83.6,252.1,99.0,1.11,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1035,30.0,84.5,260.2,99.8,0.91,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1036,-1.8,58.6,238.0,69.7,1.38,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1037,1.1,48.8,217.7,55.0,1.88,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1038,11.8,64.5,242.8,71.3,1.61,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1039,6.7,58.3,216.1,60.8,1.61,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1040,29.4,80.3,251.3,89.9,1.37,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1041,15.7,63.5,232.5,72.3,1.59,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1042,-0.2,50.8,223.8,58.2,1.66,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1043,8.4,71.5,253.2,85.4,1.22,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1044,-2.2,45.0,207.6,55.0,1.69,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1045,29.7,88.0,268.6,99.8,1.06,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1046,18.0,80.7,256.1,92.1,1.26,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1047,9.9,71.4,244.1,80.3,1.17,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1048,22.5,73.9,246.8,86.1,1.18,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1049,20.4,65.5,241.7,78.3,1.32,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1050,14.2,73.5,263.8,87.0,1.07,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1051,31.1,88.0,255.5,99.8,0.9,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1052,8.7,58.5,239.5,68.5,1.5,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1053,22.4,70.2,249.2,78.2,1.26,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1054,12.9,73.3,260.0,86.0,1.31,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1055,26.1,79.2,243.3,90.3,1.04,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1056,2.8,64.3,236.2,75.2,1.39,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1057,8.2,67.0,227.2,77.1,1.52,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1058,-3.6,53.1,223.3,60.6,1.66,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1059,6.4,58.8,233.2,73.3,1.66,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1060,30.3,75.6,258.2,84.2,1.19,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1061,3.0,54.4,218.6,63.4,1.52,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1062,25.8,77.2,264.4,89.0,1.25,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1063,29.1,78.2,261.8,91.7,1.18,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1064,21.6,72.7,247.2,84.4,1.49,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1065,24.7,87.3,261.2,99.8,0.92,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1066,-1.3,56.8,220.2,67.3,1.48,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1067,11.8,67.9,245.8,79.0,1.33,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1068,29.4,75.5,240.7,88.3,1.3,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1069,9.5,57.9,224.6,66.5,1.64,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1070,25.4,78.6,249.6,89.3,1.22,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1071,14.3,63.3,239.9,76.3,1.35,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1072,13.2,74.5,246.7,85.6,1.12,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1073,4.5,50.6,215.0,59.6,1.68,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1074,6.4,64.5,241.0,74.8,1.45,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1075,23.2,68.6,250.3,84.3,1.11,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1076,-4.0,46.2,211.3,55.0,1.63,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1077,5.0,51.6,231.6,58.6,1.75,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1078,18.1,65.3,235.0,78.6,1.66,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1079,6.2,68.6,245.9,79.0,1.48,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1080,10.2,60.9,231.6,67.7,1.65,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1081,25.9,78.7,240.2,92.5,1.05,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1082,27.6,75.2,235.8,83.1,1.3,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1083,19.2,73.2,233.7,85.6,1.18,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1084,8.3,56.8,240.7,66.6,1.66,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1085,22.1,78.5,256.6,92.0,1.19,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1086,17.4,65.2,233.8,77.3,1.4,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1087,6.5,71.3,244.2,83.1,1.3,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1088,-4.9,59.4,226.5,68.8,1.45,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1089,22.3,82.5,263.8,94.7,0.97,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1090,28.2,82.1,262.7,91.0,1.15,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1091,4.5,60.9,240.1,71.1,1.53,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1092,-1.6,61.7,242.7,73.6,1.46,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1093,-2.1,46.2,215.9,55.9,1.83,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1094,24.0,82.6,249.8,93.3,1.16,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1095,-3.8,45.0,208.1,55.0,1.8,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1096,2.9,48.8,227.0,55.6,1.86,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1097,12.2,67.4,241.7,72.8,1.54,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1098,2.7,63.3,232.6,73.2,1.54,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1099,23.8,82.2,262.3,93.5,1.31,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1100,0.1,58.4,223.1,70.1,1.5,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1101,-2.0,45.0,206.4,55.0,1.79,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1102,13.3,73.7,237.4,83.7,1.28,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1103,10.9,59.8,228.6,69.5,1.67,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1104,8.9,68.4,257.2,83.8,1.03,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1105,2.4,51.7,209.0,55.0,1.87,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1106,18.2,72.9,265.0,83.8,1.28,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1107,28.9,76.5,257.8,89.1,1.15,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1108,27.9,79.1,260.6,92.8,1.12,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1109,30.7,88.0,266.4,98.1,0.93,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1110,10.4,65.1,229.7,75.0,1.32,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1111,-3.0,45.0,205.8,56.6,1.7,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1112,20.1,74.4,261.7,84.8,1.36,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1113,19.8,65.1,242.3,72.5,1.39,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1114,7.8,57.1,217.2,64.1,1.67,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1115,30.2,81.4,263.6,92.3,1.0,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1116,14.1,65.3,226.0,74.2,1.56,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1117,27.9,78.2,262.9,88.9,1.13,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1118,3.5,56.0,227.2,65.8,1.52,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1119,24.6,86.8,276.5,97.7,0.95,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1120,5.3,68.0,239.4,75.0,1.31,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1121,2.4,60.7,231.4,70.9,1.53,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1122,0.4,60.2,237.0,68.4,1.63,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1123,17.6,66.1,235.0,74.0,1.51,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1124,29.0,85.2,265.5,99.8,0.97,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1125,10.3,55.5,230.4,63.9,1.68,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1126,13.1,63.1,240.0,74.5,1.44,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1127,7.9,67.4,243.5,79.4,1.26,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1128,8.5,61.6,243.9,72.1,1.49,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1129,-3.8,45.9,216.9,55.0,1.61,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1130,20.1,78.0,260.5,93.4,1.02,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1131,6.4,71.0,240.4,81.3,1.34,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1132,31.1,76.5,258.4,85.9,1.18,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1133,25.3,88.0,259.5,99.8,1.11,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1134,17.7,71.3,249.5,84.0,1.21,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1135,3.0,67.3,242.8,78.1,1.39,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1136,8.8,70.1,247.9,80.3,1.51,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1137,18.0,74.7,245.1,85.0,1.6,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1138,-4.4,45.0,217.6,55.0,1.87,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1139,20.4,82.2,256.2,96.1,1.29,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1140,18.8,73.7,230.6,82.1,1.43,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1141,15.9,77.0,249.8,88.8,1.27,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1142,11.3,67.5,239.6,76.1,1.46,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1143,-4.4,45.0,214.4,55.0,1.81,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1144,10.8,60.5,220.9,70.5,1.43,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1145,25.3,82.5,254.5,94.3,1.18,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1146,22.4,81.2,270.4,95.2,1.23,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1147,28.8,87.7,279.1,99.8,1.01,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1148,11.5,69.6,234.3,81.9,1.42,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1149,19.1,72.5,249.1,85.5,1.19,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1150,4.0,51.8,223.8,58.7,1.78,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1151,29.7,86.9,261.1,99.8,1.01,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1152,20.2,72.1,248.9,79.9,1.28,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1153,20.4,71.4,237.4,80.5,1.33,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1154,-0.6,52.3,224.5,58.7,1.74,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1155,23.6,70.0,253.5,80.7,1.36,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1156,5.7,63.7,231.0,72.4,1.38,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1157,25.0,85.3,268.2,98.1,0.96,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1158,17.6,76.7,255.7,88.6,1.05,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1159,0.6,59.6,240.1,67.7,1.62,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1160,3.4,54.1,231.4,57.0,1.85,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1161,6.8,61.4,224.5,68.7,1.53,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1162,13.5,69.8,232.6,77.3,1.37,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1163,27.7,84.9,269.2,99.4,1.07,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1164,17.1,74.5,247.1,81.0,1.22,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1165,31.0,85.9,263.7,99.8,0.98,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1166,15.5,72.5,253.8,85.0,1.18,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1167,4.9,69.8,247.9,80.3,1.23,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1168,23.9,75.1,247.2,87.7,1.32,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1169,7.1,71.7,246.6,84.2,1.29,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1170,27.6,73.2,254.8,87.0,1.34,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1171,28.7,77.1,262.2,89.7,1.25,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1172,23.1,78.8,245.8,89.0,1.25,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1173,7.5,56.2,221.5,66.5,1.63,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1174,13.3,75.1,252.0,82.6,1.37,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1175,18.3,77.3,246.7,89.4,1.21,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1176,12.1,70.3,261.7,81.4,1.29,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1177,19.8,72.5,251.9,84.6,1.31,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1178,29.5,78.1,262.8,91.7,1.22,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1179,19.7,68.3,233.4,82.2,1.24,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1180,-4.6,59.2,224.0,68.1,1.5,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1181,-3.5,45.0,220.6,55.0,1.71,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1182,29.4,84.1,268.5,97.5,0.86,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1183,-0.3,53.2,227.9,60.8,1.74,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1184,23.2,68.3,244.7,79.6,1.36,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1185,-2.0,51.2,230.2,58.9,1.75,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1186,23.2,78.4,249.9,89.6,1.04,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1187,-1.3,62.9,225.9,74.8,1.45,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1188,7.6,67.2,228.5,77.2,1.49,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1189,27.7,73.1,253.7,86.3,1.16,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1190,3.2,49.3,216.1,58.3,1.77,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1191,16.2,63.7,246.0,73.6,1.45,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1192,7.4,60.4,234.2,65.9,1.66,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1193,25.1,70.5,237.0,80.8,1.34,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1194,11.3,63.3,226.3,69.8,1.47,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1195,26.0,75.3,256.7,88.2,1.07,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1196,16.6,72.7,259.2,87.7,1.04,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1197,28.4,82.1,260.1,96.6,1.09,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1198,30.4,88.0,278.7,99.8,1.15,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1199,-1.8,61.2,241.4,68.8,1.42,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1200,21.5,71.8,251.3,79.5,1.28,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1201,13.3,71.8,250.2,81.1,1.33,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1202,5.0,55.3,222.8,61.7,1.63,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1203,7.0,70.3,241.7,79.5,1.39,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1204,20.1,74.2,250.7,88.2,1.28,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1205,-1.0,46.3,210.6,55.0,1.91,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1206,26.0,75.8,254.8,90.5,1.25,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1207,13.9,74.3,254.4,87.1,1.31,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1208,25.3,70.9,237.9,81.5,1.33,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1209,23.0,87.7,273.3,99.8,0.91,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1210,11.8,75.1,256.7,85.5,1.15,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1211,28.5,78.9,244.5,90.0,1.29,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1212,22.2,86.3,262.5,99.8,0.92,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1213,8.8,68.6,244.8,81.8,1.38,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1214,10.5,69.0,257.8,78.7,1.29,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1215,25.5,83.1,260.7,99.8,0.97,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1216,-3.9,45.0,229.6,55.0,1.79,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1217,3.2,49.8,214.2,55.6,1.76,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1218,27.7,80.3,273.9,93.2,1.16,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1219,11.8,72.8,261.3,86.2,1.11,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1220,11.9,73.0,249.1,83.8,1.14,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1221,27.9,87.3,267.9,96.9,1.02,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1222,30.6,88.0,258.0,99.8,1.13,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1223,3.5,59.6,219.6,70.9,1.6,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1224,-4.6,59.6,225.1,66.9,1.48,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1225,29.4,88.0,278.3,99.8,1.02,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1226,22.6,82.7,263.5,96.3,1.15,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1227,-2.6,49.7,230.9,55.5,1.88,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1228,4.4,62.4,242.7,68.8,1.58,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1229,8.0,59.1,216.4,66.9,1.5,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1230,31.7,88.0,272.0,99.8,1.18,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1231,28.6,83.4,268.8,94.9,1.04,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1232,20.3,79.2,252.2,91.0,1.15,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1233,8.5,73.5,250.1,82.9,1.27,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1234,-4.2,50.8,211.4,59.0,1.73,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1235,28.3,87.0,276.4,96.0,0.98,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1236,29.5,82.2,257.2,93.5,0.99,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1237,20.4,68.8,239.1,79.3,1.4,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1238,0.9,58.1,234.6,64.9,1.59,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1239,31.4,79.4,263.9,91.8,1.1,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1240,8.7,72.2,243.5,84.0,1.25,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1241,5.1,66.4,232.1,76.5,1.23,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1242,-2.0,45.7,200.9,55.0,1.88,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1243,27.8,85.4,261.0,99.8,1.11,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1244,20.8,78.4,252.9,90.7,1.16,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1245,31.9,88.0,264.9,98.3,1.17,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1246,2.6,52.0,203.2,55.0,1.84,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1247,14.5,75.8,250.0,86.0,1.14,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1248,-2.4,46.7,200.6,55.7,1.7,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1249,21.3,67.3,252.2,77.7,1.55,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1250,5.6,60.1,231.7,68.0,1.59,Extended Rail Pre-Heating Cycle
BIOFLEX-E100-1251,14.4,72.4,255.5,85.1,1.17,Instant E100 Cold-Start Ignition (<1.0s)
BIOFLEX-E100-1252,28.0,88.0,268.7,99.8,1.0,Instant E100 Cold-Start Ignition (<1.0s)
