eAxle_Event_ID,Vehicle_Speed_kmh,Demanded_Torque_Nm,Clutch_Disconnect_Duration_ms,Friction_Drag_Loss_Joules,Disconnection_Quality
MAGNA-eAXLE-1136,56.9,192.1,44.3,476.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1137,73.1,379.4,44.8,1317.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1138,61.8,145.6,45.7,517.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1139,136.3,381.7,61.3,2023.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1140,93.5,161.4,50.7,539.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1141,74.5,331.3,43.8,736.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1142,150.1,55.8,48.5,174.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1143,148.5,374.5,56.3,1496.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1144,67.9,316.7,39.8,610.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1145,75.4,194.1,50.4,686.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1146,53.2,407.2,41.3,1004.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1147,73.0,299.0,44.5,668.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1148,91.8,352.5,45.3,768.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1149,133.2,66.5,52.2,271.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1150,133.0,323.7,56.9,1116.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1151,111.1,369.1,53.3,1416.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1152,116.1,227.2,58.0,731.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1153,114.4,335.0,54.7,1351.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1154,80.0,189.2,46.1,510.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1155,58.7,403.3,42.1,1031.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1156,67.1,240.8,39.7,548.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1157,146.3,70.2,50.2,187.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1158,82.6,447.2,47.9,1098.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1159,145.7,321.4,50.9,981.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1160,132.8,229.2,55.6,833.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1161,105.1,337.8,46.2,794.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1162,48.3,108.5,41.2,352.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1163,58.9,303.2,42.6,947.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1164,66.3,166.2,46.2,633.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1165,46.0,153.0,45.4,456.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1166,98.3,327.2,49.3,1048.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1167,57.6,198.8,46.5,437.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1168,54.0,217.5,46.5,484.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1169,109.0,287.8,57.1,1087.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1170,78.9,447.5,46.1,1078.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1171,143.3,314.5,51.8,1090.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1172,99.4,79.7,47.6,235.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1173,90.7,193.7,46.9,480.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1174,153.2,102.8,59.8,346.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1175,84.3,339.3,49.4,1304.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1176,41.9,415.2,42.6,1094.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1177,145.2,435.4,47.4,1021.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1178,143.1,186.0,54.2,847.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1179,54.9,427.7,47.4,1267.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1180,100.4,255.6,48.2,728.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1181,67.5,147.9,45.6,448.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1182,97.6,418.8,46.3,1040.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1183,145.1,158.2,59.2,586.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1184,119.7,260.4,56.2,892.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1185,47.7,401.6,42.9,952.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1186,127.8,325.8,49.7,1140.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1187,92.9,431.2,46.0,1222.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1188,46.9,417.3,41.0,984.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1189,120.6,404.9,54.4,1509.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1190,128.7,203.5,48.1,522.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1191,95.0,157.8,46.9,514.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1192,142.8,314.0,54.9,881.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1193,86.9,188.8,53.1,529.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1194,48.0,208.2,44.0,448.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1195,146.8,346.1,49.2,1036.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1196,57.0,412.8,38.9,1120.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1197,143.3,121.1,58.6,509.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1198,45.6,404.5,35.8,1140.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1199,99.7,266.5,48.6,1121.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1200,120.3,297.4,49.8,831.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1201,78.1,243.6,41.8,659.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1202,104.5,150.8,60.7,566.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1203,66.8,232.9,45.0,623.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1204,70.8,317.6,41.3,1133.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1205,57.9,437.7,46.7,1240.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1206,142.4,187.9,50.5,710.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1207,40.3,337.7,30.0,516.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1208,159.3,187.1,47.4,613.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1209,66.9,211.7,44.6,655.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1210,134.3,422.5,57.8,1274.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1211,123.3,342.0,54.5,1498.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1212,46.6,430.3,48.2,1295.2,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1213,62.6,232.8,45.8,529.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1214,121.3,355.5,51.3,1042.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1215,52.0,383.3,42.7,1385.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1216,65.1,271.9,44.9,922.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1217,62.0,200.8,42.3,696.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1218,149.6,337.2,59.5,1276.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1219,118.4,184.5,51.8,497.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1220,153.1,136.7,51.6,553.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1221,122.6,279.6,55.7,938.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1222,146.9,352.8,59.6,1416.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1223,120.6,76.1,48.0,278.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1224,110.4,325.7,56.1,1150.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1225,89.9,449.8,49.4,1211.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1226,68.4,79.6,44.3,178.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1227,95.2,270.3,48.0,1058.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1228,54.2,257.6,44.1,932.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1229,98.0,384.8,49.4,1616.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1230,55.3,65.8,43.2,217.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1231,119.2,107.7,55.0,309.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1232,125.6,298.0,56.0,1406.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1233,94.5,268.6,42.0,772.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1234,49.5,205.3,40.1,555.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1235,67.4,272.4,47.6,648.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1236,69.0,289.0,42.6,994.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1237,75.3,374.3,38.6,1084.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1238,144.6,282.2,56.4,1015.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1239,79.7,343.4,45.3,787.1,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1240,131.3,380.4,51.3,1621.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1241,156.6,433.5,55.2,1490.5,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1242,58.6,186.6,40.1,356.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1243,116.3,97.6,50.8,299.0,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1244,52.1,367.3,45.2,836.6,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1245,78.6,103.8,40.3,231.7,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1246,45.0,256.0,48.2,657.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1247,154.3,90.6,60.2,382.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1248,102.3,320.0,51.0,1079.9,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1249,99.9,366.2,53.8,1075.3,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1250,150.5,56.1,56.8,200.8,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1251,51.1,323.8,40.1,952.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1252,100.8,301.4,46.9,717.4,Optimal Smooth AWD Disconnect (<55ms)
MAGNA-eAXLE-1253,62.9,330.6,43.0,769.9,Optimal Smooth AWD Disconnect (<55ms)
