Chassis_Telemetry_ID,Lateral_Acceleration_G,Hydraulic_Circuit_Pressure_Bar,Vehicle_Body_Roll_deg,Straightaway_Compliance_pct,PCC_Active_State
MCLAREN-750S-1187,0.49,49.6,1.62,90.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1188,1.36,93.7,0.77,71.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1189,0.58,56.4,1.48,86.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1190,0.25,37.8,1.99,91.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1191,0.93,65.6,1.42,77.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1192,0.4,45.1,1.7,89.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1193,1.46,96.1,0.65,72.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1194,0.61,51.9,1.68,83.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1195,1.04,75.2,0.98,76.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1196,1.12,74.9,1.14,71.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1197,1.5,92.0,0.75,68.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1198,0.99,75.9,1.04,77.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1199,1.18,78.7,1.11,73.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1200,0.92,68.6,1.34,79.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1201,0.91,67.2,1.18,73.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1202,1.01,70.9,1.42,76.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1203,0.25,32.8,2.08,90.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1204,0.95,66.6,1.52,80.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1205,0.49,52.3,1.55,90.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1206,0.76,68.6,1.25,82.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1207,1.02,78.6,0.98,78.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1208,0.76,65.1,1.25,84.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1209,0.32,38.5,1.94,86.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1210,0.62,51.6,1.73,85.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1211,0.4,44.3,1.91,87.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1212,0.23,36.0,2.01,91.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1213,0.61,56.0,1.56,85.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1214,1.33,86.6,0.8,70.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1215,0.91,64.0,1.4,80.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1216,0.99,70.5,1.29,81.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1217,0.95,67.2,1.26,80.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1218,0.59,56.8,1.48,89.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1219,1.42,90.9,0.73,71.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1220,0.54,49.1,1.7,89.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1221,0.11,26.1,2.06,93.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1222,1.01,74.2,1.24,74.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1223,0.55,53.8,1.64,86.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1224,0.49,44.5,1.71,90.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1225,1.27,86.0,1.04,72.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1226,0.13,32.1,2.06,94.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1227,0.26,37.5,2.0,88.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1228,1.43,95.6,0.73,70.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1229,0.77,64.1,1.46,82.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1230,1.38,91.8,0.91,73.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1231,0.77,63.8,1.56,82.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1232,0.74,56.6,1.44,86.4,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1233,0.88,66.0,1.29,80.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1234,0.45,47.3,1.78,87.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1235,0.27,35.6,2.22,88.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1236,1.49,98.7,0.66,68.6,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1237,1.19,81.5,0.91,72.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1238,0.45,44.3,1.75,90.2,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1239,0.98,74.2,1.22,76.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1240,0.96,68.1,1.4,77.7,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1241,0.35,39.9,2.02,88.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1242,0.58,52.1,1.68,83.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1243,0.35,38.2,2.09,91.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1244,1.33,85.5,0.83,71.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1245,0.17,34.8,2.03,94.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1246,0.46,48.2,1.57,88.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1247,1.25,86.0,1.1,74.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1248,0.69,59.6,1.54,83.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1249,0.51,50.5,1.76,80.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1250,0.53,48.5,1.67,87.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1251,0.13,35.1,1.99,94.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1252,1.35,90.4,0.59,74.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1253,1.1,77.6,1.1,78.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1254,1.0,74.6,1.23,75.9,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1255,1.38,95.6,0.66,69.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1256,1.32,86.0,0.93,74.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1257,0.5,46.7,1.91,84.7,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1258,0.81,62.9,1.45,78.6,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1259,1.23,80.1,0.98,73.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1260,0.96,70.3,1.46,79.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1261,0.98,68.1,1.23,82.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1262,0.71,59.0,1.55,83.3,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1263,0.93,65.5,1.21,79.1,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1264,0.97,68.2,1.33,81.0,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1265,1.22,83.2,0.84,74.5,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1266,1.2,82.8,1.0,73.8,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1267,0.71,59.5,1.5,81.9,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1268,0.19,28.7,2.22,93.0,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1269,0.29,37.6,2.03,90.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1270,0.21,30.0,2.03,93.8,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1271,1.11,74.5,1.22,75.4,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1272,0.58,52.7,1.58,82.1,Comfort Mode Plush Cross-Linked Compliance
MCLAREN-750S-1273,1.33,89.9,0.77,66.2,Track Mode High Hydraulic Roll Resistance
MCLAREN-750S-1274,0.99,73.3,1.11,74.0,Track Mode High Hydraulic Roll Resistance
