Timestamp,Hour_of_Day,Day_of_Week,Station_Location,Grid_Power_kW,Active_Stalls,Electricity_Rate_kWh,Forecast_Demand_kW
2026-06-01 22:00,22,Monday,Downtown Metro Hub,1059.7,8,0.18,1051.3
2026-06-01 22:00,22,Monday,Tech Corridor Supercharger,787.6,6,0.18,763.9
2026-06-01 22:00,22,Monday,Airport Transit Hub,557.5,4,0.18,538.2
2026-06-01 22:00,22,Monday,Suburban Plaza,594.7,4,0.18,592.7
2026-06-01 23:00,23,Monday,Downtown Metro Hub,1121.6,9,0.18,1123.2
2026-06-01 23:00,23,Monday,Tech Corridor Supercharger,868.9,7,0.18,881.9
2026-06-01 23:00,23,Monday,Airport Transit Hub,723.7,6,0.18,717.2
2026-06-01 23:00,23,Monday,Suburban Plaza,693.5,5,0.18,711.1
2026-06-02 00:00,0,Tuesday,Downtown Metro Hub,1168.2,9,0.18,1157.8
2026-06-02 00:00,0,Tuesday,Tech Corridor Supercharger,916.2,7,0.18,911.0
2026-06-02 00:00,0,Tuesday,Airport Transit Hub,652.4,5,0.18,671.5
2026-06-02 00:00,0,Tuesday,Suburban Plaza,674.5,5,0.18,688.0
2026-06-02 01:00,1,Tuesday,Downtown Metro Hub,1151.4,9,0.18,1164.5
2026-06-02 01:00,1,Tuesday,Tech Corridor Supercharger,910.0,7,0.18,930.6
2026-06-02 01:00,1,Tuesday,Airport Transit Hub,658.7,5,0.18,689.2
2026-06-02 01:00,1,Tuesday,Suburban Plaza,643.9,5,0.18,614.0
2026-06-02 02:00,2,Tuesday,Downtown Metro Hub,960.2,8,0.18,937.6
2026-06-02 02:00,2,Tuesday,Tech Corridor Supercharger,772.4,6,0.18,775.2
2026-06-02 02:00,2,Tuesday,Airport Transit Hub,525.9,4,0.18,513.5
2026-06-02 02:00,2,Tuesday,Suburban Plaza,638.1,5,0.18,665.3
2026-06-02 03:00,3,Tuesday,Downtown Metro Hub,704.2,5,0.18,707.2
2026-06-02 03:00,3,Tuesday,Tech Corridor Supercharger,616.6,5,0.18,638.3
2026-06-02 03:00,3,Tuesday,Airport Transit Hub,404.2,3,0.18,422.1
2026-06-02 03:00,3,Tuesday,Suburban Plaza,420.6,3,0.18,429.4
2026-06-02 04:00,4,Tuesday,Downtown Metro Hub,581.1,4,0.18,575.0
2026-06-02 04:00,4,Tuesday,Tech Corridor Supercharger,469.1,3,0.18,472.8
2026-06-02 04:00,4,Tuesday,Airport Transit Hub,337.4,2,0.18,334.9
2026-06-02 04:00,4,Tuesday,Suburban Plaza,310.2,2,0.18,337.0
2026-06-02 05:00,5,Tuesday,Downtown Metro Hub,380.3,3,0.18,352.4
2026-06-02 05:00,5,Tuesday,Tech Corridor Supercharger,305.6,2,0.18,312.4
2026-06-02 05:00,5,Tuesday,Airport Transit Hub,247.3,2,0.18,256.5
2026-06-02 05:00,5,Tuesday,Suburban Plaza,199.1,1,0.18,204.6
2026-06-02 06:00,6,Tuesday,Downtown Metro Hub,348.2,2,0.18,333.3
2026-06-02 06:00,6,Tuesday,Tech Corridor Supercharger,296.9,2,0.18,312.7
2026-06-02 06:00,6,Tuesday,Airport Transit Hub,177.7,1,0.18,184.4
2026-06-02 06:00,6,Tuesday,Suburban Plaza,208.6,1,0.18,202.7
2026-06-02 07:00,7,Tuesday,Downtown Metro Hub,373.8,3,0.18,381.8
2026-06-02 07:00,7,Tuesday,Tech Corridor Supercharger,368.1,3,0.18,375.0
2026-06-02 07:00,7,Tuesday,Airport Transit Hub,215.3,1,0.18,215.4
2026-06-02 07:00,7,Tuesday,Suburban Plaza,242.4,2,0.18,248.5
2026-06-02 08:00,8,Tuesday,Downtown Metro Hub,572.7,4,0.18,592.9
2026-06-02 08:00,8,Tuesday,Tech Corridor Supercharger,391.6,3,0.18,377.8
2026-06-02 08:00,8,Tuesday,Airport Transit Hub,315.7,2,0.18,312.2
2026-06-02 08:00,8,Tuesday,Suburban Plaza,318.8,2,0.18,300.0
2026-06-02 09:00,9,Tuesday,Downtown Metro Hub,823.5,6,0.18,802.1
2026-06-02 09:00,9,Tuesday,Tech Corridor Supercharger,642.5,5,0.18,611.0
2026-06-02 09:00,9,Tuesday,Airport Transit Hub,446.5,3,0.18,460.7
2026-06-02 09:00,9,Tuesday,Suburban Plaza,444.0,3,0.18,455.4
2026-06-02 10:00,10,Tuesday,Downtown Metro Hub,988.7,8,0.18,999.2
2026-06-02 10:00,10,Tuesday,Tech Corridor Supercharger,801.1,6,0.18,783.3
2026-06-02 10:00,10,Tuesday,Airport Transit Hub,502.8,4,0.18,542.5
2026-06-02 10:00,10,Tuesday,Suburban Plaza,549.7,4,0.18,532.3
2026-06-02 11:00,11,Tuesday,Downtown Metro Hub,1153.7,9,0.18,1200.5
2026-06-02 11:00,11,Tuesday,Tech Corridor Supercharger,892.3,7,0.18,845.3
2026-06-02 11:00,11,Tuesday,Airport Transit Hub,705.0,5,0.18,739.8
2026-06-02 11:00,11,Tuesday,Suburban Plaza,610.7,5,0.18,643.1
2026-06-02 12:00,12,Tuesday,Downtown Metro Hub,1256.1,10,0.18,1252.1
2026-06-02 12:00,12,Tuesday,Tech Corridor Supercharger,983.0,8,0.18,960.9
2026-06-02 12:00,12,Tuesday,Airport Transit Hub,716.2,5,0.18,715.0
2026-06-02 12:00,12,Tuesday,Suburban Plaza,678.0,5,0.18,673.4
2026-06-02 13:00,13,Tuesday,Downtown Metro Hub,1125.3,9,0.18,1030.3
2026-06-02 13:00,13,Tuesday,Tech Corridor Supercharger,926.7,7,0.18,926.1
2026-06-02 13:00,13,Tuesday,Airport Transit Hub,627.3,5,0.18,619.3
2026-06-02 13:00,13,Tuesday,Suburban Plaza,664.9,5,0.18,646.7
2026-06-02 14:00,14,Tuesday,Downtown Metro Hub,911.1,7,0.18,979.1
2026-06-02 14:00,14,Tuesday,Tech Corridor Supercharger,801.5,6,0.18,801.9
2026-06-02 14:00,14,Tuesday,Airport Transit Hub,550.5,4,0.18,563.3
2026-06-02 14:00,14,Tuesday,Suburban Plaza,526.3,4,0.18,512.9
2026-06-02 15:00,15,Tuesday,Downtown Metro Hub,768.1,6,0.18,737.8
2026-06-02 15:00,15,Tuesday,Tech Corridor Supercharger,543.8,4,0.18,516.1
2026-06-02 15:00,15,Tuesday,Airport Transit Hub,421.9,3,0.18,421.1
2026-06-02 15:00,15,Tuesday,Suburban Plaza,418.6,3,0.18,397.7
2026-06-02 16:00,16,Tuesday,Downtown Metro Hub,508.5,4,0.42,512.2
2026-06-02 16:00,16,Tuesday,Tech Corridor Supercharger,442.2,3,0.42,462.2
2026-06-02 16:00,16,Tuesday,Airport Transit Hub,286.7,2,0.42,284.2
2026-06-02 16:00,16,Tuesday,Suburban Plaza,276.0,2,0.42,268.3
2026-06-02 17:00,17,Tuesday,Downtown Metro Hub,365.0,3,0.42,377.9
2026-06-02 17:00,17,Tuesday,Tech Corridor Supercharger,282.1,2,0.42,275.3
2026-06-02 17:00,17,Tuesday,Airport Transit Hub,254.2,2,0.42,242.5
2026-06-02 17:00,17,Tuesday,Suburban Plaza,238.9,1,0.42,254.7
2026-06-02 18:00,18,Tuesday,Downtown Metro Hub,383.8,3,0.42,380.9
2026-06-02 18:00,18,Tuesday,Tech Corridor Supercharger,297.2,2,0.42,302.2
2026-06-02 18:00,18,Tuesday,Airport Transit Hub,232.2,1,0.42,227.7
2026-06-02 18:00,18,Tuesday,Suburban Plaza,215.1,1,0.42,207.5
2026-06-02 19:00,19,Tuesday,Downtown Metro Hub,445.6,3,0.42,461.2
2026-06-02 19:00,19,Tuesday,Tech Corridor Supercharger,368.2,3,0.42,358.7
2026-06-02 19:00,19,Tuesday,Airport Transit Hub,236.1,1,0.42,244.5
2026-06-02 19:00,19,Tuesday,Suburban Plaza,204.5,1,0.42,201.3
2026-06-02 20:00,20,Tuesday,Downtown Metro Hub,556.8,4,0.42,525.6
2026-06-02 20:00,20,Tuesday,Tech Corridor Supercharger,475.8,3,0.42,434.2
2026-06-02 20:00,20,Tuesday,Airport Transit Hub,349.4,2,0.42,373.4
2026-06-02 20:00,20,Tuesday,Suburban Plaza,328.5,2,0.42,330.6
2026-06-02 21:00,21,Tuesday,Downtown Metro Hub,796.5,6,0.42,823.4
2026-06-02 21:00,21,Tuesday,Tech Corridor Supercharger,695.0,5,0.42,699.6
2026-06-02 21:00,21,Tuesday,Airport Transit Hub,410.5,3,0.42,403.4
2026-06-02 21:00,21,Tuesday,Suburban Plaza,414.3,3,0.42,418.4
2026-06-02 22:00,22,Tuesday,Downtown Metro Hub,1031.8,8,0.18,976.9
2026-06-02 22:00,22,Tuesday,Tech Corridor Supercharger,783.8,6,0.18,781.3
2026-06-02 22:00,22,Tuesday,Airport Transit Hub,543.8,4,0.18,552.2
2026-06-02 22:00,22,Tuesday,Suburban Plaza,540.6,4,0.18,505.1
2026-06-02 23:00,23,Tuesday,Downtown Metro Hub,1121.0,9,0.18,1125.5
2026-06-02 23:00,23,Tuesday,Tech Corridor Supercharger,828.0,6,0.18,849.2
2026-06-02 23:00,23,Tuesday,Airport Transit Hub,609.5,5,0.18,600.9
2026-06-02 23:00,23,Tuesday,Suburban Plaza,643.2,5,0.18,641.5
2026-06-03 00:00,0,Wednesday,Downtown Metro Hub,1234.5,10,0.18,1197.5
2026-06-03 00:00,0,Wednesday,Tech Corridor Supercharger,944.7,7,0.18,990.4
2026-06-03 00:00,0,Wednesday,Airport Transit Hub,602.4,5,0.18,592.8
2026-06-03 00:00,0,Wednesday,Suburban Plaza,626.7,5,0.18,613.3
2026-06-03 01:00,1,Wednesday,Downtown Metro Hub,1169.2,9,0.18,1152.4
2026-06-03 01:00,1,Wednesday,Tech Corridor Supercharger,877.1,7,0.18,881.1
2026-06-03 01:00,1,Wednesday,Airport Transit Hub,693.7,5,0.18,684.7
2026-06-03 01:00,1,Wednesday,Suburban Plaza,653.2,5,0.18,650.7
2026-06-03 02:00,2,Wednesday,Downtown Metro Hub,1037.4,8,0.18,1036.8
2026-06-03 02:00,2,Wednesday,Tech Corridor Supercharger,752.2,6,0.18,743.3
2026-06-03 02:00,2,Wednesday,Airport Transit Hub,534.6,4,0.18,551.2
2026-06-03 02:00,2,Wednesday,Suburban Plaza,591.7,4,0.18,582.8
2026-06-03 03:00,3,Wednesday,Downtown Metro Hub,819.9,6,0.18,784.2
2026-06-03 03:00,3,Wednesday,Tech Corridor Supercharger,561.8,4,0.18,574.1
2026-06-03 03:00,3,Wednesday,Airport Transit Hub,453.5,3,0.18,432.9
2026-06-03 03:00,3,Wednesday,Suburban Plaza,445.5,3,0.18,450.1
2026-06-03 04:00,4,Wednesday,Downtown Metro Hub,582.3,4,0.18,591.0
2026-06-03 04:00,4,Wednesday,Tech Corridor Supercharger,421.0,3,0.18,430.3
2026-06-03 04:00,4,Wednesday,Airport Transit Hub,315.0,2,0.18,322.0
2026-06-03 04:00,4,Wednesday,Suburban Plaza,335.5,2,0.18,352.7
2026-06-03 05:00,5,Wednesday,Downtown Metro Hub,441.8,3,0.18,450.0
2026-06-03 05:00,5,Wednesday,Tech Corridor Supercharger,282.4,2,0.18,297.5
2026-06-03 05:00,5,Wednesday,Airport Transit Hub,217.8,1,0.18,227.8
2026-06-03 05:00,5,Wednesday,Suburban Plaza,222.5,1,0.18,228.5
2026-06-03 06:00,6,Wednesday,Downtown Metro Hub,385.2,3,0.18,385.4
2026-06-03 06:00,6,Wednesday,Tech Corridor Supercharger,288.9,2,0.18,259.9
2026-06-03 06:00,6,Wednesday,Airport Transit Hub,253.6,2,0.18,283.1
2026-06-03 06:00,6,Wednesday,Suburban Plaza,219.2,1,0.18,215.5
2026-06-03 07:00,7,Wednesday,Downtown Metro Hub,375.0,3,0.18,390.4
2026-06-03 07:00,7,Wednesday,Tech Corridor Supercharger,325.2,2,0.18,307.6
2026-06-03 07:00,7,Wednesday,Airport Transit Hub,208.7,1,0.18,215.7
2026-06-03 07:00,7,Wednesday,Suburban Plaza,237.9,1,0.18,251.6
2026-06-03 08:00,8,Wednesday,Downtown Metro Hub,606.8,5,0.18,609.5
2026-06-03 08:00,8,Wednesday,Tech Corridor Supercharger,421.7,3,0.18,450.7
2026-06-03 08:00,8,Wednesday,Airport Transit Hub,298.0,2,0.18,302.8
2026-06-03 08:00,8,Wednesday,Suburban Plaza,279.1,2,0.18,279.4
2026-06-03 09:00,9,Wednesday,Downtown Metro Hub,802.5,6,0.18,822.3
2026-06-03 09:00,9,Wednesday,Tech Corridor Supercharger,600.1,5,0.18,630.2
2026-06-03 09:00,9,Wednesday,Airport Transit Hub,480.1,4,0.18,502.7
2026-06-03 09:00,9,Wednesday,Suburban Plaza,416.0,3,0.18,391.9
2026-06-03 10:00,10,Wednesday,Downtown Metro Hub,1069.6,8,0.18,1116.8
2026-06-03 10:00,10,Wednesday,Tech Corridor Supercharger,698.4,5,0.18,723.4
2026-06-03 10:00,10,Wednesday,Airport Transit Hub,577.5,4,0.18,584.9
2026-06-03 10:00,10,Wednesday,Suburban Plaza,527.6,4,0.18,516.1
2026-06-03 11:00,11,Wednesday,Downtown Metro Hub,1143.4,9,0.18,1094.2
2026-06-03 11:00,11,Wednesday,Tech Corridor Supercharger,883.9,7,0.18,912.5
2026-06-03 11:00,11,Wednesday,Airport Transit Hub,633.7,5,0.18,650.4
2026-06-03 11:00,11,Wednesday,Suburban Plaza,643.2,5,0.18,627.6
2026-06-03 12:00,12,Wednesday,Downtown Metro Hub,1189.3,9,0.18,1179.9
2026-06-03 12:00,12,Wednesday,Tech Corridor Supercharger,946.5,7,0.18,941.2
2026-06-03 12:00,12,Wednesday,Airport Transit Hub,688.5,5,0.18,674.7
2026-06-03 12:00,12,Wednesday,Suburban Plaza,649.7,5,0.18,654.6
2026-06-03 13:00,13,Wednesday,Downtown Metro Hub,1179.7,9,0.18,1168.3
2026-06-03 13:00,13,Wednesday,Tech Corridor Supercharger,907.0,7,0.18,939.7
2026-06-03 13:00,13,Wednesday,Airport Transit Hub,624.4,5,0.18,601.8
2026-06-03 13:00,13,Wednesday,Suburban Plaza,733.0,6,0.18,713.9
2026-06-03 14:00,14,Wednesday,Downtown Metro Hub,1021.9,8,0.18,1057.1
2026-06-03 14:00,14,Wednesday,Tech Corridor Supercharger,773.0,6,0.18,821.2
2026-06-03 14:00,14,Wednesday,Airport Transit Hub,515.3,4,0.18,490.4
2026-06-03 14:00,14,Wednesday,Suburban Plaza,524.6,4,0.18,545.2
2026-06-03 15:00,15,Wednesday,Downtown Metro Hub,752.0,6,0.18,741.8
2026-06-03 15:00,15,Wednesday,Tech Corridor Supercharger,572.2,4,0.18,574.3
2026-06-03 15:00,15,Wednesday,Airport Transit Hub,453.1,3,0.18,431.1
2026-06-03 15:00,15,Wednesday,Suburban Plaza,481.7,4,0.18,474.6
2026-06-03 16:00,16,Wednesday,Downtown Metro Hub,543.8,4,0.42,525.0
2026-06-03 16:00,16,Wednesday,Tech Corridor Supercharger,505.5,4,0.42,516.8
2026-06-03 16:00,16,Wednesday,Airport Transit Hub,339.6,2,0.42,322.0
2026-06-03 16:00,16,Wednesday,Suburban Plaza,318.1,2,0.42,308.2
2026-06-03 17:00,17,Wednesday,Downtown Metro Hub,376.5,3,0.42,363.5
2026-06-03 17:00,17,Wednesday,Tech Corridor Supercharger,289.4,2,0.42,288.1
2026-06-03 17:00,17,Wednesday,Airport Transit Hub,266.4,2,0.42,270.9
2026-06-03 17:00,17,Wednesday,Suburban Plaza,138.3,1,0.42,145.4
2026-06-03 18:00,18,Wednesday,Downtown Metro Hub,354.6,2,0.42,362.6
2026-06-03 18:00,18,Wednesday,Tech Corridor Supercharger,298.5,2,0.42,297.8
2026-06-03 18:00,18,Wednesday,Airport Transit Hub,189.9,1,0.42,184.6
2026-06-03 18:00,18,Wednesday,Suburban Plaza,219.4,1,0.42,224.4
2026-06-03 19:00,19,Wednesday,Downtown Metro Hub,403.5,3,0.42,383.6
2026-06-03 19:00,19,Wednesday,Tech Corridor Supercharger,372.3,3,0.42,377.0
2026-06-03 19:00,19,Wednesday,Airport Transit Hub,242.5,2,0.42,242.6
2026-06-03 19:00,19,Wednesday,Suburban Plaza,241.0,2,0.42,238.3
2026-06-03 20:00,20,Wednesday,Downtown Metro Hub,587.4,4,0.42,584.3
2026-06-03 20:00,20,Wednesday,Tech Corridor Supercharger,408.3,3,0.42,430.3
2026-06-03 20:00,20,Wednesday,Airport Transit Hub,301.9,2,0.42,315.8
2026-06-03 20:00,20,Wednesday,Suburban Plaza,278.8,2,0.42,295.1
2026-06-03 21:00,21,Wednesday,Downtown Metro Hub,773.6,6,0.42,730.5
2026-06-03 21:00,21,Wednesday,Tech Corridor Supercharger,573.1,4,0.42,563.7
2026-06-03 21:00,21,Wednesday,Airport Transit Hub,480.2,4,0.42,462.4
2026-06-03 21:00,21,Wednesday,Suburban Plaza,489.7,4,0.42,492.8
2026-06-03 22:00,22,Wednesday,Downtown Metro Hub,978.1,8,0.18,984.4
2026-06-03 22:00,22,Wednesday,Tech Corridor Supercharger,704.8,5,0.18,695.0
2026-06-03 22:00,22,Wednesday,Airport Transit Hub,642.2,5,0.18,679.7
2026-06-03 22:00,22,Wednesday,Suburban Plaza,533.5,4,0.18,552.1
2026-06-03 23:00,23,Wednesday,Downtown Metro Hub,1106.7,9,0.18,1142.2
2026-06-03 23:00,23,Wednesday,Tech Corridor Supercharger,896.1,7,0.18,870.2
2026-06-03 23:00,23,Wednesday,Airport Transit Hub,628.3,5,0.18,659.8
2026-06-03 23:00,23,Wednesday,Suburban Plaza,631.0,5,0.18,651.0
2026-06-04 00:00,0,Thursday,Downtown Metro Hub,1177.8,9,0.18,1188.2
2026-06-04 00:00,0,Thursday,Tech Corridor Supercharger,908.9,7,0.18,894.4
2026-06-04 00:00,0,Thursday,Airport Transit Hub,702.0,5,0.18,660.8
2026-06-04 00:00,0,Thursday,Suburban Plaza,687.6,5,0.18,732.9
2026-06-04 01:00,1,Thursday,Downtown Metro Hub,1175.0,9,0.18,1200.2
2026-06-04 01:00,1,Thursday,Tech Corridor Supercharger,923.6,7,0.18,896.1
2026-06-04 01:00,1,Thursday,Airport Transit Hub,611.0,5,0.18,615.2
2026-06-04 01:00,1,Thursday,Suburban Plaza,712.4,5,0.18,691.5
2026-06-04 02:00,2,Thursday,Downtown Metro Hub,997.8,8,0.18,1036.3
2026-06-04 02:00,2,Thursday,Tech Corridor Supercharger,738.8,6,0.18,730.4
2026-06-04 02:00,2,Thursday,Airport Transit Hub,536.8,4,0.18,527.4
2026-06-04 02:00,2,Thursday,Suburban Plaza,506.7,4,0.18,469.9
2026-06-04 03:00,3,Thursday,Downtown Metro Hub,709.7,5,0.18,757.5
2026-06-04 03:00,3,Thursday,Tech Corridor Supercharger,655.8,5,0.18,650.1
2026-06-04 03:00,3,Thursday,Airport Transit Hub,384.7,3,0.18,407.9
2026-06-04 03:00,3,Thursday,Suburban Plaza,370.7,3,0.18,360.1
2026-06-04 04:00,4,Thursday,Downtown Metro Hub,513.4,4,0.18,525.2
2026-06-04 04:00,4,Thursday,Tech Corridor Supercharger,447.0,3,0.18,445.7
2026-06-04 04:00,4,Thursday,Airport Transit Hub,265.3,2,0.18,280.1
2026-06-04 04:00,4,Thursday,Suburban Plaza,317.5,2,0.18,309.4
2026-06-04 05:00,5,Thursday,Downtown Metro Hub,360.9,3,0.18,362.5
2026-06-04 05:00,5,Thursday,Tech Corridor Supercharger,371.9,3,0.18,375.7
2026-06-04 05:00,5,Thursday,Airport Transit Hub,318.8,2,0.18,302.5
2026-06-04 05:00,5,Thursday,Suburban Plaza,222.7,1,0.18,219.1
2026-06-04 06:00,6,Thursday,Downtown Metro Hub,345.9,2,0.18,345.6
2026-06-04 06:00,6,Thursday,Tech Corridor Supercharger,259.6,2,0.18,258.2
2026-06-04 06:00,6,Thursday,Airport Transit Hub,226.5,1,0.18,228.8
2026-06-04 06:00,6,Thursday,Suburban Plaza,196.4,1,0.18,205.4
2026-06-04 07:00,7,Thursday,Downtown Metro Hub,406.1,3,0.18,397.5
2026-06-04 07:00,7,Thursday,Tech Corridor Supercharger,282.3,2,0.18,296.6
2026-06-04 07:00,7,Thursday,Airport Transit Hub,215.6,1,0.18,212.9
2026-06-04 07:00,7,Thursday,Suburban Plaza,234.0,1,0.18,235.3
