Packet_ID,RF_Channel,Signal_Strength_RSSI_dBm,Packet_Latency_ms,Cell_Voltage_Report_V,Wireless_Link_Quality
GM-wBMS-1206,20,-82.2,12.57,3.962,Ultra-Reliable Wireless Telemetry
GM-wBMS-1207,25,-77.0,11.35,3.767,Ultra-Reliable Wireless Telemetry
GM-wBMS-1208,20,-69.0,9.18,3.976,Ultra-Reliable Wireless Telemetry
GM-wBMS-1209,25,-75.1,9.63,3.803,Ultra-Reliable Wireless Telemetry
GM-wBMS-1210,26,-69.2,9.23,4.174,Ultra-Reliable Wireless Telemetry
GM-wBMS-1211,26,-69.4,10.97,3.895,Ultra-Reliable Wireless Telemetry
GM-wBMS-1212,25,-69.7,8.81,4.095,Ultra-Reliable Wireless Telemetry
GM-wBMS-1213,26,-60.1,9.55,3.754,Ultra-Reliable Wireless Telemetry
GM-wBMS-1214,26,-57.8,6.57,4.021,Ultra-Reliable Wireless Telemetry
GM-wBMS-1215,26,-50.5,7.57,4.126,Ultra-Reliable Wireless Telemetry
GM-wBMS-1216,11,-66.0,9.23,3.681,Ultra-Reliable Wireless Telemetry
GM-wBMS-1217,15,-83.7,12.59,3.978,Ultra-Reliable Wireless Telemetry
GM-wBMS-1218,15,-65.9,9.99,3.713,Ultra-Reliable Wireless Telemetry
GM-wBMS-1219,11,-46.2,14.18,4.177,Ultra-Reliable Wireless Telemetry
GM-wBMS-1220,20,-65.3,8.19,4.101,Ultra-Reliable Wireless Telemetry
GM-wBMS-1221,26,-81.6,11.09,3.785,Ultra-Reliable Wireless Telemetry
GM-wBMS-1222,15,-66.0,8.76,4.001,Ultra-Reliable Wireless Telemetry
GM-wBMS-1223,15,-83.2,14.45,4.019,Ultra-Reliable Wireless Telemetry
GM-wBMS-1224,15,-81.5,13.37,3.687,Ultra-Reliable Wireless Telemetry
GM-wBMS-1225,20,-55.6,8.39,3.968,Ultra-Reliable Wireless Telemetry
GM-wBMS-1226,11,-66.5,8.35,4.117,Ultra-Reliable Wireless Telemetry
GM-wBMS-1227,26,-58.4,14.28,3.766,Ultra-Reliable Wireless Telemetry
GM-wBMS-1228,25,-50.9,7.49,4.077,Ultra-Reliable Wireless Telemetry
GM-wBMS-1229,25,-75.1,10.95,3.85,Ultra-Reliable Wireless Telemetry
GM-wBMS-1230,20,-82.3,15.33,4.079,RF Retransmission / Latency Spike
GM-wBMS-1231,25,-84.2,11.29,3.731,Ultra-Reliable Wireless Telemetry
GM-wBMS-1232,11,-81.0,13.42,3.963,Ultra-Reliable Wireless Telemetry
GM-wBMS-1233,26,-51.2,5.47,3.895,Ultra-Reliable Wireless Telemetry
GM-wBMS-1234,26,-80.8,12.05,3.887,Ultra-Reliable Wireless Telemetry
GM-wBMS-1235,11,-61.5,8.36,3.714,Ultra-Reliable Wireless Telemetry
GM-wBMS-1236,11,-50.0,5.65,3.896,Ultra-Reliable Wireless Telemetry
GM-wBMS-1237,11,-74.8,10.94,3.91,Ultra-Reliable Wireless Telemetry
GM-wBMS-1238,15,-83.2,11.5,3.662,Ultra-Reliable Wireless Telemetry
GM-wBMS-1239,26,-48.9,11.47,3.914,Ultra-Reliable Wireless Telemetry
GM-wBMS-1240,20,-81.1,12.26,4.005,Ultra-Reliable Wireless Telemetry
GM-wBMS-1241,20,-62.6,9.35,4.109,Ultra-Reliable Wireless Telemetry
GM-wBMS-1242,26,-71.2,9.71,4.021,Ultra-Reliable Wireless Telemetry
GM-wBMS-1243,26,-60.3,6.97,4.043,Ultra-Reliable Wireless Telemetry
GM-wBMS-1244,25,-58.8,7.69,3.765,Ultra-Reliable Wireless Telemetry
GM-wBMS-1245,11,-55.6,7.31,3.83,Ultra-Reliable Wireless Telemetry
GM-wBMS-1246,15,-64.5,8.51,4.03,Ultra-Reliable Wireless Telemetry
GM-wBMS-1247,26,-74.3,9.98,3.819,Ultra-Reliable Wireless Telemetry
GM-wBMS-1248,25,-66.9,10.84,3.949,Ultra-Reliable Wireless Telemetry
GM-wBMS-1249,11,-73.7,10.31,4.161,Ultra-Reliable Wireless Telemetry
GM-wBMS-1250,11,-82.7,13.59,3.91,Ultra-Reliable Wireless Telemetry
GM-wBMS-1251,25,-59.3,9.28,3.752,Ultra-Reliable Wireless Telemetry
GM-wBMS-1252,11,-75.8,10.85,3.725,Ultra-Reliable Wireless Telemetry
GM-wBMS-1253,26,-76.1,10.63,3.725,Ultra-Reliable Wireless Telemetry
GM-wBMS-1254,20,-78.3,15.56,3.966,RF Retransmission / Latency Spike
GM-wBMS-1255,15,-56.7,7.24,4.162,Ultra-Reliable Wireless Telemetry
GM-wBMS-1256,15,-77.1,11.52,4.159,Ultra-Reliable Wireless Telemetry
GM-wBMS-1257,11,-48.8,8.01,4.175,Ultra-Reliable Wireless Telemetry
GM-wBMS-1258,20,-75.0,12.55,4.077,Ultra-Reliable Wireless Telemetry
GM-wBMS-1259,11,-56.1,13.76,3.731,Ultra-Reliable Wireless Telemetry
GM-wBMS-1260,15,-75.5,9.7,4.146,Ultra-Reliable Wireless Telemetry
GM-wBMS-1261,15,-72.4,9.14,3.87,Ultra-Reliable Wireless Telemetry
GM-wBMS-1262,20,-54.0,5.94,3.963,Ultra-Reliable Wireless Telemetry
GM-wBMS-1263,20,-82.6,13.89,3.669,Ultra-Reliable Wireless Telemetry
GM-wBMS-1264,25,-66.0,8.65,3.788,Ultra-Reliable Wireless Telemetry
GM-wBMS-1265,15,-64.9,9.03,3.983,Ultra-Reliable Wireless Telemetry
GM-wBMS-1266,26,-68.2,9.12,3.921,Ultra-Reliable Wireless Telemetry
GM-wBMS-1267,25,-51.7,6.51,3.682,Ultra-Reliable Wireless Telemetry
GM-wBMS-1268,20,-59.5,7.07,3.668,Ultra-Reliable Wireless Telemetry
GM-wBMS-1269,15,-69.9,8.72,3.998,Ultra-Reliable Wireless Telemetry
GM-wBMS-1270,20,-63.4,9.0,3.816,Ultra-Reliable Wireless Telemetry
GM-wBMS-1271,26,-58.5,8.94,4.01,Ultra-Reliable Wireless Telemetry
GM-wBMS-1272,11,-82.9,11.19,3.861,Ultra-Reliable Wireless Telemetry
GM-wBMS-1273,20,-60.8,9.3,3.798,Ultra-Reliable Wireless Telemetry
GM-wBMS-1274,26,-51.0,5.81,4.026,Ultra-Reliable Wireless Telemetry
GM-wBMS-1275,15,-82.3,11.09,4.042,Ultra-Reliable Wireless Telemetry
GM-wBMS-1276,25,-77.2,10.12,3.909,Ultra-Reliable Wireless Telemetry
GM-wBMS-1277,25,-75.0,10.05,3.735,Ultra-Reliable Wireless Telemetry
GM-wBMS-1278,26,-50.7,18.11,3.799,Ultra-Reliable Wireless Telemetry
GM-wBMS-1279,25,-73.0,9.31,3.834,Ultra-Reliable Wireless Telemetry
GM-wBMS-1280,20,-54.1,6.16,3.82,Ultra-Reliable Wireless Telemetry
GM-wBMS-1281,26,-55.5,8.32,4.137,Ultra-Reliable Wireless Telemetry
GM-wBMS-1282,25,-68.4,8.71,3.924,Ultra-Reliable Wireless Telemetry
GM-wBMS-1283,20,-65.7,9.14,3.974,Ultra-Reliable Wireless Telemetry
GM-wBMS-1284,25,-47.1,4.85,3.924,Ultra-Reliable Wireless Telemetry
GM-wBMS-1285,11,-52.7,5.72,3.966,Ultra-Reliable Wireless Telemetry
GM-wBMS-1286,15,-48.6,6.41,3.694,Ultra-Reliable Wireless Telemetry
GM-wBMS-1287,25,-59.4,9.11,4.064,Ultra-Reliable Wireless Telemetry
GM-wBMS-1288,25,-79.2,11.45,4.025,Ultra-Reliable Wireless Telemetry
GM-wBMS-1289,26,-74.4,10.16,3.849,Ultra-Reliable Wireless Telemetry
GM-wBMS-1290,26,-82.2,12.39,4.043,Ultra-Reliable Wireless Telemetry
GM-wBMS-1291,11,-56.2,8.32,3.889,Ultra-Reliable Wireless Telemetry
GM-wBMS-1292,15,-50.7,6.32,3.877,Ultra-Reliable Wireless Telemetry
GM-wBMS-1293,15,-61.0,7.18,4.012,Ultra-Reliable Wireless Telemetry
GM-wBMS-1294,15,-65.2,9.13,3.982,Ultra-Reliable Wireless Telemetry
GM-wBMS-1295,11,-56.5,8.12,3.979,Ultra-Reliable Wireless Telemetry
GM-wBMS-1296,25,-63.0,8.24,3.84,Ultra-Reliable Wireless Telemetry
GM-wBMS-1297,11,-84.7,14.05,3.882,Ultra-Reliable Wireless Telemetry
GM-wBMS-1298,11,-68.4,8.67,3.98,Ultra-Reliable Wireless Telemetry
GM-wBMS-1299,25,-65.8,8.65,3.838,Ultra-Reliable Wireless Telemetry
GM-wBMS-1300,11,-55.3,7.53,4.079,Ultra-Reliable Wireless Telemetry
GM-wBMS-1301,11,-60.7,7.23,3.848,Ultra-Reliable Wireless Telemetry
GM-wBMS-1302,15,-80.9,13.65,3.937,Ultra-Reliable Wireless Telemetry
GM-wBMS-1303,11,-59.5,7.43,3.805,Ultra-Reliable Wireless Telemetry
GM-wBMS-1304,25,-75.4,9.95,3.696,Ultra-Reliable Wireless Telemetry
GM-wBMS-1305,15,-80.7,11.12,3.729,Ultra-Reliable Wireless Telemetry
GM-wBMS-1306,26,-60.1,8.12,4.138,Ultra-Reliable Wireless Telemetry
GM-wBMS-1307,26,-70.1,8.87,3.937,Ultra-Reliable Wireless Telemetry
