Cycle_Count,NMC_Capacity_kWh,LFP_Capacity_kWh,Cell_Temp_Avg_C,Internal_Resistance_mOhm,Coulombic_Efficiency_pct,Battery_Health_pct
306,49.01,100.96,30.0,19.61,99.661,59.8
308,96.25,52.21,28.0,19.14,99.749,117.4
309,129.42,97.65,27.0,18.72,99.727,157.8
311,64.3,67.53,32.3,18.49,99.703,78.4
312,37.23,82.83,31.0,19.32,99.672,45.4
313,93.23,78.62,28.9,19.11,99.722,113.7
315,69.79,17.99,29.6,19.45,99.699,85.1
316,64.97,98.08,29.5,17.92,99.639,79.2
318,46.06,39.33,32.9,19.22,99.711,56.2
319,61.62,98.39,28.8,19.85,99.68,75.1
321,108.9,79.56,30.8,19.3,99.655,132.8
322,50.66,48.94,29.3,18.77,99.667,61.8
324,88.21,78.51,31.3,19.59,99.673,107.6
325,77.44,73.22,33.1,18.87,99.653,94.4
327,49.22,81.42,30.8,19.01,99.658,60.0
328,138.69,80.05,27.3,20.13,99.647,169.1
330,50.02,58.11,28.9,19.14,99.639,61.0
331,113.64,62.41,30.7,18.94,99.685,138.6
333,97.35,96.59,31.4,18.58,99.678,118.7
334,38.64,61.22,29.5,18.89,99.688,47.1
335,38.86,70.55,28.8,19.23,99.583,47.4
337,105.17,59.49,27.5,19.78,99.642,128.3
338,112.01,63.95,27.7,18.74,99.748,136.6
340,128.24,64.66,33.0,19.47,99.629,156.4
341,106.25,92.35,29.3,19.38,99.663,129.6
343,25.62,98.33,29.1,19.12,99.65,31.2
344,72.09,61.87,29.2,19.14,99.678,87.9
346,110.76,74.13,31.4,19.79,99.667,135.1
347,82.46,49.72,28.6,19.21,99.592,100.6
349,121.91,55.52,32.0,18.97,99.681,148.7
350,81.03,40.45,33.9,19.48,99.712,98.8
352,55.17,86.58,30.9,20.22,99.627,67.3
353,124.28,85.95,26.8,18.79,99.666,151.6
355,49.48,77.54,28.5,18.6,99.701,60.3
356,26.02,99.84,30.4,19.87,99.708,31.7
357,47.52,61.38,32.0,19.24,99.693,58.0
359,96.06,25.31,29.4,19.33,99.63,117.1
360,47.08,59.63,30.7,19.41,99.695,57.4
362,109.95,46.36,31.7,19.48,99.629,134.1
363,112.54,93.46,28.5,19.86,99.633,137.2
365,6.9,56.74,29.8,19.65,99.641,8.4
366,119.47,71.44,30.1,20.22,99.677,145.7
368,104.22,115.69,27.2,19.38,99.637,127.1
369,86.18,82.41,27.5,20.26,99.617,105.1
371,74.88,97.54,30.9,19.15,99.626,91.3
372,34.48,42.1,32.8,18.84,99.606,42.0
374,51.77,136.16,31.6,19.26,99.591,63.1
375,33.2,94.1,29.5,19.27,99.65,40.5
377,52.46,75.16,30.9,18.98,99.643,64.0
378,68.11,101.66,30.3,19.75,99.582,83.1
379,123.39,46.84,31.2,19.72,99.631,150.5
381,72.89,50.86,31.0,20.33,99.603,88.9
382,101.64,68.16,28.3,19.54,99.58,124.0
384,101.31,91.55,27.6,19.63,99.616,123.5
385,87.03,103.05,31.3,20.57,99.658,106.1
387,9.09,70.34,31.8,18.99,99.636,11.1
388,44.71,66.76,29.6,20.47,99.747,54.5
390,43.78,70.86,30.0,19.66,99.612,53.4
391,113.06,82.2,31.1,19.36,99.649,137.9
393,77.6,68.4,30.9,20.41,99.641,94.6
394,84.78,89.31,29.1,19.74,99.529,103.4
396,67.95,69.24,31.0,19.84,99.702,82.9
397,50.17,70.59,30.1,20.68,99.667,61.2
399,82.12,83.41,28.9,20.7,99.571,100.1
400,73.59,102.24,29.9,20.32,99.568,89.7
401,55.64,93.42,30.7,20.24,99.6,67.9
403,64.09,67.99,31.5,20.29,99.591,78.2
404,50.95,66.62,31.7,20.58,99.622,62.1
406,167.18,56.01,29.1,20.15,99.655,203.9
407,109.72,82.17,30.3,19.23,99.627,133.8
409,82.48,98.01,29.3,20.39,99.594,100.6
410,110.61,109.62,31.8,20.92,99.593,134.9
412,113.02,76.4,31.2,19.95,99.599,137.8
413,161.56,21.57,30.6,20.82,99.63,197.0
415,55.64,97.81,28.8,20.67,99.582,67.9
416,88.22,72.52,32.6,20.06,99.575,107.6
418,107.74,98.34,29.4,19.85,99.59,131.4
419,20.98,48.88,29.3,20.12,99.645,25.6
421,92.62,81.3,30.6,19.63,99.574,113.0
422,49.02,30.89,31.6,20.43,99.504,59.8
423,69.66,72.67,31.0,20.28,99.529,85.0
425,56.9,85.15,29.5,19.57,99.612,69.4
426,144.5,83.27,29.6,20.45,99.584,176.2
428,82.62,127.99,30.9,20.78,99.647,100.8
429,91.76,81.28,31.0,20.29,99.518,111.9
431,54.62,58.59,30.5,19.72,99.617,66.6
432,-14.24,90.56,29.5,20.94,99.585,-17.4
434,27.11,75.78,29.5,20.59,99.623,33.1
435,34.75,98.84,29.1,20.4,99.584,42.4
437,125.54,81.0,32.4,20.99,99.657,153.1
438,70.0,94.48,28.9,20.85,99.59,85.4
440,84.9,54.5,31.5,20.78,99.662,103.5
441,123.6,102.46,30.1,21.38,99.634,150.7
443,66.43,83.28,28.2,20.62,99.558,81.0
444,43.92,-0.14,32.3,19.43,99.59,53.6
445,66.13,70.9,29.3,20.83,99.549,80.6
447,46.73,80.18,31.4,20.54,99.644,57.0
448,32.65,95.18,30.4,20.7,99.563,39.8
450,89.28,85.67,31.7,21.24,99.577,108.9
451,12.73,83.19,29.3,20.98,99.642,15.5
453,105.0,44.67,31.1,20.63,99.53,128.0
454,84.12,47.23,32.9,20.7,99.497,102.6
456,78.5,39.69,29.9,20.75,99.505,95.7
457,91.2,113.52,33.8,21.2,99.648,111.2
459,126.01,84.14,31.6,21.4,99.627,153.7
460,42.05,121.34,27.0,19.98,99.567,51.3
462,15.9,6.21,31.6,20.23,99.502,19.4
463,60.25,68.01,30.0,20.66,99.618,73.5
465,72.95,101.77,32.0,20.14,99.533,89.0
466,88.78,92.6,32.7,21.66,99.594,108.3
467,61.61,51.47,31.5,21.35,99.516,75.1
469,57.45,175.87,29.1,21.42,99.64,70.1
470,82.6,107.76,30.0,20.93,99.578,100.7
472,96.4,99.77,32.9,21.28,99.635,117.6
473,160.33,128.4,30.0,19.89,99.562,195.5
475,77.63,59.84,31.2,21.77,99.527,94.7
476,30.41,101.89,30.5,19.64,99.594,37.1
478,74.55,87.96,27.4,21.17,99.586,90.9
479,127.12,58.11,29.1,20.9,99.616,155.0
481,103.44,73.09,32.2,20.95,99.532,126.1
482,128.94,51.33,30.7,21.35,99.576,157.2
484,144.33,28.24,32.6,21.03,99.516,176.0
485,26.93,72.21,28.0,21.63,99.444,32.8
487,70.71,77.51,30.6,20.76,99.46,86.2
488,61.22,45.33,33.3,20.66,99.621,74.7
490,148.77,141.28,32.8,20.75,99.458,181.4
491,58.53,96.43,31.5,20.73,99.563,71.4
492,53.46,76.38,32.3,20.91,99.549,65.2
494,35.25,124.32,34.2,20.54,99.543,43.0
495,110.71,67.03,30.7,21.8,99.562,135.0
497,118.34,49.49,31.9,21.45,99.556,144.3
498,34.41,90.6,29.5,21.31,99.52,42.0
500,55.11,110.98,31.3,20.93,99.558,67.2
501,86.02,84.13,29.7,21.98,99.572,104.9
503,51.45,80.64,31.6,21.2,99.523,62.7
504,18.55,111.26,30.7,20.63,99.518,22.6
506,66.13,130.06,34.0,20.67,99.536,80.6
507,58.8,108.22,29.6,21.76,99.519,71.7
509,45.33,131.57,33.6,22.04,99.492,55.3
510,51.67,94.26,30.2,20.91,99.47,63.0
512,80.76,67.29,30.9,21.68,99.53,98.5
513,73.3,52.44,32.3,22.14,99.516,89.4
514,137.88,38.06,28.0,21.63,99.596,168.1
516,119.18,94.73,33.7,21.97,99.514,145.3
517,-9.27,111.03,27.9,20.84,99.495,-11.3
519,96.13,79.41,32.3,21.71,99.529,117.2
520,132.27,133.68,31.3,21.76,99.589,161.3
522,31.72,100.56,31.7,21.5,99.481,38.7
523,16.98,61.85,32.3,20.72,99.576,20.7
525,119.03,112.03,31.4,22.04,99.563,145.2
526,74.84,105.86,32.3,21.74,99.569,91.3
528,83.15,95.23,32.3,21.12,99.509,101.4
529,86.03,90.81,33.0,21.95,99.509,104.9
531,103.51,14.43,32.2,21.63,99.481,126.2
532,103.13,93.62,33.1,20.93,99.551,125.8
534,92.06,74.19,30.3,20.74,99.494,112.3
535,57.7,76.77,30.1,22.17,99.514,70.4
536,82.07,88.19,29.8,22.53,99.489,100.1
538,68.2,89.06,29.9,21.18,99.527,83.2
539,70.68,60.17,30.0,21.32,99.533,86.2
541,82.18,65.45,30.8,21.57,99.55,100.2
542,97.13,85.5,27.6,22.03,99.546,118.5
544,103.86,44.83,29.3,22.11,99.556,126.7
545,87.96,70.94,31.3,23.11,99.491,107.3
547,76.21,91.5,32.3,22.01,99.556,92.9
548,122.68,62.19,30.0,22.21,99.493,149.6
550,101.43,57.25,30.2,21.01,99.542,123.7
551,43.45,101.9,31.0,20.52,99.568,53.0
553,102.41,77.34,31.5,21.41,99.56,124.9
554,71.59,81.42,31.6,20.63,99.496,87.3
556,122.38,15.32,31.2,22.24,99.467,149.2
557,34.22,60.18,32.8,22.61,99.51,41.7
558,31.2,88.52,30.3,22.03,99.575,38.0
560,67.09,68.58,31.6,21.42,99.484,81.8
561,71.37,28.39,32.8,21.48,99.499,87.0
563,60.2,108.36,33.8,22.47,99.526,73.4
564,79.93,57.44,34.5,22.63,99.542,97.5
566,98.76,53.41,31.8,22.57,99.49,120.4
567,47.11,88.09,29.7,21.28,99.534,57.5
569,99.25,51.8,35.9,21.73,99.494,121.0
570,61.71,86.64,26.9,21.69,99.553,75.3
572,33.62,69.03,32.6,22.78,99.551,41.0
573,114.55,58.37,32.1,22.44,99.521,139.7
575,80.11,88.24,33.1,21.42,99.482,97.7
576,74.88,81.2,31.6,22.93,99.489,91.3
578,146.04,56.15,32.3,21.79,99.539,178.1
579,91.52,88.13,32.6,21.85,99.479,111.6
580,72.91,118.92,31.9,22.26,99.52,88.9
582,117.61,110.02,32.0,21.91,99.46,143.4
583,42.4,42.14,31.3,21.56,99.44,51.7
585,20.47,77.1,32.5,22.98,99.444,25.0
586,26.65,57.93,32.9,22.59,99.526,32.5
588,6.78,88.05,32.0,21.96,99.455,8.3
589,84.73,131.39,29.1,23.16,99.494,103.3
591,36.07,93.54,30.3,22.42,99.467,44.0
592,63.95,108.42,32.0,21.91,99.5,78.0
594,115.58,77.88,30.3,21.6,99.521,141.0
595,106.1,53.89,35.3,22.02,99.461,129.4
597,88.22,80.98,31.8,21.98,99.481,107.6
598,133.41,116.79,33.4,22.66,99.458,162.7
600,75.77,90.17,32.6,21.99,99.495,92.4
601,73.98,73.9,32.0,21.84,99.457,90.2
602,-19.74,77.48,31.1,22.75,99.419,-24.1
604,64.97,91.2,31.6,21.92,99.539,79.2
605,29.48,84.25,31.6,22.01,99.496,36.0
607,56.6,53.6,31.4,22.88,99.489,69.0
608,97.43,70.69,34.4,22.0,99.446,118.8
610,106.7,107.73,29.0,22.37,99.464,130.1
611,93.68,110.38,28.0,23.04,99.467,114.2
613,85.85,65.74,29.8,23.44,99.429,104.7
614,36.59,58.02,29.3,22.23,99.499,44.6
616,33.8,47.68,32.8,22.93,99.477,41.2
617,87.67,70.0,29.8,22.41,99.509,106.9
619,82.91,67.42,31.9,22.51,99.49,101.1
620,100.97,71.05,32.8,21.81,99.476,123.1
622,80.96,85.6,32.7,23.26,99.401,98.7
623,65.65,108.03,33.5,22.72,99.401,80.1
624,92.87,57.88,31.8,22.18,99.433,113.3
626,70.04,89.78,32.2,22.55,99.538,85.4
627,95.63,50.02,32.8,24.01,99.446,116.6
629,30.34,87.22,30.3,23.11,99.457,37.0
630,67.11,104.4,31.2,22.47,99.534,81.8
632,93.38,68.66,30.2,23.31,99.447,113.9
633,27.92,81.36,30.3,22.39,99.461,34.0
635,132.08,105.34,31.9,23.23,99.47,161.1
636,78.86,122.6,34.0,23.29,99.448,96.2
638,23.67,67.42,34.0,22.92,99.482,28.9
639,33.77,92.0,30.6,22.74,99.429,41.2
641,48.08,69.38,33.9,23.9,99.557,58.6
642,75.7,71.47,28.8,22.2,99.425,92.3
644,40.45,63.26,31.9,23.71,99.43,49.3
645,50.12,81.72,33.4,22.11,99.473,61.1
646,38.37,71.56,30.1,22.98,99.476,46.8
648,108.06,96.55,33.6,22.89,99.408,131.8
649,37.27,42.7,32.8,23.62,99.464,45.5
651,104.5,88.54,30.7,22.35,99.43,127.4
652,116.71,47.97,30.5,22.87,99.451,142.3
654,74.64,73.41,33.9,22.18,99.435,91.0
655,76.69,58.87,32.5,22.76,99.414,93.5
657,31.91,38.32,34.1,23.07,99.453,38.9
658,81.32,94.94,33.0,23.19,99.429,99.2
660,63.61,53.62,34.6,23.87,99.416,77.6
661,107.69,88.95,30.7,22.51,99.392,131.3
663,115.02,67.18,32.0,23.06,99.462,140.3
664,86.24,82.89,30.8,24.02,99.441,105.2
666,54.87,70.62,33.2,22.45,99.396,66.9
667,-11.75,106.91,34.6,22.6,99.446,-14.3
668,109.08,61.82,31.0,22.86,99.404,133.0
670,14.23,98.31,31.6,23.51,99.478,17.4
671,83.55,66.59,32.5,23.08,99.462,101.9
673,27.16,75.35,29.5,23.82,99.409,33.1
674,122.86,82.71,32.6,23.43,99.426,149.8
676,65.39,54.67,31.9,22.68,99.447,79.7
677,68.78,46.81,33.6,23.33,99.395,83.9
679,88.87,38.66,33.2,22.86,99.422,108.4
680,83.07,144.28,30.4,22.81,99.438,101.3
682,74.02,48.17,34.5,23.84,99.455,90.3
683,69.7,73.04,33.4,23.8,99.479,85.0
685,136.56,78.18,33.7,23.52,99.449,166.5
686,115.48,28.66,36.2,23.51,99.44,140.8
688,103.13,37.34,32.7,23.94,99.496,125.8
689,165.21,35.5,33.2,23.67,99.375,201.5
690,119.34,87.2,33.6,24.4,99.303,145.5
692,49.4,53.07,32.2,23.12,99.406,60.2
693,63.72,124.55,31.0,23.73,99.424,77.7
695,104.51,98.63,32.5,23.7,99.355,127.5
696,42.93,86.22,31.6,23.09,99.419,52.4
698,74.06,81.68,32.0,23.83,99.381,90.3
699,104.77,100.61,33.4,23.44,99.426,127.8
701,53.21,36.02,32.6,23.59,99.36,64.9
702,29.8,77.09,31.8,23.81,99.399,36.3
704,85.41,103.18,31.8,23.56,99.407,104.2
705,49.47,105.84,33.9,23.68,99.451,60.3
707,64.07,71.62,32.0,22.9,99.434,78.1
708,62.97,84.02,31.1,23.96,99.365,76.8
710,115.0,63.42,30.4,23.21,99.338,140.2
711,118.72,89.74,31.9,23.68,99.374,144.8
712,110.45,61.84,32.5,23.26,99.351,134.7
714,63.31,47.3,33.6,22.97,99.425,77.2
715,75.81,95.4,34.5,24.27,99.379,92.5
717,79.73,57.33,31.3,25.48,99.403,97.2
718,31.05,69.15,33.9,23.74,99.419,37.9
720,23.1,66.5,35.3,24.39,99.336,28.2
721,135.63,106.69,33.0,24.07,99.351,165.4
723,143.99,49.01,31.1,23.85,99.394,175.6
724,88.76,46.29,32.0,24.68,99.347,108.2
726,58.99,115.52,33.6,23.91,99.381,71.9
727,54.36,58.45,29.9,24.44,99.408,66.3
729,82.27,-26.86,33.3,24.92,99.437,100.3
730,143.44,76.87,32.5,23.59,99.37,174.9
732,11.3,46.26,31.1,24.73,99.402,13.8
733,96.23,72.74,34.6,23.36,99.461,117.4
734,61.57,115.23,31.3,23.36,99.358,75.1
736,72.62,49.2,35.5,23.95,99.366,88.6
737,84.18,55.52,32.6,24.33,99.385,102.7
739,36.54,79.53,32.9,24.19,99.38,44.6
740,31.59,83.03,30.2,23.68,99.389,38.5
742,118.29,123.1,30.6,24.44,99.362,144.3
743,158.04,37.11,29.5,23.8,99.433,192.7
745,94.91,23.88,31.9,23.76,99.374,115.7
746,61.88,86.74,34.5,24.18,99.351,75.5
748,64.01,67.02,31.5,24.65,99.381,78.1
749,61.37,128.4,32.9,24.35,99.382,74.8
751,35.91,87.21,33.7,24.67,99.333,43.8
752,39.45,64.27,31.1,24.46,99.385,48.1
754,87.59,92.84,33.5,23.24,99.329,106.8
755,118.75,92.39,33.0,24.09,99.351,144.8
756,98.23,93.65,33.7,23.79,99.314,119.8
758,33.82,74.88,31.9,23.98,99.335,41.2
759,96.45,24.37,33.2,24.56,99.35,117.6
761,35.5,52.74,33.7,24.13,99.293,43.3
762,50.7,88.11,32.1,24.66,99.385,61.8
764,1.57,63.56,32.6,23.72,99.391,1.9
765,73.28,33.1,33.9,24.0,99.427,89.4
767,149.57,84.17,33.3,24.42,99.389,182.4
768,6.61,83.99,31.2,24.23,99.378,8.1
770,71.77,53.75,32.2,24.55,99.296,87.5
771,76.95,76.97,32.6,25.15,99.377,93.8
773,25.63,62.8,31.1,24.19,99.329,31.3
774,84.27,75.75,31.3,23.61,99.322,102.8
776,107.99,81.93,32.1,24.21,99.325,131.7
777,84.36,2.59,30.8,25.0,99.412,102.9
778,53.7,98.38,33.6,25.63,99.357,65.5
