Motor_Unit_ID,Motor_Speed_RPM,Architecture_Voltage_V,Stator_Copper_Loss_Watts,Stator_Core_Temp_C,Powertrain_Efficiency_pct,Cooling_State
LUCID-AIR-1054,5906,862.5,52.3,47.8,94.09,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1055,5697,901.8,470.0,51.2,93.84,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1056,10249,862.8,1177.3,64.7,93.11,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1057,2123,827.8,127.2,41.3,94.07,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1058,8983,843.6,939.1,67.0,93.35,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1059,8496,894.8,955.2,57.9,93.65,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1060,10995,883.6,1228.2,63.4,93.74,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1061,6893,832.5,558.0,53.7,93.97,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1062,15063,847.6,2054.0,82.0,92.71,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1063,6862,911.7,415.1,54.0,94.65,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1064,11580,842.5,1275.1,66.0,92.98,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1065,12562,836.5,1702.4,70.7,93.02,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1066,12789,828.6,1568.6,66.0,92.59,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1067,15549,897.7,2340.5,82.9,92.22,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1068,17772,821.6,2584.1,82.6,91.57,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1069,19007,864.2,2751.1,94.1,91.36,Stator Micro-Channel Coolant Active
LUCID-AIR-1070,11345,865.2,1564.9,71.0,92.8,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1071,2248,921.9,578.8,51.8,93.94,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1072,4550,855.0,94.1,49.8,94.8,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1073,16258,831.6,2459.8,87.4,92.24,Stator Micro-Channel Coolant Active
LUCID-AIR-1074,14485,863.0,1912.1,80.1,92.7,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1075,3413,880.2,285.4,47.6,94.16,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1076,15478,896.9,2188.4,79.3,91.88,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1077,4777,911.0,147.6,43.9,94.06,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1078,15457,868.0,2265.9,83.9,91.77,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1079,19838,853.5,3275.4,92.8,90.54,Stator Micro-Channel Coolant Active
LUCID-AIR-1080,14142,915.2,1876.0,75.3,92.44,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1081,9106,823.8,774.7,52.7,93.65,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1082,14667,840.0,1836.3,69.0,91.98,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1083,16356,892.5,2433.9,83.2,91.41,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1084,10705,911.9,1255.7,60.8,92.62,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1085,9058,867.7,794.0,54.7,93.82,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1086,13811,847.5,2050.5,74.8,92.37,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1087,9173,877.1,1064.7,69.6,93.13,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1088,6534,909.3,476.0,50.8,93.94,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1089,14115,862.4,1883.0,74.9,92.48,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1090,11304,838.9,1413.8,69.6,92.75,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1091,5366,876.4,484.2,54.5,93.77,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1092,16785,823.3,2294.7,77.4,92.67,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1093,10301,850.9,1148.6,67.6,93.44,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1094,9068,901.6,1104.5,68.5,93.4,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1095,8439,848.7,768.4,61.0,94.12,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1096,18423,892.9,2761.8,86.0,91.29,Stator Micro-Channel Coolant Active
LUCID-AIR-1097,14547,834.5,1948.6,74.9,92.09,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1098,3723,862.8,86.7,51.3,94.26,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1099,9145,838.9,1004.7,67.0,93.32,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1100,14276,915.9,2007.2,73.6,92.13,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1101,16458,891.9,2378.7,86.5,91.71,Stator Micro-Channel Coolant Active
LUCID-AIR-1102,19987,821.3,3296.7,102.0,91.03,Stator Micro-Channel Coolant Active
LUCID-AIR-1103,10225,907.0,1150.6,58.4,93.52,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1104,7761,856.4,561.7,54.6,94.15,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1105,19062,919.8,3248.6,99.2,90.78,Stator Micro-Channel Coolant Active
LUCID-AIR-1106,5113,853.8,280.6,47.4,94.66,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1107,7438,843.6,694.0,59.7,93.13,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1108,3257,900.1,214.4,47.7,94.91,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1109,12119,907.9,1354.7,62.1,93.19,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1110,19392,838.3,3069.1,93.9,91.42,Stator Micro-Channel Coolant Active
LUCID-AIR-1111,9656,912.1,841.9,63.0,93.51,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1112,5214,878.8,489.3,56.2,93.79,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1113,13188,904.1,2012.8,71.7,92.39,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1114,11710,836.5,1465.8,65.3,93.45,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1115,14211,917.2,2093.8,78.2,91.77,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1116,12984,835.3,1487.4,69.3,92.98,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1117,14673,824.6,1830.8,70.6,93.01,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1118,8429,830.0,780.3,60.9,94.2,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1119,15598,822.4,1976.3,77.8,92.15,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1120,17538,918.7,2623.7,83.7,91.37,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1121,10254,889.3,923.7,60.9,93.96,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1122,3751,845.0,-103.4,43.3,94.23,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1123,19069,916.8,2997.2,91.5,91.15,Stator Micro-Channel Coolant Active
LUCID-AIR-1124,18712,837.0,2635.0,83.7,91.87,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1125,18994,908.8,2820.8,89.0,91.09,Stator Micro-Channel Coolant Active
LUCID-AIR-1126,10577,899.5,945.6,58.7,93.32,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1127,18631,866.3,3065.3,90.6,91.07,Stator Micro-Channel Coolant Active
LUCID-AIR-1128,4821,898.5,238.1,41.7,94.61,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1129,9282,873.8,927.0,62.4,93.99,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1130,14874,853.0,1912.9,71.9,92.36,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1131,5557,898.9,630.7,56.9,93.58,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1132,9385,907.5,720.9,56.8,94.22,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1133,5279,871.6,372.0,52.5,93.79,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1134,14370,850.6,1970.8,73.1,92.25,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1135,8566,855.9,663.6,52.6,93.85,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1136,7853,836.0,697.7,54.7,93.54,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1137,17125,903.3,2604.2,84.9,92.11,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1138,19338,837.9,3091.9,94.2,90.89,Stator Micro-Channel Coolant Active
LUCID-AIR-1139,7772,906.8,447.3,48.2,94.25,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1140,10482,889.1,1070.0,59.2,93.13,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1141,6661,908.0,661.6,55.1,93.85,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1142,15098,880.5,2302.4,83.4,92.26,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1143,9314,835.1,1263.7,69.0,92.98,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1144,6955,846.9,529.6,55.2,94.34,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1145,9719,918.6,918.7,66.8,93.4,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1146,13553,862.5,1814.6,70.8,92.16,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1147,2148,920.2,12.4,43.3,94.34,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1148,4557,894.7,329.3,47.9,94.19,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1149,18679,911.8,2892.6,91.2,91.16,Stator Micro-Channel Coolant Active
LUCID-AIR-1150,15028,917.4,2013.8,77.6,92.15,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1151,4775,885.5,397.1,53.5,94.14,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1152,19753,893.2,3252.1,91.7,91.31,Stator Micro-Channel Coolant Active
LUCID-AIR-1153,17547,863.5,2649.9,84.7,91.77,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1154,2361,871.5,97.5,46.9,94.35,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1155,7095,923.6,587.9,56.4,93.57,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1156,15220,916.2,2148.9,79.3,92.67,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1157,8843,889.5,876.8,63.5,93.64,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1158,16487,852.2,2466.0,80.1,91.5,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1159,5620,852.5,259.5,52.3,94.54,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1160,15295,881.9,2088.2,76.1,92.71,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1161,14317,833.0,1785.8,73.1,92.01,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1162,6164,907.0,603.4,54.8,93.91,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1163,13843,854.9,1819.0,77.9,92.55,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1164,14437,838.7,1964.8,79.8,92.47,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1165,7633,845.5,679.2,53.5,93.24,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1166,2517,878.2,-45.9,40.3,94.15,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1167,17554,871.1,2601.6,82.5,91.66,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1168,12192,820.9,1271.6,61.9,93.35,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1169,14582,893.2,1842.2,70.0,92.2,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1170,4099,863.0,328.0,56.1,94.33,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1171,17851,906.1,2871.9,92.7,91.08,Stator Micro-Channel Coolant Active
LUCID-AIR-1172,7901,824.7,588.5,56.8,93.24,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1173,11076,841.5,1356.8,63.6,93.35,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1174,7716,908.0,577.7,59.8,93.21,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1175,16325,881.6,2240.2,82.2,91.52,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1176,3866,862.7,313.7,53.7,93.74,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1177,16742,913.0,2723.1,88.2,91.65,Stator Micro-Channel Coolant Active
LUCID-AIR-1178,18857,894.3,2983.4,91.9,91.27,Stator Micro-Channel Coolant Active
LUCID-AIR-1179,15773,880.3,2267.5,81.3,91.98,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1180,2228,923.3,-133.4,43.7,94.36,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1181,12590,857.1,1590.3,70.5,92.99,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1182,17120,888.7,2497.6,86.7,91.26,Stator Micro-Channel Coolant Active
LUCID-AIR-1183,9583,888.8,1035.0,60.4,93.54,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1184,5076,876.2,347.8,53.2,94.25,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1185,11583,876.8,1259.3,65.0,93.24,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1186,12338,850.1,1405.8,63.4,92.78,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1187,6435,922.2,413.9,47.5,94.6,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1188,13893,890.5,1882.2,73.2,92.19,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1189,9905,845.4,1163.0,65.1,93.47,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1190,13969,913.1,1644.5,71.4,92.87,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1191,11590,903.0,1459.2,72.3,92.98,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1192,3536,831.2,233.9,45.3,93.97,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1193,16782,849.1,2373.0,80.8,92.1,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1194,14622,828.2,1851.0,72.4,92.26,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1195,5043,886.3,321.9,53.4,94.58,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1196,10643,845.6,1010.8,63.9,93.67,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1197,16602,873.9,2377.8,84.7,91.9,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1198,12825,875.1,1431.3,72.1,92.58,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1199,18678,820.6,2835.3,90.7,90.96,Stator Micro-Channel Coolant Active
LUCID-AIR-1200,8444,873.1,512.7,51.5,94.02,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1201,10597,845.8,1112.8,65.8,93.3,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1202,13029,911.5,1624.4,77.1,92.87,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1203,17104,918.7,2491.9,83.5,91.74,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1204,4100,830.7,488.9,53.5,93.77,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1205,10276,861.9,977.6,60.8,93.68,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1206,8543,867.4,1074.1,66.2,92.92,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1207,11005,845.6,1137.9,69.9,93.45,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1208,18680,871.5,2800.4,84.9,91.29,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1209,11194,824.5,1068.9,59.4,93.3,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1210,14154,867.4,1828.3,75.3,92.24,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1211,14344,837.9,1867.6,70.5,92.75,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1212,10275,911.1,1097.5,63.3,93.59,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1213,3299,821.8,201.0,46.9,94.53,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1214,5110,833.8,314.8,50.7,94.49,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1215,4681,842.5,266.2,48.3,94.16,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1216,7981,891.2,846.8,53.7,93.65,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1217,18056,835.0,2988.6,92.9,91.63,Stator Micro-Channel Coolant Active
LUCID-AIR-1218,9453,911.3,913.3,62.7,93.1,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1219,17784,833.8,2419.1,83.2,91.87,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1220,6997,831.7,528.6,51.9,93.82,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1221,14383,829.8,1875.2,73.8,92.93,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1222,9227,859.9,857.3,62.0,93.48,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1223,10330,891.6,1305.6,64.9,93.3,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1224,9887,866.0,1206.5,65.9,92.76,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1225,10875,865.6,1399.1,65.3,93.15,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1226,7586,832.1,853.1,58.5,93.68,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1227,18717,856.9,2836.3,86.7,91.39,Stator Micro-Channel Coolant Active
LUCID-AIR-1228,14635,901.0,1879.1,69.9,92.81,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1229,14715,888.0,1796.1,72.5,92.15,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1230,14799,864.1,1947.7,78.6,92.21,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1231,14118,882.3,1523.5,65.9,92.74,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1232,8370,903.3,762.6,62.9,93.38,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1233,11367,905.9,1166.4,62.7,93.53,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1234,16705,882.1,2575.7,87.7,91.79,Stator Micro-Channel Coolant Active
LUCID-AIR-1235,3706,847.0,280.2,52.4,94.16,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1236,8980,900.0,1063.3,60.6,92.91,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1237,4850,896.4,101.9,45.4,94.17,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1238,11582,919.1,1447.6,60.3,93.4,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1239,14116,883.3,2051.9,73.3,92.65,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1240,10158,852.5,1018.0,61.3,93.09,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1241,18452,860.8,2711.6,84.0,91.13,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1242,8351,870.0,658.2,56.0,93.46,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1243,10670,821.8,1228.2,61.6,93.71,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1244,12194,906.8,1558.8,70.7,92.72,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1245,13719,894.5,1772.9,71.7,92.73,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1246,15866,875.2,2165.0,83.6,92.75,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1247,4579,900.3,448.4,40.9,94.13,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1248,5302,848.1,120.3,44.6,94.35,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1249,4748,861.3,78.8,48.8,94.58,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1250,7424,889.2,435.9,54.4,93.97,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1251,19293,870.6,3002.2,98.1,91.16,Stator Micro-Channel Coolant Active
LUCID-AIR-1252,16408,826.8,2108.2,79.4,92.51,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1253,9286,896.9,831.5,59.2,93.74,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1254,11168,834.4,1172.4,60.1,93.23,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1255,15472,866.0,2075.4,78.1,92.27,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1256,14032,861.4,1885.6,78.7,92.11,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1257,8124,878.2,734.5,62.1,93.22,Peak 92.4% Powertrain Efficiency Domain
LUCID-AIR-1258,17374,851.6,2577.7,88.0,92.0,Stator Micro-Channel Coolant Active
LUCID-AIR-1259,13701,855.8,1680.1,72.4,92.56,Peak 92.4% Powertrain Efficiency Domain
