Test_Run_ID,Vehicle_Speed_kmh,Engine_Speed_RPM,Cabin_Noise_dB,Engine_Mount_Vibe_G,Harshness_Status
BMW-NVH-1094,131.1,3037,70.5,0.178,Luxury Quiet Standard
BMW-NVH-1095,74.6,1763,63.8,0.107,Luxury Quiet Standard
BMW-NVH-1096,140.2,3292,76.0,0.233,Unwanted Boom / Hum
BMW-NVH-1097,122.8,3010,69.6,0.214,Luxury Quiet Standard
BMW-NVH-1098,61.6,1550,58.6,0.147,Luxury Quiet Standard
BMW-NVH-1099,150.3,3546,77.8,0.236,Unwanted Boom / Hum
BMW-NVH-1100,38.9,1087,59.0,0.126,Luxury Quiet Standard
BMW-NVH-1101,76.2,1801,59.1,0.129,Luxury Quiet Standard
BMW-NVH-1102,61.1,1434,60.2,0.141,Luxury Quiet Standard
BMW-NVH-1103,175.8,4282,75.4,0.182,Luxury Quiet Standard
BMW-NVH-1104,166.4,3922,73.3,0.185,Luxury Quiet Standard
BMW-NVH-1105,131.5,3136,69.6,0.199,Luxury Quiet Standard
BMW-NVH-1106,47.3,1191,55.4,0.08,Luxury Quiet Standard
BMW-NVH-1107,173.7,4216,76.9,0.196,Luxury Quiet Standard
BMW-NVH-1108,43.8,986,61.1,0.121,Luxury Quiet Standard
BMW-NVH-1109,124.5,2854,69.0,0.234,Luxury Quiet Standard
BMW-NVH-1110,165.4,3955,78.4,0.227,Unwanted Boom / Hum
BMW-NVH-1111,81.0,1875,64.1,0.176,Luxury Quiet Standard
BMW-NVH-1112,127.9,2914,71.9,0.22,Luxury Quiet Standard
BMW-NVH-1113,168.8,4049,80.8,0.224,Unwanted Boom / Hum
BMW-NVH-1114,86.1,1952,60.9,0.123,Luxury Quiet Standard
BMW-NVH-1115,145.7,3564,77.5,0.235,Unwanted Boom / Hum
BMW-NVH-1116,164.4,3914,78.9,0.236,Unwanted Boom / Hum
BMW-NVH-1117,123.0,2964,68.1,0.182,Luxury Quiet Standard
BMW-NVH-1118,52.7,1201,55.5,0.134,Luxury Quiet Standard
BMW-NVH-1119,86.2,2004,64.4,0.163,Luxury Quiet Standard
BMW-NVH-1120,125.4,3007,70.0,0.229,Luxury Quiet Standard
BMW-NVH-1121,98.9,2400,63.2,0.163,Luxury Quiet Standard
BMW-NVH-1122,109.8,2620,67.3,0.22,Luxury Quiet Standard
BMW-NVH-1123,82.8,2023,61.9,0.179,Luxury Quiet Standard
BMW-NVH-1124,129.0,3085,71.4,0.214,Luxury Quiet Standard
BMW-NVH-1125,101.5,2495,65.4,0.21,Luxury Quiet Standard
BMW-NVH-1126,98.2,2393,66.4,0.139,Luxury Quiet Standard
BMW-NVH-1127,48.7,1121,53.6,0.109,Luxury Quiet Standard
BMW-NVH-1128,91.9,2204,66.4,0.144,Luxury Quiet Standard
BMW-NVH-1129,71.0,1630,61.4,0.119,Luxury Quiet Standard
BMW-NVH-1130,82.0,2040,64.6,0.111,Luxury Quiet Standard
BMW-NVH-1131,176.2,4239,81.8,0.238,Unwanted Boom / Hum
BMW-NVH-1132,62.3,1590,61.0,0.12,Luxury Quiet Standard
BMW-NVH-1133,132.4,3253,69.3,0.155,Luxury Quiet Standard
BMW-NVH-1134,34.8,864,56.8,0.098,Luxury Quiet Standard
BMW-NVH-1135,155.3,3713,83.9,0.248,Unwanted Boom / Hum
BMW-NVH-1136,135.2,3281,68.6,0.161,Luxury Quiet Standard
BMW-NVH-1137,174.9,4178,75.2,0.219,Luxury Quiet Standard
BMW-NVH-1138,118.8,2826,68.9,0.203,Luxury Quiet Standard
BMW-NVH-1139,62.6,1477,61.0,0.152,Luxury Quiet Standard
BMW-NVH-1140,137.9,3283,70.7,0.173,Luxury Quiet Standard
BMW-NVH-1141,34.6,781,57.4,0.131,Luxury Quiet Standard
BMW-NVH-1142,92.8,2228,65.3,0.166,Luxury Quiet Standard
BMW-NVH-1143,72.2,1702,62.3,0.137,Luxury Quiet Standard
BMW-NVH-1144,45.9,1109,57.8,0.085,Luxury Quiet Standard
BMW-NVH-1145,94.0,2271,64.8,0.151,Luxury Quiet Standard
BMW-NVH-1146,156.1,3659,74.7,0.183,Luxury Quiet Standard
BMW-NVH-1147,46.6,932,55.9,0.077,Luxury Quiet Standard
BMW-NVH-1148,178.0,4257,83.0,0.235,Unwanted Boom / Hum
BMW-NVH-1149,65.0,1557,62.6,0.126,Luxury Quiet Standard
BMW-NVH-1150,138.2,3367,78.9,0.242,Unwanted Boom / Hum
BMW-NVH-1151,129.1,3188,70.3,0.2,Luxury Quiet Standard
BMW-NVH-1152,41.7,1032,58.0,0.113,Luxury Quiet Standard
BMW-NVH-1153,134.6,3320,76.5,0.221,Unwanted Boom / Hum
BMW-NVH-1154,69.8,1782,59.7,0.105,Luxury Quiet Standard
BMW-NVH-1155,165.3,3956,79.8,0.263,Unwanted Boom / Hum
BMW-NVH-1156,152.7,3691,79.1,0.262,Unwanted Boom / Hum
BMW-NVH-1157,89.9,2138,65.7,0.174,Luxury Quiet Standard
BMW-NVH-1158,153.0,3666,72.2,0.187,Luxury Quiet Standard
BMW-NVH-1159,59.7,1594,59.8,0.089,Luxury Quiet Standard
BMW-NVH-1160,108.4,2499,70.5,0.161,Luxury Quiet Standard
BMW-NVH-1161,91.9,2172,67.8,0.185,Luxury Quiet Standard
BMW-NVH-1162,168.9,4107,77.6,0.185,Luxury Quiet Standard
BMW-NVH-1163,153.8,3575,74.4,0.152,Luxury Quiet Standard
BMW-NVH-1164,105.2,2375,69.4,0.178,Luxury Quiet Standard
BMW-NVH-1165,47.5,1082,59.7,0.154,Luxury Quiet Standard
BMW-NVH-1166,31.7,774,57.4,0.094,Luxury Quiet Standard
BMW-NVH-1167,167.0,3926,76.8,0.195,Luxury Quiet Standard
BMW-NVH-1168,106.9,2490,66.1,0.221,Luxury Quiet Standard
BMW-NVH-1169,156.5,3840,79.5,0.234,Unwanted Boom / Hum
BMW-NVH-1170,44.2,952,58.8,0.107,Luxury Quiet Standard
BMW-NVH-1171,150.5,3556,73.1,0.187,Luxury Quiet Standard
BMW-NVH-1172,39.3,1049,57.4,0.142,Luxury Quiet Standard
BMW-NVH-1173,125.3,2935,73.3,0.162,Luxury Quiet Standard
BMW-NVH-1174,175.3,4145,78.9,0.216,Luxury Quiet Standard
BMW-NVH-1175,89.6,2113,66.9,0.142,Luxury Quiet Standard
BMW-NVH-1176,128.9,3184,71.9,0.182,Luxury Quiet Standard
BMW-NVH-1177,62.2,1508,61.5,0.148,Luxury Quiet Standard
BMW-NVH-1178,163.5,3936,83.7,0.274,Unwanted Boom / Hum
BMW-NVH-1179,178.0,4361,84.0,0.26,Unwanted Boom / Hum
BMW-NVH-1180,140.8,3375,70.9,0.183,Luxury Quiet Standard
BMW-NVH-1181,126.2,2994,72.4,0.177,Luxury Quiet Standard
BMW-NVH-1182,67.8,1564,60.4,0.124,Luxury Quiet Standard
BMW-NVH-1183,101.4,2541,69.0,0.134,Luxury Quiet Standard
BMW-NVH-1184,70.2,1737,64.0,0.122,Luxury Quiet Standard
BMW-NVH-1185,160.2,3777,73.1,0.157,Luxury Quiet Standard
BMW-NVH-1186,70.0,1663,60.9,0.151,Luxury Quiet Standard
BMW-NVH-1187,176.0,4117,80.9,0.222,Unwanted Boom / Hum
BMW-NVH-1188,62.0,1421,61.3,0.17,Luxury Quiet Standard
BMW-NVH-1189,74.7,1775,59.6,0.118,Luxury Quiet Standard
BMW-NVH-1190,140.5,3389,77.7,0.236,Unwanted Boom / Hum
BMW-NVH-1191,31.9,638,57.8,0.113,Luxury Quiet Standard
BMW-NVH-1192,34.5,939,57.5,0.115,Luxury Quiet Standard
BMW-NVH-1193,140.1,3372,71.2,0.14,Luxury Quiet Standard
BMW-NVH-1194,104.7,2484,68.2,0.127,Luxury Quiet Standard
BMW-NVH-1195,62.7,1569,61.6,0.169,Luxury Quiet Standard
BMW-NVH-1196,31.3,764,55.5,0.083,Luxury Quiet Standard
BMW-NVH-1197,157.6,3757,79.8,0.227,Unwanted Boom / Hum
BMW-NVH-1198,110.5,2665,65.9,0.181,Luxury Quiet Standard
BMW-NVH-1199,138.5,3351,71.4,0.203,Luxury Quiet Standard
BMW-NVH-1200,129.2,3148,70.5,0.191,Luxury Quiet Standard
BMW-NVH-1201,155.8,3650,77.3,0.182,Luxury Quiet Standard
BMW-NVH-1202,88.2,2224,69.7,0.192,Luxury Quiet Standard
BMW-NVH-1203,93.9,2322,65.1,0.153,Luxury Quiet Standard
BMW-NVH-1204,154.2,3491,70.2,0.176,Luxury Quiet Standard
BMW-NVH-1205,100.4,2395,67.7,0.15,Luxury Quiet Standard
BMW-NVH-1206,153.0,3646,78.7,0.249,Unwanted Boom / Hum
BMW-NVH-1207,32.1,820,56.5,0.112,Luxury Quiet Standard
BMW-NVH-1208,89.5,2024,68.5,0.137,Luxury Quiet Standard
BMW-NVH-1209,49.3,1162,60.0,0.176,Luxury Quiet Standard
BMW-NVH-1210,47.7,1043,56.4,0.136,Luxury Quiet Standard
BMW-NVH-1211,60.9,1433,60.0,0.189,Luxury Quiet Standard
BMW-NVH-1212,142.1,3414,74.6,0.196,Luxury Quiet Standard
BMW-NVH-1213,169.5,4091,85.1,0.261,Unwanted Boom / Hum
BMW-NVH-1214,87.1,2122,63.3,0.163,Luxury Quiet Standard
BMW-NVH-1215,99.1,2454,65.9,0.191,Luxury Quiet Standard
BMW-NVH-1216,161.0,3754,80.4,0.234,Unwanted Boom / Hum
BMW-NVH-1217,152.2,3617,70.9,0.209,Luxury Quiet Standard
BMW-NVH-1218,33.7,770,55.0,0.104,Luxury Quiet Standard
BMW-NVH-1219,161.0,3806,78.9,0.235,Unwanted Boom / Hum
BMW-NVH-1220,120.7,2766,69.4,0.188,Luxury Quiet Standard
BMW-NVH-1221,107.5,2523,69.8,0.193,Luxury Quiet Standard
BMW-NVH-1222,118.4,2841,69.9,0.195,Luxury Quiet Standard
BMW-NVH-1223,150.0,3571,76.8,0.226,Unwanted Boom / Hum
BMW-NVH-1224,56.0,1442,56.9,0.122,Luxury Quiet Standard
BMW-NVH-1225,58.0,1326,61.8,0.134,Luxury Quiet Standard
BMW-NVH-1226,68.7,1707,63.4,0.111,Luxury Quiet Standard
BMW-NVH-1227,37.7,1082,62.4,0.095,Luxury Quiet Standard
BMW-NVH-1228,112.9,2622,69.2,0.148,Luxury Quiet Standard
BMW-NVH-1229,82.8,2029,65.0,0.15,Luxury Quiet Standard
BMW-NVH-1230,167.5,4165,75.9,0.211,Luxury Quiet Standard
BMW-NVH-1231,101.5,2339,66.3,0.187,Luxury Quiet Standard
BMW-NVH-1232,45.7,966,62.0,0.134,Luxury Quiet Standard
BMW-NVH-1233,52.9,1346,59.9,0.139,Luxury Quiet Standard
BMW-NVH-1234,71.0,1736,62.8,0.109,Luxury Quiet Standard
BMW-NVH-1235,147.2,3555,76.3,0.21,Luxury Quiet Standard
BMW-NVH-1236,89.0,2097,65.5,0.154,Luxury Quiet Standard
BMW-NVH-1237,149.8,3470,78.0,0.22,Unwanted Boom / Hum
BMW-NVH-1238,95.0,2123,66.6,0.163,Luxury Quiet Standard
BMW-NVH-1239,42.2,930,60.6,0.104,Luxury Quiet Standard
BMW-NVH-1240,31.6,866,55.3,0.134,Luxury Quiet Standard
BMW-NVH-1241,94.6,2265,64.9,0.202,Luxury Quiet Standard
BMW-NVH-1242,129.4,3048,70.6,0.206,Luxury Quiet Standard
BMW-NVH-1243,107.3,2506,66.2,0.18,Luxury Quiet Standard
BMW-NVH-1244,117.0,2772,69.9,0.189,Luxury Quiet Standard
BMW-NVH-1245,104.0,2460,66.6,0.192,Luxury Quiet Standard
BMW-NVH-1246,141.1,3177,71.6,0.153,Luxury Quiet Standard
BMW-NVH-1247,148.4,3517,70.3,0.189,Luxury Quiet Standard
BMW-NVH-1248,147.2,3664,73.9,0.234,Unwanted Boom / Hum
BMW-NVH-1249,49.1,1036,56.1,0.105,Luxury Quiet Standard
BMW-NVH-1250,171.0,4124,82.1,0.277,Unwanted Boom / Hum
BMW-NVH-1251,161.7,3872,80.7,0.273,Unwanted Boom / Hum
BMW-NVH-1252,134.9,3269,71.6,0.147,Luxury Quiet Standard
BMW-NVH-1253,170.5,4179,74.4,0.218,Luxury Quiet Standard
BMW-NVH-1254,131.1,3166,70.1,0.22,Luxury Quiet Standard
BMW-NVH-1255,119.2,2886,69.0,0.142,Luxury Quiet Standard
BMW-NVH-1256,81.8,1889,62.7,0.163,Luxury Quiet Standard
BMW-NVH-1257,42.5,1013,57.1,0.124,Luxury Quiet Standard
BMW-NVH-1258,116.9,2845,66.9,0.156,Luxury Quiet Standard
BMW-NVH-1259,32.6,842,58.7,0.12,Luxury Quiet Standard
BMW-NVH-1260,112.9,2693,66.1,0.139,Luxury Quiet Standard
BMW-NVH-1261,124.9,3027,74.4,0.177,Luxury Quiet Standard
BMW-NVH-1262,131.8,3237,71.6,0.182,Luxury Quiet Standard
BMW-NVH-1263,55.6,1315,61.4,0.104,Luxury Quiet Standard
BMW-NVH-1264,116.6,2822,68.5,0.233,Luxury Quiet Standard
BMW-NVH-1265,60.9,1619,59.6,0.202,Luxury Quiet Standard
BMW-NVH-1266,67.7,1689,65.9,0.105,Luxury Quiet Standard
BMW-NVH-1267,175.4,4104,81.3,0.253,Unwanted Boom / Hum
BMW-NVH-1268,164.5,3960,81.9,0.239,Unwanted Boom / Hum
BMW-NVH-1269,48.4,1115,61.7,0.113,Luxury Quiet Standard
BMW-NVH-1270,162.2,3876,76.0,0.204,Luxury Quiet Standard
BMW-NVH-1271,172.2,4208,83.9,0.267,Unwanted Boom / Hum
BMW-NVH-1272,99.0,2387,65.5,0.158,Luxury Quiet Standard
BMW-NVH-1273,91.9,2150,67.6,0.138,Luxury Quiet Standard
BMW-NVH-1274,116.6,2959,65.6,0.161,Luxury Quiet Standard
BMW-NVH-1275,87.5,2057,62.9,0.129,Luxury Quiet Standard
BMW-NVH-1276,54.6,1281,59.8,0.18,Luxury Quiet Standard
BMW-NVH-1277,127.3,2966,71.1,0.223,Luxury Quiet Standard
BMW-NVH-1278,67.4,1687,61.0,0.118,Luxury Quiet Standard
BMW-NVH-1279,128.8,3165,70.4,0.178,Luxury Quiet Standard
BMW-NVH-1280,165.1,3947,78.7,0.254,Unwanted Boom / Hum
BMW-NVH-1281,166.1,3917,78.0,0.185,Luxury Quiet Standard
BMW-NVH-1282,139.4,3428,68.8,0.192,Luxury Quiet Standard
BMW-NVH-1283,56.2,1127,56.5,0.13,Luxury Quiet Standard
BMW-NVH-1284,92.6,2168,64.0,0.163,Luxury Quiet Standard
BMW-NVH-1285,68.1,1659,59.8,0.157,Luxury Quiet Standard
BMW-NVH-1286,140.6,3442,74.0,0.239,Unwanted Boom / Hum
BMW-NVH-1287,85.7,1993,62.6,0.144,Luxury Quiet Standard
BMW-NVH-1288,97.4,2360,66.1,0.166,Luxury Quiet Standard
BMW-NVH-1289,170.5,3964,83.7,0.236,Unwanted Boom / Hum
BMW-NVH-1290,152.0,3710,72.0,0.183,Luxury Quiet Standard
BMW-NVH-1291,34.5,694,56.9,0.135,Luxury Quiet Standard
BMW-NVH-1292,68.5,1611,61.2,0.131,Luxury Quiet Standard
BMW-NVH-1293,116.9,2831,70.6,0.169,Luxury Quiet Standard
BMW-NVH-1294,87.5,2029,62.6,0.139,Luxury Quiet Standard
BMW-NVH-1295,146.7,3579,70.3,0.186,Luxury Quiet Standard
BMW-NVH-1296,109.4,2664,67.4,0.161,Luxury Quiet Standard
BMW-NVH-1297,47.4,1031,56.0,0.094,Luxury Quiet Standard
BMW-NVH-1298,144.7,3549,74.8,0.159,Luxury Quiet Standard
BMW-NVH-1299,58.8,1400,56.9,0.138,Luxury Quiet Standard
BMW-NVH-1300,86.4,2130,65.1,0.156,Luxury Quiet Standard
BMW-NVH-1301,30.0,735,57.8,0.143,Luxury Quiet Standard
BMW-NVH-1302,172.0,4059,82.6,0.226,Unwanted Boom / Hum
BMW-NVH-1303,134.8,3157,70.3,0.168,Luxury Quiet Standard
BMW-NVH-1304,44.0,995,56.7,0.113,Luxury Quiet Standard
BMW-NVH-1305,170.9,4154,76.3,0.2,Luxury Quiet Standard
BMW-NVH-1306,77.2,1857,64.8,0.117,Luxury Quiet Standard
BMW-NVH-1307,68.9,1657,64.4,0.088,Luxury Quiet Standard
BMW-NVH-1308,69.7,1656,62.2,0.144,Luxury Quiet Standard
BMW-NVH-1309,140.3,3406,76.4,0.24,Unwanted Boom / Hum
BMW-NVH-1310,159.4,3742,81.5,0.224,Unwanted Boom / Hum
BMW-NVH-1311,38.3,792,58.0,0.076,Luxury Quiet Standard
BMW-NVH-1312,31.7,745,57.1,0.088,Luxury Quiet Standard
BMW-NVH-1313,179.7,4086,79.5,0.203,Luxury Quiet Standard
BMW-NVH-1314,90.8,2072,60.6,0.228,Luxury Quiet Standard
BMW-NVH-1315,156.1,3851,74.0,0.19,Luxury Quiet Standard
BMW-NVH-1316,41.8,1047,57.4,0.127,Luxury Quiet Standard
BMW-NVH-1317,156.3,3618,73.7,0.215,Luxury Quiet Standard
BMW-NVH-1318,33.3,863,54.4,0.12,Luxury Quiet Standard
BMW-NVH-1319,93.0,2105,66.2,0.136,Luxury Quiet Standard
BMW-NVH-1320,100.3,2449,67.6,0.103,Luxury Quiet Standard
BMW-NVH-1321,64.0,1573,60.9,0.081,Luxury Quiet Standard
BMW-NVH-1322,87.4,2108,64.3,0.146,Luxury Quiet Standard
BMW-NVH-1323,88.1,2239,61.9,0.231,Luxury Quiet Standard
BMW-NVH-1324,158.0,3819,74.3,0.206,Luxury Quiet Standard
BMW-NVH-1325,50.8,1328,55.7,0.057,Luxury Quiet Standard
BMW-NVH-1326,130.4,3243,74.9,0.227,Unwanted Boom / Hum
BMW-NVH-1327,116.4,2794,67.0,0.199,Luxury Quiet Standard
BMW-NVH-1328,49.8,1144,59.6,0.151,Luxury Quiet Standard
BMW-NVH-1329,54.6,1338,58.2,0.146,Luxury Quiet Standard
BMW-NVH-1330,92.9,2164,66.1,0.205,Luxury Quiet Standard
BMW-NVH-1331,31.7,843,57.7,0.137,Luxury Quiet Standard
BMW-NVH-1332,62.4,1492,59.5,0.146,Luxury Quiet Standard
BMW-NVH-1333,78.2,1868,64.0,0.127,Luxury Quiet Standard
BMW-NVH-1334,152.7,3575,79.7,0.237,Unwanted Boom / Hum
BMW-NVH-1335,156.0,3849,74.2,0.216,Luxury Quiet Standard
BMW-NVH-1336,109.1,2631,68.4,0.169,Luxury Quiet Standard
BMW-NVH-1337,68.4,1579,58.8,0.122,Luxury Quiet Standard
BMW-NVH-1338,40.5,823,59.5,0.103,Luxury Quiet Standard
BMW-NVH-1339,161.3,3915,80.4,0.246,Unwanted Boom / Hum
BMW-NVH-1340,98.8,2432,64.4,0.183,Luxury Quiet Standard
BMW-NVH-1341,88.9,2231,65.4,0.107,Luxury Quiet Standard
BMW-NVH-1342,93.8,2263,65.6,0.159,Luxury Quiet Standard
BMW-NVH-1343,126.4,3230,69.4,0.16,Luxury Quiet Standard
BMW-NVH-1344,111.2,2486,67.4,0.17,Luxury Quiet Standard
BMW-NVH-1345,136.4,3330,67.1,0.161,Luxury Quiet Standard
BMW-NVH-1346,36.7,842,60.8,0.168,Luxury Quiet Standard
BMW-NVH-1347,124.0,2979,68.0,0.181,Luxury Quiet Standard
BMW-NVH-1348,175.4,4180,83.2,0.252,Unwanted Boom / Hum
BMW-NVH-1349,152.6,3653,75.7,0.217,Luxury Quiet Standard
BMW-NVH-1350,144.2,3465,73.4,0.17,Luxury Quiet Standard
BMW-NVH-1351,103.3,2465,64.5,0.184,Luxury Quiet Standard
BMW-NVH-1352,48.8,1192,58.3,0.145,Luxury Quiet Standard
BMW-NVH-1353,74.3,1840,62.5,0.152,Luxury Quiet Standard
BMW-NVH-1354,33.9,827,57.4,0.099,Luxury Quiet Standard
BMW-NVH-1355,42.1,967,55.8,0.144,Luxury Quiet Standard
BMW-NVH-1356,36.3,831,56.1,0.139,Luxury Quiet Standard
BMW-NVH-1357,98.3,2388,65.0,0.157,Luxury Quiet Standard
BMW-NVH-1358,34.7,871,52.6,0.064,Luxury Quiet Standard
BMW-NVH-1359,174.2,4169,80.7,0.225,Unwanted Boom / Hum
BMW-NVH-1360,92.9,2219,68.8,0.196,Luxury Quiet Standard
BMW-NVH-1361,86.1,1850,64.4,0.131,Luxury Quiet Standard
BMW-NVH-1362,105.8,2503,66.5,0.178,Luxury Quiet Standard
BMW-NVH-1363,37.1,947,56.1,0.155,Luxury Quiet Standard
