Stamping_Stroke_ID,Press_Tonnage_kN,Stroke_Rate_SPM,Die_Temperature_C,Peak_Impact_Shock_G,Harmonic_Wear_Ratio,Panel_Quality
TOYOTA-PR-1109,852.9,16.2,40.5,5.62,1.09,Perfect Stamping Quality
TOYOTA-PR-1110,1012.9,25.8,43.2,6.35,1.07,Perfect Stamping Quality
TOYOTA-PR-1111,1227.4,26.0,46.8,6.14,1.46,Perfect Stamping Quality
TOYOTA-PR-1112,2227.7,22.0,56.8,7.73,1.42,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1113,1812.6,28.1,57.1,6.75,1.48,Perfect Stamping Quality
TOYOTA-PR-1114,2117.9,17.8,50.4,7.04,1.46,Perfect Stamping Quality
TOYOTA-PR-1115,2086.4,18.1,57.9,7.59,1.31,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1116,1650.3,31.2,55.0,6.34,1.25,Perfect Stamping Quality
TOYOTA-PR-1117,1158.4,29.8,49.1,6.17,1.37,Perfect Stamping Quality
TOYOTA-PR-1118,800.1,21.9,50.5,5.53,1.45,Perfect Stamping Quality
TOYOTA-PR-1119,1224.7,31.9,46.9,5.92,1.25,Perfect Stamping Quality
TOYOTA-PR-1120,2061.7,27.9,56.1,7.82,1.32,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1121,1508.1,23.7,47.9,6.42,1.39,Perfect Stamping Quality
TOYOTA-PR-1122,1715.2,31.2,50.2,6.94,1.44,Perfect Stamping Quality
TOYOTA-PR-1123,874.9,21.3,41.7,5.84,1.34,Perfect Stamping Quality
TOYOTA-PR-1124,1289.7,27.6,53.3,6.81,1.35,Perfect Stamping Quality
TOYOTA-PR-1125,1467.7,25.3,56.3,6.89,1.67,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1126,1953.5,17.3,54.3,7.71,1.53,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1127,878.5,25.9,41.6,5.78,1.33,Perfect Stamping Quality
TOYOTA-PR-1128,2194.9,24.3,55.6,7.84,1.43,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1129,1481.1,22.5,56.9,6.7,1.36,Perfect Stamping Quality
TOYOTA-PR-1130,2029.3,15.6,56.8,7.53,1.13,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1131,1431.8,21.5,47.6,6.84,1.24,Perfect Stamping Quality
TOYOTA-PR-1132,1707.6,18.8,49.4,7.02,1.3,Perfect Stamping Quality
TOYOTA-PR-1133,2300.8,24.7,63.4,7.64,1.28,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1134,1683.8,18.5,61.9,6.93,1.36,Perfect Stamping Quality
TOYOTA-PR-1135,838.3,27.6,46.6,6.31,1.69,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1136,2178.1,31.3,56.3,8.01,1.58,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1137,1477.6,17.1,54.2,6.57,1.28,Perfect Stamping Quality
TOYOTA-PR-1138,965.3,25.1,45.6,5.74,1.15,Perfect Stamping Quality
TOYOTA-PR-1139,1570.8,14.2,50.2,6.65,1.64,Perfect Stamping Quality
TOYOTA-PR-1140,1317.2,16.8,49.5,6.29,1.16,Perfect Stamping Quality
TOYOTA-PR-1141,1590.2,28.3,55.5,6.94,1.27,Perfect Stamping Quality
TOYOTA-PR-1142,897.3,24.9,44.0,5.66,1.26,Perfect Stamping Quality
TOYOTA-PR-1143,2012.6,16.3,55.8,7.46,1.51,Perfect Stamping Quality
TOYOTA-PR-1144,1446.4,19.1,52.7,6.04,1.08,Perfect Stamping Quality
TOYOTA-PR-1145,1932.4,22.3,52.5,7.45,1.32,Perfect Stamping Quality
TOYOTA-PR-1146,1823.6,16.3,57.7,7.12,1.42,Perfect Stamping Quality
TOYOTA-PR-1147,908.0,27.1,49.6,6.21,1.31,Perfect Stamping Quality
TOYOTA-PR-1148,1323.5,19.7,49.0,5.95,1.5,Perfect Stamping Quality
TOYOTA-PR-1149,1698.3,17.7,54.1,6.88,1.34,Perfect Stamping Quality
TOYOTA-PR-1150,1483.8,31.1,50.4,5.87,1.39,Perfect Stamping Quality
TOYOTA-PR-1151,2014.2,23.2,54.0,7.46,1.67,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1152,835.5,21.3,45.7,5.51,1.14,Perfect Stamping Quality
TOYOTA-PR-1153,881.2,15.8,41.0,6.38,1.38,Perfect Stamping Quality
TOYOTA-PR-1154,848.2,31.7,47.1,5.64,1.34,Perfect Stamping Quality
TOYOTA-PR-1155,1737.5,23.0,54.6,7.86,1.2,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1156,1905.9,23.0,52.2,7.75,1.16,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1157,2025.1,17.9,61.1,7.11,1.36,Perfect Stamping Quality
TOYOTA-PR-1158,1940.0,25.5,54.7,6.7,1.5,Perfect Stamping Quality
TOYOTA-PR-1159,937.6,24.0,48.5,6.35,1.38,Perfect Stamping Quality
TOYOTA-PR-1160,1932.1,25.7,50.0,7.5,1.61,Perfect Stamping Quality
TOYOTA-PR-1161,1812.5,20.8,54.2,7.17,1.52,Perfect Stamping Quality
TOYOTA-PR-1162,2077.3,17.8,56.3,7.71,1.26,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1163,1650.0,16.6,54.3,6.15,1.19,Perfect Stamping Quality
TOYOTA-PR-1164,2059.9,19.0,57.6,6.8,1.52,Perfect Stamping Quality
TOYOTA-PR-1165,1515.3,17.1,51.3,6.94,1.31,Perfect Stamping Quality
TOYOTA-PR-1166,2283.3,21.8,62.5,8.0,1.47,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1167,2054.2,17.8,57.6,7.9,1.55,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1168,1956.6,26.5,57.0,8.03,1.61,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1169,1304.3,28.0,53.7,6.6,1.55,Perfect Stamping Quality
TOYOTA-PR-1170,2278.6,16.3,59.7,7.91,1.11,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1171,1091.2,29.4,49.1,5.54,1.4,Perfect Stamping Quality
TOYOTA-PR-1172,1247.6,28.0,49.9,5.95,1.54,Perfect Stamping Quality
TOYOTA-PR-1173,1081.9,17.1,53.1,5.93,1.34,Perfect Stamping Quality
TOYOTA-PR-1174,2131.9,15.5,49.7,7.77,1.49,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1175,1743.8,19.0,53.1,6.54,1.18,Perfect Stamping Quality
TOYOTA-PR-1176,1584.2,21.2,52.4,6.67,1.56,Perfect Stamping Quality
TOYOTA-PR-1177,1959.2,29.4,53.9,7.06,1.73,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1178,1538.1,28.0,52.4,6.09,1.44,Perfect Stamping Quality
TOYOTA-PR-1179,1808.5,31.9,51.4,7.4,1.32,Perfect Stamping Quality
TOYOTA-PR-1180,2152.5,20.7,57.6,7.67,1.16,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1181,1073.4,23.1,53.5,5.67,1.3,Perfect Stamping Quality
TOYOTA-PR-1182,2167.2,22.6,57.2,7.73,1.42,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1183,1151.2,14.3,46.5,5.88,1.54,Perfect Stamping Quality
TOYOTA-PR-1184,1852.5,25.0,57.1,7.05,1.47,Perfect Stamping Quality
TOYOTA-PR-1185,1498.6,18.0,47.1,6.76,1.21,Perfect Stamping Quality
TOYOTA-PR-1186,2390.6,18.3,57.9,7.95,1.08,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1187,2064.5,14.3,53.4,7.66,1.06,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1188,1781.3,15.4,54.1,7.58,1.41,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1189,1166.9,30.6,47.6,5.55,1.04,Perfect Stamping Quality
TOYOTA-PR-1190,914.6,18.7,48.7,4.95,1.36,Perfect Stamping Quality
TOYOTA-PR-1191,1545.1,27.2,55.2,6.72,1.19,Perfect Stamping Quality
TOYOTA-PR-1192,1589.9,15.4,49.6,6.8,1.55,Perfect Stamping Quality
TOYOTA-PR-1193,1937.1,17.4,53.1,6.98,1.35,Perfect Stamping Quality
TOYOTA-PR-1194,2371.5,31.8,61.6,8.92,1.62,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1195,1645.1,30.9,52.9,7.16,1.22,Perfect Stamping Quality
TOYOTA-PR-1196,1301.7,26.8,43.2,6.37,0.95,Perfect Stamping Quality
TOYOTA-PR-1197,2034.9,27.8,53.9,7.7,1.18,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1198,1462.0,23.6,55.9,6.58,1.23,Perfect Stamping Quality
TOYOTA-PR-1199,822.6,29.9,45.7,5.55,1.3,Perfect Stamping Quality
TOYOTA-PR-1200,1504.3,24.1,50.5,6.39,1.5,Perfect Stamping Quality
TOYOTA-PR-1201,1218.1,22.8,50.2,6.52,1.41,Perfect Stamping Quality
TOYOTA-PR-1202,2030.2,24.0,56.6,7.92,1.45,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1203,1434.4,30.4,48.7,6.19,1.02,Perfect Stamping Quality
TOYOTA-PR-1204,2197.6,27.6,56.3,7.09,1.31,Perfect Stamping Quality
TOYOTA-PR-1205,1107.7,23.3,44.1,5.65,1.52,Perfect Stamping Quality
TOYOTA-PR-1206,2009.2,25.6,57.0,7.35,1.39,Perfect Stamping Quality
TOYOTA-PR-1207,1598.3,26.3,54.2,6.61,0.98,Perfect Stamping Quality
TOYOTA-PR-1208,1465.2,21.9,53.1,7.24,1.45,Perfect Stamping Quality
TOYOTA-PR-1209,1693.6,27.9,49.2,6.51,1.27,Perfect Stamping Quality
TOYOTA-PR-1210,1625.9,19.6,56.5,7.02,1.37,Perfect Stamping Quality
TOYOTA-PR-1211,1580.8,15.3,56.5,7.27,1.51,Perfect Stamping Quality
TOYOTA-PR-1212,1574.8,18.4,50.0,6.61,1.51,Perfect Stamping Quality
TOYOTA-PR-1213,834.4,21.3,41.1,5.21,1.15,Perfect Stamping Quality
TOYOTA-PR-1214,1050.0,31.4,44.1,5.74,1.47,Perfect Stamping Quality
TOYOTA-PR-1215,1178.9,24.8,49.5,5.67,1.23,Perfect Stamping Quality
TOYOTA-PR-1216,2335.7,23.6,60.2,8.75,1.5,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1217,1820.8,26.1,56.5,7.17,1.48,Perfect Stamping Quality
TOYOTA-PR-1218,1460.7,28.1,44.4,6.21,1.35,Perfect Stamping Quality
TOYOTA-PR-1219,1426.4,29.9,47.8,6.56,1.3,Perfect Stamping Quality
TOYOTA-PR-1220,872.5,26.2,46.0,5.61,1.45,Perfect Stamping Quality
TOYOTA-PR-1221,2382.8,23.9,62.1,8.22,1.61,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1222,1930.9,26.4,57.0,6.35,1.25,Perfect Stamping Quality
TOYOTA-PR-1223,2241.4,28.0,58.5,7.54,1.18,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1224,2166.3,28.6,60.8,7.92,1.41,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1225,1099.7,20.5,46.7,5.93,1.36,Perfect Stamping Quality
TOYOTA-PR-1226,2030.1,28.6,58.7,7.41,1.29,Perfect Stamping Quality
TOYOTA-PR-1227,1051.8,24.5,46.2,5.81,1.56,Perfect Stamping Quality
TOYOTA-PR-1228,1136.1,15.2,44.8,5.95,1.12,Perfect Stamping Quality
TOYOTA-PR-1229,1247.2,17.5,50.0,6.23,0.94,Perfect Stamping Quality
TOYOTA-PR-1230,1103.2,17.1,52.2,6.64,1.45,Perfect Stamping Quality
TOYOTA-PR-1231,1488.1,23.2,48.8,6.96,1.23,Perfect Stamping Quality
TOYOTA-PR-1232,2022.7,22.7,61.2,8.01,1.38,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1233,1989.4,22.3,53.4,7.81,1.41,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1234,1465.5,18.3,49.3,6.58,1.09,Perfect Stamping Quality
TOYOTA-PR-1235,1651.3,24.3,55.0,6.68,1.4,Perfect Stamping Quality
TOYOTA-PR-1236,2238.0,24.0,55.6,7.35,1.49,Perfect Stamping Quality
TOYOTA-PR-1237,1327.4,29.0,50.6,5.86,1.28,Perfect Stamping Quality
TOYOTA-PR-1238,1032.6,18.6,47.0,6.15,1.35,Perfect Stamping Quality
TOYOTA-PR-1239,1312.5,27.8,49.9,6.85,1.5,Perfect Stamping Quality
TOYOTA-PR-1240,1301.5,30.3,48.2,7.08,1.16,Perfect Stamping Quality
TOYOTA-PR-1241,1154.4,31.7,43.6,5.18,1.26,Perfect Stamping Quality
TOYOTA-PR-1242,1497.4,15.9,52.8,6.45,1.38,Perfect Stamping Quality
TOYOTA-PR-1243,1100.7,28.8,48.7,6.06,1.26,Perfect Stamping Quality
TOYOTA-PR-1244,1352.4,21.8,49.3,6.04,1.34,Perfect Stamping Quality
TOYOTA-PR-1245,2259.2,28.3,62.7,8.22,1.35,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1246,1138.9,22.8,46.5,5.62,1.19,Perfect Stamping Quality
TOYOTA-PR-1247,1957.2,29.1,51.0,7.91,1.28,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1248,1458.5,14.1,53.3,6.39,1.24,Perfect Stamping Quality
TOYOTA-PR-1249,2220.9,17.7,60.2,7.79,1.34,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1250,1436.2,30.0,50.5,6.91,1.19,Perfect Stamping Quality
TOYOTA-PR-1251,840.7,19.5,47.5,5.41,1.38,Perfect Stamping Quality
TOYOTA-PR-1252,1245.7,23.4,51.7,6.38,1.26,Perfect Stamping Quality
TOYOTA-PR-1253,2306.5,28.5,61.8,7.37,1.16,Perfect Stamping Quality
TOYOTA-PR-1254,2308.6,14.3,64.1,8.16,1.46,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1255,1016.3,31.4,49.7,5.99,1.42,Perfect Stamping Quality
TOYOTA-PR-1256,1905.1,24.1,54.9,7.41,1.15,Perfect Stamping Quality
TOYOTA-PR-1257,1527.8,30.7,49.9,6.96,1.34,Perfect Stamping Quality
TOYOTA-PR-1258,992.2,18.4,44.0,6.0,1.48,Perfect Stamping Quality
TOYOTA-PR-1259,862.5,19.2,46.6,5.95,1.1,Perfect Stamping Quality
TOYOTA-PR-1260,2237.2,20.5,57.4,6.71,1.38,Perfect Stamping Quality
TOYOTA-PR-1261,1605.8,22.5,58.4,6.35,1.32,Perfect Stamping Quality
TOYOTA-PR-1262,1872.7,17.1,51.9,7.1,1.33,Perfect Stamping Quality
TOYOTA-PR-1263,1153.8,24.0,50.1,5.76,1.32,Perfect Stamping Quality
TOYOTA-PR-1264,1566.7,21.1,50.3,6.25,1.4,Perfect Stamping Quality
TOYOTA-PR-1265,1286.4,18.7,46.3,6.15,1.32,Perfect Stamping Quality
TOYOTA-PR-1266,1701.2,16.9,51.2,6.67,1.34,Perfect Stamping Quality
TOYOTA-PR-1267,1717.8,26.5,55.4,7.26,1.39,Perfect Stamping Quality
TOYOTA-PR-1268,2304.8,24.5,56.6,7.29,1.3,Perfect Stamping Quality
TOYOTA-PR-1269,1869.8,21.1,52.2,7.55,1.39,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1270,1268.7,15.2,50.2,6.35,1.4,Perfect Stamping Quality
TOYOTA-PR-1271,2291.1,31.2,61.2,7.57,1.56,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1272,2181.8,15.0,56.3,6.95,1.35,Perfect Stamping Quality
TOYOTA-PR-1273,2183.5,18.3,54.4,7.85,1.37,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1274,1216.2,27.5,54.8,6.82,1.21,Perfect Stamping Quality
TOYOTA-PR-1275,2258.6,15.2,58.0,7.68,1.45,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1276,2026.5,26.3,52.1,7.16,1.31,Perfect Stamping Quality
TOYOTA-PR-1277,1262.0,27.7,48.0,6.26,1.64,Perfect Stamping Quality
TOYOTA-PR-1278,1859.7,24.6,51.4,6.7,1.18,Perfect Stamping Quality
TOYOTA-PR-1279,2168.3,15.9,57.2,7.2,1.43,Perfect Stamping Quality
TOYOTA-PR-1280,1807.4,30.1,52.7,7.25,1.65,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1281,1390.1,28.0,48.2,6.43,1.15,Perfect Stamping Quality
TOYOTA-PR-1282,2159.9,20.4,57.5,8.2,1.5,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1283,838.1,21.7,45.8,5.21,1.55,Perfect Stamping Quality
TOYOTA-PR-1284,1885.6,14.9,55.0,7.23,1.28,Perfect Stamping Quality
TOYOTA-PR-1285,1287.7,16.4,49.2,5.84,1.38,Perfect Stamping Quality
TOYOTA-PR-1286,2120.3,21.9,61.1,7.78,1.57,Sheet Metal Micro-Tear Risk
TOYOTA-PR-1287,2306.6,30.9,58.7,7.35,1.47,Perfect Stamping Quality
TOYOTA-PR-1288,1839.6,18.5,55.0,7.18,1.52,Perfect Stamping Quality
TOYOTA-PR-1289,1220.4,17.4,45.1,5.69,1.21,Perfect Stamping Quality
TOYOTA-PR-1290,808.2,30.6,40.5,5.29,1.11,Perfect Stamping Quality
