Handover_Event_ID,Driver_Attention_State,Handover_Response_Time_s,Speed_at_Handover_kmh,Adverse_Weather_Flag,Handover_Success
MB-L3-5163,Attentive & Forward,1.32,58.1,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5164,Smartphone Screen,2.72,46.6,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5165,Drowsy / Eyelid Blink,4.57,98.5,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5166,Attentive & Forward,1.31,112.0,Clear Weather,Safe Smooth Handover
MB-L3-5167,Attentive & Forward,1.24,62.1,Clear Weather,Safe Smooth Handover
MB-L3-5168,Smartphone Screen,2.3,64.0,Clear Weather,Safe Smooth Handover
MB-L3-5169,Smartphone Screen,2.58,41.0,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5170,Drowsy / Eyelid Blink,4.14,79.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5171,Attentive & Forward,1.19,52.9,Clear Weather,Safe Smooth Handover
MB-L3-5172,Attentive & Forward,1.37,59.7,Clear Weather,Safe Smooth Handover
MB-L3-5173,Attentive & Forward,1.09,77.3,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5174,Looking at Passenger,3.55,70.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5175,Looking at Passenger,2.78,66.6,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5176,Attentive & Forward,1.57,91.1,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5177,Attentive & Forward,1.37,48.0,Clear Weather,Safe Smooth Handover
MB-L3-5178,Attentive & Forward,1.36,119.7,Clear Weather,Safe Smooth Handover
MB-L3-5179,Attentive & Forward,1.76,98.6,Clear Weather,Safe Smooth Handover
MB-L3-5180,Attentive & Forward,1.27,116.0,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5181,Attentive & Forward,1.44,101.2,Clear Weather,Safe Smooth Handover
MB-L3-5182,Drowsy / Eyelid Blink,3.45,90.7,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5183,Attentive & Forward,1.45,98.2,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5184,Attentive & Forward,1.39,53.7,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5185,Attentive & Forward,0.8,121.2,Clear Weather,Safe Smooth Handover
MB-L3-5186,Looking at Passenger,2.11,75.9,Clear Weather,Safe Smooth Handover
MB-L3-5187,Attentive & Forward,1.43,66.6,Construction Zone,Safe Smooth Handover
MB-L3-5188,Smartphone Screen,2.49,120.5,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5189,Attentive & Forward,1.52,101.5,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5190,Attentive & Forward,1.55,55.2,Clear Weather,Safe Smooth Handover
MB-L3-5191,Attentive & Forward,1.69,114.1,Clear Weather,Safe Smooth Handover
MB-L3-5192,Attentive & Forward,1.51,97.7,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5193,Smartphone Screen,2.77,75.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5194,Attentive & Forward,1.61,75.7,Clear Weather,Safe Smooth Handover
MB-L3-5195,Attentive & Forward,1.58,121.8,Construction Zone,Safe Smooth Handover
MB-L3-5196,Smartphone Screen,2.37,111.5,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5197,Attentive & Forward,1.15,110.5,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5198,Attentive & Forward,1.45,90.0,Clear Weather,Safe Smooth Handover
MB-L3-5199,Attentive & Forward,1.5,108.8,Clear Weather,Safe Smooth Handover
MB-L3-5200,Attentive & Forward,1.54,90.0,Clear Weather,Safe Smooth Handover
MB-L3-5201,Attentive & Forward,1.05,82.1,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5202,Attentive & Forward,1.45,54.1,Clear Weather,Safe Smooth Handover
MB-L3-5203,Attentive & Forward,1.02,49.4,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5204,Smartphone Screen,2.46,115.9,Construction Zone,Safe Smooth Handover
MB-L3-5205,Smartphone Screen,1.86,102.7,Clear Weather,Safe Smooth Handover
MB-L3-5206,Attentive & Forward,1.61,75.9,Clear Weather,Safe Smooth Handover
MB-L3-5207,Looking at Passenger,2.73,81.9,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5208,Attentive & Forward,1.71,83.8,Clear Weather,Safe Smooth Handover
MB-L3-5209,Smartphone Screen,2.53,95.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5210,Looking at Passenger,2.08,76.2,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5211,Attentive & Forward,1.42,43.9,Clear Weather,Safe Smooth Handover
MB-L3-5212,Attentive & Forward,1.36,52.7,Clear Weather,Safe Smooth Handover
MB-L3-5213,Smartphone Screen,1.58,119.4,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5214,Attentive & Forward,1.53,79.6,Clear Weather,Safe Smooth Handover
MB-L3-5215,Attentive & Forward,1.23,128.0,Clear Weather,Safe Smooth Handover
MB-L3-5216,Attentive & Forward,1.02,54.0,Clear Weather,Safe Smooth Handover
MB-L3-5217,Attentive & Forward,1.67,83.3,Construction Zone,Safe Smooth Handover
MB-L3-5218,Smartphone Screen,2.85,113.2,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5219,Smartphone Screen,2.49,63.7,Clear Weather,Safe Smooth Handover
MB-L3-5220,Attentive & Forward,0.81,92.7,Clear Weather,Safe Smooth Handover
MB-L3-5221,Attentive & Forward,1.15,88.3,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5222,Attentive & Forward,1.68,61.5,Clear Weather,Safe Smooth Handover
MB-L3-5223,Attentive & Forward,1.22,105.5,Clear Weather,Safe Smooth Handover
MB-L3-5224,Attentive & Forward,1.91,40.3,Clear Weather,Safe Smooth Handover
MB-L3-5225,Attentive & Forward,1.11,115.3,Clear Weather,Safe Smooth Handover
MB-L3-5226,Smartphone Screen,2.81,111.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5227,Attentive & Forward,1.23,96.6,Clear Weather,Safe Smooth Handover
MB-L3-5228,Attentive & Forward,1.69,65.8,Clear Weather,Safe Smooth Handover
MB-L3-5229,Attentive & Forward,1.25,114.7,Clear Weather,Safe Smooth Handover
MB-L3-5230,Attentive & Forward,1.34,109.4,Construction Zone,Safe Smooth Handover
MB-L3-5231,Attentive & Forward,1.59,65.2,Clear Weather,Safe Smooth Handover
MB-L3-5232,Looking at Passenger,2.62,105.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5233,Smartphone Screen,3.36,83.5,Heavy Rainstorm,Escalated Visual/Audio Alert
MB-L3-5234,Attentive & Forward,1.38,77.6,Clear Weather,Safe Smooth Handover
MB-L3-5235,Rear Seat Mirror,2.36,86.3,Construction Zone,Safe Smooth Handover
MB-L3-5236,Drowsy / Eyelid Blink,4.54,116.3,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5237,Smartphone Screen,2.82,67.1,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5238,Attentive & Forward,1.48,107.1,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5239,Attentive & Forward,1.43,121.1,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5240,Smartphone Screen,3.32,89.1,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5241,Attentive & Forward,1.33,42.9,Construction Zone,Safe Smooth Handover
MB-L3-5242,Attentive & Forward,1.39,88.9,Clear Weather,Safe Smooth Handover
MB-L3-5243,Attentive & Forward,1.34,53.5,Clear Weather,Safe Smooth Handover
MB-L3-5244,Attentive & Forward,1.96,61.3,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5245,Attentive & Forward,0.99,85.5,Clear Weather,Safe Smooth Handover
MB-L3-5246,Attentive & Forward,1.44,122.8,Clear Weather,Safe Smooth Handover
MB-L3-5247,Drowsy / Eyelid Blink,2.72,128.6,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5248,Attentive & Forward,1.51,116.3,Clear Weather,Safe Smooth Handover
MB-L3-5249,Smartphone Screen,2.36,63.4,Clear Weather,Safe Smooth Handover
MB-L3-5250,Looking at Passenger,2.47,115.1,Clear Weather,Safe Smooth Handover
MB-L3-5251,Attentive & Forward,1.65,80.9,Clear Weather,Safe Smooth Handover
MB-L3-5252,Drowsy / Eyelid Blink,3.06,84.0,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5253,Attentive & Forward,1.44,92.4,Clear Weather,Safe Smooth Handover
MB-L3-5254,Smartphone Screen,2.79,64.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5255,Looking at Passenger,2.8,123.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5256,Attentive & Forward,1.23,109.0,Clear Weather,Safe Smooth Handover
MB-L3-5257,Looking at Passenger,2.64,117.8,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5258,Smartphone Screen,2.13,104.2,Construction Zone,Safe Smooth Handover
MB-L3-5259,Smartphone Screen,3.01,126.2,Construction Zone,Escalated Visual/Audio Alert
MB-L3-5260,Attentive & Forward,1.09,93.7,Clear Weather,Safe Smooth Handover
MB-L3-5261,Attentive & Forward,1.76,96.1,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5262,Drowsy / Eyelid Blink,3.57,105.2,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5263,Smartphone Screen,1.82,56.2,Clear Weather,Safe Smooth Handover
MB-L3-5264,Smartphone Screen,2.8,117.1,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5265,Attentive & Forward,1.4,103.9,Clear Weather,Safe Smooth Handover
MB-L3-5266,Attentive & Forward,1.64,41.6,Clear Weather,Safe Smooth Handover
MB-L3-5267,Looking at Passenger,1.92,99.5,Clear Weather,Safe Smooth Handover
MB-L3-5268,Attentive & Forward,1.44,108.3,Clear Weather,Safe Smooth Handover
MB-L3-5269,Attentive & Forward,1.39,79.5,Clear Weather,Safe Smooth Handover
MB-L3-5270,Attentive & Forward,1.42,128.1,Clear Weather,Safe Smooth Handover
MB-L3-5271,Smartphone Screen,3.07,56.4,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5272,Attentive & Forward,1.57,116.1,Clear Weather,Safe Smooth Handover
MB-L3-5273,Attentive & Forward,1.51,56.1,Construction Zone,Safe Smooth Handover
MB-L3-5274,Attentive & Forward,1.19,50.0,Clear Weather,Safe Smooth Handover
MB-L3-5275,Attentive & Forward,1.24,98.4,Clear Weather,Safe Smooth Handover
MB-L3-5276,Attentive & Forward,1.46,106.7,Clear Weather,Safe Smooth Handover
MB-L3-5277,Drowsy / Eyelid Blink,4.65,126.9,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5278,Attentive & Forward,1.68,40.0,Clear Weather,Safe Smooth Handover
MB-L3-5279,Attentive & Forward,1.17,83.7,Clear Weather,Safe Smooth Handover
MB-L3-5280,Attentive & Forward,1.49,107.5,Clear Weather,Safe Smooth Handover
MB-L3-5281,Rear Seat Mirror,2.37,122.6,Clear Weather,Safe Smooth Handover
MB-L3-5282,Attentive & Forward,1.41,117.2,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5283,Drowsy / Eyelid Blink,3.79,125.3,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5284,Drowsy / Eyelid Blink,2.9,51.3,Construction Zone,Escalated Visual/Audio Alert
MB-L3-5285,Smartphone Screen,2.72,40.9,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5286,Attentive & Forward,1.33,56.4,Clear Weather,Safe Smooth Handover
MB-L3-5287,Attentive & Forward,1.03,62.7,Clear Weather,Safe Smooth Handover
MB-L3-5288,Looking at Passenger,2.36,107.7,Clear Weather,Safe Smooth Handover
MB-L3-5289,Smartphone Screen,2.83,49.7,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5290,Attentive & Forward,1.69,100.3,Heavy Rainstorm,Safe Smooth Handover
MB-L3-5291,Attentive & Forward,1.7,61.9,Clear Weather,Safe Smooth Handover
MB-L3-5292,Drowsy / Eyelid Blink,3.47,119.7,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5293,Attentive & Forward,1.67,94.0,Clear Weather,Safe Smooth Handover
MB-L3-5294,Attentive & Forward,1.21,60.8,Clear Weather,Safe Smooth Handover
MB-L3-5295,Smartphone Screen,2.56,87.7,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5296,Attentive & Forward,1.49,125.2,Clear Weather,Safe Smooth Handover
MB-L3-5297,Smartphone Screen,2.9,64.6,Clear Weather,Escalated Visual/Audio Alert
MB-L3-5298,Smartphone Screen,3.2,40.2,Clear Weather,Escalated Visual/Audio Alert
