Charging_Session_ID,Ambient_Temp_C,Fast_Charge_C_Rate,Starting_SoC_pct,Anode_Overvoltage_mV,Charge_Duration_min,Plating_Safety_Status
VW-MEB-1023,-2.8,1.83,20.9,-105.2,42.0,High Risk (Lithium Plating)
VW-MEB-1024,6.0,1.17,38.4,-83.0,44.2,High Risk (Lithium Plating)
VW-MEB-1025,33.9,3.13,22.6,-77.1,19.1,High Risk (Lithium Plating)
VW-MEB-1026,28.7,1.24,12.4,-26.5,65.0,High Risk (Lithium Plating)
VW-MEB-1027,29.0,1.38,24.5,-33.8,52.7,High Risk (Lithium Plating)
VW-MEB-1028,20.0,1.37,19.8,-47.6,48.6,High Risk (Lithium Plating)
VW-MEB-1029,28.9,3.16,8.6,-84.1,27.2,High Risk (Lithium Plating)
VW-MEB-1030,2.1,2.81,33.1,-126.5,20.3,High Risk (Lithium Plating)
VW-MEB-1031,34.0,3.19,35.0,-75.7,18.4,High Risk (Lithium Plating)
VW-MEB-1032,34.8,1.69,44.5,-42.0,26.6,High Risk (Lithium Plating)
VW-MEB-1033,-2.1,3.13,20.1,-148.5,24.8,High Risk (Lithium Plating)
VW-MEB-1034,-2.8,2.77,5.5,-125.4,35.1,High Risk (Lithium Plating)
VW-MEB-1035,17.9,1.94,27.6,-68.3,36.1,High Risk (Lithium Plating)
VW-MEB-1036,5.6,1.72,29.6,-90.4,36.7,High Risk (Lithium Plating)
VW-MEB-1037,22.5,1.89,45.0,-71.6,24.0,High Risk (Lithium Plating)
VW-MEB-1038,27.5,2.56,16.8,-70.4,30.3,High Risk (Lithium Plating)
VW-MEB-1039,14.7,2.6,40.3,-106.8,19.2,High Risk (Lithium Plating)
VW-MEB-1040,14.7,1.96,17.5,-81.3,41.6,High Risk (Lithium Plating)
VW-MEB-1041,-0.6,1.11,19.3,-77.5,65.0,High Risk (Lithium Plating)
VW-MEB-1042,-6.6,1.81,14.5,-100.7,44.5,High Risk (Lithium Plating)
VW-MEB-1043,-7.3,2.02,10.4,-113.1,36.2,High Risk (Lithium Plating)
VW-MEB-1044,7.0,2.25,24.8,-96.7,30.8,High Risk (Lithium Plating)
VW-MEB-1045,22.4,2.63,23.5,-85.2,30.3,High Risk (Lithium Plating)
VW-MEB-1046,-0.5,1.77,43.6,-98.6,26.3,High Risk (Lithium Plating)
VW-MEB-1047,-6.4,1.32,20.9,-99.6,57.8,High Risk (Lithium Plating)
VW-MEB-1048,8.2,1.82,36.3,-94.5,28.5,High Risk (Lithium Plating)
VW-MEB-1049,5.5,1.55,39.0,-96.3,34.9,High Risk (Lithium Plating)
VW-MEB-1050,7.1,1.97,15.4,-87.4,40.3,High Risk (Lithium Plating)
VW-MEB-1051,13.3,1.12,7.2,-56.3,65.0,High Risk (Lithium Plating)
VW-MEB-1052,18.6,1.89,27.3,-67.1,33.2,High Risk (Lithium Plating)
VW-MEB-1053,29.2,2.7,22.2,-78.1,29.5,High Risk (Lithium Plating)
VW-MEB-1054,10.7,1.34,36.3,-67.2,41.1,High Risk (Lithium Plating)
VW-MEB-1055,4.8,1.06,7.2,-72.6,65.0,High Risk (Lithium Plating)
VW-MEB-1056,-5.0,2.52,24.8,-135.0,24.2,High Risk (Lithium Plating)
VW-MEB-1057,15.2,2.09,13.1,-71.5,40.1,High Risk (Lithium Plating)
VW-MEB-1058,28.6,3.13,34.4,-91.2,19.5,High Risk (Lithium Plating)
VW-MEB-1059,27.1,3.03,17.4,-90.0,30.5,High Risk (Lithium Plating)
VW-MEB-1060,5.7,2.88,33.0,-123.8,21.7,High Risk (Lithium Plating)
VW-MEB-1061,-4.2,2.92,5.1,-131.1,29.4,High Risk (Lithium Plating)
VW-MEB-1062,18.9,1.86,20.0,-76.7,42.0,High Risk (Lithium Plating)
VW-MEB-1063,2.3,2.26,18.8,-105.6,31.6,High Risk (Lithium Plating)
VW-MEB-1064,27.3,1.61,33.6,-53.6,36.6,High Risk (Lithium Plating)
VW-MEB-1065,19.1,1.77,16.3,-65.7,44.2,High Risk (Lithium Plating)
VW-MEB-1066,7.7,1.59,44.7,-86.4,30.9,High Risk (Lithium Plating)
VW-MEB-1067,-2.7,2.56,44.2,-139.3,17.3,High Risk (Lithium Plating)
VW-MEB-1068,4.4,0.8,31.8,-70.1,65.0,High Risk (Lithium Plating)
VW-MEB-1069,3.2,2.32,25.8,-108.3,27.9,High Risk (Lithium Plating)
VW-MEB-1070,-6.0,2.39,21.0,-131.6,29.4,High Risk (Lithium Plating)
VW-MEB-1071,14.0,1.73,18.6,-77.6,41.4,High Risk (Lithium Plating)
VW-MEB-1072,32.6,0.89,34.0,-20.2,62.6,High Risk (Lithium Plating)
VW-MEB-1073,33.2,2.13,16.7,-54.3,37.3,High Risk (Lithium Plating)
VW-MEB-1074,1.4,1.91,39.0,-110.9,27.2,High Risk (Lithium Plating)
VW-MEB-1075,30.4,1.26,7.1,-20.2,65.0,High Risk (Lithium Plating)
VW-MEB-1076,-10.0,2.39,13.4,-131.9,35.8,High Risk (Lithium Plating)
VW-MEB-1077,28.0,1.43,32.6,-35.5,39.0,High Risk (Lithium Plating)
VW-MEB-1078,-8.8,1.25,25.8,-103.5,52.1,High Risk (Lithium Plating)
VW-MEB-1079,-9.5,2.4,22.5,-132.0,31.0,High Risk (Lithium Plating)
VW-MEB-1080,26.2,2.23,13.6,-64.7,39.9,High Risk (Lithium Plating)
VW-MEB-1081,26.8,2.1,17.1,-54.5,36.5,High Risk (Lithium Plating)
VW-MEB-1082,20.4,1.98,31.5,-69.7,30.7,High Risk (Lithium Plating)
VW-MEB-1083,-9.3,3.08,40.7,-159.6,15.9,High Risk (Lithium Plating)
VW-MEB-1084,11.9,2.34,9.9,-89.6,37.5,High Risk (Lithium Plating)
VW-MEB-1085,-5.9,1.15,17.1,-86.1,65.0,High Risk (Lithium Plating)
VW-MEB-1086,19.6,2.43,32.3,-89.7,21.4,High Risk (Lithium Plating)
VW-MEB-1087,-6.6,1.04,10.2,-87.5,65.0,High Risk (Lithium Plating)
VW-MEB-1088,19.8,2.77,18.5,-92.4,31.3,High Risk (Lithium Plating)
VW-MEB-1089,21.3,0.93,19.5,-34.5,65.0,High Risk (Lithium Plating)
VW-MEB-1090,24.5,1.84,32.1,-55.9,33.1,High Risk (Lithium Plating)
VW-MEB-1091,6.1,1.17,42.0,-83.7,41.3,High Risk (Lithium Plating)
VW-MEB-1092,23.6,1.26,22.2,-40.7,54.3,High Risk (Lithium Plating)
VW-MEB-1093,14.3,2.04,23.9,-83.8,31.5,High Risk (Lithium Plating)
VW-MEB-1094,15.4,1.15,37.8,-54.6,43.6,High Risk (Lithium Plating)
VW-MEB-1095,-5.1,0.87,29.3,-85.6,65.0,High Risk (Lithium Plating)
VW-MEB-1096,7.7,1.69,9.0,-69.1,56.1,High Risk (Lithium Plating)
VW-MEB-1097,12.0,2.33,28.7,-91.6,26.6,High Risk (Lithium Plating)
VW-MEB-1098,24.8,1.34,22.1,-40.4,53.7,High Risk (Lithium Plating)
VW-MEB-1099,-9.2,0.88,37.4,-97.7,58.5,High Risk (Lithium Plating)
VW-MEB-1100,21.2,3.0,29.1,-91.2,23.9,High Risk (Lithium Plating)
VW-MEB-1101,35.0,1.08,33.5,-14.3,52.0,High Risk (Lithium Plating)
VW-MEB-1102,33.8,2.22,39.5,-59.2,23.1,High Risk (Lithium Plating)
VW-MEB-1103,21.4,2.29,26.4,-75.4,30.2,High Risk (Lithium Plating)
VW-MEB-1104,21.6,1.16,18.9,-40.2,65.0,High Risk (Lithium Plating)
VW-MEB-1105,10.6,2.66,33.0,-108.0,19.6,High Risk (Lithium Plating)
VW-MEB-1106,3.2,2.56,7.8,-109.5,34.8,High Risk (Lithium Plating)
VW-MEB-1107,23.0,0.95,44.7,-41.6,44.5,High Risk (Lithium Plating)
VW-MEB-1108,27.7,1.18,18.5,-29.5,64.7,High Risk (Lithium Plating)
VW-MEB-1109,30.5,2.66,13.6,-68.1,28.8,High Risk (Lithium Plating)
VW-MEB-1110,26.3,2.87,38.9,-89.4,16.1,High Risk (Lithium Plating)
VW-MEB-1111,29.2,1.85,14.0,-48.4,42.6,High Risk (Lithium Plating)
VW-MEB-1112,-3.5,1.33,43.8,-97.6,36.4,High Risk (Lithium Plating)
VW-MEB-1113,12.0,2.74,26.1,-101.4,23.2,High Risk (Lithium Plating)
VW-MEB-1114,28.3,2.64,32.0,-70.6,22.3,High Risk (Lithium Plating)
VW-MEB-1115,21.9,1.89,29.4,-62.2,29.7,High Risk (Lithium Plating)
VW-MEB-1116,-2.9,1.0,31.3,-86.8,65.0,High Risk (Lithium Plating)
VW-MEB-1117,17.9,2.98,14.9,-99.1,27.2,High Risk (Lithium Plating)
VW-MEB-1118,24.8,2.94,20.9,-88.3,25.6,High Risk (Lithium Plating)
VW-MEB-1119,-1.8,1.62,26.2,-97.8,41.2,High Risk (Lithium Plating)
VW-MEB-1120,24.0,1.2,14.4,-45.0,65.0,High Risk (Lithium Plating)
VW-MEB-1121,-0.9,2.48,28.9,-121.3,24.4,High Risk (Lithium Plating)
VW-MEB-1122,12.3,1.59,43.5,-72.5,29.0,High Risk (Lithium Plating)
VW-MEB-1123,18.6,0.9,18.0,-32.2,65.0,High Risk (Lithium Plating)
VW-MEB-1124,24.3,2.24,11.1,-65.8,38.1,High Risk (Lithium Plating)
VW-MEB-1125,14.3,1.83,15.0,-72.9,46.1,High Risk (Lithium Plating)
VW-MEB-1126,22.5,1.85,27.4,-63.4,37.3,High Risk (Lithium Plating)
VW-MEB-1127,26.2,2.23,5.6,-61.0,40.0,High Risk (Lithium Plating)
VW-MEB-1128,9.0,1.44,19.9,-78.3,51.9,High Risk (Lithium Plating)
VW-MEB-1129,29.4,1.07,7.1,-22.1,65.0,High Risk (Lithium Plating)
VW-MEB-1130,14.9,2.46,27.9,-90.6,26.3,High Risk (Lithium Plating)
VW-MEB-1131,2.0,1.49,20.1,-81.4,51.0,High Risk (Lithium Plating)
VW-MEB-1132,8.0,2.53,6.8,-100.3,35.3,High Risk (Lithium Plating)
VW-MEB-1133,13.2,2.96,43.9,-125.6,14.0,High Risk (Lithium Plating)
VW-MEB-1134,31.7,1.5,25.9,-36.7,44.8,High Risk (Lithium Plating)
VW-MEB-1135,3.0,2.54,6.8,-110.2,33.7,High Risk (Lithium Plating)
VW-MEB-1136,-0.4,2.39,16.6,-108.5,34.6,High Risk (Lithium Plating)
VW-MEB-1137,29.2,2.21,41.6,-67.7,18.6,High Risk (Lithium Plating)
VW-MEB-1138,30.4,2.88,40.8,-85.9,14.2,High Risk (Lithium Plating)
VW-MEB-1139,7.1,2.4,16.7,-101.2,31.7,High Risk (Lithium Plating)
VW-MEB-1140,-5.4,1.1,8.4,-79.7,65.0,High Risk (Lithium Plating)
VW-MEB-1141,-7.5,2.08,20.9,-124.1,33.0,High Risk (Lithium Plating)
VW-MEB-1142,-4.5,2.16,6.3,-111.0,42.8,High Risk (Lithium Plating)
VW-MEB-1143,19.9,1.75,9.6,-49.0,49.3,High Risk (Lithium Plating)
VW-MEB-1144,27.0,0.85,25.0,-27.4,65.0,High Risk (Lithium Plating)
VW-MEB-1145,31.3,2.18,43.5,-59.4,17.7,High Risk (Lithium Plating)
VW-MEB-1146,-0.5,2.4,6.0,-103.9,43.0,High Risk (Lithium Plating)
VW-MEB-1147,23.5,2.85,36.4,-89.7,19.2,High Risk (Lithium Plating)
VW-MEB-1148,2.1,2.23,21.3,-115.0,31.7,High Risk (Lithium Plating)
VW-MEB-1149,7.3,0.88,10.6,-55.6,65.0,High Risk (Lithium Plating)
VW-MEB-1150,23.9,2.05,24.8,-68.5,36.3,High Risk (Lithium Plating)
VW-MEB-1151,2.3,1.07,24.8,-72.5,63.6,High Risk (Lithium Plating)
VW-MEB-1152,4.1,1.67,17.0,-87.1,46.7,High Risk (Lithium Plating)
VW-MEB-1153,24.6,2.04,23.9,-60.3,35.8,High Risk (Lithium Plating)
VW-MEB-1154,0.4,2.55,29.0,-127.6,27.7,High Risk (Lithium Plating)
VW-MEB-1155,-5.3,2.22,11.7,-111.9,37.5,High Risk (Lithium Plating)
VW-MEB-1156,31.9,2.54,27.0,-64.4,22.2,High Risk (Lithium Plating)
VW-MEB-1157,18.8,1.91,37.3,-77.5,31.9,High Risk (Lithium Plating)
VW-MEB-1158,-6.6,1.23,37.8,-101.6,41.8,High Risk (Lithium Plating)
VW-MEB-1159,26.7,2.51,35.8,-76.3,21.1,High Risk (Lithium Plating)
VW-MEB-1160,31.3,2.01,15.1,-41.5,41.6,High Risk (Lithium Plating)
VW-MEB-1161,-10.0,1.71,25.4,-106.5,42.1,High Risk (Lithium Plating)
VW-MEB-1162,31.5,0.84,7.8,-4.7,65.0,High Risk (Lithium Plating)
VW-MEB-1163,20.5,2.42,26.9,-86.7,26.4,High Risk (Lithium Plating)
VW-MEB-1164,25.5,2.73,37.8,-87.3,21.1,High Risk (Lithium Plating)
VW-MEB-1165,-3.3,1.97,27.2,-110.7,34.6,High Risk (Lithium Plating)
VW-MEB-1166,0.5,1.05,42.2,-83.2,46.5,High Risk (Lithium Plating)
VW-MEB-1167,24.5,2.8,13.1,-89.8,34.4,High Risk (Lithium Plating)
VW-MEB-1168,13.5,2.43,20.2,-95.9,31.0,High Risk (Lithium Plating)
VW-MEB-1169,29.2,2.85,14.6,-74.4,27.8,High Risk (Lithium Plating)
VW-MEB-1170,28.4,1.23,16.4,-30.9,65.0,High Risk (Lithium Plating)
VW-MEB-1171,-1.9,2.98,14.4,-136.9,28.1,High Risk (Lithium Plating)
VW-MEB-1172,3.8,2.28,28.1,-107.5,28.4,High Risk (Lithium Plating)
VW-MEB-1173,19.6,2.19,13.5,-66.9,38.9,High Risk (Lithium Plating)
VW-MEB-1174,0.5,2.02,38.8,-113.3,23.5,High Risk (Lithium Plating)
VW-MEB-1175,25.5,2.49,37.7,-80.6,21.4,High Risk (Lithium Plating)
VW-MEB-1176,18.1,2.77,13.7,-93.0,28.5,High Risk (Lithium Plating)
VW-MEB-1177,-9.4,2.99,42.2,-156.9,16.1,High Risk (Lithium Plating)
VW-MEB-1178,33.5,2.29,24.4,-52.7,29.3,High Risk (Lithium Plating)
VW-MEB-1179,17.8,2.45,31.2,-87.8,25.1,High Risk (Lithium Plating)
VW-MEB-1180,-8.2,1.33,39.2,-113.1,39.5,High Risk (Lithium Plating)
VW-MEB-1181,-7.0,1.22,30.1,-97.8,50.0,High Risk (Lithium Plating)
VW-MEB-1182,34.6,2.62,26.0,-53.0,25.3,High Risk (Lithium Plating)
VW-MEB-1183,34.4,2.53,40.5,-70.5,16.2,High Risk (Lithium Plating)
VW-MEB-1184,-5.0,2.32,20.8,-122.8,32.5,High Risk (Lithium Plating)
VW-MEB-1185,-9.3,1.65,38.5,-122.7,33.6,High Risk (Lithium Plating)
VW-MEB-1186,24.2,2.13,29.6,-65.6,28.5,High Risk (Lithium Plating)
VW-MEB-1187,-9.8,1.81,24.9,-114.7,38.3,High Risk (Lithium Plating)
VW-MEB-1188,15.5,2.09,36.6,-81.5,28.5,High Risk (Lithium Plating)
VW-MEB-1189,-5.5,1.28,16.5,-88.3,62.7,High Risk (Lithium Plating)
VW-MEB-1190,24.6,1.92,41.6,-62.2,27.7,High Risk (Lithium Plating)
VW-MEB-1191,31.0,2.51,6.8,-59.3,36.3,High Risk (Lithium Plating)
VW-MEB-1192,18.0,3.19,33.2,-114.3,17.6,High Risk (Lithium Plating)
VW-MEB-1193,30.6,2.18,38.3,-63.8,22.5,High Risk (Lithium Plating)
VW-MEB-1194,8.6,2.12,25.9,-98.6,31.8,High Risk (Lithium Plating)
VW-MEB-1195,25.5,1.81,14.0,-51.1,45.9,High Risk (Lithium Plating)
VW-MEB-1196,19.1,2.48,26.8,-83.8,27.6,High Risk (Lithium Plating)
VW-MEB-1197,31.8,1.57,18.8,-39.3,51.8,High Risk (Lithium Plating)
VW-MEB-1198,2.8,1.11,34.6,-79.9,51.4,High Risk (Lithium Plating)
VW-MEB-1199,4.0,2.96,16.3,-130.9,25.9,High Risk (Lithium Plating)
VW-MEB-1200,16.4,2.54,38.8,-100.8,20.3,High Risk (Lithium Plating)
VW-MEB-1201,-1.8,2.42,29.9,-118.4,26.4,High Risk (Lithium Plating)
VW-MEB-1202,9.2,1.67,32.1,-82.9,34.7,High Risk (Lithium Plating)
VW-MEB-1203,-4.1,2.35,10.2,-115.0,40.1,High Risk (Lithium Plating)
VW-MEB-1204,-3.2,2.43,5.1,-113.4,38.5,High Risk (Lithium Plating)
VW-MEB-1205,14.6,1.41,23.3,-65.2,45.5,High Risk (Lithium Plating)
VW-MEB-1206,26.5,2.12,16.5,-51.9,37.6,High Risk (Lithium Plating)
VW-MEB-1207,19.8,0.9,44.4,-51.1,51.3,High Risk (Lithium Plating)
VW-MEB-1208,22.4,2.37,31.2,-88.2,25.9,High Risk (Lithium Plating)
VW-MEB-1209,33.0,0.83,27.5,-13.8,65.0,High Risk (Lithium Plating)
VW-MEB-1210,34.8,1.02,42.7,-24.7,45.6,High Risk (Lithium Plating)
VW-MEB-1211,4.4,2.54,34.7,-115.1,24.3,High Risk (Lithium Plating)
VW-MEB-1212,10.3,2.53,38.5,-109.5,18.2,High Risk (Lithium Plating)
VW-MEB-1213,29.5,1.28,39.6,-42.9,39.8,High Risk (Lithium Plating)
VW-MEB-1214,6.1,1.61,22.9,-85.1,44.2,High Risk (Lithium Plating)
VW-MEB-1215,34.3,2.7,10.1,-60.5,34.5,High Risk (Lithium Plating)
VW-MEB-1216,31.3,0.96,37.0,-21.9,58.8,High Risk (Lithium Plating)
VW-MEB-1217,0.7,1.91,16.7,-101.1,39.5,High Risk (Lithium Plating)
VW-MEB-1218,26.3,0.94,40.6,-27.8,49.1,High Risk (Lithium Plating)
VW-MEB-1219,23.8,2.82,12.7,-84.2,28.2,High Risk (Lithium Plating)
VW-MEB-1220,9.7,2.33,9.3,-95.1,39.5,High Risk (Lithium Plating)
VW-MEB-1221,5.6,1.28,7.8,-71.1,65.0,High Risk (Lithium Plating)
VW-MEB-1222,2.0,2.93,39.8,-139.7,17.1,High Risk (Lithium Plating)
VW-MEB-1223,-8.0,1.12,35.6,-101.4,53.0,High Risk (Lithium Plating)
VW-MEB-1224,-3.1,2.99,12.0,-137.0,29.5,High Risk (Lithium Plating)
VW-MEB-1225,-7.4,2.97,40.9,-156.1,17.7,High Risk (Lithium Plating)
VW-MEB-1226,-5.5,0.93,17.1,-85.8,65.0,High Risk (Lithium Plating)
VW-MEB-1227,-3.9,1.28,24.2,-85.0,55.1,High Risk (Lithium Plating)
VW-MEB-1228,10.6,2.2,11.5,-89.0,41.6,High Risk (Lithium Plating)
VW-MEB-1229,17.7,1.18,30.7,-50.8,52.8,High Risk (Lithium Plating)
VW-MEB-1230,-0.1,2.83,38.2,-139.0,17.6,High Risk (Lithium Plating)
VW-MEB-1231,10.5,1.98,9.0,-80.0,43.1,High Risk (Lithium Plating)
VW-MEB-1232,19.4,1.83,34.9,-60.6,29.9,High Risk (Lithium Plating)
VW-MEB-1233,14.5,1.88,40.7,-91.6,25.0,High Risk (Lithium Plating)
VW-MEB-1234,23.6,0.93,31.5,-33.6,65.0,High Risk (Lithium Plating)
VW-MEB-1235,16.3,0.99,8.8,-33.3,65.0,High Risk (Lithium Plating)
VW-MEB-1236,5.9,1.47,19.1,-73.9,50.9,High Risk (Lithium Plating)
VW-MEB-1237,30.4,1.5,33.6,-46.1,36.1,High Risk (Lithium Plating)
VW-MEB-1238,-3.2,1.68,26.5,-102.5,40.2,High Risk (Lithium Plating)
VW-MEB-1239,8.1,2.56,18.5,-95.6,31.5,High Risk (Lithium Plating)
VW-MEB-1240,24.7,1.37,12.2,-44.6,64.0,High Risk (Lithium Plating)
VW-MEB-1241,5.3,1.05,32.1,-73.2,54.6,High Risk (Lithium Plating)
VW-MEB-1242,29.2,1.22,37.4,-33.9,44.2,High Risk (Lithium Plating)
VW-MEB-1243,24.5,0.82,17.7,-29.8,65.0,High Risk (Lithium Plating)
VW-MEB-1244,25.6,1.57,23.6,-40.0,43.4,High Risk (Lithium Plating)
VW-MEB-1245,34.0,1.79,37.8,-53.3,25.2,High Risk (Lithium Plating)
VW-MEB-1246,10.1,2.89,26.7,-107.4,22.3,High Risk (Lithium Plating)
VW-MEB-1247,-2.6,1.96,28.2,-110.8,33.3,High Risk (Lithium Plating)
VW-MEB-1248,7.6,1.65,21.7,-79.7,47.2,High Risk (Lithium Plating)
VW-MEB-1249,14.3,1.5,19.8,-68.3,48.4,High Risk (Lithium Plating)
VW-MEB-1250,25.8,2.49,31.5,-68.6,23.5,High Risk (Lithium Plating)
VW-MEB-1251,21.6,2.81,38.8,-97.0,22.9,High Risk (Lithium Plating)
VW-MEB-1252,20.4,1.38,27.6,-60.0,50.1,High Risk (Lithium Plating)
VW-MEB-1253,13.4,1.62,36.3,-79.1,35.8,High Risk (Lithium Plating)
VW-MEB-1254,21.7,3.11,37.1,-104.1,18.8,High Risk (Lithium Plating)
VW-MEB-1255,15.9,0.8,28.9,-41.7,65.0,High Risk (Lithium Plating)
VW-MEB-1256,-1.4,1.74,5.1,-92.2,52.5,High Risk (Lithium Plating)
VW-MEB-1257,24.4,1.54,45.0,-51.1,32.5,High Risk (Lithium Plating)
VW-MEB-1258,24.0,1.44,39.4,-61.5,32.5,High Risk (Lithium Plating)
VW-MEB-1259,-0.9,1.37,36.2,-93.1,42.3,High Risk (Lithium Plating)
VW-MEB-1260,29.2,2.44,28.9,-63.8,25.3,High Risk (Lithium Plating)
VW-MEB-1261,15.3,2.11,17.8,-65.8,37.9,High Risk (Lithium Plating)
VW-MEB-1262,-7.7,1.92,39.4,-125.1,27.2,High Risk (Lithium Plating)
VW-MEB-1263,21.6,1.16,43.0,-55.6,39.8,High Risk (Lithium Plating)
VW-MEB-1264,22.9,3.08,15.2,-96.4,25.8,High Risk (Lithium Plating)
VW-MEB-1265,16.3,2.73,15.4,-92.9,31.8,High Risk (Lithium Plating)
VW-MEB-1266,-8.2,2.34,20.9,-121.4,29.7,High Risk (Lithium Plating)
VW-MEB-1267,-7.8,2.07,27.1,-115.3,32.3,High Risk (Lithium Plating)
VW-MEB-1268,28.0,1.09,8.1,-17.2,65.0,High Risk (Lithium Plating)
VW-MEB-1269,11.8,1.26,35.1,-72.7,44.5,High Risk (Lithium Plating)
VW-MEB-1270,-9.3,3.14,24.0,-148.9,24.1,High Risk (Lithium Plating)
VW-MEB-1271,27.7,0.95,40.3,-29.7,50.6,High Risk (Lithium Plating)
VW-MEB-1272,-4.4,2.17,36.2,-124.1,23.4,High Risk (Lithium Plating)
VW-MEB-1273,21.3,1.7,9.2,-57.6,54.1,High Risk (Lithium Plating)
VW-MEB-1274,-8.8,2.29,44.9,-134.9,18.7,High Risk (Lithium Plating)
VW-MEB-1275,-7.7,1.89,19.8,-116.1,41.2,High Risk (Lithium Plating)
VW-MEB-1276,16.7,1.6,31.1,-71.2,36.8,High Risk (Lithium Plating)
VW-MEB-1277,13.9,1.23,21.3,-53.4,59.0,High Risk (Lithium Plating)
VW-MEB-1278,-9.1,1.87,34.5,-116.7,30.3,High Risk (Lithium Plating)
VW-MEB-1279,-9.6,2.14,42.8,-135.1,25.1,High Risk (Lithium Plating)
VW-MEB-1280,15.0,3.11,6.9,-110.6,29.2,High Risk (Lithium Plating)
VW-MEB-1281,-8.6,2.26,26.2,-134.4,34.1,High Risk (Lithium Plating)
VW-MEB-1282,22.1,1.53,41.3,-57.2,30.9,High Risk (Lithium Plating)
VW-MEB-1283,5.6,2.7,14.7,-109.2,28.3,High Risk (Lithium Plating)
VW-MEB-1284,15.1,1.37,21.3,-55.1,56.8,High Risk (Lithium Plating)
VW-MEB-1285,12.8,1.09,26.6,-55.1,62.1,High Risk (Lithium Plating)
VW-MEB-1286,23.8,1.6,28.8,-53.6,41.9,High Risk (Lithium Plating)
VW-MEB-1287,-8.4,1.0,42.0,-99.0,51.1,High Risk (Lithium Plating)
VW-MEB-1288,0.6,1.7,13.3,-96.5,49.9,High Risk (Lithium Plating)
VW-MEB-1289,29.3,2.45,23.0,-63.3,26.6,High Risk (Lithium Plating)
VW-MEB-1290,3.3,2.49,18.7,-108.5,29.9,High Risk (Lithium Plating)
VW-MEB-1291,29.7,2.04,10.1,-44.9,47.0,High Risk (Lithium Plating)
VW-MEB-1292,30.0,3.12,33.7,-96.0,21.2,High Risk (Lithium Plating)
VW-MEB-1293,25.7,3.07,36.9,-92.8,16.4,High Risk (Lithium Plating)
VW-MEB-1294,10.3,2.81,27.7,-111.2,24.0,High Risk (Lithium Plating)
VW-MEB-1295,7.0,2.33,24.8,-98.3,32.5,High Risk (Lithium Plating)
VW-MEB-1296,7.0,2.97,11.2,-116.0,30.3,High Risk (Lithium Plating)
VW-MEB-1297,22.3,2.14,36.0,-78.9,28.5,High Risk (Lithium Plating)
VW-MEB-1298,26.1,1.2,24.3,-33.1,57.7,High Risk (Lithium Plating)
VW-MEB-1299,8.8,1.56,42.1,-81.6,29.4,High Risk (Lithium Plating)
VW-MEB-1300,-1.4,2.12,40.4,-117.7,25.2,High Risk (Lithium Plating)
VW-MEB-1301,22.0,2.49,14.6,-76.5,30.9,High Risk (Lithium Plating)
VW-MEB-1302,-8.0,1.48,5.3,-102.6,64.7,High Risk (Lithium Plating)
VW-MEB-1303,17.7,0.84,9.5,-32.2,65.0,High Risk (Lithium Plating)
VW-MEB-1304,24.2,0.81,10.7,-18.7,65.0,High Risk (Lithium Plating)
