Terrain_Run_ID,Wheel_Slip_Ratio_pct,Soil_Shear_Strength_kPa,ATPC_Crawl_Speed_kmh,Wheel_Articulation_Travel_mm,Terrain_Classification
DEFENDER-ATPC-1058,31.7,34.6,2.3,401.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1059,33.4,57.6,3.2,122.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1060,27.1,71.2,5.3,443.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1061,4.3,78.3,7.0,477.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1062,20.5,43.9,3.5,287.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1063,14.0,57.6,5.3,275.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1064,8.0,61.0,5.3,428.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1065,23.1,16.6,1.7,352.9,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1066,7.2,79.2,7.3,282.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1067,35.0,37.3,2.3,414.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1068,40.7,25.8,1.3,465.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1069,13.7,84.0,6.7,353.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1070,29.8,90.8,5.8,256.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1071,36.2,25.3,1.0,212.1,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1072,7.9,53.0,5.3,287.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1073,27.8,83.8,5.9,413.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1074,23.1,20.8,1.9,274.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1075,25.5,72.9,5.2,255.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1076,9.5,22.2,2.4,190.9,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1077,9.8,61.5,5.7,420.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1078,13.8,15.8,2.1,208.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1079,32.0,22.8,1.3,478.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1080,10.3,57.4,5.1,466.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1081,7.8,39.1,4.3,305.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1082,28.5,52.2,3.7,373.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1083,24.6,58.4,4.1,232.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1084,3.2,88.9,8.2,273.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1085,31.3,52.3,3.9,191.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1086,27.7,89.3,6.3,434.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1087,36.7,43.9,2.8,462.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1088,25.3,24.5,2.2,291.9,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1089,22.6,64.3,4.9,213.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1090,28.6,44.9,2.8,257.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1091,31.9,64.4,4.1,248.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1092,30.8,32.8,2.5,156.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1093,30.0,68.9,4.6,398.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1094,13.0,63.3,5.5,276.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1095,34.8,22.1,1.0,145.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1096,19.6,36.4,3.3,159.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1097,31.2,43.5,2.6,411.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1098,10.7,44.1,4.4,284.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1099,40.6,30.7,1.2,277.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1100,10.0,36.8,3.3,417.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1101,2.4,59.8,5.8,258.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1102,29.0,55.7,3.9,196.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1103,30.0,19.5,1.7,425.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1104,21.8,39.5,3.2,467.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1105,12.7,63.4,5.5,324.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1106,5.0,28.4,2.5,201.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1107,28.6,54.1,4.3,381.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1108,27.2,24.5,2.4,193.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1109,30.2,30.2,2.4,380.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1110,11.5,83.6,7.2,326.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1111,26.6,32.7,2.2,334.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1112,20.9,33.5,3.0,297.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1113,16.7,79.0,6.6,165.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1114,15.7,46.6,3.9,153.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1115,9.0,21.9,2.5,157.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1116,5.6,78.5,6.4,416.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1117,9.4,65.1,5.4,285.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1118,41.5,73.3,4.7,470.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1119,27.3,74.3,5.2,404.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1120,39.9,34.8,2.5,308.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1121,39.3,16.3,1.0,326.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1122,5.7,65.8,5.7,178.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1123,8.6,86.3,7.7,232.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1124,30.5,93.9,6.8,233.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1125,10.7,41.7,4.0,383.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1126,28.4,87.9,6.2,367.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1127,6.7,38.9,4.3,361.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1128,25.5,31.1,2.1,356.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1129,26.3,76.2,5.7,450.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1130,19.5,27.5,2.1,231.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1131,5.6,82.7,7.5,420.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1132,40.1,66.9,3.8,439.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1133,18.6,44.1,3.4,228.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1134,32.2,72.5,5.1,202.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1135,7.9,15.6,2.5,213.0,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1136,32.4,47.3,3.4,282.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1137,31.6,36.4,2.2,312.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1138,2.4,25.5,3.4,273.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1139,23.9,48.1,3.5,409.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1140,13.3,39.4,4.0,245.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1141,13.5,94.5,7.8,175.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1142,10.6,33.3,3.5,432.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1143,29.0,78.3,5.4,366.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1144,33.8,86.8,6.1,122.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1145,35.8,34.0,1.9,428.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1146,35.9,75.6,4.8,252.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1147,28.4,54.1,4.1,296.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1148,19.6,62.0,4.1,318.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1149,31.4,22.1,1.2,393.0,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1150,31.6,68.4,5.1,336.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1151,41.4,51.1,3.3,444.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1152,26.1,38.0,2.6,267.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1153,10.9,26.1,3.0,320.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1154,35.9,79.5,4.9,409.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1155,4.8,57.8,5.2,221.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1156,18.4,53.0,4.4,429.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1157,2.2,30.4,3.3,239.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1158,11.4,30.2,2.9,448.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1159,41.5,37.2,1.9,207.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1160,15.1,43.9,4.1,259.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1161,4.3,66.2,6.2,432.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1162,34.6,54.4,3.8,343.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1163,17.1,78.0,6.0,399.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1164,12.7,58.2,4.9,144.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1165,31.8,67.8,4.9,433.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1166,36.7,86.5,5.9,215.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1167,9.4,27.0,3.2,192.3,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1168,31.1,69.2,5.0,228.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1169,19.6,67.5,5.5,198.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1170,11.8,52.3,4.6,167.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1171,39.9,45.9,2.5,265.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1172,38.5,36.0,2.6,156.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1173,32.1,20.2,1.1,469.5,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1174,40.2,81.9,4.7,268.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1175,15.6,75.0,5.7,171.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1176,29.9,61.9,4.7,235.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1177,13.3,31.1,2.8,293.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1178,3.3,28.5,3.0,332.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1179,5.7,79.1,6.9,359.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1180,41.6,15.7,1.0,351.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1181,14.5,47.6,4.3,261.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1182,33.8,50.2,3.4,172.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1183,27.5,40.5,3.0,457.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1184,15.2,21.2,2.7,423.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1185,16.7,41.8,3.3,338.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1186,28.6,15.5,1.6,371.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1187,39.1,29.5,1.5,301.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1188,13.2,53.2,5.2,301.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1189,28.1,34.0,2.5,468.1,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1190,33.9,55.9,3.6,317.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1191,37.0,36.5,2.3,203.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1192,20.8,58.8,4.6,427.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1193,14.0,46.0,4.1,168.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1194,28.0,53.6,3.6,157.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1195,32.3,34.3,2.0,173.3,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1196,19.0,79.8,6.2,329.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1197,13.5,51.9,5.2,343.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1198,15.8,91.5,6.5,207.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1199,16.3,93.6,7.5,471.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1200,23.0,64.0,4.9,255.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1201,41.5,83.4,4.8,278.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1202,3.4,53.2,5.2,171.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1203,9.1,32.7,3.2,453.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1204,27.4,29.6,2.0,270.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1205,10.3,37.6,4.0,312.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1206,7.1,64.9,5.6,266.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1207,11.4,32.0,3.4,218.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1208,27.1,34.3,2.4,155.2,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1209,38.8,84.1,5.0,139.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1210,37.2,39.9,2.6,425.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1211,10.7,63.9,5.1,307.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1212,36.6,90.5,5.7,326.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1213,41.1,65.0,4.0,469.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1214,12.1,78.5,6.2,454.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1215,29.3,37.5,2.9,346.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1216,12.0,73.9,6.0,331.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1217,25.4,68.4,4.4,253.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1218,33.5,91.2,5.9,406.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1219,30.0,38.4,2.3,152.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1220,32.0,64.0,4.2,444.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1221,27.0,57.3,4.2,249.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1222,32.2,40.5,2.2,399.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1223,27.4,92.4,6.8,374.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1224,19.6,48.5,4.4,345.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1225,41.5,18.7,1.0,195.6,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1226,31.6,36.2,2.8,413.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1227,35.6,89.9,6.1,374.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1228,25.9,42.8,3.2,463.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1229,16.6,78.5,6.4,232.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1230,5.9,66.5,6.1,454.9,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1231,37.8,70.6,4.6,379.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1232,29.2,25.8,1.4,311.7,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1233,36.9,45.8,2.9,127.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1234,38.2,16.6,1.0,270.3,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1235,36.2,93.4,5.9,129.4,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1236,40.0,88.9,5.0,269.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1237,24.7,41.3,3.1,300.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1238,15.6,41.8,3.5,256.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1239,26.8,23.7,1.9,384.4,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1240,34.7,42.4,3.0,355.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1241,24.3,88.6,6.6,375.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1242,39.1,52.6,2.9,372.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1243,25.7,78.2,6.0,462.3,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1244,41.9,55.8,3.1,415.2,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1245,11.4,77.8,6.0,197.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1246,37.9,32.0,2.0,478.8,Deep Sand / Mud Bog Ruts Active
DEFENDER-ATPC-1247,41.9,77.5,5.0,362.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1248,41.0,89.1,5.0,256.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1249,37.2,61.1,3.6,164.1,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1250,15.3,36.1,3.4,331.7,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1251,31.5,45.4,2.9,462.0,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1252,28.3,67.1,4.3,246.8,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1253,34.7,46.2,2.6,131.5,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1254,14.6,52.1,4.2,452.6,Optimal Rock Crawl / Grass-Gravel Grip
DEFENDER-ATPC-1255,39.0,89.2,6.1,455.0,Optimal Rock Crawl / Grass-Gravel Grip
