Swap_Session_ID,Chassis_Alignment_Error_mm,Bayonet_Lock_Torque_Nm,Total_Swap_Duration_s,Dielectric_Safety_Score,Swap_Quality_Status
NIO-SWAP4-1043,0.52,74.9,160,99.59,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1044,0.33,74.3,166,99.32,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1045,0.06,71.0,166,99.76,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1046,0.47,74.6,180,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1047,0.98,72.7,181,99.37,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1048,1.16,72.0,187,99.49,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1049,0.31,77.8,163,99.28,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1050,1.34,77.9,187,99.37,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1051,0.21,73.3,169,99.75,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1052,1.51,77.0,189,99.71,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1053,0.24,72.3,170,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1054,1.33,72.6,181,99.38,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1055,0.15,78.8,160,99.97,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1056,0.13,76.4,154,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1057,0.25,76.5,156,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1058,0.34,80.2,168,99.72,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1059,0.52,72.3,168,99.7,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1060,1.35,73.9,185,99.28,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1061,0.05,75.6,155,99.87,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1062,0.51,74.0,163,99.77,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1063,0.57,76.5,172,99.25,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1064,0.16,73.1,172,99.31,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1065,0.1,79.6,163,99.52,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1066,0.05,74.7,156,99.76,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1067,0.22,78.6,163,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1068,0.59,77.8,180,99.39,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1069,0.36,74.0,149,99.48,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1070,0.22,78.4,162,99.96,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1071,0.09,76.5,169,99.25,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1072,0.14,76.2,167,99.54,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1073,0.05,70.7,159,99.46,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1074,0.46,70.4,169,99.56,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1075,0.37,78.7,164,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1076,0.05,75.5,164,99.83,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1077,0.11,80.0,155,99.98,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1078,0.12,79.3,167,99.44,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1079,0.15,75.5,160,99.62,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1080,0.62,77.0,176,99.87,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1081,0.07,73.9,169,99.95,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1082,0.93,73.7,179,99.83,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1083,0.98,68.3,184,99.69,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1084,0.28,70.8,166,99.3,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1085,0.07,70.6,170,99.51,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1086,0.22,69.9,165,99.23,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1087,0.49,77.5,160,99.5,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1088,0.46,72.0,167,99.42,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1089,0.05,71.8,168,99.61,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1090,1.08,70.8,190,99.36,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1091,1.12,71.8,173,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1092,0.46,79.3,169,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1093,0.09,73.9,151,99.87,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1094,0.06,74.2,157,99.87,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1095,0.19,78.3,164,99.92,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1096,0.21,72.8,161,99.41,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1097,0.98,73.7,180,99.88,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1098,0.13,71.6,173,99.59,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1099,1.68,78.5,186,99.51,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1100,2.0,71.3,195,99.63,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1101,0.55,75.4,181,99.53,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1102,0.43,75.5,170,99.41,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1103,0.05,72.8,157,99.58,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1104,0.43,76.1,169,99.74,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1105,1.34,79.8,178,99.99,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1106,0.88,73.8,174,99.34,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1107,0.05,72.4,175,99.99,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1108,0.05,68.3,162,99.27,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1109,0.42,75.2,178,99.35,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1110,0.85,65.9,173,99.43,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1111,0.05,70.6,149,99.23,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1112,0.27,76.3,154,99.4,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1113,1.14,72.9,186,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1114,0.5,81.9,172,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1115,0.91,67.4,177,99.44,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1116,0.61,74.4,169,99.41,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1117,0.46,68.3,166,99.42,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1118,0.37,75.5,175,99.44,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1119,0.29,74.9,169,99.93,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1120,1.05,77.7,177,99.75,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1121,0.61,72.7,171,99.45,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1122,0.93,72.3,185,99.83,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1123,0.25,75.7,171,99.83,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1124,1.34,78.4,184,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1125,0.28,73.0,159,99.55,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1126,0.52,75.0,175,99.59,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1127,0.77,75.9,171,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1128,0.11,75.4,164,99.33,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1129,0.78,75.1,182,99.27,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1130,0.27,73.6,170,99.44,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1131,0.46,79.4,175,99.85,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1132,0.05,80.0,149,99.49,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1133,0.68,71.1,172,99.96,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1134,0.05,73.5,159,99.87,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1135,0.05,74.0,173,99.61,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1136,1.13,74.0,181,99.58,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1137,0.22,74.4,170,99.38,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1138,0.34,72.5,174,99.5,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1139,0.17,77.4,157,99.85,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1140,0.38,79.2,160,99.72,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1141,0.54,80.0,175,99.71,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1142,0.2,76.9,169,99.28,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1143,0.05,71.4,170,99.48,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1144,1.01,81.4,176,99.48,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1145,0.3,71.0,156,99.67,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1146,0.1,75.9,166,99.9,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1147,0.54,76.7,160,99.3,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1148,1.06,79.5,185,99.55,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1149,0.06,78.2,161,99.59,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1150,0.94,73.4,178,99.81,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1151,2.15,75.9,208,99.29,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1152,0.53,75.8,178,99.49,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1153,0.7,70.5,172,99.78,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1154,0.15,74.2,157,99.67,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1155,1.31,70.4,183,99.55,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1156,1.22,71.8,182,99.35,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1157,0.43,73.2,162,99.34,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1158,3.0,80.2,214,99.49,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1159,0.22,79.3,172,99.31,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1160,1.08,69.3,181,99.86,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1161,0.11,75.2,159,99.4,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1162,0.67,73.0,188,99.22,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1163,0.12,76.3,170,99.84,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1164,1.65,73.1,185,99.21,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1165,1.3,75.4,187,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1166,1.74,70.0,183,99.58,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1167,0.17,74.5,157,99.67,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1168,0.13,69.6,154,99.91,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1169,0.08,76.9,160,99.7,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1170,0.21,81.0,153,99.72,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1171,0.5,74.5,173,99.98,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1172,0.85,74.5,174,99.77,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1173,0.26,78.1,165,99.52,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1174,1.96,74.0,195,99.42,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1175,1.38,74.7,193,99.97,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1176,0.06,76.2,151,99.43,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1177,0.22,81.2,160,99.4,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1178,0.08,71.8,162,99.98,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1179,1.01,79.7,179,99.34,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1180,0.71,76.4,166,99.33,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1181,1.23,69.2,184,99.27,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1182,0.27,73.1,171,99.62,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1183,1.05,80.9,177,99.96,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1184,0.22,81.9,159,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1185,0.98,74.7,184,99.38,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1186,0.06,75.0,162,99.42,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1187,0.3,74.6,173,99.33,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1188,0.05,74.2,162,99.66,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1189,0.47,71.9,171,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1190,0.63,71.9,170,99.21,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1191,1.03,73.3,182,99.41,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1192,1.12,76.7,185,100.0,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1193,0.29,80.6,162,99.37,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1194,0.42,73.3,173,99.93,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1195,0.18,77.9,161,99.75,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1196,0.61,72.6,171,99.57,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1197,0.43,73.6,166,99.33,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1198,0.32,81.6,163,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1199,0.3,72.4,170,99.68,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1200,0.21,74.9,163,99.74,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1201,0.44,68.9,165,99.86,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1202,0.23,74.8,166,99.51,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1203,0.3,76.6,156,99.7,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1204,0.55,72.4,167,99.34,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1205,0.95,79.6,163,99.36,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1206,1.31,75.0,176,99.99,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1207,0.29,76.9,166,99.96,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1208,0.4,69.7,168,99.99,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1209,0.59,75.4,177,99.97,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1210,0.16,75.0,161,99.73,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1211,0.78,72.0,169,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1212,0.12,76.0,160,99.47,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1213,0.05,77.2,154,99.77,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1214,0.09,70.7,169,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1215,0.07,72.2,161,99.55,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1216,2.04,76.4,193,99.61,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1217,0.35,76.4,170,99.82,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1218,0.06,73.1,150,99.2,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1219,0.62,82.7,172,99.22,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1220,0.05,78.3,159,99.77,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1221,0.91,73.0,188,99.88,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1222,1.63,70.6,184,99.35,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1223,0.26,77.4,169,99.63,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1224,0.24,78.2,166,99.9,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1225,0.41,72.2,164,99.84,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1226,0.12,76.6,167,99.88,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1227,0.57,72.8,164,99.41,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1228,0.35,80.0,175,99.47,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1229,0.52,73.6,171,99.56,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1230,1.21,70.1,178,99.34,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1231,2.95,70.6,206,99.91,Robotic 3D Vision Re-Scan Required
NIO-SWAP4-1232,0.46,73.3,157,99.21,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1233,0.28,75.2,168,99.96,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1234,0.06,71.8,160,99.28,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1235,0.55,74.1,168,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1236,0.05,73.6,155,99.54,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1237,0.27,77.8,170,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1238,0.06,78.8,160,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1239,0.62,75.4,180,99.51,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1240,0.19,76.5,158,99.42,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1241,0.05,75.7,162,99.77,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1242,0.05,77.5,157,99.91,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1243,0.92,75.8,183,99.48,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1244,0.47,74.3,169,99.68,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1245,0.26,76.4,154,99.2,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1246,0.31,74.1,165,99.27,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1247,1.17,70.1,181,99.89,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1248,1.64,72.1,199,99.61,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1249,0.58,77.6,173,99.26,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1250,0.64,75.7,174,99.44,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1251,0.71,80.2,167,99.49,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1252,1.33,75.1,188,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1253,0.23,73.2,156,99.46,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1254,0.12,74.2,161,99.64,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1255,0.75,71.7,172,99.8,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1256,0.09,73.4,151,99.32,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1257,0.92,79.4,177,99.32,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1258,0.05,71.1,166,99.49,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1259,0.62,77.9,178,99.84,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1260,0.26,75.0,162,99.36,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1261,0.99,76.0,175,99.31,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1262,0.51,72.2,173,99.33,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1263,0.75,70.9,182,99.91,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1264,1.11,76.8,171,99.77,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1265,1.11,83.5,186,99.63,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1266,0.93,80.8,183,99.2,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1267,1.73,76.5,193,99.34,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1268,0.46,71.4,163,99.26,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1269,0.22,70.6,170,99.32,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1270,0.71,70.5,168,99.73,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1271,0.18,74.6,160,99.93,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1272,0.59,67.0,171,99.41,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1273,0.05,73.7,167,99.36,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1274,1.43,73.4,180,99.43,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1275,0.81,69.0,176,99.35,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1276,0.47,75.7,172,99.81,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1277,0.12,77.9,162,99.53,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1278,0.35,78.8,157,99.74,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1279,0.19,70.9,157,99.21,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1280,0.07,73.2,165,99.32,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1281,0.05,75.6,165,99.24,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1282,0.27,75.0,162,99.88,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1283,0.28,77.5,156,99.88,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1284,0.05,70.1,163,99.41,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1285,0.97,80.0,181,99.31,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1286,0.53,75.5,179,99.55,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1287,0.41,77.5,168,99.72,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1288,0.14,78.1,168,99.79,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1289,0.4,79.5,172,99.66,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1290,1.05,80.5,175,99.78,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1291,1.39,79.8,176,99.86,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1292,0.86,76.6,183,99.56,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1293,0.05,68.7,167,99.34,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1294,1.1,78.3,184,99.85,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1295,1.26,77.5,185,99.5,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1296,0.27,78.4,157,99.43,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1297,1.07,74.5,180,99.72,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1298,1.36,72.4,194,99.79,Sub-3-Minute Automated Swap Completed
NIO-SWAP4-1299,1.11,79.7,176,99.87,Sub-3-Minute Automated Swap Completed
