Brake_Event_ID,Pulse_Frequency_Hz,Valve_Response_Time_ms,Brake_Fluid_Temp_C,Peak_Hydraulic_Pressure_Bar,Module_Health_Status
BOSCH-ABS-2106,22.4,10.86,94.8,174.7,Nominal Fast Response
BOSCH-ABS-2107,23.1,9.71,78.5,126.6,Nominal Fast Response
BOSCH-ABS-2108,23.6,8.61,63.3,172.8,Nominal Fast Response
BOSCH-ABS-2109,17.5,8.88,69.5,101.7,Nominal Fast Response
BOSCH-ABS-2110,20.8,10.35,102.5,82.9,Nominal Fast Response
BOSCH-ABS-2111,17.2,14.22,96.7,102.9,Valve Seat Wear Alert
BOSCH-ABS-2112,19.0,12.15,47.8,115.7,Nominal Fast Response
BOSCH-ABS-2113,19.8,12.48,90.8,82.9,Nominal Fast Response
BOSCH-ABS-2114,16.7,10.18,60.9,82.3,Nominal Fast Response
BOSCH-ABS-2115,19.1,10.81,59.7,81.6,Nominal Fast Response
BOSCH-ABS-2116,25.1,10.47,74.0,128.9,Nominal Fast Response
BOSCH-ABS-2117,26.2,23.56,34.8,136.4,Valve Seat Wear Alert
BOSCH-ABS-2118,22.2,8.66,84.3,142.1,Nominal Fast Response
BOSCH-ABS-2119,24.7,9.83,90.7,129.7,Nominal Fast Response
BOSCH-ABS-2120,14.6,8.96,41.2,168.4,Nominal Fast Response
BOSCH-ABS-2121,25.2,10.14,71.8,173.2,Nominal Fast Response
BOSCH-ABS-2122,14.9,9.76,49.7,159.7,Nominal Fast Response
BOSCH-ABS-2123,24.4,10.89,79.9,146.2,Nominal Fast Response
BOSCH-ABS-2124,25.4,9.33,39.4,188.3,Nominal Fast Response
BOSCH-ABS-2125,26.2,8.95,85.3,117.0,Nominal Fast Response
BOSCH-ABS-2126,13.5,9.44,53.9,161.3,Nominal Fast Response
BOSCH-ABS-2127,26.9,8.96,68.9,182.3,Nominal Fast Response
BOSCH-ABS-2128,20.6,10.17,65.8,188.6,Nominal Fast Response
BOSCH-ABS-2129,18.8,8.89,50.8,129.6,Nominal Fast Response
BOSCH-ABS-2130,26.7,9.44,77.2,130.2,Nominal Fast Response
BOSCH-ABS-2131,14.8,8.8,63.0,139.8,Nominal Fast Response
BOSCH-ABS-2132,12.7,9.27,75.2,172.4,Nominal Fast Response
BOSCH-ABS-2133,16.3,9.25,75.0,81.5,Nominal Fast Response
BOSCH-ABS-2134,24.2,8.62,91.0,156.2,Nominal Fast Response
BOSCH-ABS-2135,16.0,9.7,72.8,177.7,Nominal Fast Response
BOSCH-ABS-2136,14.1,10.02,62.2,112.1,Nominal Fast Response
BOSCH-ABS-2137,15.1,9.43,48.4,175.1,Nominal Fast Response
BOSCH-ABS-2138,17.8,15.73,59.2,167.3,Valve Seat Wear Alert
BOSCH-ABS-2139,25.5,9.02,78.2,95.8,Nominal Fast Response
BOSCH-ABS-2140,13.4,12.43,71.5,181.4,Nominal Fast Response
BOSCH-ABS-2141,25.9,9.15,39.3,163.8,Nominal Fast Response
BOSCH-ABS-2142,13.3,11.38,82.6,86.6,Nominal Fast Response
BOSCH-ABS-2143,12.3,14.32,69.7,144.4,Nominal Fast Response
BOSCH-ABS-2144,25.9,8.5,85.8,126.6,Nominal Fast Response
BOSCH-ABS-2145,27.2,9.7,69.4,95.2,Nominal Fast Response
BOSCH-ABS-2146,18.4,8.82,73.9,163.3,Nominal Fast Response
BOSCH-ABS-2147,16.9,8.9,87.1,126.9,Nominal Fast Response
BOSCH-ABS-2148,25.4,9.38,56.8,85.0,Nominal Fast Response
BOSCH-ABS-2149,17.2,8.67,60.8,186.6,Nominal Fast Response
BOSCH-ABS-2150,12.7,12.39,62.6,140.6,Nominal Fast Response
BOSCH-ABS-2151,24.8,8.5,50.0,140.9,Nominal Fast Response
BOSCH-ABS-2152,21.7,13.33,69.4,168.7,Nominal Fast Response
BOSCH-ABS-2153,27.4,8.87,74.7,97.9,Nominal Fast Response
BOSCH-ABS-2154,19.1,12.72,56.2,186.1,Nominal Fast Response
BOSCH-ABS-2155,26.6,10.99,53.4,92.8,Nominal Fast Response
BOSCH-ABS-2156,20.1,9.07,52.3,154.4,Nominal Fast Response
BOSCH-ABS-2157,25.8,9.31,70.6,91.9,Nominal Fast Response
BOSCH-ABS-2158,12.1,9.61,39.8,178.6,Nominal Fast Response
BOSCH-ABS-2159,20.2,9.37,73.7,112.0,Nominal Fast Response
BOSCH-ABS-2160,21.9,8.54,48.2,94.6,Nominal Fast Response
BOSCH-ABS-2161,13.6,11.0,75.7,140.2,Nominal Fast Response
BOSCH-ABS-2162,16.8,10.81,33.5,109.5,Nominal Fast Response
BOSCH-ABS-2163,27.4,12.44,37.4,111.4,Nominal Fast Response
BOSCH-ABS-2164,27.8,8.81,80.2,189.2,Nominal Fast Response
BOSCH-ABS-2165,12.5,9.01,65.9,85.9,Nominal Fast Response
BOSCH-ABS-2166,23.4,10.12,49.8,168.0,Nominal Fast Response
BOSCH-ABS-2167,22.5,8.92,80.1,154.6,Nominal Fast Response
BOSCH-ABS-2168,24.3,9.15,57.1,184.7,Nominal Fast Response
BOSCH-ABS-2169,21.3,9.77,92.5,100.6,Nominal Fast Response
BOSCH-ABS-2170,15.9,9.62,55.2,83.9,Nominal Fast Response
BOSCH-ABS-2171,15.0,11.25,70.4,97.8,Nominal Fast Response
BOSCH-ABS-2172,26.1,11.53,88.0,129.1,Nominal Fast Response
BOSCH-ABS-2173,25.4,14.12,47.2,108.7,Nominal Fast Response
BOSCH-ABS-2174,21.6,8.94,48.5,96.2,Nominal Fast Response
BOSCH-ABS-2175,13.4,9.08,75.5,168.0,Nominal Fast Response
BOSCH-ABS-2176,14.9,9.23,80.0,123.2,Nominal Fast Response
BOSCH-ABS-2177,22.0,8.91,90.3,92.1,Nominal Fast Response
BOSCH-ABS-2178,14.9,8.87,57.3,157.9,Nominal Fast Response
BOSCH-ABS-2179,17.4,8.84,49.3,82.0,Nominal Fast Response
BOSCH-ABS-2180,16.7,8.99,53.9,95.8,Nominal Fast Response
BOSCH-ABS-2181,23.5,11.83,68.9,131.6,Nominal Fast Response
BOSCH-ABS-2182,16.5,11.86,72.2,164.8,Nominal Fast Response
BOSCH-ABS-2183,19.9,10.52,39.7,149.2,Nominal Fast Response
BOSCH-ABS-2184,27.5,12.98,82.0,172.6,Nominal Fast Response
BOSCH-ABS-2185,23.5,8.89,84.7,91.3,Nominal Fast Response
BOSCH-ABS-2186,13.8,8.97,89.2,143.3,Nominal Fast Response
BOSCH-ABS-2187,27.5,9.03,88.4,96.0,Nominal Fast Response
BOSCH-ABS-2188,17.6,9.47,70.5,96.4,Nominal Fast Response
BOSCH-ABS-2189,21.2,15.22,83.7,83.4,Valve Seat Wear Alert
BOSCH-ABS-2190,22.3,8.89,71.0,139.2,Nominal Fast Response
BOSCH-ABS-2191,23.7,10.3,66.7,184.8,Nominal Fast Response
BOSCH-ABS-2192,20.4,8.98,44.0,110.7,Nominal Fast Response
BOSCH-ABS-2193,14.8,8.64,75.3,158.3,Nominal Fast Response
BOSCH-ABS-2194,14.8,9.28,39.0,144.4,Nominal Fast Response
BOSCH-ABS-2195,17.9,14.37,44.8,142.0,Nominal Fast Response
BOSCH-ABS-2196,26.6,11.8,73.9,108.0,Nominal Fast Response
BOSCH-ABS-2197,26.8,12.52,83.4,149.1,Nominal Fast Response
BOSCH-ABS-2198,21.1,13.74,62.0,104.1,Nominal Fast Response
BOSCH-ABS-2199,23.9,12.93,29.9,142.1,Nominal Fast Response
BOSCH-ABS-2200,16.7,9.32,68.6,187.4,Nominal Fast Response
BOSCH-ABS-2201,25.3,21.73,69.4,184.4,Valve Seat Wear Alert
BOSCH-ABS-2202,16.1,10.11,56.5,114.2,Nominal Fast Response
BOSCH-ABS-2203,17.3,9.91,48.9,130.6,Nominal Fast Response
BOSCH-ABS-2204,16.6,10.4,60.5,146.8,Nominal Fast Response
BOSCH-ABS-2205,17.7,10.4,45.5,98.2,Nominal Fast Response
BOSCH-ABS-2206,21.9,11.21,72.4,174.7,Nominal Fast Response
BOSCH-ABS-2207,16.4,11.57,66.4,98.1,Nominal Fast Response
BOSCH-ABS-2208,19.7,10.22,71.3,178.2,Nominal Fast Response
BOSCH-ABS-2209,24.3,11.92,78.0,125.2,Nominal Fast Response
BOSCH-ABS-2210,25.6,8.66,63.7,87.3,Nominal Fast Response
BOSCH-ABS-2211,13.7,13.07,64.2,149.0,Nominal Fast Response
BOSCH-ABS-2212,17.0,9.17,58.9,91.1,Nominal Fast Response
BOSCH-ABS-2213,12.7,10.52,62.8,145.4,Nominal Fast Response
BOSCH-ABS-2214,17.7,9.54,79.4,109.8,Nominal Fast Response
BOSCH-ABS-2215,14.8,9.33,117.9,159.7,Nominal Fast Response
BOSCH-ABS-2216,23.0,10.35,72.5,81.1,Nominal Fast Response
BOSCH-ABS-2217,23.6,8.57,57.1,176.6,Nominal Fast Response
BOSCH-ABS-2218,20.3,8.58,47.6,93.2,Nominal Fast Response
BOSCH-ABS-2219,12.9,11.28,55.0,164.5,Nominal Fast Response
BOSCH-ABS-2220,22.8,9.66,64.5,87.2,Nominal Fast Response
BOSCH-ABS-2221,14.5,12.24,83.7,168.2,Nominal Fast Response
BOSCH-ABS-2222,25.4,13.44,81.3,88.1,Nominal Fast Response
BOSCH-ABS-2223,25.3,9.39,20.3,157.0,Nominal Fast Response
BOSCH-ABS-2224,27.7,8.99,31.4,145.3,Nominal Fast Response
BOSCH-ABS-2225,21.1,12.46,71.7,115.1,Nominal Fast Response
BOSCH-ABS-2226,21.0,10.06,84.9,145.4,Nominal Fast Response
BOSCH-ABS-2227,16.3,9.01,56.2,100.7,Nominal Fast Response
BOSCH-ABS-2228,18.7,9.06,68.0,105.0,Nominal Fast Response
BOSCH-ABS-2229,27.2,9.14,72.5,129.4,Nominal Fast Response
BOSCH-ABS-2230,23.3,8.69,44.9,88.3,Nominal Fast Response
BOSCH-ABS-2231,13.0,14.49,50.4,128.8,Nominal Fast Response
BOSCH-ABS-2232,13.7,8.91,69.1,129.0,Nominal Fast Response
BOSCH-ABS-2233,26.3,9.06,69.0,165.0,Nominal Fast Response
BOSCH-ABS-2234,23.7,8.52,90.2,187.8,Nominal Fast Response
BOSCH-ABS-2235,25.1,9.47,53.3,112.3,Nominal Fast Response
BOSCH-ABS-2236,19.2,8.62,62.7,94.1,Nominal Fast Response
BOSCH-ABS-2237,24.5,8.8,33.4,105.4,Nominal Fast Response
BOSCH-ABS-2238,23.1,10.78,62.0,110.1,Nominal Fast Response
BOSCH-ABS-2239,14.2,9.24,72.0,106.7,Nominal Fast Response
BOSCH-ABS-2240,28.0,14.41,72.4,156.0,Nominal Fast Response
BOSCH-ABS-2241,22.1,9.49,76.8,148.4,Nominal Fast Response
BOSCH-ABS-2242,22.9,8.78,67.7,160.6,Nominal Fast Response
BOSCH-ABS-2243,22.5,8.91,68.9,163.0,Nominal Fast Response
BOSCH-ABS-2244,23.9,9.11,61.1,135.3,Nominal Fast Response
BOSCH-ABS-2245,21.2,8.62,95.3,169.4,Nominal Fast Response
BOSCH-ABS-2246,18.1,8.84,55.1,129.7,Nominal Fast Response
BOSCH-ABS-2247,27.4,11.28,67.0,147.1,Nominal Fast Response
BOSCH-ABS-2248,21.9,9.96,59.2,126.5,Nominal Fast Response
BOSCH-ABS-2249,15.1,8.92,81.6,100.2,Nominal Fast Response
BOSCH-ABS-2250,24.5,10.9,82.4,91.1,Nominal Fast Response
BOSCH-ABS-2251,19.1,15.91,86.9,136.4,Valve Seat Wear Alert
BOSCH-ABS-2252,18.2,11.47,71.2,181.6,Nominal Fast Response
BOSCH-ABS-2253,18.0,9.55,40.2,164.8,Nominal Fast Response
BOSCH-ABS-2254,20.3,12.67,69.5,184.9,Nominal Fast Response
BOSCH-ABS-2255,13.7,8.79,56.0,149.4,Nominal Fast Response
BOSCH-ABS-2256,23.8,11.33,84.9,180.9,Nominal Fast Response
BOSCH-ABS-2257,24.1,10.47,82.3,105.8,Nominal Fast Response
BOSCH-ABS-2258,25.2,8.94,44.1,111.5,Nominal Fast Response
BOSCH-ABS-2259,12.5,8.57,62.5,164.2,Nominal Fast Response
BOSCH-ABS-2260,20.3,9.63,67.9,189.9,Nominal Fast Response
BOSCH-ABS-2261,24.7,10.41,82.2,137.8,Nominal Fast Response
BOSCH-ABS-2262,25.7,8.75,61.5,183.0,Nominal Fast Response
BOSCH-ABS-2263,23.3,8.79,67.4,169.1,Nominal Fast Response
BOSCH-ABS-2264,16.6,11.59,46.1,147.2,Nominal Fast Response
BOSCH-ABS-2265,20.3,13.98,104.4,91.6,Valve Seat Wear Alert
BOSCH-ABS-2266,25.1,12.09,52.0,138.1,Nominal Fast Response
BOSCH-ABS-2267,16.9,9.13,58.6,134.1,Nominal Fast Response
BOSCH-ABS-2268,20.5,10.31,67.9,93.8,Nominal Fast Response
BOSCH-ABS-2269,25.3,9.51,73.7,179.3,Nominal Fast Response
BOSCH-ABS-2270,20.9,8.63,75.4,118.7,Nominal Fast Response
BOSCH-ABS-2271,22.6,11.05,58.2,121.2,Nominal Fast Response
BOSCH-ABS-2272,17.6,15.39,59.1,154.4,Valve Seat Wear Alert
BOSCH-ABS-2273,20.0,9.6,68.0,92.0,Nominal Fast Response
BOSCH-ABS-2274,12.3,10.97,88.8,114.0,Nominal Fast Response
BOSCH-ABS-2275,15.1,12.19,76.2,132.1,Nominal Fast Response
BOSCH-ABS-2276,16.3,9.07,63.7,126.1,Nominal Fast Response
BOSCH-ABS-2277,26.9,9.64,95.3,142.2,Nominal Fast Response
BOSCH-ABS-2278,16.5,8.8,61.3,133.9,Nominal Fast Response
BOSCH-ABS-2279,27.9,8.72,69.7,158.9,Nominal Fast Response
BOSCH-ABS-2280,17.5,8.57,50.3,179.7,Nominal Fast Response
BOSCH-ABS-2281,27.2,10.5,72.2,176.2,Nominal Fast Response
BOSCH-ABS-2282,14.3,11.55,65.5,83.3,Nominal Fast Response
BOSCH-ABS-2283,14.0,11.99,57.0,168.7,Nominal Fast Response
BOSCH-ABS-2284,19.3,8.71,55.2,105.5,Nominal Fast Response
BOSCH-ABS-2285,19.6,10.61,51.9,89.3,Nominal Fast Response
BOSCH-ABS-2286,12.1,9.21,88.7,112.0,Nominal Fast Response
BOSCH-ABS-2287,15.1,14.01,45.5,98.8,Nominal Fast Response
BOSCH-ABS-2288,23.6,8.73,64.8,170.8,Nominal Fast Response
BOSCH-ABS-2289,15.4,9.06,75.9,154.7,Nominal Fast Response
BOSCH-ABS-2290,16.3,10.19,61.0,144.2,Nominal Fast Response
BOSCH-ABS-2291,15.6,8.82,63.2,106.5,Nominal Fast Response
BOSCH-ABS-2292,20.5,11.15,66.0,166.7,Nominal Fast Response
BOSCH-ABS-2293,18.8,9.88,79.9,148.6,Nominal Fast Response
BOSCH-ABS-2294,14.9,8.87,74.1,155.8,Nominal Fast Response
BOSCH-ABS-2295,15.6,8.51,87.0,120.4,Nominal Fast Response
BOSCH-ABS-2296,23.8,10.02,51.7,151.2,Nominal Fast Response
BOSCH-ABS-2297,17.4,15.79,50.6,96.6,Valve Seat Wear Alert
BOSCH-ABS-2298,21.1,8.69,66.7,98.4,Nominal Fast Response
BOSCH-ABS-2299,14.3,12.16,57.3,146.3,Nominal Fast Response
BOSCH-ABS-2300,20.8,10.56,72.7,177.4,Nominal Fast Response
BOSCH-ABS-2301,26.5,11.57,39.2,120.5,Nominal Fast Response
BOSCH-ABS-2302,24.9,9.55,74.4,93.6,Nominal Fast Response
BOSCH-ABS-2303,14.0,8.51,60.0,151.2,Nominal Fast Response
BOSCH-ABS-2304,19.6,9.04,62.5,111.3,Nominal Fast Response
BOSCH-ABS-2305,15.5,12.65,59.1,145.7,Nominal Fast Response
BOSCH-ABS-2306,17.5,9.64,55.6,115.8,Nominal Fast Response
BOSCH-ABS-2307,12.8,10.21,39.1,105.9,Nominal Fast Response
BOSCH-ABS-2308,23.2,9.41,35.3,141.0,Nominal Fast Response
BOSCH-ABS-2309,16.5,14.93,66.2,151.0,Valve Seat Wear Alert
BOSCH-ABS-2310,26.5,9.21,83.0,160.9,Nominal Fast Response
BOSCH-ABS-2311,16.3,8.64,70.9,159.3,Nominal Fast Response
BOSCH-ABS-2312,14.5,8.92,60.2,86.7,Nominal Fast Response
BOSCH-ABS-2313,15.4,9.18,77.7,82.3,Nominal Fast Response
BOSCH-ABS-2314,14.2,8.58,93.0,108.8,Nominal Fast Response
BOSCH-ABS-2315,20.4,8.6,72.0,113.8,Nominal Fast Response
BOSCH-ABS-2316,18.3,9.07,84.9,188.0,Nominal Fast Response
BOSCH-ABS-2317,18.9,9.31,82.3,116.9,Nominal Fast Response
BOSCH-ABS-2318,18.0,11.5,47.2,187.8,Nominal Fast Response
BOSCH-ABS-2319,12.6,11.15,79.9,130.6,Nominal Fast Response
BOSCH-ABS-2320,26.0,9.76,56.0,184.8,Nominal Fast Response
BOSCH-ABS-2321,15.3,9.13,34.8,100.9,Nominal Fast Response
BOSCH-ABS-2322,23.0,8.86,62.9,113.5,Nominal Fast Response
BOSCH-ABS-2323,25.8,8.84,52.4,165.6,Nominal Fast Response
BOSCH-ABS-2324,22.0,10.32,23.4,138.6,Nominal Fast Response
BOSCH-ABS-2325,23.7,9.47,63.2,144.2,Nominal Fast Response
BOSCH-ABS-2326,26.2,9.92,46.5,139.7,Nominal Fast Response
BOSCH-ABS-2327,18.0,11.86,101.5,174.0,Nominal Fast Response
BOSCH-ABS-2328,23.6,12.44,53.5,165.8,Nominal Fast Response
BOSCH-ABS-2329,27.8,9.83,35.4,173.8,Nominal Fast Response
BOSCH-ABS-2330,22.6,8.81,69.6,154.7,Nominal Fast Response
BOSCH-ABS-2331,16.2,10.8,78.4,186.3,Nominal Fast Response
BOSCH-ABS-2332,20.8,8.55,78.8,148.4,Nominal Fast Response
BOSCH-ABS-2333,22.4,9.98,83.5,110.0,Nominal Fast Response
BOSCH-ABS-2334,25.6,8.72,73.6,169.3,Nominal Fast Response
BOSCH-ABS-2335,20.3,10.68,45.8,149.9,Nominal Fast Response
BOSCH-ABS-2336,21.9,9.84,66.0,95.8,Nominal Fast Response
BOSCH-ABS-2337,20.0,10.25,48.3,154.5,Nominal Fast Response
BOSCH-ABS-2338,14.6,8.56,47.5,190.0,Nominal Fast Response
BOSCH-ABS-2339,16.4,9.04,59.9,111.8,Nominal Fast Response
BOSCH-ABS-2340,25.2,11.65,71.0,172.8,Nominal Fast Response
BOSCH-ABS-2341,25.6,8.75,62.1,93.4,Nominal Fast Response
BOSCH-ABS-2342,17.4,13.27,74.4,143.4,Nominal Fast Response
BOSCH-ABS-2343,13.5,15.09,69.2,119.4,Valve Seat Wear Alert
BOSCH-ABS-2344,20.8,10.06,65.0,129.2,Nominal Fast Response
BOSCH-ABS-2345,13.4,10.17,66.2,94.7,Nominal Fast Response
BOSCH-ABS-2346,27.0,9.21,36.9,103.6,Nominal Fast Response
BOSCH-ABS-2347,17.3,20.93,71.6,147.4,Valve Seat Wear Alert
BOSCH-ABS-2348,20.6,8.54,70.8,164.7,Nominal Fast Response
BOSCH-ABS-2349,21.3,11.6,63.7,153.8,Nominal Fast Response
BOSCH-ABS-2350,24.0,9.71,62.9,119.4,Nominal Fast Response
BOSCH-ABS-2351,23.5,9.91,86.8,136.4,Nominal Fast Response
BOSCH-ABS-2352,21.6,9.08,70.3,180.1,Nominal Fast Response
