Brake_Stop_ID,Rotor_Surface_Temp_C,Caliper_Clamping_Force_kN,Carbon_Oxidation_Loss_mg,Brake_Pad_Wear_Microns,Rotor_Health
BREMBO-CCM-1149,747.1,47.5,5.69,8.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1150,300.8,60.5,0.2,6.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1151,705.3,26.1,4.09,6.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1152,391.8,50.2,0.61,5.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1153,428.2,24.7,0.68,4.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1154,803.8,26.0,9.44,7.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1155,374.5,48.5,0.49,6.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1156,882.1,28.4,19.66,7.7,High Thermal Oxidation / Service Flag
BREMBO-CCM-1157,752.7,44.4,6.84,8.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1158,549.2,20.7,1.09,5.2,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1159,400.1,38.3,0.2,4.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1160,374.5,25.8,0.33,5.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1161,352.3,22.7,0.2,2.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1162,793.7,16.0,8.96,5.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1163,688.3,33.8,3.88,6.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1164,423.5,37.0,0.36,4.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1165,408.5,15.1,0.2,3.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1166,728.2,59.4,5.43,9.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1167,948.1,42.1,28.0,8.8,High Thermal Oxidation / Service Flag
BREMBO-CCM-1168,952.8,47.5,28.0,9.5,High Thermal Oxidation / Service Flag
BREMBO-CCM-1169,785.4,40.9,8.86,7.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1170,723.0,30.8,4.83,8.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1171,275.0,49.4,0.36,4.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1172,439.9,15.4,0.96,4.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1173,420.7,31.2,0.26,4.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1174,861.0,64.4,15.91,9.5,High Thermal Oxidation / Service Flag
BREMBO-CCM-1175,595.0,33.0,1.95,5.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1176,598.1,20.7,2.35,4.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1177,970.2,19.4,28.0,7.2,High Thermal Oxidation / Service Flag
BREMBO-CCM-1178,342.5,37.8,0.32,4.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1179,864.3,25.2,15.81,6.9,High Thermal Oxidation / Service Flag
BREMBO-CCM-1180,892.5,48.1,21.12,9.0,High Thermal Oxidation / Service Flag
BREMBO-CCM-1181,913.5,45.4,24.02,8.5,High Thermal Oxidation / Service Flag
BREMBO-CCM-1182,414.1,46.8,0.59,5.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1183,616.7,31.5,2.21,6.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1184,739.1,17.0,5.28,5.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1185,652.4,30.9,2.85,6.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1186,463.2,57.6,0.99,7.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1187,821.8,59.6,12.34,8.8,High Thermal Oxidation / Service Flag
BREMBO-CCM-1188,599.7,15.5,2.15,4.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1189,443.4,52.7,0.28,6.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1190,250.3,48.8,0.2,4.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1191,770.5,25.7,7.21,6.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1192,657.3,55.6,3.17,7.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1193,965.4,60.7,28.0,10.6,High Thermal Oxidation / Service Flag
BREMBO-CCM-1194,310.9,36.9,0.2,5.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1195,658.5,25.4,2.83,6.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1196,260.7,56.7,0.67,5.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1197,522.0,24.6,0.52,5.2,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1198,361.4,33.0,0.32,4.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1199,818.3,47.8,11.43,8.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1200,304.4,44.8,0.25,5.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1201,466.7,53.8,1.16,6.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1202,414.8,44.7,0.4,4.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1203,371.9,48.6,0.64,6.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1204,534.8,21.9,1.35,3.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1205,977.9,34.3,28.0,8.7,High Thermal Oxidation / Service Flag
BREMBO-CCM-1206,763.0,57.8,6.24,9.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1207,410.1,55.3,0.49,7.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1208,316.9,57.9,0.87,5.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1209,705.3,55.1,4.4,8.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1210,884.7,58.8,19.09,9.7,High Thermal Oxidation / Service Flag
BREMBO-CCM-1211,916.5,43.2,25.27,8.3,High Thermal Oxidation / Service Flag
BREMBO-CCM-1212,496.4,19.5,0.47,4.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1213,393.9,42.7,0.2,5.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1214,356.5,52.3,0.2,5.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1215,385.9,56.6,0.38,6.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1216,449.5,29.9,0.2,5.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1217,815.7,31.2,10.47,6.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1218,325.4,62.4,0.2,6.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1219,751.8,56.5,6.66,9.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1220,941.4,50.1,28.0,9.7,High Thermal Oxidation / Service Flag
BREMBO-CCM-1221,334.2,44.5,0.53,6.2,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1222,553.8,27.4,1.48,5.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1223,812.1,61.7,10.42,8.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1224,940.9,45.1,28.0,8.2,High Thermal Oxidation / Service Flag
BREMBO-CCM-1225,301.1,19.1,0.2,2.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1226,491.8,56.1,0.2,7.9,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1227,587.5,47.5,1.68,7.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1228,889.8,26.0,20.1,7.7,High Thermal Oxidation / Service Flag
BREMBO-CCM-1229,695.6,25.0,3.92,5.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1230,282.0,21.1,0.2,2.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1231,904.3,27.9,22.32,7.3,High Thermal Oxidation / Service Flag
BREMBO-CCM-1232,521.1,50.9,1.0,7.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1233,827.7,55.1,11.83,9.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1234,251.8,30.7,0.83,4.7,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1235,502.2,37.8,0.94,5.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1236,708.1,23.6,4.09,6.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1237,539.9,27.3,1.51,5.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1238,277.7,36.2,0.2,4.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1239,864.8,56.3,16.33,9.4,High Thermal Oxidation / Service Flag
BREMBO-CCM-1240,913.5,35.6,24.41,7.6,High Thermal Oxidation / Service Flag
BREMBO-CCM-1241,269.4,43.9,0.21,5.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1242,630.7,19.6,1.77,5.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1243,718.3,58.3,5.35,8.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1244,320.1,52.7,0.2,5.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1245,667.5,51.5,3.05,7.1,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1246,786.0,48.0,8.71,7.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1247,866.3,64.9,16.54,9.8,High Thermal Oxidation / Service Flag
BREMBO-CCM-1248,507.1,59.4,0.78,7.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1249,444.3,16.0,0.47,3.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1250,388.7,24.8,0.55,4.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1251,309.7,59.9,0.2,6.6,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1252,496.3,53.2,0.72,5.8,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1253,561.1,33.5,1.64,5.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1254,797.3,52.3,9.87,8.0,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1255,802.1,48.7,9.34,9.5,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1256,503.3,50.4,0.64,7.3,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1257,732.3,21.6,5.7,6.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1258,255.0,16.0,0.2,2.4,Optimal Carbon-Ceramic Matrix (CCM) Life
BREMBO-CCM-1259,352.9,40.5,0.2,5.2,Optimal Carbon-Ceramic Matrix (CCM) Life
