Lap_Telemetry_ID,Apex_Speed_kmh,Battery_State_of_Charge_pct,Battery_Core_Temp_C,Electric_MGU_K_Boost_kW,Sector_Time_Gain_s,Hybrid_Strategy
FERRARI-SF90-1176,70.8,90.3,58.5,132.5,0.41,Regenerative Harvesting Active
FERRARI-SF90-1177,132.2,60.0,48.0,92.3,0.36,Regenerative Harvesting Active
FERRARI-SF90-1178,104.8,58.1,50.4,91.3,0.35,Regenerative Harvesting Active
FERRARI-SF90-1179,77.0,66.3,47.4,115.8,0.39,Regenerative Harvesting Active
FERRARI-SF90-1180,101.6,61.7,52.0,91.9,0.38,Regenerative Harvesting Active
FERRARI-SF90-1181,90.1,62.0,44.0,106.9,0.37,Regenerative Harvesting Active
FERRARI-SF90-1182,165.1,31.6,39.2,62.8,0.26,Regenerative Harvesting Active
FERRARI-SF90-1183,74.8,38.2,43.1,75.6,0.29,Regenerative Harvesting Active
FERRARI-SF90-1184,86.6,81.1,53.1,122.9,0.34,Regenerative Harvesting Active
FERRARI-SF90-1185,178.3,33.5,42.0,73.6,0.23,Regenerative Harvesting Active
FERRARI-SF90-1186,145.5,39.3,43.4,69.4,0.2,Regenerative Harvesting Active
FERRARI-SF90-1187,71.8,41.7,43.5,80.8,0.26,Regenerative Harvesting Active
FERRARI-SF90-1188,142.8,25.9,42.3,49.9,0.17,Regenerative Harvesting Active
FERRARI-SF90-1189,126.7,55.6,44.2,100.7,0.33,Regenerative Harvesting Active
FERRARI-SF90-1190,157.6,89.7,56.5,136.4,0.38,Full 160kW Qualify Boost
FERRARI-SF90-1191,116.3,50.4,42.6,96.8,0.33,Regenerative Harvesting Active
FERRARI-SF90-1192,77.4,56.5,46.5,104.5,0.32,Regenerative Harvesting Active
FERRARI-SF90-1193,126.6,89.7,51.7,153.8,0.56,Full 160kW Qualify Boost
FERRARI-SF90-1194,99.1,83.2,56.0,132.9,0.45,Regenerative Harvesting Active
FERRARI-SF90-1195,143.3,51.8,49.6,88.3,0.24,Regenerative Harvesting Active
FERRARI-SF90-1196,89.7,57.9,43.6,111.4,0.4,Regenerative Harvesting Active
FERRARI-SF90-1197,133.6,94.5,56.3,149.6,0.54,Full 160kW Qualify Boost
FERRARI-SF90-1198,108.5,40.2,41.4,88.2,0.29,Regenerative Harvesting Active
FERRARI-SF90-1199,140.1,28.6,38.2,64.2,0.26,Regenerative Harvesting Active
FERRARI-SF90-1200,79.3,37.8,46.1,76.4,0.28,Regenerative Harvesting Active
FERRARI-SF90-1201,120.7,41.9,43.3,75.1,0.22,Regenerative Harvesting Active
FERRARI-SF90-1202,82.0,84.1,53.4,145.2,0.44,Full 160kW Qualify Boost
FERRARI-SF90-1203,94.2,38.4,39.7,74.4,0.28,Regenerative Harvesting Active
FERRARI-SF90-1204,95.8,60.3,43.3,117.2,0.46,Regenerative Harvesting Active
FERRARI-SF90-1205,122.6,81.5,52.3,121.1,0.43,Regenerative Harvesting Active
FERRARI-SF90-1206,139.0,60.0,49.0,98.8,0.29,Regenerative Harvesting Active
FERRARI-SF90-1207,137.8,48.1,49.3,87.0,0.28,Regenerative Harvesting Active
FERRARI-SF90-1208,125.6,30.8,41.3,73.2,0.26,Regenerative Harvesting Active
FERRARI-SF90-1209,72.6,43.8,43.3,87.0,0.3,Regenerative Harvesting Active
FERRARI-SF90-1210,130.3,71.5,52.9,110.5,0.33,Regenerative Harvesting Active
FERRARI-SF90-1211,176.5,40.1,44.1,80.4,0.24,Regenerative Harvesting Active
FERRARI-SF90-1212,168.6,60.2,53.2,92.9,0.31,Regenerative Harvesting Active
FERRARI-SF90-1213,132.0,77.2,53.8,125.9,0.44,Regenerative Harvesting Active
FERRARI-SF90-1214,146.2,52.4,50.5,88.5,0.26,Regenerative Harvesting Active
FERRARI-SF90-1215,103.1,39.8,44.0,79.0,0.26,Regenerative Harvesting Active
FERRARI-SF90-1216,124.8,68.0,45.2,129.0,0.41,Regenerative Harvesting Active
FERRARI-SF90-1217,153.2,51.8,43.8,112.2,0.34,Regenerative Harvesting Active
FERRARI-SF90-1218,96.1,73.2,54.9,119.5,0.47,Regenerative Harvesting Active
FERRARI-SF90-1219,113.2,67.0,53.2,100.2,0.37,Regenerative Harvesting Active
FERRARI-SF90-1220,99.2,91.2,57.3,138.9,0.45,Full 160kW Qualify Boost
FERRARI-SF90-1221,141.6,42.6,42.8,79.7,0.25,Regenerative Harvesting Active
FERRARI-SF90-1222,166.1,86.6,57.8,129.0,0.43,Regenerative Harvesting Active
FERRARI-SF90-1223,148.8,25.5,34.8,53.7,0.17,Regenerative Harvesting Active
FERRARI-SF90-1224,81.8,26.4,44.4,42.0,0.14,Regenerative Harvesting Active
FERRARI-SF90-1225,105.8,71.1,50.7,119.1,0.44,Regenerative Harvesting Active
FERRARI-SF90-1226,102.8,46.9,48.0,85.3,0.27,Regenerative Harvesting Active
FERRARI-SF90-1227,84.1,73.2,53.2,135.4,0.37,Full 160kW Qualify Boost
FERRARI-SF90-1228,141.3,58.5,47.3,100.9,0.32,Regenerative Harvesting Active
FERRARI-SF90-1229,83.6,93.9,55.2,149.1,0.5,Full 160kW Qualify Boost
FERRARI-SF90-1230,162.9,54.2,46.1,88.7,0.29,Regenerative Harvesting Active
FERRARI-SF90-1231,88.7,41.7,44.1,84.4,0.31,Regenerative Harvesting Active
FERRARI-SF90-1232,125.3,49.4,42.6,98.2,0.37,Regenerative Harvesting Active
FERRARI-SF90-1233,129.4,31.0,39.4,66.5,0.25,Regenerative Harvesting Active
FERRARI-SF90-1234,142.3,40.8,45.9,74.1,0.28,Regenerative Harvesting Active
FERRARI-SF90-1235,72.6,55.1,46.2,81.1,0.27,Regenerative Harvesting Active
FERRARI-SF90-1236,172.5,51.0,45.0,101.5,0.47,Regenerative Harvesting Active
FERRARI-SF90-1237,153.3,34.6,40.4,82.7,0.29,Regenerative Harvesting Active
FERRARI-SF90-1238,177.3,93.2,59.3,140.9,0.51,Full 160kW Qualify Boost
FERRARI-SF90-1239,79.3,89.1,57.5,142.4,0.44,Full 160kW Qualify Boost
FERRARI-SF90-1240,108.8,72.1,51.8,116.1,0.39,Regenerative Harvesting Active
FERRARI-SF90-1241,177.4,68.7,51.9,112.9,0.4,Regenerative Harvesting Active
FERRARI-SF90-1242,178.1,58.1,50.9,95.5,0.33,Regenerative Harvesting Active
FERRARI-SF90-1243,73.4,93.5,57.3,142.5,0.5,Full 160kW Qualify Boost
FERRARI-SF90-1244,153.4,42.7,40.5,91.8,0.29,Regenerative Harvesting Active
FERRARI-SF90-1245,143.5,62.8,51.5,100.8,0.34,Regenerative Harvesting Active
FERRARI-SF90-1246,117.1,28.0,39.8,56.1,0.18,Regenerative Harvesting Active
FERRARI-SF90-1247,166.8,28.9,38.9,60.5,0.2,Regenerative Harvesting Active
FERRARI-SF90-1248,121.2,60.0,44.3,109.7,0.35,Regenerative Harvesting Active
FERRARI-SF90-1249,120.1,72.9,55.2,119.4,0.39,Regenerative Harvesting Active
FERRARI-SF90-1250,94.6,76.7,52.1,122.2,0.48,Regenerative Harvesting Active
FERRARI-SF90-1251,119.4,40.3,41.9,86.1,0.28,Regenerative Harvesting Active
FERRARI-SF90-1252,91.3,81.1,50.0,127.2,0.51,Regenerative Harvesting Active
FERRARI-SF90-1253,121.9,80.9,50.6,125.5,0.43,Regenerative Harvesting Active
FERRARI-SF90-1254,138.1,41.4,46.6,76.3,0.25,Regenerative Harvesting Active
FERRARI-SF90-1255,90.1,72.3,50.7,119.8,0.47,Regenerative Harvesting Active
FERRARI-SF90-1256,131.6,63.8,48.7,103.7,0.32,Regenerative Harvesting Active
FERRARI-SF90-1257,157.1,37.3,41.9,91.4,0.25,Regenerative Harvesting Active
FERRARI-SF90-1258,147.2,74.1,52.9,129.4,0.44,Regenerative Harvesting Active
FERRARI-SF90-1259,149.3,81.1,51.6,119.6,0.44,Regenerative Harvesting Active
FERRARI-SF90-1260,174.1,54.7,45.2,84.2,0.32,Regenerative Harvesting Active
FERRARI-SF90-1261,165.2,93.1,54.9,133.8,0.48,Regenerative Harvesting Active
FERRARI-SF90-1262,148.7,60.7,48.4,95.6,0.35,Regenerative Harvesting Active
FERRARI-SF90-1263,177.9,42.0,45.8,69.8,0.24,Regenerative Harvesting Active
FERRARI-SF90-1264,78.1,39.1,41.3,87.7,0.32,Regenerative Harvesting Active
FERRARI-SF90-1265,84.9,66.3,52.5,89.9,0.26,Regenerative Harvesting Active
FERRARI-SF90-1266,76.7,60.0,49.1,112.0,0.38,Regenerative Harvesting Active
FERRARI-SF90-1267,158.7,70.7,51.9,119.6,0.41,Regenerative Harvesting Active
FERRARI-SF90-1268,176.1,52.5,48.5,91.2,0.28,Regenerative Harvesting Active
FERRARI-SF90-1269,71.8,28.6,36.9,73.1,0.27,Regenerative Harvesting Active
FERRARI-SF90-1270,129.2,37.9,38.5,99.6,0.38,Regenerative Harvesting Active
FERRARI-SF90-1271,134.7,46.4,49.4,77.4,0.29,Regenerative Harvesting Active
FERRARI-SF90-1272,168.0,47.1,42.5,99.4,0.24,Regenerative Harvesting Active
FERRARI-SF90-1273,177.6,81.5,56.4,129.6,0.45,Regenerative Harvesting Active
FERRARI-SF90-1274,170.9,34.3,38.8,66.9,0.28,Regenerative Harvesting Active
FERRARI-SF90-1275,133.1,87.4,52.3,137.6,0.49,Full 160kW Qualify Boost
FERRARI-SF90-1276,113.1,57.4,45.6,107.5,0.35,Regenerative Harvesting Active
FERRARI-SF90-1277,169.3,86.2,57.7,141.7,0.5,Full 160kW Qualify Boost
FERRARI-SF90-1278,147.0,81.1,53.4,135.0,0.43,Regenerative Harvesting Active
FERRARI-SF90-1279,87.8,53.5,50.1,89.3,0.32,Regenerative Harvesting Active
FERRARI-SF90-1280,170.9,65.8,49.5,122.5,0.39,Regenerative Harvesting Active
FERRARI-SF90-1281,70.9,40.0,35.3,80.0,0.26,Regenerative Harvesting Active
FERRARI-SF90-1282,130.2,72.1,50.6,115.2,0.43,Regenerative Harvesting Active
FERRARI-SF90-1283,78.5,75.1,52.0,124.0,0.38,Regenerative Harvesting Active
FERRARI-SF90-1284,148.4,41.2,43.1,80.5,0.26,Regenerative Harvesting Active
FERRARI-SF90-1285,137.9,67.3,46.0,126.9,0.52,Regenerative Harvesting Active
FERRARI-SF90-1286,123.6,78.8,52.9,133.9,0.46,Regenerative Harvesting Active
FERRARI-SF90-1287,94.3,59.1,50.9,100.6,0.37,Regenerative Harvesting Active
FERRARI-SF90-1288,179.1,56.4,47.8,95.3,0.31,Regenerative Harvesting Active
FERRARI-SF90-1289,129.6,33.0,39.8,68.9,0.28,Regenerative Harvesting Active
FERRARI-SF90-1290,116.3,55.5,47.9,105.1,0.33,Regenerative Harvesting Active
FERRARI-SF90-1291,102.3,49.8,39.2,98.3,0.39,Regenerative Harvesting Active
FERRARI-SF90-1292,113.7,88.1,58.1,138.5,0.42,Full 160kW Qualify Boost
FERRARI-SF90-1293,139.8,79.7,51.1,137.5,0.38,Full 160kW Qualify Boost
FERRARI-SF90-1294,145.1,51.4,47.0,101.3,0.37,Regenerative Harvesting Active
FERRARI-SF90-1295,137.5,78.9,52.8,124.6,0.38,Regenerative Harvesting Active
FERRARI-SF90-1296,113.3,26.7,40.6,44.0,0.16,Regenerative Harvesting Active
FERRARI-SF90-1297,179.9,91.0,53.1,146.1,0.44,Full 160kW Qualify Boost
FERRARI-SF90-1298,119.0,40.5,44.2,76.2,0.25,Regenerative Harvesting Active
