Fleet_Event_ID,Vehicle_Speed_mph,Sun_Glare_Angle_deg,Road_Curvature_deg,Camera_Inference_Latency_ms,Human_AI_Disparity_deg,Autonomy_Alignment
TESLA-SHADOW-1109,50.6,68.2,27.5,32.0,0.54,Seamless Autonomous Alignment
TESLA-SHADOW-1110,43.6,52.3,20.8,22.4,2.07,Seamless Autonomous Alignment
TESLA-SHADOW-1111,57.3,52.2,18.6,24.1,0.35,Seamless Autonomous Alignment
TESLA-SHADOW-1112,31.4,23.2,10.8,25.0,2.0,Seamless Autonomous Alignment
TESLA-SHADOW-1113,61.3,68.1,16.8,24.0,3.16,Seamless Autonomous Alignment
TESLA-SHADOW-1114,30.3,14.1,32.6,31.3,1.82,Seamless Autonomous Alignment
TESLA-SHADOW-1115,64.5,85.1,7.7,22.2,3.22,Seamless Autonomous Alignment
TESLA-SHADOW-1116,34.7,12.5,22.0,22.0,0.16,Seamless Autonomous Alignment
TESLA-SHADOW-1117,57.2,62.8,12.4,23.5,0.79,Seamless Autonomous Alignment
TESLA-SHADOW-1118,45.6,5.7,13.6,41.0,1.88,Seamless Autonomous Alignment
TESLA-SHADOW-1119,54.8,3.9,28.1,23.0,2.15,Seamless Autonomous Alignment
TESLA-SHADOW-1120,53.8,1.3,12.2,22.6,3.73,Seamless Autonomous Alignment
TESLA-SHADOW-1121,29.6,20.7,17.6,30.1,0.86,Seamless Autonomous Alignment
TESLA-SHADOW-1122,45.2,11.7,32.0,24.5,1.12,Seamless Autonomous Alignment
TESLA-SHADOW-1123,43.1,46.3,27.4,22.8,1.01,Seamless Autonomous Alignment
TESLA-SHADOW-1124,74.8,42.1,24.6,23.8,1.13,Seamless Autonomous Alignment
TESLA-SHADOW-1125,50.2,89.8,21.9,24.1,4.69,Shadow Disengagement Triggered
TESLA-SHADOW-1126,39.3,70.7,5.7,22.7,2.49,Seamless Autonomous Alignment
TESLA-SHADOW-1127,56.2,3.3,13.5,24.6,1.56,Seamless Autonomous Alignment
TESLA-SHADOW-1128,43.8,62.0,15.9,24.2,4.98,Shadow Disengagement Triggered
TESLA-SHADOW-1129,49.0,25.3,3.7,22.2,0.61,Seamless Autonomous Alignment
TESLA-SHADOW-1130,37.1,79.4,29.5,24.4,2.53,Seamless Autonomous Alignment
TESLA-SHADOW-1131,58.5,0.8,18.0,31.7,3.5,Seamless Autonomous Alignment
TESLA-SHADOW-1132,72.4,78.9,15.7,22.4,2.72,Seamless Autonomous Alignment
TESLA-SHADOW-1133,66.7,86.2,10.9,26.0,1.84,Seamless Autonomous Alignment
TESLA-SHADOW-1134,67.2,88.2,1.8,22.1,0.34,Seamless Autonomous Alignment
TESLA-SHADOW-1135,63.6,17.0,3.4,25.3,2.49,Seamless Autonomous Alignment
TESLA-SHADOW-1136,54.1,13.3,1.5,25.0,0.22,Seamless Autonomous Alignment
TESLA-SHADOW-1137,25.1,74.1,30.0,25.8,2.27,Seamless Autonomous Alignment
TESLA-SHADOW-1138,72.8,4.6,12.1,22.2,1.27,Seamless Autonomous Alignment
TESLA-SHADOW-1139,35.1,38.6,17.4,28.8,2.49,Seamless Autonomous Alignment
TESLA-SHADOW-1140,57.6,3.2,30.2,22.1,2.26,Seamless Autonomous Alignment
TESLA-SHADOW-1141,71.5,74.9,12.9,25.8,3.94,Seamless Autonomous Alignment
TESLA-SHADOW-1142,59.4,50.0,19.3,24.5,0.69,Seamless Autonomous Alignment
TESLA-SHADOW-1143,47.6,45.7,29.9,23.4,2.21,Seamless Autonomous Alignment
TESLA-SHADOW-1144,45.5,84.1,2.6,25.1,1.46,Seamless Autonomous Alignment
TESLA-SHADOW-1145,68.7,20.6,5.1,28.8,1.22,Seamless Autonomous Alignment
TESLA-SHADOW-1146,42.3,67.1,19.6,22.6,2.57,Seamless Autonomous Alignment
TESLA-SHADOW-1147,29.6,52.0,14.7,27.7,4.12,Seamless Autonomous Alignment
TESLA-SHADOW-1148,71.0,66.8,21.2,31.2,1.45,Seamless Autonomous Alignment
TESLA-SHADOW-1149,61.2,64.4,17.1,24.9,0.29,Seamless Autonomous Alignment
TESLA-SHADOW-1150,36.3,19.6,34.6,24.8,1.12,Seamless Autonomous Alignment
TESLA-SHADOW-1151,68.3,2.1,10.3,25.9,1.33,Seamless Autonomous Alignment
TESLA-SHADOW-1152,46.4,18.8,25.4,23.5,1.99,Seamless Autonomous Alignment
TESLA-SHADOW-1153,47.7,49.0,11.2,30.0,0.01,Seamless Autonomous Alignment
TESLA-SHADOW-1154,47.1,65.6,9.1,26.7,0.69,Seamless Autonomous Alignment
TESLA-SHADOW-1155,66.5,64.1,32.5,22.6,1.38,Seamless Autonomous Alignment
TESLA-SHADOW-1156,42.6,33.0,19.9,23.7,5.24,Shadow Disengagement Triggered
TESLA-SHADOW-1157,64.1,58.6,22.4,24.2,5.42,Shadow Disengagement Triggered
TESLA-SHADOW-1158,46.7,0.8,30.6,25.2,2.7,Seamless Autonomous Alignment
TESLA-SHADOW-1159,43.5,13.2,8.2,33.1,1.15,Seamless Autonomous Alignment
TESLA-SHADOW-1160,51.5,82.5,27.1,24.6,1.57,Seamless Autonomous Alignment
TESLA-SHADOW-1161,70.6,0.5,30.3,23.0,0.49,Seamless Autonomous Alignment
TESLA-SHADOW-1162,62.6,49.2,27.3,28.8,6.06,Shadow Disengagement Triggered
TESLA-SHADOW-1163,26.6,74.7,31.8,29.1,2.87,Seamless Autonomous Alignment
TESLA-SHADOW-1164,56.8,53.3,31.6,25.8,2.04,Seamless Autonomous Alignment
TESLA-SHADOW-1165,56.5,68.5,20.1,27.7,3.61,Seamless Autonomous Alignment
TESLA-SHADOW-1166,43.2,33.8,11.3,22.9,2.78,Seamless Autonomous Alignment
TESLA-SHADOW-1167,58.5,38.5,12.8,26.0,2.6,Seamless Autonomous Alignment
TESLA-SHADOW-1168,36.3,33.6,13.3,22.9,2.43,Seamless Autonomous Alignment
TESLA-SHADOW-1169,36.8,78.2,6.5,28.6,6.04,Shadow Disengagement Triggered
TESLA-SHADOW-1170,30.4,65.4,26.2,43.7,3.45,Seamless Autonomous Alignment
TESLA-SHADOW-1171,27.7,31.1,15.8,24.0,2.46,Seamless Autonomous Alignment
TESLA-SHADOW-1172,48.1,86.3,28.9,40.6,5.51,Shadow Disengagement Triggered
TESLA-SHADOW-1173,72.4,27.8,19.0,22.1,1.24,Seamless Autonomous Alignment
TESLA-SHADOW-1174,30.3,18.9,29.9,35.0,2.59,Seamless Autonomous Alignment
TESLA-SHADOW-1175,54.8,13.9,10.6,28.1,2.14,Seamless Autonomous Alignment
TESLA-SHADOW-1176,58.8,28.7,22.0,24.6,2.14,Seamless Autonomous Alignment
TESLA-SHADOW-1177,59.7,65.8,31.8,24.5,4.87,Shadow Disengagement Triggered
TESLA-SHADOW-1178,52.0,16.2,22.9,32.1,0.56,Seamless Autonomous Alignment
TESLA-SHADOW-1179,55.9,70.5,5.4,23.2,4.42,Seamless Autonomous Alignment
TESLA-SHADOW-1180,68.4,32.5,7.3,22.3,2.21,Seamless Autonomous Alignment
TESLA-SHADOW-1181,41.1,29.3,9.3,29.8,0.02,Seamless Autonomous Alignment
TESLA-SHADOW-1182,71.2,48.4,23.6,24.2,0.67,Seamless Autonomous Alignment
TESLA-SHADOW-1183,29.9,29.9,9.4,31.5,0.06,Seamless Autonomous Alignment
TESLA-SHADOW-1184,66.5,14.1,0.1,22.9,2.02,Seamless Autonomous Alignment
TESLA-SHADOW-1185,30.9,67.2,14.1,25.9,0.54,Seamless Autonomous Alignment
TESLA-SHADOW-1186,55.0,25.7,30.7,22.2,2.62,Seamless Autonomous Alignment
TESLA-SHADOW-1187,51.7,51.1,26.5,30.5,2.1,Seamless Autonomous Alignment
TESLA-SHADOW-1188,46.3,21.8,25.0,24.6,0.74,Seamless Autonomous Alignment
TESLA-SHADOW-1189,42.8,73.4,33.1,27.5,4.24,Seamless Autonomous Alignment
TESLA-SHADOW-1190,57.6,71.8,19.9,22.8,1.02,Seamless Autonomous Alignment
TESLA-SHADOW-1191,54.0,68.0,25.2,22.1,5.07,Shadow Disengagement Triggered
TESLA-SHADOW-1192,35.0,22.0,8.4,22.8,2.73,Seamless Autonomous Alignment
TESLA-SHADOW-1193,29.5,45.2,7.9,22.5,0.13,Seamless Autonomous Alignment
TESLA-SHADOW-1194,28.2,55.2,25.1,22.4,4.17,Seamless Autonomous Alignment
TESLA-SHADOW-1195,26.1,55.6,6.3,36.6,4.54,Shadow Disengagement Triggered
TESLA-SHADOW-1196,55.7,83.5,24.9,22.2,1.16,Seamless Autonomous Alignment
TESLA-SHADOW-1197,45.1,84.2,7.5,26.3,5.83,Shadow Disengagement Triggered
TESLA-SHADOW-1198,69.0,4.4,27.1,22.4,2.55,Seamless Autonomous Alignment
TESLA-SHADOW-1199,26.8,21.8,6.4,23.3,1.18,Seamless Autonomous Alignment
TESLA-SHADOW-1200,48.5,69.9,3.6,41.5,0.86,Seamless Autonomous Alignment
TESLA-SHADOW-1201,70.1,0.9,21.1,26.0,2.43,Seamless Autonomous Alignment
TESLA-SHADOW-1202,46.1,32.6,26.3,29.7,3.49,Seamless Autonomous Alignment
TESLA-SHADOW-1203,57.2,46.5,1.4,23.1,2.58,Seamless Autonomous Alignment
TESLA-SHADOW-1204,31.0,82.9,10.5,26.9,2.7,Seamless Autonomous Alignment
TESLA-SHADOW-1205,54.1,17.5,7.5,25.9,1.95,Seamless Autonomous Alignment
TESLA-SHADOW-1206,49.5,5.1,0.8,31.2,1.65,Seamless Autonomous Alignment
TESLA-SHADOW-1207,60.5,69.6,4.8,23.9,1.5,Seamless Autonomous Alignment
TESLA-SHADOW-1208,47.8,65.2,7.8,24.6,2.44,Seamless Autonomous Alignment
TESLA-SHADOW-1209,37.5,61.3,4.9,24.5,1.14,Seamless Autonomous Alignment
TESLA-SHADOW-1210,40.0,83.0,9.8,24.1,2.62,Seamless Autonomous Alignment
TESLA-SHADOW-1211,64.0,76.4,33.3,24.9,4.27,Seamless Autonomous Alignment
TESLA-SHADOW-1212,50.1,46.1,14.6,22.1,2.78,Seamless Autonomous Alignment
TESLA-SHADOW-1213,32.4,39.0,7.2,24.2,1.22,Seamless Autonomous Alignment
TESLA-SHADOW-1214,34.5,51.4,27.1,22.3,4.06,Seamless Autonomous Alignment
TESLA-SHADOW-1215,63.2,22.7,32.2,27.6,0.26,Seamless Autonomous Alignment
TESLA-SHADOW-1216,57.7,35.6,2.9,23.2,1.2,Seamless Autonomous Alignment
TESLA-SHADOW-1217,34.6,34.4,24.2,22.6,2.44,Seamless Autonomous Alignment
TESLA-SHADOW-1218,74.7,63.1,5.3,27.6,0.76,Seamless Autonomous Alignment
TESLA-SHADOW-1219,63.7,28.2,30.7,25.6,0.88,Seamless Autonomous Alignment
TESLA-SHADOW-1220,72.6,79.6,8.7,23.3,0.49,Seamless Autonomous Alignment
TESLA-SHADOW-1221,33.2,54.2,3.9,28.1,0.47,Seamless Autonomous Alignment
TESLA-SHADOW-1222,36.4,40.5,20.3,25.6,7.27,Shadow Disengagement Triggered
TESLA-SHADOW-1223,58.3,29.9,1.5,23.9,2.65,Seamless Autonomous Alignment
TESLA-SHADOW-1224,64.2,6.1,2.4,28.5,1.37,Seamless Autonomous Alignment
TESLA-SHADOW-1225,25.9,53.9,31.5,22.3,2.33,Seamless Autonomous Alignment
TESLA-SHADOW-1226,46.0,7.7,34.9,26.8,2.7,Seamless Autonomous Alignment
TESLA-SHADOW-1227,70.8,17.9,28.7,26.3,0.03,Seamless Autonomous Alignment
TESLA-SHADOW-1228,54.6,78.1,31.9,23.3,4.75,Shadow Disengagement Triggered
TESLA-SHADOW-1229,49.6,39.5,28.4,23.1,4.47,Seamless Autonomous Alignment
TESLA-SHADOW-1230,67.5,25.8,11.2,25.7,1.43,Seamless Autonomous Alignment
TESLA-SHADOW-1231,71.1,55.1,24.6,27.9,0.79,Seamless Autonomous Alignment
TESLA-SHADOW-1232,47.8,89.4,27.4,38.5,5.64,Shadow Disengagement Triggered
TESLA-SHADOW-1233,34.5,84.0,5.6,23.9,2.18,Seamless Autonomous Alignment
TESLA-SHADOW-1234,58.6,88.3,10.3,24.3,2.7,Seamless Autonomous Alignment
TESLA-SHADOW-1235,41.5,1.5,0.9,25.8,0.27,Seamless Autonomous Alignment
TESLA-SHADOW-1236,39.6,34.0,22.1,30.9,2.06,Seamless Autonomous Alignment
TESLA-SHADOW-1237,41.4,55.0,13.7,23.0,3.38,Seamless Autonomous Alignment
TESLA-SHADOW-1238,60.2,20.3,19.5,22.9,4.01,Seamless Autonomous Alignment
TESLA-SHADOW-1239,43.0,63.9,9.5,23.7,4.26,Seamless Autonomous Alignment
TESLA-SHADOW-1240,35.6,15.0,6.8,30.4,1.88,Seamless Autonomous Alignment
TESLA-SHADOW-1241,45.2,1.8,34.2,24.7,2.66,Seamless Autonomous Alignment
TESLA-SHADOW-1242,46.3,75.6,28.6,25.7,5.61,Shadow Disengagement Triggered
TESLA-SHADOW-1243,55.9,18.4,7.2,22.7,3.12,Seamless Autonomous Alignment
TESLA-SHADOW-1244,61.6,36.2,11.5,30.4,0.16,Seamless Autonomous Alignment
TESLA-SHADOW-1245,28.1,65.5,0.0,22.5,3.33,Seamless Autonomous Alignment
TESLA-SHADOW-1246,56.2,8.8,16.6,25.8,1.2,Seamless Autonomous Alignment
TESLA-SHADOW-1247,51.3,39.8,26.8,22.2,3.5,Seamless Autonomous Alignment
TESLA-SHADOW-1248,52.3,63.0,15.7,35.8,3.92,Seamless Autonomous Alignment
TESLA-SHADOW-1249,68.3,82.2,0.1,33.2,3.41,Shadow Disengagement Triggered
TESLA-SHADOW-1250,48.5,16.5,0.2,25.6,1.2,Seamless Autonomous Alignment
TESLA-SHADOW-1251,53.0,16.2,24.0,25.2,2.7,Seamless Autonomous Alignment
TESLA-SHADOW-1252,51.1,35.2,8.9,22.7,0.03,Seamless Autonomous Alignment
TESLA-SHADOW-1253,28.7,19.7,32.1,28.6,0.56,Seamless Autonomous Alignment
TESLA-SHADOW-1254,44.3,74.7,17.7,27.2,1.72,Seamless Autonomous Alignment
TESLA-SHADOW-1255,28.1,10.1,35.0,28.6,0.13,Seamless Autonomous Alignment
TESLA-SHADOW-1256,60.0,60.5,2.6,22.9,0.62,Seamless Autonomous Alignment
TESLA-SHADOW-1257,60.9,51.2,17.3,23.0,2.43,Seamless Autonomous Alignment
TESLA-SHADOW-1258,28.5,59.8,8.5,22.8,1.92,Seamless Autonomous Alignment
TESLA-SHADOW-1259,70.3,17.5,0.8,26.1,1.5,Seamless Autonomous Alignment
TESLA-SHADOW-1260,60.8,28.9,17.9,22.0,2.13,Seamless Autonomous Alignment
TESLA-SHADOW-1261,67.1,33.4,32.2,23.2,0.29,Seamless Autonomous Alignment
TESLA-SHADOW-1262,29.8,66.3,33.2,22.2,2.24,Seamless Autonomous Alignment
TESLA-SHADOW-1263,53.6,73.5,18.3,29.4,2.9,Seamless Autonomous Alignment
TESLA-SHADOW-1264,54.1,37.5,33.0,26.6,1.2,Seamless Autonomous Alignment
TESLA-SHADOW-1265,59.7,71.1,21.2,24.1,1.34,Seamless Autonomous Alignment
TESLA-SHADOW-1266,67.7,82.8,4.3,27.9,0.63,Seamless Autonomous Alignment
TESLA-SHADOW-1267,51.7,40.1,21.9,23.2,4.95,Shadow Disengagement Triggered
TESLA-SHADOW-1268,66.7,44.7,4.2,22.5,3.58,Seamless Autonomous Alignment
TESLA-SHADOW-1269,53.5,41.8,34.5,24.2,3.65,Seamless Autonomous Alignment
TESLA-SHADOW-1270,52.5,9.8,33.9,22.2,2.27,Seamless Autonomous Alignment
TESLA-SHADOW-1271,28.4,82.9,4.9,25.6,2.58,Seamless Autonomous Alignment
TESLA-SHADOW-1272,73.2,37.4,9.3,23.9,2.01,Seamless Autonomous Alignment
TESLA-SHADOW-1273,34.3,17.6,4.2,23.7,0.16,Seamless Autonomous Alignment
TESLA-SHADOW-1274,26.8,81.1,1.5,28.6,1.88,Seamless Autonomous Alignment
TESLA-SHADOW-1275,29.8,38.2,4.2,25.1,3.84,Seamless Autonomous Alignment
TESLA-SHADOW-1276,70.7,55.6,27.8,24.2,1.34,Seamless Autonomous Alignment
TESLA-SHADOW-1277,68.3,30.2,10.5,27.2,0.99,Seamless Autonomous Alignment
TESLA-SHADOW-1278,58.2,71.9,23.9,23.3,2.33,Seamless Autonomous Alignment
TESLA-SHADOW-1279,26.3,17.0,22.4,22.5,0.49,Seamless Autonomous Alignment
TESLA-SHADOW-1280,62.5,6.8,25.7,38.1,0.4,Seamless Autonomous Alignment
TESLA-SHADOW-1281,72.8,35.3,31.1,22.8,0.22,Seamless Autonomous Alignment
TESLA-SHADOW-1282,48.3,49.3,29.3,22.9,5.73,Shadow Disengagement Triggered
TESLA-SHADOW-1283,37.1,24.1,33.4,30.5,3.1,Seamless Autonomous Alignment
TESLA-SHADOW-1284,67.2,69.5,34.2,28.5,2.63,Seamless Autonomous Alignment
TESLA-SHADOW-1285,73.0,30.4,22.0,23.0,4.92,Shadow Disengagement Triggered
TESLA-SHADOW-1286,25.7,71.8,11.7,26.3,3.3,Seamless Autonomous Alignment
