Qilin_Cell_Cycle_ID,Charging_C_Rate,Heat_Dissipation_Rate_W,Max_Cell_Core_Temp_C,Anode_Overpotential_mV,Fast_Charging_State
CATL-CTP3-1017,1.88,6075,35.7,131.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1018,3.94,18362,44.2,92.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1019,2.47,9004,39.6,124.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1020,2.74,10078,39.8,111.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1021,3.21,13307,41.0,97.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1022,3.66,16353,44.4,97.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1023,3.03,12407,40.1,107.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1024,3.08,12589,42.8,99.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1025,4.05,18652,45.1,92.0,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1026,2.82,11257,41.4,107.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1027,3.03,11984,40.5,115.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1028,1.12,3164,32.7,144.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1029,3.4,13746,40.8,109.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1030,3.75,16257,44.1,102.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1031,2.55,9672,38.4,113.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1032,1.74,5394,35.4,127.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1033,2.61,9464,38.4,101.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1034,1.44,3722,34.6,147.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1035,1.55,4802,32.9,128.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1036,1.34,3525,35.1,137.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1037,1.78,5323,36.6,127.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1038,3.11,13473,42.2,100.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1039,2.92,11398,38.3,97.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1040,3.12,11956,39.4,104.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1041,3.95,18354,42.6,91.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1042,4.06,18868,45.2,88.5,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1043,3.64,15817,43.3,108.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1044,1.43,4519,34.3,139.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1045,3.46,15676,40.3,95.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1046,2.83,11061,38.7,115.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1047,3.38,14517,41.1,101.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1048,1.85,5601,35.2,126.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1049,3.84,16920,45.9,101.4,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1050,1.9,4872,34.5,122.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1051,1.81,5699,35.2,136.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1052,2.4,9033,37.7,122.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1053,3.32,13537,42.0,92.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1054,1.36,4028,32.4,136.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1055,1.18,3231,32.9,139.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1056,3.89,17283,44.4,89.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1057,3.03,12545,40.9,108.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1058,3.99,17768,44.0,93.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1059,3.91,17553,42.3,95.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1060,1.33,3495,34.0,125.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1061,3.37,14402,43.4,111.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1062,3.41,14613,40.9,94.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1063,2.1,6934,37.5,129.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1064,4.17,19321,45.8,83.1,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1065,2.89,11233,42.0,107.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1066,1.67,4971,35.2,127.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1067,3.5,15357,40.3,94.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1068,3.61,15929,41.3,92.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1069,3.21,13240,43.2,110.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1070,3.15,13188,40.3,105.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1071,3.56,15908,43.4,114.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1072,4.13,19571,45.4,86.0,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1073,2.1,6713,35.2,130.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1074,4.18,20204,47.2,89.2,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1075,2.12,7159,37.6,124.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1076,4.18,20177,45.2,92.5,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1077,2.85,11028,40.8,117.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1078,3.36,13904,42.4,94.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1079,3.31,14648,41.1,94.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1080,3.67,17276,42.3,86.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1081,2.63,9550,40.2,127.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1082,3.43,14936,42.6,104.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1083,1.75,5303,33.5,135.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1084,3.0,12321,40.6,109.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1085,4.08,19311,44.9,87.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1086,1.92,6052,33.7,119.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1087,1.11,2843,33.0,155.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1088,1.85,4784,36.4,127.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1089,4.0,18059,42.7,82.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1090,3.77,17237,44.2,86.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1091,2.73,10414,39.5,108.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1092,1.36,3702,33.9,124.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1093,3.91,18255,43.7,88.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1094,3.95,18225,45.7,83.5,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1095,3.49,15260,42.1,95.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1096,3.21,12384,40.2,118.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1097,1.75,5270,36.7,139.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1098,2.15,8416,37.4,120.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1099,3.34,13891,41.2,105.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1100,3.12,13002,41.6,105.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1101,3.65,16958,43.7,98.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1102,3.32,13134,42.0,101.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1103,3.19,12767,41.5,109.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1104,1.62,4979,35.7,134.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1105,4.19,20004,44.8,83.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1106,3.81,17578,44.5,103.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1107,4.18,19618,48.0,84.9,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1108,1.7,4315,32.6,120.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1109,3.23,13335,40.6,99.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1110,2.53,8559,37.9,106.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1111,1.9,6137,36.3,134.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1112,2.54,9183,38.1,110.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1113,3.84,17663,43.6,83.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1114,3.06,12459,39.4,94.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1115,1.51,3355,35.4,130.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1116,3.13,12094,39.3,113.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1117,1.12,2013,32.8,129.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1118,2.24,7299,37.2,130.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1119,1.43,2785,33.0,137.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1120,1.51,4683,34.6,132.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1121,1.92,5837,37.3,126.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1122,2.75,10434,40.2,121.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1123,2.67,10273,38.4,115.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1124,1.39,3244,33.2,147.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1125,3.92,17370,44.5,86.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1126,3.21,13589,39.6,100.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1127,2.26,8153,36.8,117.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1128,3.57,15378,41.8,105.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1129,4.15,19946,46.0,89.5,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1130,2.74,9925,40.6,117.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1131,2.19,7727,37.1,142.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1132,3.04,11896,41.7,104.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1133,2.85,10570,38.6,103.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1134,3.4,14404,41.4,110.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1135,4.12,18673,46.1,97.7,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1136,3.79,17402,44.1,102.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1137,2.15,7259,37.5,133.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1138,2.91,10672,40.6,105.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1139,2.06,7067,35.1,124.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1140,1.62,5022,32.9,128.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1141,3.54,16052,43.0,89.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1142,2.09,7349,37.0,124.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1143,2.94,11668,40.2,101.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1144,1.51,4192,34.2,131.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1145,2.4,8498,40.1,120.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1146,3.78,16713,42.2,86.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1147,3.07,12386,43.7,112.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1148,4.11,19390,46.6,81.0,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1149,1.54,4461,33.6,137.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1150,3.79,17202,44.6,96.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1151,1.5,4524,34.8,136.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1152,1.91,6564,35.4,120.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1153,3.96,19581,43.0,87.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1154,3.42,14022,42.8,101.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1155,2.81,11245,40.3,111.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1156,2.37,7859,37.8,124.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1157,2.59,9846,37.6,100.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1158,3.81,17126,43.9,97.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1159,2.73,10320,40.5,114.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1160,3.34,13381,41.0,110.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1161,1.17,2956,33.6,140.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1162,1.7,5209,33.9,128.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1163,4.16,19171,43.8,78.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1164,3.93,18215,44.0,88.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1165,3.55,15234,43.3,81.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1166,3.05,12099,40.8,107.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1167,3.47,15545,41.3,102.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1168,1.73,5231,34.0,137.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1169,3.66,15910,44.6,111.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1170,1.06,2469,32.5,155.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1171,2.58,9399,39.2,125.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1172,2.34,7674,37.1,130.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1173,1.84,6851,38.2,137.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1174,1.39,3264,32.4,126.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1175,2.97,10184,40.4,99.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1176,1.41,3152,33.5,129.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1177,2.65,10214,36.9,105.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1178,3.36,14011,43.8,96.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1179,2.29,7999,39.3,111.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1180,1.22,3585,33.7,138.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1181,3.04,11774,42.7,116.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1182,2.28,8274,37.0,118.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1183,3.45,14509,41.2,103.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1184,1.82,6005,35.8,120.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1185,2.91,11636,38.8,109.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1186,2.27,8298,35.9,118.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1187,2.03,6773,35.8,128.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1188,2.5,9630,38.8,120.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1189,1.28,3129,32.0,128.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1190,2.11,6559,38.6,121.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1191,1.63,4360,33.7,139.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1192,1.5,4491,35.9,141.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1193,2.92,11960,40.6,106.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1194,3.18,12681,41.9,108.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1195,2.56,8942,38.3,109.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1196,2.17,7690,37.7,115.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1197,1.09,3125,32.9,145.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1198,3.85,17309,41.4,89.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1199,1.26,2707,32.6,136.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1200,2.55,8920,37.0,106.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1201,3.69,15434,42.6,93.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1202,2.36,8300,39.8,119.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1203,1.85,5613,35.0,123.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1204,1.29,3655,31.8,141.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1205,2.87,10649,39.0,106.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1206,2.59,9606,38.2,115.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1207,2.76,10400,39.0,115.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1208,2.39,9591,37.4,122.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1209,2.07,6950,35.0,123.6,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1210,2.35,8227,38.1,124.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1211,4.16,19540,45.8,88.8,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1212,3.0,11753,39.8,110.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1213,3.2,13061,40.8,105.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1214,3.08,12753,39.0,108.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1215,2.64,9648,38.4,112.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1216,2.42,8638,39.0,132.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1217,1.59,4958,33.8,141.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1218,2.22,6693,36.1,119.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1219,2.93,11574,40.8,113.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1220,2.14,6604,34.5,115.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1221,2.81,11192,39.7,104.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1222,3.59,16099,42.8,86.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1223,1.62,4593,32.1,131.2,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1224,1.62,4599,33.7,134.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1225,1.91,5291,36.4,136.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1226,3.71,16282,43.8,92.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1227,4.19,20084,45.0,89.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1228,1.78,5061,35.9,120.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1229,4.02,18744,43.6,91.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1230,1.13,1245,34.9,148.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1231,3.83,17678,42.4,106.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1232,2.42,9737,38.2,116.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1233,3.18,12965,41.9,112.9,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1234,1.04,1811,34.0,141.5,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1235,2.67,10074,38.1,119.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1236,1.95,6107,34.6,126.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1237,3.94,19048,44.4,97.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1238,3.39,14211,40.6,93.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1239,3.91,18123,42.8,92.1,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1240,3.76,15902,45.3,96.3,Lithium Plating Guard Active / Current Derate
CATL-CTP3-1241,2.19,6385,36.1,124.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1242,2.99,12257,39.2,111.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1243,1.2,4505,33.7,146.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1244,3.72,17134,43.3,88.8,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1245,1.47,4411,33.0,130.4,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1246,3.32,12859,41.1,107.0,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1247,3.72,15901,43.3,92.3,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
CATL-CTP3-1248,2.84,10831,41.3,107.7,Safe 4C Ultra-Fast Charge (10-Min 10-80%)
