IMU_Sample_ID,Motorcycle_Lean_Angle_deg,Throttle_Opening_pct,IMU_Pitch_Wheelie_deg,Rear_Wheel_Slip_Ratio_pct,Slide_Control_State
DUCATI-GP-1183,46.8,67.3,4.5,8.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1184,48.1,65.5,5.3,8.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1185,58.9,40.3,4.0,6.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1186,45.3,25.7,2.0,3.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1187,16.0,52.6,1.0,2.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1188,39.8,94.1,4.5,10.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1189,21.7,96.2,1.7,6.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1190,42.9,79.9,2.2,9.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1191,17.0,72.9,7.0,4.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1192,52.5,56.1,2.5,7.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1193,44.4,46.6,4.2,5.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1194,24.4,52.4,0.7,4.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1195,55.2,30.2,3.0,4.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1196,28.7,53.9,0.6,5.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1197,53.2,42.9,-0.6,5.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1198,59.0,73.9,5.6,12.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1199,42.3,20.1,-0.0,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1200,25.3,90.4,-2.6,6.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1201,21.8,33.2,1.3,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1202,40.2,26.9,5.3,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1203,47.1,37.3,2.6,3.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1204,30.0,64.3,2.5,4.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1205,25.7,44.0,1.2,4.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1206,51.1,34.7,2.0,2.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1207,44.8,80.8,4.0,11.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1208,41.3,57.5,3.6,7.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1209,36.0,23.7,3.8,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1210,36.9,53.5,-1.6,5.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1211,21.9,33.3,2.0,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1212,50.0,98.6,3.4,14.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1213,26.6,58.7,3.3,5.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1214,53.6,66.8,3.7,11.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1215,53.5,99.3,3.1,14.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1216,35.1,59.7,1.9,7.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1217,28.2,91.8,3.8,6.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1218,53.4,64.8,2.6,7.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1219,55.2,54.4,1.4,4.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1220,51.9,88.0,1.3,10.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1221,31.2,85.2,2.5,9.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1222,29.8,77.3,-0.6,6.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1223,61.1,24.1,1.2,3.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1224,37.2,88.9,1.9,10.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1225,61.4,77.4,2.6,13.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1226,45.4,95.0,6.2,11.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1227,46.8,72.6,-3.1,9.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1228,36.2,58.2,5.7,5.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1229,57.3,26.4,7.1,3.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1230,58.3,78.4,6.9,12.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1231,59.0,65.5,-0.6,11.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1232,28.0,23.9,4.7,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1233,45.8,64.3,0.7,9.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1234,30.0,58.3,2.5,5.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1235,18.7,53.0,0.9,2.3,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1236,34.9,75.0,2.0,5.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1237,62.3,88.0,1.6,14.7,Highside Risk / Instant Torque Cut
DUCATI-GP-1238,17.3,34.3,1.8,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1239,29.3,43.9,1.1,4.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1240,48.5,27.2,6.3,4.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1241,27.0,75.6,4.1,6.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1242,15.0,51.9,0.7,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1243,19.0,72.4,4.4,3.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1244,62.7,67.4,0.5,10.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1245,16.6,97.9,3.9,4.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1246,35.9,49.5,1.4,5.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1247,22.0,48.4,1.8,3.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1248,63.8,42.2,4.0,8.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1249,47.3,67.3,1.0,8.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1250,40.5,77.3,3.0,7.7,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1251,32.9,86.5,1.8,8.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1252,30.4,71.4,2.6,7.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1253,35.0,34.5,3.0,2.4,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1254,23.7,72.5,3.5,2.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1255,17.2,68.7,-0.6,4.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1256,59.2,58.2,4.9,8.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1257,43.1,97.0,4.5,10.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1258,35.0,63.3,2.6,7.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1259,45.0,79.5,4.0,10.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1260,59.5,43.9,0.2,6.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1261,28.0,66.9,5.4,6.8,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1262,25.7,38.2,6.0,2.9,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1263,62.7,92.8,1.1,16.5,Highside Risk / Instant Torque Cut
DUCATI-GP-1264,15.3,35.2,2.8,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1265,59.7,51.5,2.5,8.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1266,60.2,64.9,2.5,10.2,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1267,51.7,97.4,3.4,15.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1268,40.6,51.9,4.7,4.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1269,24.0,20.1,-0.1,2.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1270,61.7,65.7,4.0,9.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1271,42.4,93.2,2.3,11.6,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1272,49.1,69.8,1.1,8.1,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1273,20.0,72.9,1.3,4.5,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1274,22.3,52.0,2.3,3.0,Ducati Slide Control (DSC) Optimal Drift
DUCATI-GP-1275,49.1,27.2,0.3,5.0,Ducati Slide Control (DSC) Optimal Drift
