Inspection_ID,Vehicle_Zone,Defect_Type,Camera_Confidence,Box_Accuracy,Line_Speed_m_min
INSP-20157,Quarter Panel Right,No Defect (Pass),0.977,0.0,4.28
INSP-20158,Roof Pillar,No Defect (Pass),0.976,0.0,4.52
INSP-20159,Hood,No Defect (Pass),0.873,0.0,4.46
INSP-20160,Door Left Front,No Defect (Pass),0.834,0.0,4.55
INSP-20161,Quarter Panel Right,No Defect (Pass),0.525,0.0,4.8
INSP-20162,Roof Pillar,No Defect (Pass),0.962,0.0,4.39
INSP-20163,Quarter Panel Right,No Defect (Pass),0.989,0.0,4.19
INSP-20164,Roof Pillar,No Defect (Pass),0.975,0.0,4.48
INSP-20165,Quarter Panel Right,No Defect (Pass),0.914,0.0,4.32
INSP-20166,Trunk Lid,No Defect (Pass),0.899,0.0,4.39
INSP-20167,Door Left Front,No Defect (Pass),0.899,0.0,4.56
INSP-20168,Door Left Front,No Defect (Pass),0.928,0.0,4.26
INSP-20169,Door Left Front,No Defect (Pass),0.816,0.0,4.09
INSP-20170,Hood,Paint Scratch / Blemish,0.885,0.67,3.86
INSP-20171,Trunk Lid,No Defect (Pass),0.926,0.0,4.27
INSP-20172,Quarter Panel Right,No Defect (Pass),0.804,0.0,3.97
INSP-20173,Trunk Lid,No Defect (Pass),0.898,0.0,4.24
INSP-20174,Quarter Panel Right,No Defect (Pass),0.999,0.0,4.54
INSP-20175,Door Left Front,No Defect (Pass),0.922,0.0,4.0
INSP-20176,Quarter Panel Right,No Defect (Pass),0.754,0.0,4.07
INSP-20177,Roof Pillar,Panel Gap Misalignment,0.836,0.93,4.24
INSP-20178,Door Left Front,No Defect (Pass),0.832,0.0,3.81
INSP-20179,Hood,No Defect (Pass),0.868,0.0,4.28
INSP-20180,Roof Pillar,No Defect (Pass),0.962,0.0,4.66
INSP-20181,Hood,No Defect (Pass),0.981,0.0,4.25
INSP-20182,Roof Pillar,No Defect (Pass),0.907,0.0,4.04
INSP-20183,Hood,No Defect (Pass),0.93,0.0,4.35
INSP-20184,Trunk Lid,No Defect (Pass),0.889,0.0,4.65
INSP-20185,Hood,No Defect (Pass),0.963,0.0,4.66
INSP-20186,Hood,No Defect (Pass),0.802,0.0,3.89
INSP-20187,Quarter Panel Right,No Defect (Pass),0.928,0.0,4.36
INSP-20188,Door Left Front,No Defect (Pass),0.956,0.0,4.31
INSP-20189,Quarter Panel Right,Paint Scratch / Blemish,0.885,0.72,3.85
INSP-20190,Quarter Panel Right,Welding Porosity,0.94,0.8,4.04
INSP-20191,Door Left Front,Welding Porosity,0.892,0.68,4.29
INSP-20192,Quarter Panel Right,Paint Scratch / Blemish,0.766,0.83,4.19
INSP-20193,Quarter Panel Right,Panel Gap Misalignment,0.933,0.71,4.51
INSP-20194,Quarter Panel Right,No Defect (Pass),0.93,0.0,3.85
INSP-20195,Trunk Lid,No Defect (Pass),0.987,0.0,4.57
INSP-20196,Trunk Lid,No Defect (Pass),0.992,0.0,4.79
INSP-20197,Trunk Lid,No Defect (Pass),0.912,0.0,4.38
INSP-20198,Door Left Front,No Defect (Pass),0.932,0.0,4.36
INSP-20199,Quarter Panel Right,No Defect (Pass),0.861,0.0,3.72
INSP-20200,Quarter Panel Right,Paint Scratch / Blemish,0.654,0.9,3.81
INSP-20201,Quarter Panel Right,No Defect (Pass),0.978,0.0,4.43
INSP-20202,Hood,No Defect (Pass),0.937,0.0,3.99
INSP-20203,Hood,No Defect (Pass),0.807,0.0,4.86
INSP-20204,Roof Pillar,Welding Porosity,0.749,0.75,3.87
INSP-20205,Door Left Front,No Defect (Pass),0.851,0.0,4.36
INSP-20206,Door Left Front,No Defect (Pass),0.972,0.0,4.51
INSP-20207,Hood,No Defect (Pass),0.943,0.0,3.94
INSP-20208,Roof Pillar,No Defect (Pass),0.934,0.0,4.63
INSP-20209,Quarter Panel Right,No Defect (Pass),0.963,0.0,4.46
INSP-20210,Hood,No Defect (Pass),0.831,0.0,4.56
INSP-20211,Hood,Panel Gap Misalignment,0.806,0.73,4.02
INSP-20212,Roof Pillar,No Defect (Pass),0.775,0.0,4.41
INSP-20213,Roof Pillar,No Defect (Pass),0.988,0.0,3.64
INSP-20214,Hood,No Defect (Pass),0.923,0.0,4.15
INSP-20215,Trunk Lid,No Defect (Pass),0.946,0.0,4.49
INSP-20216,Roof Pillar,No Defect (Pass),0.785,0.0,4.17
INSP-20217,Hood,No Defect (Pass),0.954,0.0,4.33
INSP-20218,Roof Pillar,No Defect (Pass),0.836,0.0,4.85
INSP-20219,Trunk Lid,No Defect (Pass),0.936,0.0,4.43
INSP-20220,Hood,No Defect (Pass),0.867,0.0,4.6
INSP-20221,Trunk Lid,No Defect (Pass),0.895,0.0,4.33
INSP-20222,Roof Pillar,No Defect (Pass),0.91,0.0,3.96
INSP-20223,Quarter Panel Right,No Defect (Pass),0.977,0.0,4.2
INSP-20224,Trunk Lid,No Defect (Pass),0.983,0.0,3.92
INSP-20225,Trunk Lid,No Defect (Pass),1.0,0.0,4.31
INSP-20226,Door Left Front,Paint Scratch / Blemish,0.798,0.84,4.4
INSP-20227,Door Left Front,No Defect (Pass),0.945,0.0,4.22
INSP-20228,Door Left Front,No Defect (Pass),0.654,0.0,3.51
INSP-20229,Door Left Front,No Defect (Pass),0.991,0.0,3.72
INSP-20230,Roof Pillar,No Defect (Pass),0.931,0.0,3.82
INSP-20231,Door Left Front,Paint Scratch / Blemish,0.712,0.73,4.37
INSP-20232,Quarter Panel Right,No Defect (Pass),0.994,0.0,4.77
INSP-20233,Door Left Front,Paint Scratch / Blemish,0.86,0.85,3.82
INSP-20234,Door Left Front,No Defect (Pass),0.752,0.0,4.2
INSP-20235,Roof Pillar,Paint Scratch / Blemish,0.855,0.73,4.75
INSP-20236,Trunk Lid,No Defect (Pass),0.957,0.0,4.16
INSP-20237,Trunk Lid,No Defect (Pass),0.818,0.0,3.56
INSP-20238,Roof Pillar,No Defect (Pass),0.861,0.0,3.9
INSP-20239,Trunk Lid,No Defect (Pass),0.952,0.0,4.48
INSP-20240,Quarter Panel Right,No Defect (Pass),0.894,0.0,3.69
INSP-20241,Door Left Front,No Defect (Pass),0.939,0.0,4.22
INSP-20242,Roof Pillar,No Defect (Pass),0.949,0.0,4.45
INSP-20243,Hood,No Defect (Pass),0.985,0.0,4.18
INSP-20244,Roof Pillar,No Defect (Pass),0.867,0.0,3.97
INSP-20245,Hood,No Defect (Pass),0.829,0.0,3.72
INSP-20246,Quarter Panel Right,No Defect (Pass),0.966,0.0,4.56
INSP-20247,Quarter Panel Right,No Defect (Pass),0.931,0.0,4.73
INSP-20248,Hood,No Defect (Pass),0.87,0.0,4.77
INSP-20249,Trunk Lid,No Defect (Pass),0.966,0.0,4.19
INSP-20250,Door Left Front,No Defect (Pass),0.959,0.0,3.81
INSP-20251,Roof Pillar,No Defect (Pass),0.925,0.0,4.32
INSP-20252,Trunk Lid,No Defect (Pass),0.994,0.0,3.97
INSP-20253,Hood,No Defect (Pass),0.843,0.0,4.05
INSP-20254,Roof Pillar,No Defect (Pass),0.911,0.0,4.35
INSP-20255,Quarter Panel Right,No Defect (Pass),0.984,0.0,4.52
INSP-20256,Trunk Lid,Paint Scratch / Blemish,0.929,0.68,3.88
INSP-20257,Roof Pillar,No Defect (Pass),0.893,0.0,4.5
INSP-20258,Roof Pillar,No Defect (Pass),0.927,0.0,3.85
INSP-20259,Door Left Front,No Defect (Pass),0.955,0.0,4.83
INSP-20260,Door Left Front,No Defect (Pass),0.916,0.0,3.6
INSP-20261,Door Left Front,No Defect (Pass),0.981,0.0,4.26
INSP-20262,Trunk Lid,No Defect (Pass),0.976,0.0,3.94
INSP-20263,Trunk Lid,No Defect (Pass),0.883,0.0,4.21
INSP-20264,Door Left Front,No Defect (Pass),0.939,0.0,4.33
INSP-20265,Hood,No Defect (Pass),0.919,0.0,4.08
INSP-20266,Quarter Panel Right,No Defect (Pass),0.99,0.0,4.32
INSP-20267,Trunk Lid,No Defect (Pass),0.994,0.0,4.42
INSP-20268,Hood,No Defect (Pass),0.801,0.0,4.13
INSP-20269,Quarter Panel Right,Panel Gap Misalignment,0.829,0.75,4.35
INSP-20270,Quarter Panel Right,Panel Gap Misalignment,0.914,0.87,3.84
INSP-20271,Roof Pillar,No Defect (Pass),0.912,0.0,4.64
INSP-20272,Hood,Paint Scratch / Blemish,0.929,0.93,4.28
INSP-20273,Door Left Front,No Defect (Pass),0.993,0.0,4.62
INSP-20274,Roof Pillar,No Defect (Pass),0.853,0.0,4.54
INSP-20275,Quarter Panel Right,No Defect (Pass),0.906,0.0,4.94
INSP-20276,Trunk Lid,No Defect (Pass),0.988,0.0,3.72
INSP-20277,Quarter Panel Right,No Defect (Pass),0.915,0.0,4.26
INSP-20278,Trunk Lid,No Defect (Pass),0.931,0.0,4.01
INSP-20279,Hood,No Defect (Pass),0.799,0.0,4.57
INSP-20280,Quarter Panel Right,No Defect (Pass),0.948,0.0,4.33
INSP-20281,Hood,Panel Gap Misalignment,0.783,0.89,4.48
INSP-20282,Quarter Panel Right,No Defect (Pass),0.99,0.0,4.61
INSP-20283,Door Left Front,No Defect (Pass),0.986,0.0,4.4
INSP-20284,Hood,No Defect (Pass),0.995,0.0,4.08
INSP-20285,Door Left Front,No Defect (Pass),1.0,0.0,4.06
INSP-20286,Roof Pillar,No Defect (Pass),0.962,0.0,5.3
INSP-20287,Trunk Lid,No Defect (Pass),0.897,0.0,3.79
INSP-20288,Trunk Lid,No Defect (Pass),0.995,0.0,4.1
INSP-20289,Hood,No Defect (Pass),0.991,0.0,4.06
INSP-20290,Roof Pillar,No Defect (Pass),0.672,0.0,4.28
INSP-20291,Roof Pillar,No Defect (Pass),0.822,0.0,3.71
INSP-20292,Quarter Panel Right,No Defect (Pass),0.972,0.0,4.0
INSP-20293,Hood,No Defect (Pass),0.946,0.0,4.23
INSP-20294,Roof Pillar,No Defect (Pass),1.0,0.0,4.57
INSP-20295,Hood,No Defect (Pass),0.87,0.0,3.92
INSP-20296,Quarter Panel Right,No Defect (Pass),0.964,0.0,4.47
INSP-20297,Trunk Lid,No Defect (Pass),0.84,0.0,4.17
INSP-20298,Hood,No Defect (Pass),0.962,0.0,4.41
INSP-20299,Hood,No Defect (Pass),0.982,0.0,4.32
INSP-20300,Door Left Front,No Defect (Pass),0.954,0.0,4.01
INSP-20301,Hood,No Defect (Pass),0.938,0.0,4.14
INSP-20302,Door Left Front,No Defect (Pass),0.82,0.0,4.25
INSP-20303,Roof Pillar,No Defect (Pass),0.996,0.0,4.42
INSP-20304,Hood,No Defect (Pass),0.976,0.0,4.34
INSP-20305,Roof Pillar,No Defect (Pass),0.985,0.0,4.2
INSP-20306,Hood,No Defect (Pass),0.995,0.0,4.5
INSP-20307,Hood,Welding Porosity,0.635,0.95,4.36
INSP-20308,Quarter Panel Right,No Defect (Pass),0.929,0.0,4.4
INSP-20309,Hood,No Defect (Pass),0.918,0.0,4.84
INSP-20310,Quarter Panel Right,Clear-coat Orange Peel,0.641,0.75,4.08
INSP-20311,Roof Pillar,Panel Gap Misalignment,0.928,0.81,4.37
INSP-20312,Trunk Lid,No Defect (Pass),0.971,0.0,4.64
INSP-20313,Quarter Panel Right,No Defect (Pass),0.956,0.0,4.25
INSP-20314,Trunk Lid,No Defect (Pass),0.647,0.0,4.46
INSP-20315,Hood,No Defect (Pass),0.952,0.0,4.41
INSP-20316,Quarter Panel Right,No Defect (Pass),0.97,0.0,4.4
INSP-20317,Quarter Panel Right,No Defect (Pass),0.988,0.0,4.68
INSP-20318,Quarter Panel Right,No Defect (Pass),0.946,0.0,4.24
INSP-20319,Roof Pillar,No Defect (Pass),0.615,0.0,4.11
INSP-20320,Quarter Panel Right,No Defect (Pass),0.996,0.0,4.35
INSP-20321,Hood,Clear-coat Orange Peel,0.823,0.93,4.36
INSP-20322,Door Left Front,No Defect (Pass),0.753,0.0,3.88
INSP-20323,Trunk Lid,Welding Porosity,0.899,0.8,4.26
INSP-20324,Trunk Lid,No Defect (Pass),0.975,0.0,4.33
INSP-20325,Roof Pillar,Panel Gap Misalignment,0.785,0.78,4.32
INSP-20326,Quarter Panel Right,Panel Gap Misalignment,0.908,0.81,4.31
INSP-20327,Trunk Lid,No Defect (Pass),0.986,0.0,4.09
INSP-20328,Quarter Panel Right,Panel Gap Misalignment,0.635,0.86,4.22
INSP-20329,Quarter Panel Right,Clear-coat Orange Peel,0.827,0.72,4.24
INSP-20330,Door Left Front,No Defect (Pass),0.781,0.0,4.29
INSP-20331,Trunk Lid,No Defect (Pass),0.955,0.0,4.01
INSP-20332,Roof Pillar,No Defect (Pass),0.924,0.0,4.56
INSP-20333,Door Left Front,No Defect (Pass),0.816,0.0,4.2
INSP-20334,Door Left Front,No Defect (Pass),0.723,0.0,3.79
INSP-20335,Roof Pillar,No Defect (Pass),0.955,0.0,3.86
INSP-20336,Door Left Front,No Defect (Pass),0.973,0.0,4.29
INSP-20337,Roof Pillar,Welding Porosity,0.665,0.9,4.17
INSP-20338,Roof Pillar,No Defect (Pass),0.841,0.0,3.92
INSP-20339,Hood,No Defect (Pass),0.891,0.0,3.87
INSP-20340,Door Left Front,No Defect (Pass),0.907,0.0,4.21
INSP-20341,Hood,No Defect (Pass),0.894,0.0,4.36
INSP-20342,Door Left Front,No Defect (Pass),0.942,0.0,4.32
INSP-20343,Roof Pillar,No Defect (Pass),0.905,0.0,4.05
INSP-20344,Hood,No Defect (Pass),0.913,0.0,3.91
INSP-20345,Trunk Lid,Clear-coat Orange Peel,0.734,0.9,4.51
INSP-20346,Door Left Front,No Defect (Pass),1.0,0.0,3.87
INSP-20347,Quarter Panel Right,No Defect (Pass),0.928,0.0,4.47
INSP-20348,Hood,No Defect (Pass),0.98,0.0,4.05
INSP-20349,Door Left Front,No Defect (Pass),0.929,0.0,4.81
INSP-20350,Quarter Panel Right,No Defect (Pass),0.989,0.0,4.36
INSP-20351,Quarter Panel Right,No Defect (Pass),0.772,0.0,3.62
INSP-20352,Roof Pillar,No Defect (Pass),0.978,0.0,4.47
INSP-20353,Door Left Front,No Defect (Pass),0.998,0.0,4.42
INSP-20354,Quarter Panel Right,No Defect (Pass),0.954,0.0,4.64
INSP-20355,Trunk Lid,No Defect (Pass),0.94,0.0,4.24
INSP-20356,Hood,Clear-coat Orange Peel,0.904,0.81,3.99
INSP-20357,Roof Pillar,No Defect (Pass),0.857,0.0,3.95
INSP-20358,Roof Pillar,No Defect (Pass),0.952,0.0,3.45
INSP-20359,Hood,No Defect (Pass),0.954,0.0,4.16
INSP-20360,Trunk Lid,No Defect (Pass),0.833,0.0,3.63
INSP-20361,Roof Pillar,No Defect (Pass),0.826,0.0,4.08
INSP-20362,Quarter Panel Right,No Defect (Pass),0.927,0.0,4.21
INSP-20363,Trunk Lid,No Defect (Pass),0.849,0.0,4.6
INSP-20364,Door Left Front,No Defect (Pass),0.85,0.0,3.83
INSP-20365,Roof Pillar,No Defect (Pass),0.731,0.0,3.86
INSP-20366,Roof Pillar,No Defect (Pass),0.879,0.0,4.07
INSP-20367,Hood,No Defect (Pass),0.893,0.0,4.47
INSP-20368,Hood,Paint Scratch / Blemish,0.813,0.75,4.27
INSP-20369,Quarter Panel Right,No Defect (Pass),0.804,0.0,4.03
INSP-20370,Door Left Front,No Defect (Pass),0.731,0.0,3.77
INSP-20371,Door Left Front,No Defect (Pass),0.947,0.0,4.28
INSP-20372,Trunk Lid,No Defect (Pass),0.95,0.0,4.15
INSP-20373,Quarter Panel Right,Panel Gap Misalignment,0.87,0.74,3.92
INSP-20374,Quarter Panel Right,No Defect (Pass),0.909,0.0,4.52
INSP-20375,Roof Pillar,No Defect (Pass),0.785,0.0,4.06
INSP-20376,Door Left Front,No Defect (Pass),0.877,0.0,4.11
INSP-20377,Roof Pillar,No Defect (Pass),0.907,0.0,4.15
INSP-20378,Quarter Panel Right,No Defect (Pass),0.784,0.0,4.34
INSP-20379,Door Left Front,No Defect (Pass),0.873,0.0,4.42
INSP-20380,Trunk Lid,No Defect (Pass),0.91,0.0,4.27
INSP-20381,Quarter Panel Right,No Defect (Pass),0.572,0.0,4.74
INSP-20382,Trunk Lid,No Defect (Pass),0.986,0.0,3.97
INSP-20383,Trunk Lid,No Defect (Pass),0.4,0.0,4.25
INSP-20384,Quarter Panel Right,No Defect (Pass),0.976,0.0,4.15
INSP-20385,Door Left Front,No Defect (Pass),0.987,0.0,3.91
INSP-20386,Door Left Front,No Defect (Pass),0.944,0.0,4.49
