Sensor_Pulse_ID,Tire_Slip_Angle_deg,In_Tread_Piezo_Accel_G,Estimated_Road_Friction_Mu,Contact_Patch_Length_mm,Tire_Grip_Status
PIRELLI-CYBER-1074,4.21,301.4,0.98,171.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1075,3.88,327.6,0.95,167.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1076,8.72,521.0,0.61,138.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1077,0.68,146.9,1.11,177.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1078,2.77,239.3,1.02,170.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1079,1.69,206.4,1.12,176.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1080,7.75,480.6,0.78,143.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1081,3.12,281.3,0.98,165.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1082,1.08,159.5,1.07,182.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1083,7.35,454.9,0.79,148.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1084,7.48,443.6,0.76,155.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1085,5.02,321.6,0.88,162.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1086,5.5,345.9,0.91,154.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1087,6.26,409.3,0.78,148.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1088,4.61,304.4,0.97,162.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1089,5.59,371.7,0.82,150.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1090,8.7,508.0,0.76,140.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1091,6.08,383.9,0.88,153.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1092,2.58,218.6,1.04,172.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1093,6.8,426.3,0.78,151.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1094,6.76,435.8,0.77,147.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1095,4.32,314.5,0.91,163.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1096,7.49,473.7,0.83,140.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1097,0.94,173.6,1.11,173.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1098,1.14,168.0,1.08,178.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1099,0.85,171.6,1.13,180.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1100,5.08,344.8,0.89,154.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1101,1.89,208.5,1.01,177.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1102,7.22,468.8,0.72,151.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1103,4.53,307.8,0.89,160.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1104,3.23,245.2,1.03,174.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1105,2.9,247.1,1.0,175.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1106,5.26,356.5,0.85,156.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1107,3.4,264.9,1.03,167.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1108,0.78,153.1,1.11,184.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1109,7.41,463.6,0.73,147.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1110,6.52,409.8,0.82,154.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1111,8.6,520.3,0.69,140.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1112,3.66,309.9,1.0,166.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1113,7.05,434.1,0.81,151.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1114,4.42,309.7,0.9,158.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1115,7.19,469.7,0.78,145.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1116,3.4,269.4,0.93,167.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1117,6.19,398.9,0.88,158.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1118,8.09,497.4,0.8,144.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1119,4.12,295.7,0.96,163.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1120,5.92,377.5,0.83,159.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1121,8.55,492.7,0.8,140.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1122,1.15,182.5,1.11,181.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1123,7.76,459.4,0.83,140.4,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1124,7.9,464.6,0.84,146.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1125,5.44,393.7,0.94,155.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1126,5.22,361.2,0.86,156.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1127,4.16,304.2,0.96,166.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1128,6.53,420.0,0.79,152.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1129,1.63,173.1,1.06,175.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1130,3.79,280.5,1.02,163.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1131,6.09,405.8,0.78,153.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1132,2.85,258.5,0.96,169.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1133,1.32,169.0,1.05,182.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1134,6.09,389.0,0.81,155.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1135,5.27,385.3,0.87,160.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1136,5.41,358.4,0.85,155.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1137,5.32,336.9,0.85,160.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1138,6.77,408.2,0.82,145.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1139,2.75,232.6,1.02,172.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1140,7.22,413.8,0.8,146.4,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1141,2.12,231.3,1.13,169.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1142,7.87,479.7,0.77,146.2,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1143,6.41,398.6,0.87,153.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1144,1.16,173.6,1.1,180.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1145,4.01,293.3,0.95,163.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1146,4.1,290.7,0.92,164.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1147,7.34,441.9,0.79,146.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1148,6.9,443.5,0.81,149.4,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1149,7.97,484.7,0.73,143.4,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1150,4.96,326.4,1.02,163.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1151,7.13,416.8,0.77,144.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1152,7.46,480.6,0.82,149.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1153,1.74,232.2,1.07,177.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1154,2.88,268.0,0.95,165.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1155,5.16,353.5,0.95,155.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1156,5.07,344.0,0.89,154.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1157,2.4,211.2,0.99,169.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1158,2.94,251.3,0.96,172.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1159,1.01,142.3,1.15,173.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1160,2.5,237.5,1.02,170.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1161,3.36,290.3,1.01,168.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1162,6.68,398.7,0.77,150.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1163,3.5,268.3,0.96,166.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1164,5.73,366.8,0.88,155.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1165,2.78,268.4,1.09,175.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1166,4.62,340.1,0.99,162.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1167,8.61,507.8,0.75,133.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1168,7.35,453.9,0.73,148.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1169,2.6,220.1,1.01,170.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1170,5.28,361.3,0.98,155.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1171,3.72,286.6,0.92,171.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1172,4.68,328.2,0.86,164.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1173,7.95,467.8,0.77,141.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1174,1.61,202.3,1.1,172.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1175,5.98,363.0,0.81,154.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1176,7.85,481.4,0.72,149.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1177,8.33,509.7,0.73,141.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1178,2.33,230.1,1.11,172.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1179,2.43,222.1,1.06,172.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1180,0.88,135.2,1.13,185.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1181,6.27,401.4,0.87,151.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1182,7.19,457.9,0.83,145.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1183,8.88,506.0,0.59,141.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1184,6.88,442.0,0.8,148.4,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1185,5.81,376.1,0.93,158.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1186,1.13,156.0,1.14,176.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1187,5.03,378.0,0.96,153.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1188,5.34,360.9,0.85,158.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1189,4.59,311.8,1.01,157.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1190,3.55,321.4,0.99,172.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1191,6.45,389.8,0.73,151.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1192,3.79,303.6,0.94,166.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1193,7.74,451.5,0.76,143.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1194,0.94,149.1,1.1,183.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1195,5.47,368.5,0.85,155.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1196,0.8,173.1,1.09,178.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1197,3.85,269.9,1.01,165.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1198,1.49,183.2,1.1,174.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1199,8.03,475.6,0.71,143.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1200,7.07,440.9,0.8,150.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1201,2.89,243.8,0.97,167.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1202,1.47,202.3,1.04,177.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1203,6.63,430.0,0.83,149.4,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1204,3.02,242.6,0.91,168.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1205,0.66,159.3,1.11,181.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1206,7.09,444.4,0.82,146.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1207,3.66,287.3,0.96,167.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1208,5.62,365.0,0.86,155.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1209,6.28,390.3,0.83,154.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1210,3.2,289.6,1.01,169.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1211,5.35,369.1,0.9,161.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1212,3.27,239.2,1.0,170.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1213,1.73,185.3,1.15,172.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1214,7.47,422.4,0.79,144.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1215,6.83,427.3,0.77,146.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1216,1.0,177.2,1.06,185.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1217,1.24,179.3,1.03,180.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1218,4.22,305.6,0.87,162.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1219,1.77,210.2,1.09,175.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1220,5.83,386.3,0.86,151.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1221,1.05,143.0,1.08,180.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1222,5.6,394.0,0.96,159.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1223,7.91,468.3,0.77,141.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1224,3.29,285.3,0.97,173.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1225,6.94,449.9,0.79,151.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1226,4.75,345.7,0.95,164.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1227,4.32,327.7,0.95,163.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1228,2.93,267.7,0.97,168.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1229,9.0,540.5,0.67,133.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1230,0.79,171.4,1.19,185.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1231,0.5,157.6,1.11,178.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1232,4.19,328.6,0.94,166.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1233,5.6,371.0,0.84,153.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1234,1.64,184.6,1.03,182.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1235,2.52,238.9,1.04,170.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1236,4.59,288.1,0.91,157.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1237,4.41,325.1,0.87,162.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1238,6.53,406.7,0.77,150.8,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1239,5.99,398.7,0.83,153.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1240,0.63,153.4,1.11,182.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1241,1.87,195.5,1.03,175.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1242,5.9,367.3,0.9,156.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1243,7.49,461.2,0.75,142.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1244,5.98,407.3,0.84,158.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1245,6.54,422.9,0.82,154.5,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1246,5.76,423.1,0.88,156.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1247,0.51,156.6,1.14,180.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1248,1.38,221.4,1.05,173.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1249,5.93,392.5,0.91,146.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1250,4.07,276.0,0.93,162.2,Optimal Elastic Grip Domain
PIRELLI-CYBER-1251,4.18,295.3,0.98,168.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1252,0.76,165.2,1.04,180.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1253,6.85,430.7,0.84,149.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1254,0.62,131.2,1.14,182.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1255,5.39,363.7,0.91,155.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1256,3.58,295.1,0.99,164.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1257,7.57,465.1,0.81,149.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1258,4.16,286.5,0.92,162.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1259,7.16,440.5,0.8,149.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1260,6.59,420.9,0.77,147.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1261,5.0,334.9,0.9,155.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1262,7.03,448.9,0.78,149.3,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1263,4.51,336.4,0.92,164.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1264,6.88,419.5,0.85,141.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1265,5.1,344.5,0.87,159.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1266,1.64,183.5,1.08,177.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1267,3.06,265.3,1.03,169.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1268,7.72,457.5,0.84,149.4,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1269,0.94,174.3,1.08,180.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1270,5.84,352.7,0.9,153.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1271,0.77,183.2,1.11,181.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1272,8.73,503.3,0.67,137.1,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1273,8.99,510.6,0.71,137.7,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1274,3.71,261.3,0.93,164.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1275,0.57,150.6,1.11,180.4,Optimal Elastic Grip Domain
PIRELLI-CYBER-1276,7.9,480.1,0.76,146.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1277,8.72,517.4,0.71,138.0,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1278,4.29,342.4,1.0,169.9,Optimal Elastic Grip Domain
PIRELLI-CYBER-1279,5.3,349.1,0.89,156.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1280,1.57,192.7,1.04,176.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1281,1.4,152.0,1.08,183.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1282,3.26,282.4,1.01,167.1,Optimal Elastic Grip Domain
PIRELLI-CYBER-1283,6.24,423.5,0.81,152.8,Optimal Elastic Grip Domain
PIRELLI-CYBER-1284,8.55,508.9,0.74,137.6,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1285,0.71,167.3,1.1,177.7,Optimal Elastic Grip Domain
PIRELLI-CYBER-1286,5.3,324.5,0.91,161.0,Optimal Elastic Grip Domain
PIRELLI-CYBER-1287,5.7,377.6,0.84,155.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1288,7.19,460.3,0.84,144.9,Peak Slip Exceeded / Traction Loss
PIRELLI-CYBER-1289,2.75,247.8,1.01,169.5,Optimal Elastic Grip Domain
PIRELLI-CYBER-1290,0.93,152.6,1.09,179.6,Optimal Elastic Grip Domain
PIRELLI-CYBER-1291,3.3,268.6,0.95,166.3,Optimal Elastic Grip Domain
PIRELLI-CYBER-1292,6.9,459.1,0.87,143.7,Peak Slip Exceeded / Traction Loss
