Lighting_Frame_ID,Active_Micro_Pixels,LED_Junction_Temp_C,High_Beam_Range_Lux,Oncoming_Driver_Glare_Lux,Matrix_Quality_State
MARELLI-LED-1036,1110263,94.8,136.9,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1037,886169,85.3,152.6,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1038,1171336,98.6,132.2,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1039,600971,78.7,170.8,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1040,526892,75.9,167.1,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1041,939283,86.6,148.0,0.21,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1042,1087963,101.7,125.3,0.36,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1043,1217688,102.7,113.8,0.29,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1044,448096,80.5,168.6,0.15,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1045,1140830,103.0,117.9,0.65,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1046,853210,90.1,142.2,0.05,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1047,694125,90.5,144.8,0.26,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1048,704081,88.4,149.3,0.19,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1049,687781,88.6,146.4,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1050,909572,88.5,147.8,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1051,741541,83.3,157.0,0.18,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1052,786222,80.8,161.0,0.05,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1053,536531,75.0,169.3,0.22,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1054,1044140,88.9,147.7,0.24,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1055,753381,89.1,147.2,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1056,526639,77.1,169.1,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1057,635901,77.2,169.2,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1058,706570,76.3,164.9,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1059,1075832,96.4,133.0,0.08,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1060,1167527,102.3,128.0,0.18,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1061,592096,85.8,144.3,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1062,912434,95.5,129.6,0.17,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1063,911848,86.8,153.7,0.08,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1064,755486,80.8,163.9,0.09,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1065,465126,80.9,165.4,0.27,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1066,665739,75.4,171.1,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1067,976800,100.1,127.2,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1068,1071912,107.8,110.7,0.02,Thermal Derate / Pixel Mask Active
MARELLI-LED-1069,690589,78.2,167.3,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1070,444646,82.3,152.1,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1071,795498,81.0,162.0,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1072,1223945,98.9,123.8,0.34,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1073,909860,87.6,152.2,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1074,787913,84.8,151.1,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1075,1091095,91.6,142.0,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1076,1069726,94.3,141.4,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1077,588186,78.9,163.0,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1078,904149,95.9,138.3,0.05,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1079,1174400,101.6,114.9,0.14,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1080,1293836,111.6,100.2,0.03,Thermal Derate / Pixel Mask Active
MARELLI-LED-1081,682385,88.2,137.9,0.16,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1082,980100,83.5,156.3,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1083,757836,79.4,162.9,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1084,501433,68.2,188.3,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1085,1031573,87.0,155.0,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1086,678433,91.1,141.8,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1087,1006293,94.5,127.9,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1088,475874,73.6,172.0,0.1,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1089,1237652,103.9,120.0,0.08,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1090,400543,78.8,160.5,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1091,1007124,102.5,120.5,0.18,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1092,1250391,109.8,114.8,0.35,Thermal Derate / Pixel Mask Active
MARELLI-LED-1093,1245209,108.2,112.3,0.36,Thermal Derate / Pixel Mask Active
MARELLI-LED-1094,1143104,99.4,127.8,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1095,697913,86.2,158.1,0.08,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1096,1014753,95.9,138.9,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1097,1286646,100.3,138.8,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1098,663470,81.2,161.2,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1099,1164461,101.5,121.5,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1100,1120086,89.4,143.4,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1101,499752,81.6,154.9,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1102,590911,76.0,167.9,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1103,863670,91.7,136.6,0.09,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1104,1235336,102.1,123.2,0.05,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1105,583476,83.2,156.7,0.24,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1106,537981,81.3,154.5,0.21,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1107,715222,88.5,140.3,0.13,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1108,1161961,97.7,127.0,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1109,1182266,110.1,103.9,0.19,Thermal Derate / Pixel Mask Active
MARELLI-LED-1110,936908,95.9,135.7,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1111,1247144,110.6,106.9,0.02,Thermal Derate / Pixel Mask Active
MARELLI-LED-1112,747915,81.1,160.7,0.24,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1113,738010,83.7,151.5,0.33,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1114,453878,83.8,147.0,0.09,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1115,902477,84.5,154.3,0.14,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1116,876374,89.5,146.7,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1117,1288538,107.7,114.1,0.02,Thermal Derate / Pixel Mask Active
MARELLI-LED-1118,1055905,91.4,137.5,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1119,725977,84.8,148.9,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1120,653443,77.4,166.8,0.17,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1121,526919,74.5,171.9,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1122,777289,95.1,139.2,0.08,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1123,804235,93.5,143.5,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1124,1183049,103.2,117.5,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1125,438393,78.3,165.8,0.09,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1126,878585,95.8,129.7,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1127,1074297,102.7,120.5,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1128,695595,92.2,133.0,0.05,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1129,596178,75.4,173.0,0.09,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1130,1053030,103.8,127.7,0.14,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1131,609063,88.1,141.2,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1132,884082,94.8,138.3,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1133,526353,82.9,154.7,0.14,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1134,1148624,102.0,126.8,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1135,1076256,99.5,133.4,0.08,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1136,1060644,103.9,113.9,0.16,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1137,1099718,108.4,107.0,0.18,Thermal Derate / Pixel Mask Active
MARELLI-LED-1138,436368,78.9,167.4,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1139,432435,75.7,169.1,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1140,1080614,96.4,134.8,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1141,964837,93.8,141.0,0.24,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1142,857705,87.4,150.6,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1143,488805,73.4,170.2,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1144,1187911,91.4,138.4,0.21,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1145,778524,87.8,145.9,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1146,1249246,107.8,111.6,0.01,Thermal Derate / Pixel Mask Active
MARELLI-LED-1147,1221211,111.2,109.8,0.15,Thermal Derate / Pixel Mask Active
MARELLI-LED-1148,698796,94.5,128.8,0.05,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1149,1282026,94.4,137.5,0.09,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1150,899240,90.9,146.6,0.27,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1151,1070430,88.9,148.9,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1152,519562,73.2,172.1,0.1,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1153,467871,82.8,155.6,0.05,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1154,1076592,92.3,132.2,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1155,788442,87.8,148.5,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1156,635927,90.9,150.9,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1157,496045,83.5,154.0,0.44,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1158,527513,85.8,150.8,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1159,1232721,109.6,106.9,0.04,Thermal Derate / Pixel Mask Active
MARELLI-LED-1160,1215713,104.4,112.5,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1161,676785,90.1,150.7,0.1,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1162,1103740,107.3,115.6,0.03,Thermal Derate / Pixel Mask Active
MARELLI-LED-1163,1232016,104.2,120.0,0.1,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1164,1171861,114.8,94.9,0.06,Thermal Derate / Pixel Mask Active
MARELLI-LED-1165,429568,76.8,165.1,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1166,779833,81.1,162.2,0.08,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1167,1263111,101.8,124.3,0.37,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1168,718283,94.5,136.0,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1169,1079353,106.6,115.8,0.01,Thermal Derate / Pixel Mask Active
MARELLI-LED-1170,400922,80.4,161.6,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1171,1242174,101.3,126.8,0.29,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1172,521799,75.4,175.9,0.17,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1173,652648,78.3,169.3,0.05,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1174,419632,81.1,160.6,0.08,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1175,1181162,96.4,130.7,0.1,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1176,879610,91.4,137.2,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1177,1006288,95.6,130.5,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1178,826787,91.4,139.4,0.15,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1179,908637,85.1,156.7,0.18,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1180,600936,80.7,157.1,0.19,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1181,481851,79.9,166.2,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1182,567989,88.1,143.8,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1183,646366,75.9,176.7,0.47,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1184,651819,81.8,161.9,0.17,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1185,482354,69.1,180.8,0.22,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1186,697711,96.4,129.8,0.12,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1187,807932,93.2,138.9,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1188,1286173,110.9,106.8,0.01,Thermal Derate / Pixel Mask Active
MARELLI-LED-1189,497837,75.7,169.2,0.24,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1190,747970,85.9,157.8,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1191,1148640,106.6,105.2,0.01,Thermal Derate / Pixel Mask Active
MARELLI-LED-1192,415343,74.4,166.0,0.05,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1193,1050966,97.1,129.0,0.1,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1194,1082207,102.1,123.2,0.27,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1195,540694,75.7,161.8,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1196,691424,82.2,158.8,0.13,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1197,1166663,99.5,118.4,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1198,501650,84.8,152.8,0.19,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1199,656716,85.4,149.6,0.24,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1200,924610,92.6,137.3,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1201,1068574,110.7,107.8,0.16,Thermal Derate / Pixel Mask Active
MARELLI-LED-1202,1237457,98.6,133.3,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1203,858777,87.2,145.7,0.16,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1204,1004769,78.8,162.6,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1205,517358,79.1,164.6,0.18,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1206,960181,101.1,123.2,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1207,1206287,112.5,109.5,0.48,Thermal Derate / Pixel Mask Active
MARELLI-LED-1208,1237175,113.8,101.5,0.07,Thermal Derate / Pixel Mask Active
MARELLI-LED-1209,1166490,91.9,148.6,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1210,531626,81.6,158.4,0.13,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1211,1090194,92.3,138.9,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1212,665208,90.1,142.7,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1213,743932,86.4,150.8,0.15,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1214,589217,83.8,158.5,0.31,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1215,564348,80.1,152.5,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1216,779757,78.1,166.9,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1217,1003437,99.6,126.9,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1218,852782,95.3,128.4,0.17,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1219,1160716,102.5,117.9,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1220,446279,76.8,162.2,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1221,1210375,108.1,110.8,0.09,Thermal Derate / Pixel Mask Active
MARELLI-LED-1222,1247004,109.3,109.5,0.16,Thermal Derate / Pixel Mask Active
MARELLI-LED-1223,1271919,106.1,113.6,0.02,Thermal Derate / Pixel Mask Active
MARELLI-LED-1224,1132002,105.6,119.6,0.06,Thermal Derate / Pixel Mask Active
MARELLI-LED-1225,653522,74.4,181.2,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1226,601710,79.8,153.7,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1227,646465,82.3,155.0,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1228,1107395,105.6,107.8,0.13,Thermal Derate / Pixel Mask Active
MARELLI-LED-1229,1244004,110.5,107.5,0.18,Thermal Derate / Pixel Mask Active
MARELLI-LED-1230,1038109,93.9,142.9,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1231,934077,89.8,140.4,0.26,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1232,1189555,105.8,109.9,0.08,Thermal Derate / Pixel Mask Active
MARELLI-LED-1233,492331,78.0,168.5,0.13,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1234,823156,89.2,140.9,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1235,1221486,108.4,112.5,0.09,Thermal Derate / Pixel Mask Active
MARELLI-LED-1236,897195,91.6,139.0,0.17,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1237,1165773,103.9,114.4,0.15,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1238,856353,84.8,154.7,0.32,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1239,1297638,101.0,126.0,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1240,655036,71.8,175.8,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1241,996309,103.6,121.0,0.16,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1242,925566,91.9,142.1,0.09,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1243,1287243,112.2,102.0,0.02,Thermal Derate / Pixel Mask Active
MARELLI-LED-1244,1056506,90.8,140.2,0.58,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1245,522964,72.2,179.9,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1246,1201832,106.3,109.6,0.23,Thermal Derate / Pixel Mask Active
MARELLI-LED-1247,1110861,86.9,147.8,0.1,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1248,476534,73.0,181.5,0.04,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1249,1208808,104.1,120.8,0.51,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1250,1199351,102.4,123.7,0.17,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1251,1177188,108.3,110.2,0.13,Thermal Derate / Pixel Mask Active
MARELLI-LED-1252,409007,82.2,158.4,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1253,603282,84.9,156.1,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1254,996243,91.5,144.3,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1255,1165462,105.4,111.3,0.17,Thermal Derate / Pixel Mask Active
MARELLI-LED-1256,1093182,91.9,143.3,0.09,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1257,492110,85.6,144.3,0.12,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1258,1057982,93.2,139.8,0.14,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1259,620008,84.0,157.3,0.38,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1260,671431,93.8,135.8,0.05,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1261,555558,75.4,171.4,0.03,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1262,653815,82.6,156.6,0.43,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1263,646591,83.5,156.6,0.07,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1264,1015003,96.6,132.6,0.02,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1265,842842,96.1,136.8,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1266,666712,85.6,150.1,0.11,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1267,629886,78.5,172.8,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1268,445799,83.5,155.7,0.17,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1269,927596,102.0,121.0,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1270,606679,76.4,168.4,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1271,1189976,104.4,118.9,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1272,1042934,98.8,129.9,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1273,1279895,100.9,121.6,0.01,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1274,630310,88.1,145.6,0.14,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1275,560627,77.7,166.3,0.06,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1276,606242,76.9,164.4,0.08,Crystal-Clear Matrix Laser-LED (600m)
MARELLI-LED-1277,1153990,107.7,113.9,0.57,Thermal Derate / Pixel Mask Active
