Drive_Segment_ID,Vehicle_Speed_mph,Power_Demand_kW,Operating_Hybrid_Mode,Instant_Fuel_Economy_MPG,Clutch_Lockup_State
HONDA-eHEV-1087,30.6,34.2,Hybrid Drive (Engine-Gen + Traction Motor),44.1,Disengaged / Electric Motor
HONDA-eHEV-1088,79.9,86.5,Hybrid Drive (Engine-Gen + Traction Motor),42.8,Disengaged / Electric Motor
HONDA-eHEV-1089,64.3,62.0,Hybrid Drive (Engine-Gen + Traction Motor),41.9,Disengaged / Electric Motor
HONDA-eHEV-1090,29.4,40.5,Hybrid Drive (Engine-Gen + Traction Motor),37.1,Disengaged / Electric Motor
HONDA-eHEV-1091,78.6,69.6,Hybrid Drive (Engine-Gen + Traction Motor),42.7,Disengaged / Electric Motor
HONDA-eHEV-1092,55.3,40.8,Engine Direct-Drive Lockup,52.6,Engaged Direct Gear
HONDA-eHEV-1093,65.0,69.8,Hybrid Drive (Engine-Gen + Traction Motor),45.7,Disengaged / Electric Motor
HONDA-eHEV-1094,36.9,32.1,Hybrid Drive (Engine-Gen + Traction Motor),39.1,Disengaged / Electric Motor
HONDA-eHEV-1095,20.5,23.4,EV Drive (Battery Only),62.5,Disengaged / Electric Motor
HONDA-eHEV-1096,53.7,51.3,Hybrid Drive (Engine-Gen + Traction Motor),43.7,Disengaged / Electric Motor
HONDA-eHEV-1097,26.8,24.6,EV Drive (Battery Only),72.8,Disengaged / Electric Motor
HONDA-eHEV-1098,35.3,25.6,Hybrid Drive (Engine-Gen + Traction Motor),44.4,Disengaged / Electric Motor
HONDA-eHEV-1099,26.5,22.6,EV Drive (Battery Only),68.0,Disengaged / Electric Motor
HONDA-eHEV-1100,63.2,57.9,Hybrid Drive (Engine-Gen + Traction Motor),44.4,Disengaged / Electric Motor
HONDA-eHEV-1101,29.9,25.9,Hybrid Drive (Engine-Gen + Traction Motor),40.4,Disengaged / Electric Motor
HONDA-eHEV-1102,21.4,20.9,EV Drive (Battery Only),70.0,Disengaged / Electric Motor
HONDA-eHEV-1103,62.3,65.1,Hybrid Drive (Engine-Gen + Traction Motor),38.7,Disengaged / Electric Motor
HONDA-eHEV-1104,16.6,27.2,Hybrid Drive (Engine-Gen + Traction Motor),44.6,Disengaged / Electric Motor
HONDA-eHEV-1105,77.3,79.3,Hybrid Drive (Engine-Gen + Traction Motor),42.2,Disengaged / Electric Motor
HONDA-eHEV-1106,53.0,68.0,Hybrid Drive (Engine-Gen + Traction Motor),43.6,Disengaged / Electric Motor
HONDA-eHEV-1107,30.5,27.5,Hybrid Drive (Engine-Gen + Traction Motor),47.0,Disengaged / Electric Motor
HONDA-eHEV-1108,34.3,35.2,Hybrid Drive (Engine-Gen + Traction Motor),39.8,Disengaged / Electric Motor
HONDA-eHEV-1109,29.0,37.6,Hybrid Drive (Engine-Gen + Traction Motor),39.8,Disengaged / Electric Motor
HONDA-eHEV-1110,60.8,59.5,Hybrid Drive (Engine-Gen + Traction Motor),44.8,Disengaged / Electric Motor
HONDA-eHEV-1111,74.3,69.6,Hybrid Drive (Engine-Gen + Traction Motor),42.3,Disengaged / Electric Motor
HONDA-eHEV-1112,45.1,53.0,Hybrid Drive (Engine-Gen + Traction Motor),39.6,Disengaged / Electric Motor
HONDA-eHEV-1113,67.2,73.3,Hybrid Drive (Engine-Gen + Traction Motor),44.5,Disengaged / Electric Motor
HONDA-eHEV-1114,62.9,65.1,Hybrid Drive (Engine-Gen + Traction Motor),39.0,Disengaged / Electric Motor
HONDA-eHEV-1115,41.2,44.3,Hybrid Drive (Engine-Gen + Traction Motor),46.0,Disengaged / Electric Motor
HONDA-eHEV-1116,63.1,75.7,Hybrid Drive (Engine-Gen + Traction Motor),39.9,Disengaged / Electric Motor
HONDA-eHEV-1117,74.7,90.9,Hybrid Drive (Engine-Gen + Traction Motor),39.2,Disengaged / Electric Motor
HONDA-eHEV-1118,46.0,59.2,Hybrid Drive (Engine-Gen + Traction Motor),43.6,Disengaged / Electric Motor
HONDA-eHEV-1119,67.6,76.6,Hybrid Drive (Engine-Gen + Traction Motor),49.6,Disengaged / Electric Motor
HONDA-eHEV-1120,22.7,15.9,EV Drive (Battery Only),69.5,Disengaged / Electric Motor
HONDA-eHEV-1121,33.2,23.8,Hybrid Drive (Engine-Gen + Traction Motor),46.1,Disengaged / Electric Motor
HONDA-eHEV-1122,16.7,15.7,EV Drive (Battery Only),64.5,Disengaged / Electric Motor
HONDA-eHEV-1123,48.3,48.9,Hybrid Drive (Engine-Gen + Traction Motor),48.0,Disengaged / Electric Motor
HONDA-eHEV-1124,49.9,60.0,Hybrid Drive (Engine-Gen + Traction Motor),46.2,Disengaged / Electric Motor
HONDA-eHEV-1125,69.3,79.3,Hybrid Drive (Engine-Gen + Traction Motor),42.9,Disengaged / Electric Motor
HONDA-eHEV-1126,38.3,36.7,Hybrid Drive (Engine-Gen + Traction Motor),41.6,Disengaged / Electric Motor
HONDA-eHEV-1127,52.1,47.9,Hybrid Drive (Engine-Gen + Traction Motor),46.5,Disengaged / Electric Motor
HONDA-eHEV-1128,68.0,63.3,Hybrid Drive (Engine-Gen + Traction Motor),47.1,Disengaged / Electric Motor
HONDA-eHEV-1129,74.5,78.7,Hybrid Drive (Engine-Gen + Traction Motor),43.2,Disengaged / Electric Motor
HONDA-eHEV-1130,38.8,54.5,Hybrid Drive (Engine-Gen + Traction Motor),42.1,Disengaged / Electric Motor
HONDA-eHEV-1131,45.1,58.6,Hybrid Drive (Engine-Gen + Traction Motor),43.5,Disengaged / Electric Motor
HONDA-eHEV-1132,41.2,34.3,Hybrid Drive (Engine-Gen + Traction Motor),46.2,Disengaged / Electric Motor
HONDA-eHEV-1133,34.1,47.2,Hybrid Drive (Engine-Gen + Traction Motor),42.3,Disengaged / Electric Motor
HONDA-eHEV-1134,47.8,60.7,Hybrid Drive (Engine-Gen + Traction Motor),43.6,Disengaged / Electric Motor
HONDA-eHEV-1135,48.1,55.5,Hybrid Drive (Engine-Gen + Traction Motor),41.1,Disengaged / Electric Motor
HONDA-eHEV-1136,63.0,71.2,Hybrid Drive (Engine-Gen + Traction Motor),41.4,Disengaged / Electric Motor
HONDA-eHEV-1137,15.3,26.2,Hybrid Drive (Engine-Gen + Traction Motor),44.8,Disengaged / Electric Motor
HONDA-eHEV-1138,34.0,37.3,Hybrid Drive (Engine-Gen + Traction Motor),43.0,Disengaged / Electric Motor
HONDA-eHEV-1139,49.2,52.6,Hybrid Drive (Engine-Gen + Traction Motor),42.0,Disengaged / Electric Motor
HONDA-eHEV-1140,38.3,30.6,Hybrid Drive (Engine-Gen + Traction Motor),43.8,Disengaged / Electric Motor
HONDA-eHEV-1141,53.7,47.0,Hybrid Drive (Engine-Gen + Traction Motor),41.2,Disengaged / Electric Motor
HONDA-eHEV-1142,73.5,76.9,Hybrid Drive (Engine-Gen + Traction Motor),41.9,Disengaged / Electric Motor
HONDA-eHEV-1143,78.8,69.2,Hybrid Drive (Engine-Gen + Traction Motor),41.5,Disengaged / Electric Motor
HONDA-eHEV-1144,20.6,17.7,EV Drive (Battery Only),71.7,Disengaged / Electric Motor
HONDA-eHEV-1145,67.9,72.2,Hybrid Drive (Engine-Gen + Traction Motor),43.3,Disengaged / Electric Motor
HONDA-eHEV-1146,78.2,71.8,Hybrid Drive (Engine-Gen + Traction Motor),44.0,Disengaged / Electric Motor
HONDA-eHEV-1147,79.7,93.2,Hybrid Drive (Engine-Gen + Traction Motor),46.2,Disengaged / Electric Motor
HONDA-eHEV-1148,57.0,66.7,Hybrid Drive (Engine-Gen + Traction Motor),43.7,Disengaged / Electric Motor
HONDA-eHEV-1149,43.1,46.0,Hybrid Drive (Engine-Gen + Traction Motor),45.3,Disengaged / Electric Motor
HONDA-eHEV-1150,74.1,94.8,Hybrid Drive (Engine-Gen + Traction Motor),41.4,Disengaged / Electric Motor
HONDA-eHEV-1151,50.1,62.4,Hybrid Drive (Engine-Gen + Traction Motor),45.5,Disengaged / Electric Motor
HONDA-eHEV-1152,24.1,7.6,EV Drive (Battery Only),66.4,Disengaged / Electric Motor
HONDA-eHEV-1153,37.1,40.2,Hybrid Drive (Engine-Gen + Traction Motor),46.6,Disengaged / Electric Motor
HONDA-eHEV-1154,60.1,71.8,Hybrid Drive (Engine-Gen + Traction Motor),37.6,Disengaged / Electric Motor
HONDA-eHEV-1155,62.7,62.4,Hybrid Drive (Engine-Gen + Traction Motor),46.5,Disengaged / Electric Motor
HONDA-eHEV-1156,58.9,61.1,Hybrid Drive (Engine-Gen + Traction Motor),40.3,Disengaged / Electric Motor
HONDA-eHEV-1157,54.4,54.8,Hybrid Drive (Engine-Gen + Traction Motor),45.1,Disengaged / Electric Motor
HONDA-eHEV-1158,22.4,39.2,Hybrid Drive (Engine-Gen + Traction Motor),46.1,Disengaged / Electric Motor
HONDA-eHEV-1159,41.0,53.0,Hybrid Drive (Engine-Gen + Traction Motor),52.2,Disengaged / Electric Motor
HONDA-eHEV-1160,46.4,43.6,Hybrid Drive (Engine-Gen + Traction Motor),43.7,Disengaged / Electric Motor
HONDA-eHEV-1161,27.3,25.1,Hybrid Drive (Engine-Gen + Traction Motor),50.9,Disengaged / Electric Motor
HONDA-eHEV-1162,17.8,9.6,EV Drive (Battery Only),70.8,Disengaged / Electric Motor
HONDA-eHEV-1163,50.4,49.0,Hybrid Drive (Engine-Gen + Traction Motor),46.0,Disengaged / Electric Motor
HONDA-eHEV-1164,17.6,14.0,EV Drive (Battery Only),68.0,Disengaged / Electric Motor
HONDA-eHEV-1165,59.3,62.0,Hybrid Drive (Engine-Gen + Traction Motor),42.5,Disengaged / Electric Motor
HONDA-eHEV-1166,19.5,23.4,EV Drive (Battery Only),69.4,Disengaged / Electric Motor
HONDA-eHEV-1167,26.4,17.6,EV Drive (Battery Only),67.2,Disengaged / Electric Motor
HONDA-eHEV-1168,41.8,40.3,Hybrid Drive (Engine-Gen + Traction Motor),48.1,Disengaged / Electric Motor
HONDA-eHEV-1169,75.6,84.9,Hybrid Drive (Engine-Gen + Traction Motor),43.2,Disengaged / Electric Motor
HONDA-eHEV-1170,30.9,21.0,Hybrid Drive (Engine-Gen + Traction Motor),45.6,Disengaged / Electric Motor
HONDA-eHEV-1171,35.4,25.1,Hybrid Drive (Engine-Gen + Traction Motor),43.9,Disengaged / Electric Motor
HONDA-eHEV-1172,40.4,56.0,Hybrid Drive (Engine-Gen + Traction Motor),46.3,Disengaged / Electric Motor
HONDA-eHEV-1173,64.1,59.5,Hybrid Drive (Engine-Gen + Traction Motor),47.6,Disengaged / Electric Motor
HONDA-eHEV-1174,71.1,81.1,Hybrid Drive (Engine-Gen + Traction Motor),43.2,Disengaged / Electric Motor
HONDA-eHEV-1175,20.9,35.8,Hybrid Drive (Engine-Gen + Traction Motor),43.0,Disengaged / Electric Motor
HONDA-eHEV-1176,61.5,64.6,Hybrid Drive (Engine-Gen + Traction Motor),44.3,Disengaged / Electric Motor
HONDA-eHEV-1177,28.7,30.3,Hybrid Drive (Engine-Gen + Traction Motor),45.6,Disengaged / Electric Motor
HONDA-eHEV-1178,44.1,48.5,Hybrid Drive (Engine-Gen + Traction Motor),44.5,Disengaged / Electric Motor
HONDA-eHEV-1179,20.0,10.9,EV Drive (Battery Only),63.6,Disengaged / Electric Motor
HONDA-eHEV-1180,53.4,53.5,Hybrid Drive (Engine-Gen + Traction Motor),47.3,Disengaged / Electric Motor
HONDA-eHEV-1181,55.9,55.1,Hybrid Drive (Engine-Gen + Traction Motor),45.5,Disengaged / Electric Motor
HONDA-eHEV-1182,70.9,67.4,Hybrid Drive (Engine-Gen + Traction Motor),47.9,Disengaged / Electric Motor
HONDA-eHEV-1183,49.1,47.9,Hybrid Drive (Engine-Gen + Traction Motor),44.2,Disengaged / Electric Motor
HONDA-eHEV-1184,57.2,54.4,Hybrid Drive (Engine-Gen + Traction Motor),44.9,Disengaged / Electric Motor
HONDA-eHEV-1185,58.3,62.1,Hybrid Drive (Engine-Gen + Traction Motor),42.3,Disengaged / Electric Motor
HONDA-eHEV-1186,67.8,68.3,Hybrid Drive (Engine-Gen + Traction Motor),46.5,Disengaged / Electric Motor
HONDA-eHEV-1187,70.7,74.2,Hybrid Drive (Engine-Gen + Traction Motor),44.8,Disengaged / Electric Motor
HONDA-eHEV-1188,43.2,44.1,Hybrid Drive (Engine-Gen + Traction Motor),47.2,Disengaged / Electric Motor
HONDA-eHEV-1189,68.5,61.4,Hybrid Drive (Engine-Gen + Traction Motor),49.9,Disengaged / Electric Motor
HONDA-eHEV-1190,59.5,67.7,Hybrid Drive (Engine-Gen + Traction Motor),41.6,Disengaged / Electric Motor
HONDA-eHEV-1191,28.9,23.4,EV Drive (Battery Only),63.8,Disengaged / Electric Motor
HONDA-eHEV-1192,40.2,37.6,Hybrid Drive (Engine-Gen + Traction Motor),46.2,Disengaged / Electric Motor
HONDA-eHEV-1193,69.3,78.4,Hybrid Drive (Engine-Gen + Traction Motor),47.1,Disengaged / Electric Motor
HONDA-eHEV-1194,39.3,50.4,Hybrid Drive (Engine-Gen + Traction Motor),47.5,Disengaged / Electric Motor
HONDA-eHEV-1195,25.6,20.8,EV Drive (Battery Only),70.6,Disengaged / Electric Motor
HONDA-eHEV-1196,27.5,27.4,Hybrid Drive (Engine-Gen + Traction Motor),45.3,Disengaged / Electric Motor
HONDA-eHEV-1197,65.5,65.8,Hybrid Drive (Engine-Gen + Traction Motor),49.0,Disengaged / Electric Motor
HONDA-eHEV-1198,51.6,46.3,Hybrid Drive (Engine-Gen + Traction Motor),43.0,Disengaged / Electric Motor
HONDA-eHEV-1199,21.2,20.5,EV Drive (Battery Only),76.2,Disengaged / Electric Motor
HONDA-eHEV-1200,55.9,48.6,Hybrid Drive (Engine-Gen + Traction Motor),43.2,Disengaged / Electric Motor
HONDA-eHEV-1201,38.5,41.8,Hybrid Drive (Engine-Gen + Traction Motor),44.3,Disengaged / Electric Motor
HONDA-eHEV-1202,40.8,40.5,Hybrid Drive (Engine-Gen + Traction Motor),47.8,Disengaged / Electric Motor
HONDA-eHEV-1203,29.0,35.2,Hybrid Drive (Engine-Gen + Traction Motor),42.4,Disengaged / Electric Motor
HONDA-eHEV-1204,74.0,70.7,Hybrid Drive (Engine-Gen + Traction Motor),44.0,Disengaged / Electric Motor
HONDA-eHEV-1205,24.2,39.0,Hybrid Drive (Engine-Gen + Traction Motor),49.0,Disengaged / Electric Motor
HONDA-eHEV-1206,75.2,85.1,Hybrid Drive (Engine-Gen + Traction Motor),44.0,Disengaged / Electric Motor
HONDA-eHEV-1207,65.8,80.0,Hybrid Drive (Engine-Gen + Traction Motor),42.8,Disengaged / Electric Motor
HONDA-eHEV-1208,22.8,12.1,EV Drive (Battery Only),66.0,Disengaged / Electric Motor
HONDA-eHEV-1209,70.1,77.1,Hybrid Drive (Engine-Gen + Traction Motor),47.1,Disengaged / Electric Motor
HONDA-eHEV-1210,76.5,86.7,Hybrid Drive (Engine-Gen + Traction Motor),44.1,Disengaged / Electric Motor
HONDA-eHEV-1211,42.4,35.9,Hybrid Drive (Engine-Gen + Traction Motor),42.2,Disengaged / Electric Motor
HONDA-eHEV-1212,75.6,79.8,Hybrid Drive (Engine-Gen + Traction Motor),42.6,Disengaged / Electric Motor
HONDA-eHEV-1213,60.6,72.3,Hybrid Drive (Engine-Gen + Traction Motor),41.2,Disengaged / Electric Motor
HONDA-eHEV-1214,36.8,58.9,Hybrid Drive (Engine-Gen + Traction Motor),42.3,Disengaged / Electric Motor
HONDA-eHEV-1215,78.9,90.7,Hybrid Drive (Engine-Gen + Traction Motor),44.2,Disengaged / Electric Motor
HONDA-eHEV-1216,62.7,66.5,Hybrid Drive (Engine-Gen + Traction Motor),43.2,Disengaged / Electric Motor
HONDA-eHEV-1217,74.6,82.3,Hybrid Drive (Engine-Gen + Traction Motor),47.3,Disengaged / Electric Motor
HONDA-eHEV-1218,66.7,74.7,Hybrid Drive (Engine-Gen + Traction Motor),40.7,Disengaged / Electric Motor
HONDA-eHEV-1219,49.3,39.0,Hybrid Drive (Engine-Gen + Traction Motor),41.5,Disengaged / Electric Motor
HONDA-eHEV-1220,37.0,49.0,Hybrid Drive (Engine-Gen + Traction Motor),41.6,Disengaged / Electric Motor
HONDA-eHEV-1221,78.0,84.4,Hybrid Drive (Engine-Gen + Traction Motor),43.7,Disengaged / Electric Motor
HONDA-eHEV-1222,18.5,18.5,EV Drive (Battery Only),76.1,Disengaged / Electric Motor
HONDA-eHEV-1223,78.6,82.5,Hybrid Drive (Engine-Gen + Traction Motor),46.3,Disengaged / Electric Motor
HONDA-eHEV-1224,72.9,81.8,Hybrid Drive (Engine-Gen + Traction Motor),45.4,Disengaged / Electric Motor
HONDA-eHEV-1225,29.3,27.2,Hybrid Drive (Engine-Gen + Traction Motor),46.0,Disengaged / Electric Motor
HONDA-eHEV-1226,37.8,50.8,Hybrid Drive (Engine-Gen + Traction Motor),43.4,Disengaged / Electric Motor
HONDA-eHEV-1227,71.1,75.2,Hybrid Drive (Engine-Gen + Traction Motor),39.1,Disengaged / Electric Motor
