Detection_Event_ID,Road_User_Type,Distance_to_Vehicle_m,Crossing_Speed_m_s,Time_to_Collision_s,Safety_Intervention
VOLVO-VRU-1028,Pedestrian Walking,42.6,6.1,2.67,Warning Prompt in Driver Display
VOLVO-VRU-1029,Cyclist Fast,10.4,5.5,0.85,Automatic Emergency Braking (AEB)
VOLVO-VRU-1030,E-Scooter Commuter,25.3,2.6,2.33,Warning Prompt in Driver Display
VOLVO-VRU-1031,E-Scooter Commuter,17.3,3.9,1.8,Warning Prompt in Driver Display
VOLVO-VRU-1032,Cyclist Fast,18.9,2.9,1.51,Automatic Emergency Braking (AEB)
VOLVO-VRU-1033,Cyclist Fast,40.7,2.2,3.86,Warning Prompt in Driver Display
VOLVO-VRU-1034,Pedestrian Walking,30.0,4.5,2.5,Warning Prompt in Driver Display
VOLVO-VRU-1035,Pedestrian Walking,28.6,6.4,1.94,Warning Prompt in Driver Display
VOLVO-VRU-1036,Pedestrian Running,36.6,5.1,2.47,Warning Prompt in Driver Display
VOLVO-VRU-1037,Pedestrian Walking,19.5,1.3,2.07,Warning Prompt in Driver Display
VOLVO-VRU-1038,E-Scooter Commuter,20.0,2.5,1.99,Warning Prompt in Driver Display
VOLVO-VRU-1039,Pedestrian Running,25.9,6.8,2.06,Warning Prompt in Driver Display
VOLVO-VRU-1040,Pedestrian Walking,38.3,2.9,3.47,Warning Prompt in Driver Display
VOLVO-VRU-1041,Pedestrian Walking,6.1,1.5,0.61,Automatic Emergency Braking (AEB)
VOLVO-VRU-1042,Pedestrian Running,18.8,2.1,2.04,Warning Prompt in Driver Display
VOLVO-VRU-1043,E-Scooter Commuter,28.2,2.6,2.07,Warning Prompt in Driver Display
VOLVO-VRU-1044,E-Scooter Commuter,36.4,1.9,3.43,Warning Prompt in Driver Display
VOLVO-VRU-1045,Pedestrian Running,39.3,4.6,2.99,Warning Prompt in Driver Display
VOLVO-VRU-1046,Child Crossing,7.8,3.9,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1047,Pedestrian Running,29.6,3.2,2.17,Warning Prompt in Driver Display
VOLVO-VRU-1048,Cyclist Fast,41.3,6.7,2.67,Warning Prompt in Driver Display
VOLVO-VRU-1049,E-Scooter Commuter,23.1,2.6,2.28,Warning Prompt in Driver Display
VOLVO-VRU-1050,Cyclist Fast,6.6,5.3,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1051,Pedestrian Running,12.7,5.1,0.79,Automatic Emergency Braking (AEB)
VOLVO-VRU-1052,Pedestrian Walking,9.9,5.8,0.61,Automatic Emergency Braking (AEB)
VOLVO-VRU-1053,Pedestrian Walking,40.1,5.3,2.74,Warning Prompt in Driver Display
VOLVO-VRU-1054,Pedestrian Running,28.6,7.1,1.87,Warning Prompt in Driver Display
VOLVO-VRU-1055,E-Scooter Commuter,43.9,2.5,3.96,Warning Prompt in Driver Display
VOLVO-VRU-1056,Pedestrian Running,44.8,3.6,3.71,Warning Prompt in Driver Display
VOLVO-VRU-1057,Pedestrian Walking,11.1,1.3,1.1,Automatic Emergency Braking (AEB)
VOLVO-VRU-1058,Pedestrian Walking,18.5,1.5,1.67,Automatic Emergency Braking (AEB)
VOLVO-VRU-1059,E-Scooter Commuter,20.2,4.4,1.75,Automatic Emergency Braking (AEB)
VOLVO-VRU-1060,Cyclist Fast,40.7,4.0,3.41,Warning Prompt in Driver Display
VOLVO-VRU-1061,Pedestrian Running,27.9,5.4,1.79,Automatic Emergency Braking (AEB)
VOLVO-VRU-1062,Pedestrian Running,38.7,4.6,3.01,Warning Prompt in Driver Display
VOLVO-VRU-1063,Child Crossing,7.4,4.3,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1064,Pedestrian Running,23.2,7.2,1.83,Warning Prompt in Driver Display
VOLVO-VRU-1065,Pedestrian Walking,14.4,5.4,1.05,Automatic Emergency Braking (AEB)
VOLVO-VRU-1066,Pedestrian Walking,33.8,6.4,2.1,Warning Prompt in Driver Display
VOLVO-VRU-1067,E-Scooter Commuter,34.7,3.0,3.44,Warning Prompt in Driver Display
VOLVO-VRU-1068,Cyclist Fast,22.6,2.6,1.77,Automatic Emergency Braking (AEB)
VOLVO-VRU-1069,Pedestrian Walking,31.3,1.4,3.01,Warning Prompt in Driver Display
VOLVO-VRU-1070,Pedestrian Walking,13.2,3.0,1.29,Automatic Emergency Braking (AEB)
VOLVO-VRU-1071,Pedestrian Walking,6.6,1.6,0.72,Automatic Emergency Braking (AEB)
VOLVO-VRU-1072,Pedestrian Running,11.0,1.3,0.96,Automatic Emergency Braking (AEB)
VOLVO-VRU-1073,Pedestrian Walking,37.0,1.7,3.94,Warning Prompt in Driver Display
VOLVO-VRU-1074,Pedestrian Walking,38.2,2.9,3.05,Warning Prompt in Driver Display
VOLVO-VRU-1075,Cyclist Fast,35.1,6.9,2.14,Warning Prompt in Driver Display
VOLVO-VRU-1076,E-Scooter Commuter,21.4,5.8,1.19,Automatic Emergency Braking (AEB)
VOLVO-VRU-1077,Pedestrian Running,9.3,7.2,0.63,Automatic Emergency Braking (AEB)
VOLVO-VRU-1078,Child Crossing,41.3,2.8,3.7,Warning Prompt in Driver Display
VOLVO-VRU-1079,E-Scooter Commuter,36.9,7.3,2.44,Warning Prompt in Driver Display
VOLVO-VRU-1080,Pedestrian Walking,35.3,2.8,3.03,Warning Prompt in Driver Display
VOLVO-VRU-1081,Pedestrian Walking,34.7,5.3,2.54,Warning Prompt in Driver Display
VOLVO-VRU-1082,E-Scooter Commuter,8.0,5.5,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1083,Pedestrian Running,16.6,5.2,1.12,Automatic Emergency Braking (AEB)
VOLVO-VRU-1084,Pedestrian Running,38.2,6.7,2.52,Warning Prompt in Driver Display
VOLVO-VRU-1085,E-Scooter Commuter,39.5,6.9,2.86,Warning Prompt in Driver Display
VOLVO-VRU-1086,E-Scooter Commuter,18.5,6.3,1.18,Automatic Emergency Braking (AEB)
VOLVO-VRU-1087,Cyclist Fast,10.9,1.4,0.95,Automatic Emergency Braking (AEB)
VOLVO-VRU-1088,Pedestrian Running,35.9,4.3,2.68,Warning Prompt in Driver Display
VOLVO-VRU-1089,E-Scooter Commuter,24.4,5.9,1.17,Automatic Emergency Braking (AEB)
VOLVO-VRU-1090,Pedestrian Walking,6.1,6.2,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1091,Pedestrian Walking,26.9,6.8,1.46,Automatic Emergency Braking (AEB)
VOLVO-VRU-1092,Pedestrian Running,42.9,7.1,2.78,Warning Prompt in Driver Display
VOLVO-VRU-1093,Pedestrian Walking,16.7,3.0,1.44,Automatic Emergency Braking (AEB)
VOLVO-VRU-1094,Pedestrian Walking,38.7,3.0,3.41,Warning Prompt in Driver Display
VOLVO-VRU-1095,Pedestrian Walking,13.2,2.0,1.32,Automatic Emergency Braking (AEB)
VOLVO-VRU-1096,E-Scooter Commuter,31.4,1.6,3.18,Warning Prompt in Driver Display
VOLVO-VRU-1097,Pedestrian Walking,13.7,1.3,1.4,Automatic Emergency Braking (AEB)
VOLVO-VRU-1098,Pedestrian Walking,13.4,5.0,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1099,Pedestrian Walking,13.0,5.6,0.84,Automatic Emergency Braking (AEB)
VOLVO-VRU-1100,Pedestrian Walking,24.2,5.2,1.8,Warning Prompt in Driver Display
VOLVO-VRU-1101,Pedestrian Walking,24.9,3.5,2.18,Warning Prompt in Driver Display
VOLVO-VRU-1102,Cyclist Fast,34.4,2.3,3.56,Warning Prompt in Driver Display
VOLVO-VRU-1103,Pedestrian Walking,37.4,6.8,1.99,Warning Prompt in Driver Display
VOLVO-VRU-1104,Pedestrian Walking,21.0,7.1,1.37,Automatic Emergency Braking (AEB)
VOLVO-VRU-1105,E-Scooter Commuter,20.4,1.7,2.27,Warning Prompt in Driver Display
VOLVO-VRU-1106,E-Scooter Commuter,43.5,2.3,3.67,Warning Prompt in Driver Display
VOLVO-VRU-1107,Pedestrian Running,38.2,3.1,3.42,Warning Prompt in Driver Display
VOLVO-VRU-1108,E-Scooter Commuter,19.6,5.3,1.28,Automatic Emergency Braking (AEB)
VOLVO-VRU-1109,Pedestrian Walking,9.2,2.6,0.78,Automatic Emergency Braking (AEB)
VOLVO-VRU-1110,Cyclist Fast,23.5,3.8,1.92,Warning Prompt in Driver Display
VOLVO-VRU-1111,Pedestrian Walking,15.7,2.8,1.18,Automatic Emergency Braking (AEB)
VOLVO-VRU-1112,Pedestrian Walking,40.2,1.6,3.6,Warning Prompt in Driver Display
VOLVO-VRU-1113,Pedestrian Walking,35.0,1.5,3.43,Warning Prompt in Driver Display
VOLVO-VRU-1114,Pedestrian Walking,17.7,3.2,1.67,Automatic Emergency Braking (AEB)
VOLVO-VRU-1115,Pedestrian Walking,17.5,4.6,1.38,Automatic Emergency Braking (AEB)
VOLVO-VRU-1116,Pedestrian Running,8.3,3.6,0.78,Automatic Emergency Braking (AEB)
VOLVO-VRU-1117,Pedestrian Walking,22.5,1.4,2.45,Warning Prompt in Driver Display
VOLVO-VRU-1118,Pedestrian Walking,8.8,5.5,1.06,Automatic Emergency Braking (AEB)
VOLVO-VRU-1119,Cyclist Fast,15.6,4.0,1.42,Automatic Emergency Braking (AEB)
VOLVO-VRU-1120,E-Scooter Commuter,22.3,5.1,1.94,Warning Prompt in Driver Display
VOLVO-VRU-1121,Cyclist Fast,25.8,7.2,1.28,Automatic Emergency Braking (AEB)
VOLVO-VRU-1122,Pedestrian Walking,37.6,7.0,2.56,Warning Prompt in Driver Display
VOLVO-VRU-1123,Pedestrian Running,24.1,4.4,1.53,Automatic Emergency Braking (AEB)
VOLVO-VRU-1124,Cyclist Fast,14.2,6.2,0.94,Automatic Emergency Braking (AEB)
VOLVO-VRU-1125,Pedestrian Running,7.7,6.9,0.84,Automatic Emergency Braking (AEB)
VOLVO-VRU-1126,Cyclist Fast,11.4,1.5,0.98,Automatic Emergency Braking (AEB)
VOLVO-VRU-1127,Pedestrian Walking,26.8,2.1,2.58,Warning Prompt in Driver Display
VOLVO-VRU-1128,Pedestrian Running,33.5,2.2,3.07,Warning Prompt in Driver Display
VOLVO-VRU-1129,Pedestrian Walking,5.3,1.6,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1130,Pedestrian Walking,5.5,5.7,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1131,Child Crossing,11.6,2.3,1.0,Automatic Emergency Braking (AEB)
VOLVO-VRU-1132,Cyclist Fast,23.3,5.1,2.2,Warning Prompt in Driver Display
VOLVO-VRU-1133,Cyclist Fast,11.2,1.1,1.45,Automatic Emergency Braking (AEB)
VOLVO-VRU-1134,Pedestrian Walking,38.2,1.2,4.05,Warning Prompt in Driver Display
VOLVO-VRU-1135,Pedestrian Running,40.0,7.5,2.55,Warning Prompt in Driver Display
VOLVO-VRU-1136,Pedestrian Walking,12.6,6.5,0.98,Automatic Emergency Braking (AEB)
VOLVO-VRU-1137,E-Scooter Commuter,29.8,3.8,2.84,Warning Prompt in Driver Display
VOLVO-VRU-1138,E-Scooter Commuter,40.8,4.2,3.35,Warning Prompt in Driver Display
VOLVO-VRU-1139,Pedestrian Running,9.0,3.5,0.77,Automatic Emergency Braking (AEB)
VOLVO-VRU-1140,Cyclist Fast,27.0,5.1,1.65,Automatic Emergency Braking (AEB)
VOLVO-VRU-1141,Pedestrian Running,6.5,1.6,0.83,Automatic Emergency Braking (AEB)
VOLVO-VRU-1142,Pedestrian Walking,17.7,3.2,1.4,Automatic Emergency Braking (AEB)
VOLVO-VRU-1143,Pedestrian Running,44.7,7.0,2.93,Warning Prompt in Driver Display
VOLVO-VRU-1144,Pedestrian Walking,33.6,3.7,2.97,Warning Prompt in Driver Display
VOLVO-VRU-1145,Cyclist Fast,27.3,6.0,2.01,Warning Prompt in Driver Display
VOLVO-VRU-1146,Pedestrian Walking,15.2,4.0,0.91,Automatic Emergency Braking (AEB)
VOLVO-VRU-1147,Cyclist Fast,44.1,4.1,3.66,Warning Prompt in Driver Display
VOLVO-VRU-1148,Pedestrian Walking,14.8,5.5,1.22,Automatic Emergency Braking (AEB)
VOLVO-VRU-1149,E-Scooter Commuter,5.5,5.2,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1150,Pedestrian Walking,12.9,1.3,1.52,Automatic Emergency Braking (AEB)
VOLVO-VRU-1151,Pedestrian Running,44.3,3.7,3.54,Warning Prompt in Driver Display
VOLVO-VRU-1152,Pedestrian Walking,42.2,4.1,3.53,Warning Prompt in Driver Display
VOLVO-VRU-1153,Pedestrian Walking,9.0,6.7,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1154,Pedestrian Walking,25.6,3.4,1.97,Warning Prompt in Driver Display
VOLVO-VRU-1155,Pedestrian Walking,26.6,6.9,1.81,Warning Prompt in Driver Display
VOLVO-VRU-1156,Pedestrian Walking,22.9,2.5,1.93,Warning Prompt in Driver Display
VOLVO-VRU-1157,Pedestrian Running,12.0,5.4,1.1,Automatic Emergency Braking (AEB)
VOLVO-VRU-1158,Pedestrian Walking,38.1,4.8,2.94,Warning Prompt in Driver Display
VOLVO-VRU-1159,Cyclist Fast,19.8,6.7,1.41,Automatic Emergency Braking (AEB)
VOLVO-VRU-1160,Pedestrian Walking,10.2,4.0,1.02,Automatic Emergency Braking (AEB)
VOLVO-VRU-1161,Pedestrian Walking,15.4,2.9,1.16,Automatic Emergency Braking (AEB)
VOLVO-VRU-1162,Cyclist Fast,27.8,1.5,2.66,Warning Prompt in Driver Display
VOLVO-VRU-1163,Pedestrian Walking,6.0,3.9,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1164,Cyclist Fast,36.7,3.3,3.08,Warning Prompt in Driver Display
VOLVO-VRU-1165,Pedestrian Walking,38.8,6.2,2.62,Warning Prompt in Driver Display
VOLVO-VRU-1166,Pedestrian Running,10.4,1.6,0.84,Automatic Emergency Braking (AEB)
VOLVO-VRU-1167,Pedestrian Walking,30.9,6.2,1.8,Warning Prompt in Driver Display
VOLVO-VRU-1168,Pedestrian Walking,26.6,6.6,2.02,Warning Prompt in Driver Display
VOLVO-VRU-1169,E-Scooter Commuter,16.1,4.5,1.13,Automatic Emergency Braking (AEB)
VOLVO-VRU-1170,Pedestrian Walking,42.1,3.1,3.37,Warning Prompt in Driver Display
VOLVO-VRU-1171,Cyclist Fast,26.0,3.3,2.2,Warning Prompt in Driver Display
VOLVO-VRU-1172,Pedestrian Walking,33.1,4.3,2.58,Warning Prompt in Driver Display
VOLVO-VRU-1173,Pedestrian Running,30.2,1.9,2.87,Warning Prompt in Driver Display
VOLVO-VRU-1174,Pedestrian Walking,29.1,7.2,1.92,Warning Prompt in Driver Display
VOLVO-VRU-1175,Cyclist Fast,17.2,2.0,1.49,Automatic Emergency Braking (AEB)
VOLVO-VRU-1176,Cyclist Fast,25.2,5.1,1.91,Warning Prompt in Driver Display
VOLVO-VRU-1177,Child Crossing,9.3,1.2,1.06,Automatic Emergency Braking (AEB)
VOLVO-VRU-1178,Pedestrian Walking,18.3,1.1,1.78,Automatic Emergency Braking (AEB)
VOLVO-VRU-1179,Cyclist Fast,21.8,5.2,1.67,Automatic Emergency Braking (AEB)
VOLVO-VRU-1180,Cyclist Fast,23.8,5.1,2.1,Warning Prompt in Driver Display
VOLVO-VRU-1181,Pedestrian Running,10.0,5.1,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1182,Pedestrian Walking,22.3,4.0,1.93,Warning Prompt in Driver Display
VOLVO-VRU-1183,Pedestrian Walking,24.6,3.4,2.3,Warning Prompt in Driver Display
VOLVO-VRU-1184,Pedestrian Walking,24.4,4.8,1.95,Warning Prompt in Driver Display
VOLVO-VRU-1185,Pedestrian Walking,15.9,6.4,1.06,Automatic Emergency Braking (AEB)
VOLVO-VRU-1186,Pedestrian Walking,14.0,6.9,1.1,Automatic Emergency Braking (AEB)
VOLVO-VRU-1187,Cyclist Fast,16.7,5.7,0.98,Automatic Emergency Braking (AEB)
VOLVO-VRU-1188,Pedestrian Running,43.3,6.9,2.73,Warning Prompt in Driver Display
VOLVO-VRU-1189,Cyclist Fast,5.8,2.8,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1190,Pedestrian Walking,38.5,6.5,2.61,Warning Prompt in Driver Display
VOLVO-VRU-1191,Pedestrian Walking,17.5,2.1,1.64,Automatic Emergency Braking (AEB)
VOLVO-VRU-1192,E-Scooter Commuter,25.7,4.3,2.1,Warning Prompt in Driver Display
VOLVO-VRU-1193,Pedestrian Walking,6.9,1.8,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1194,Pedestrian Walking,30.4,4.7,2.29,Warning Prompt in Driver Display
VOLVO-VRU-1195,Pedestrian Walking,27.7,3.0,2.54,Warning Prompt in Driver Display
VOLVO-VRU-1196,E-Scooter Commuter,13.2,5.6,0.96,Automatic Emergency Braking (AEB)
VOLVO-VRU-1197,Cyclist Fast,33.6,5.8,2.21,Warning Prompt in Driver Display
VOLVO-VRU-1198,Pedestrian Running,32.2,4.6,2.62,Warning Prompt in Driver Display
VOLVO-VRU-1199,Pedestrian Walking,27.5,3.3,2.12,Warning Prompt in Driver Display
VOLVO-VRU-1200,Pedestrian Walking,30.3,3.3,2.64,Warning Prompt in Driver Display
VOLVO-VRU-1201,Child Crossing,8.5,1.7,0.87,Automatic Emergency Braking (AEB)
VOLVO-VRU-1202,Pedestrian Walking,10.7,2.2,1.16,Automatic Emergency Braking (AEB)
VOLVO-VRU-1203,Pedestrian Walking,7.2,3.0,0.87,Automatic Emergency Braking (AEB)
VOLVO-VRU-1204,Pedestrian Walking,22.4,3.6,1.97,Warning Prompt in Driver Display
VOLVO-VRU-1205,Pedestrian Walking,25.3,4.8,1.68,Automatic Emergency Braking (AEB)
VOLVO-VRU-1206,Pedestrian Walking,23.9,4.1,1.82,Warning Prompt in Driver Display
VOLVO-VRU-1207,Pedestrian Running,22.2,2.7,2.3,Warning Prompt in Driver Display
VOLVO-VRU-1208,Pedestrian Walking,10.6,2.9,0.83,Automatic Emergency Braking (AEB)
VOLVO-VRU-1209,Cyclist Fast,31.0,2.6,3.12,Warning Prompt in Driver Display
VOLVO-VRU-1210,Pedestrian Running,6.5,5.5,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1211,Child Crossing,29.1,1.3,2.9,Warning Prompt in Driver Display
VOLVO-VRU-1212,Pedestrian Walking,38.0,6.6,2.48,Warning Prompt in Driver Display
VOLVO-VRU-1213,Pedestrian Running,27.3,5.5,1.92,Warning Prompt in Driver Display
VOLVO-VRU-1214,Cyclist Fast,8.4,7.2,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1215,Cyclist Fast,16.5,4.5,1.39,Automatic Emergency Braking (AEB)
VOLVO-VRU-1216,Pedestrian Walking,41.5,1.3,4.17,Warning Prompt in Driver Display
VOLVO-VRU-1217,Pedestrian Walking,23.0,4.0,2.05,Warning Prompt in Driver Display
VOLVO-VRU-1218,Child Crossing,34.6,2.3,3.0,Warning Prompt in Driver Display
VOLVO-VRU-1219,Cyclist Fast,42.3,4.4,3.24,Warning Prompt in Driver Display
VOLVO-VRU-1220,Pedestrian Walking,24.8,7.3,1.65,Automatic Emergency Braking (AEB)
VOLVO-VRU-1221,Pedestrian Walking,9.9,3.6,0.72,Automatic Emergency Braking (AEB)
VOLVO-VRU-1222,Child Crossing,16.8,6.2,1.19,Automatic Emergency Braking (AEB)
VOLVO-VRU-1223,Pedestrian Walking,23.9,1.4,2.62,Warning Prompt in Driver Display
VOLVO-VRU-1224,Pedestrian Walking,43.2,5.2,3.15,Warning Prompt in Driver Display
VOLVO-VRU-1225,Pedestrian Walking,24.7,5.7,1.81,Warning Prompt in Driver Display
VOLVO-VRU-1226,Pedestrian Walking,15.7,1.5,1.77,Automatic Emergency Braking (AEB)
VOLVO-VRU-1227,Child Crossing,21.4,3.4,1.41,Automatic Emergency Braking (AEB)
VOLVO-VRU-1228,E-Scooter Commuter,9.9,5.0,0.71,Automatic Emergency Braking (AEB)
VOLVO-VRU-1229,Pedestrian Running,21.3,5.9,1.55,Automatic Emergency Braking (AEB)
VOLVO-VRU-1230,Pedestrian Walking,17.5,6.6,0.81,Automatic Emergency Braking (AEB)
VOLVO-VRU-1231,Pedestrian Running,6.1,6.6,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1232,Pedestrian Walking,17.0,1.7,1.62,Automatic Emergency Braking (AEB)
VOLVO-VRU-1233,Pedestrian Walking,7.9,6.9,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1234,Pedestrian Walking,35.4,1.7,3.25,Warning Prompt in Driver Display
VOLVO-VRU-1235,Child Crossing,8.2,1.4,1.09,Automatic Emergency Braking (AEB)
VOLVO-VRU-1236,Cyclist Fast,38.5,5.4,2.66,Warning Prompt in Driver Display
VOLVO-VRU-1237,Pedestrian Walking,30.7,4.0,2.19,Warning Prompt in Driver Display
VOLVO-VRU-1238,Pedestrian Walking,20.9,7.4,1.11,Automatic Emergency Braking (AEB)
VOLVO-VRU-1239,Cyclist Fast,7.2,5.2,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1240,Pedestrian Running,37.2,3.1,2.72,Warning Prompt in Driver Display
VOLVO-VRU-1241,Pedestrian Walking,38.8,2.6,3.44,Warning Prompt in Driver Display
VOLVO-VRU-1242,Pedestrian Walking,41.0,7.3,2.99,Warning Prompt in Driver Display
VOLVO-VRU-1243,E-Scooter Commuter,22.1,3.8,1.56,Automatic Emergency Braking (AEB)
VOLVO-VRU-1244,Child Crossing,40.1,1.8,3.89,Warning Prompt in Driver Display
VOLVO-VRU-1245,Pedestrian Walking,33.4,1.3,3.42,Warning Prompt in Driver Display
VOLVO-VRU-1246,E-Scooter Commuter,25.3,1.9,2.57,Warning Prompt in Driver Display
VOLVO-VRU-1247,Pedestrian Walking,25.3,2.6,2.5,Warning Prompt in Driver Display
VOLVO-VRU-1248,Pedestrian Running,26.9,1.3,2.72,Warning Prompt in Driver Display
VOLVO-VRU-1249,Pedestrian Walking,18.9,6.5,0.9,Automatic Emergency Braking (AEB)
VOLVO-VRU-1250,Pedestrian Walking,20.5,2.2,2.18,Warning Prompt in Driver Display
VOLVO-VRU-1251,Pedestrian Walking,9.8,5.3,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1252,E-Scooter Commuter,22.9,4.6,2.12,Warning Prompt in Driver Display
VOLVO-VRU-1253,Child Crossing,28.2,7.5,1.5,Automatic Emergency Braking (AEB)
VOLVO-VRU-1254,Pedestrian Walking,21.5,6.2,1.49,Automatic Emergency Braking (AEB)
VOLVO-VRU-1255,Pedestrian Running,30.4,5.9,2.12,Warning Prompt in Driver Display
VOLVO-VRU-1256,E-Scooter Commuter,45.0,4.2,3.65,Warning Prompt in Driver Display
VOLVO-VRU-1257,Pedestrian Walking,8.3,6.3,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1258,E-Scooter Commuter,39.2,1.2,4.14,Warning Prompt in Driver Display
VOLVO-VRU-1259,Pedestrian Walking,13.2,3.6,1.24,Automatic Emergency Braking (AEB)
VOLVO-VRU-1260,Pedestrian Walking,44.1,4.7,3.29,Warning Prompt in Driver Display
VOLVO-VRU-1261,Pedestrian Running,35.9,3.0,2.95,Warning Prompt in Driver Display
VOLVO-VRU-1262,Pedestrian Running,39.5,4.5,2.75,Warning Prompt in Driver Display
VOLVO-VRU-1263,Pedestrian Walking,31.1,6.1,2.32,Warning Prompt in Driver Display
VOLVO-VRU-1264,Child Crossing,5.8,5.2,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1265,Pedestrian Running,26.8,6.6,1.95,Warning Prompt in Driver Display
VOLVO-VRU-1266,Child Crossing,19.6,4.6,1.64,Automatic Emergency Braking (AEB)
VOLVO-VRU-1267,Pedestrian Walking,9.1,5.3,0.75,Automatic Emergency Braking (AEB)
VOLVO-VRU-1268,Pedestrian Running,16.3,1.4,1.47,Automatic Emergency Braking (AEB)
VOLVO-VRU-1269,Pedestrian Walking,10.3,5.5,0.6,Automatic Emergency Braking (AEB)
VOLVO-VRU-1270,Child Crossing,36.2,5.9,2.76,Warning Prompt in Driver Display
VOLVO-VRU-1271,Pedestrian Walking,35.4,2.3,3.29,Warning Prompt in Driver Display
VOLVO-VRU-1272,Pedestrian Walking,25.9,1.6,2.59,Warning Prompt in Driver Display
VOLVO-VRU-1273,Pedestrian Walking,36.9,6.7,2.83,Warning Prompt in Driver Display
VOLVO-VRU-1274,Pedestrian Walking,9.2,4.4,0.96,Automatic Emergency Braking (AEB)
VOLVO-VRU-1275,Pedestrian Walking,33.7,2.0,2.95,Warning Prompt in Driver Display
VOLVO-VRU-1276,E-Scooter Commuter,8.5,6.5,0.6,Automatic Emergency Braking (AEB)
