Aero_Run_ID,Speed_kmh,Lateral_Acceleration_G,ALA_Flap_State,Total_Downforce_kg,Inner_Wheel_Yaw_Load_pct
LAMBO-ALA-1025,334.9,1.49,High Downforce (Flaps Closed),502.7,71.8
LAMBO-ALA-1026,231.9,0.54,High Downforce (Flaps Closed),238.9,58.6
LAMBO-ALA-1027,160.5,1.33,Aero-Vectoring Right,77.8,71.7
LAMBO-ALA-1028,255.1,-0.08,Aero-Vectoring Left,209.5,50.2
LAMBO-ALA-1029,324.2,0.96,High Downforce (Flaps Closed),480.9,66.4
LAMBO-ALA-1030,337.6,0.26,High Downforce (Flaps Closed),495.5,52.6
LAMBO-ALA-1031,156.7,-0.01,Low Drag (Flaps Open),24.7,45.8
LAMBO-ALA-1032,310.0,-0.65,High Downforce (Flaps Closed),439.5,40.2
LAMBO-ALA-1033,207.0,0.63,Aero-Vectoring Left,142.9,58.0
LAMBO-ALA-1034,204.0,-1.3,High Downforce (Flaps Closed),184.4,33.6
LAMBO-ALA-1035,133.0,0.24,Aero-Vectoring Right,46.4,52.5
LAMBO-ALA-1036,171.9,-0.79,High Downforce (Flaps Closed),130.3,39.1
LAMBO-ALA-1037,230.3,0.35,High Downforce (Flaps Closed),220.4,56.1
LAMBO-ALA-1038,128.8,0.99,High Downforce (Flaps Closed),64.1,61.0
LAMBO-ALA-1039,325.5,-1.11,High Downforce (Flaps Closed),475.0,31.9
LAMBO-ALA-1040,149.0,1.11,High Downforce (Flaps Closed),112.2,67.1
LAMBO-ALA-1041,307.7,0.07,High Downforce (Flaps Closed),408.2,50.7
LAMBO-ALA-1042,141.2,-1.25,Aero-Vectoring Right,58.4,31.5
LAMBO-ALA-1043,283.2,-1.41,High Downforce (Flaps Closed),368.9,28.0
LAMBO-ALA-1044,192.3,-0.45,High Downforce (Flaps Closed),163.8,45.4
LAMBO-ALA-1045,308.6,0.01,Aero-Vectoring Right,309.4,47.8
LAMBO-ALA-1046,155.8,-0.35,High Downforce (Flaps Closed),114.1,46.1
LAMBO-ALA-1047,214.5,0.88,Aero-Vectoring Right,155.5,64.2
LAMBO-ALA-1048,179.7,0.65,Low Drag (Flaps Open),50.7,58.3
LAMBO-ALA-1049,285.5,-1.01,Low Drag (Flaps Open),118.4,32.2
LAMBO-ALA-1050,127.6,1.39,Low Drag (Flaps Open),23.1,67.8
LAMBO-ALA-1051,310.1,-0.48,Aero-Vectoring Left,304.4,44.1
LAMBO-ALA-1052,182.2,1.42,Aero-Vectoring Left,110.4,68.6
LAMBO-ALA-1053,171.1,1.43,Aero-Vectoring Right,81.5,70.9
LAMBO-ALA-1054,171.0,0.75,Aero-Vectoring Right,89.7,60.3
LAMBO-ALA-1055,168.8,-0.68,High Downforce (Flaps Closed),135.0,40.5
LAMBO-ALA-1056,306.5,0.71,High Downforce (Flaps Closed),427.2,57.7
LAMBO-ALA-1057,258.6,1.19,Low Drag (Flaps Open),89.8,66.8
LAMBO-ALA-1058,199.8,0.16,High Downforce (Flaps Closed),182.1,52.8
LAMBO-ALA-1059,282.3,0.79,Low Drag (Flaps Open),118.1,64.6
LAMBO-ALA-1060,292.1,0.07,High Downforce (Flaps Closed),381.2,49.8
LAMBO-ALA-1061,154.2,0.09,Aero-Vectoring Left,60.8,48.6
LAMBO-ALA-1062,208.2,-1.31,Aero-Vectoring Right,128.0,33.5
LAMBO-ALA-1063,137.8,0.48,High Downforce (Flaps Closed),82.5,56.0
LAMBO-ALA-1064,296.5,0.41,Low Drag (Flaps Open),126.4,55.5
LAMBO-ALA-1065,301.6,-0.79,Aero-Vectoring Left,286.4,37.9
LAMBO-ALA-1066,211.2,1.15,High Downforce (Flaps Closed),213.9,70.8
LAMBO-ALA-1067,314.5,0.79,High Downforce (Flaps Closed),451.8,64.6
LAMBO-ALA-1068,143.5,-1.46,Aero-Vectoring Left,60.1,28.0
LAMBO-ALA-1069,128.2,-1.36,Aero-Vectoring Right,48.1,30.8
LAMBO-ALA-1070,289.4,-1.37,Aero-Vectoring Left,279.0,30.1
LAMBO-ALA-1071,158.8,0.7,Aero-Vectoring Left,75.1,59.6
LAMBO-ALA-1072,204.1,-0.03,High Downforce (Flaps Closed),184.4,51.8
LAMBO-ALA-1073,218.2,-0.47,Aero-Vectoring Right,151.2,41.5
LAMBO-ALA-1074,307.5,0.35,High Downforce (Flaps Closed),434.0,55.3
LAMBO-ALA-1075,326.6,-0.62,High Downforce (Flaps Closed),477.6,39.4
LAMBO-ALA-1076,317.0,1.02,High Downforce (Flaps Closed),449.3,63.9
LAMBO-ALA-1077,291.6,-0.62,Low Drag (Flaps Open),111.6,43.9
LAMBO-ALA-1078,280.5,0.49,High Downforce (Flaps Closed),370.7,56.3
LAMBO-ALA-1079,246.7,1.18,Low Drag (Flaps Open),84.9,64.9
LAMBO-ALA-1080,321.6,-0.19,Aero-Vectoring Right,323.6,50.1
LAMBO-ALA-1081,261.7,0.21,Low Drag (Flaps Open),92.8,52.4
LAMBO-ALA-1082,252.5,-0.16,Aero-Vectoring Left,199.6,47.5
LAMBO-ALA-1083,125.2,0.94,Low Drag (Flaps Open),20.8,63.0
LAMBO-ALA-1084,312.2,1.43,Aero-Vectoring Left,305.5,68.4
LAMBO-ALA-1085,282.1,-0.97,High Downforce (Flaps Closed),349.5,38.4
LAMBO-ALA-1086,303.3,0.89,Aero-Vectoring Right,291.0,63.3
LAMBO-ALA-1087,286.6,0.85,Aero-Vectoring Right,277.2,64.6
LAMBO-ALA-1088,244.9,-1.1,Low Drag (Flaps Open),79.6,35.7
LAMBO-ALA-1089,238.8,0.86,High Downforce (Flaps Closed),248.4,60.9
LAMBO-ALA-1090,236.8,-0.72,Aero-Vectoring Right,188.0,39.3
LAMBO-ALA-1091,162.0,0.07,High Downforce (Flaps Closed),106.5,48.9
LAMBO-ALA-1092,154.1,1.45,High Downforce (Flaps Closed),114.3,72.0
LAMBO-ALA-1093,208.3,-0.67,Low Drag (Flaps Open),71.6,37.3
LAMBO-ALA-1094,229.8,0.12,High Downforce (Flaps Closed),244.8,52.1
LAMBO-ALA-1095,282.2,0.13,Aero-Vectoring Right,236.5,53.5
LAMBO-ALA-1096,153.5,1.01,Aero-Vectoring Right,67.7,62.9
LAMBO-ALA-1097,126.6,-0.22,Aero-Vectoring Right,53.5,44.0
LAMBO-ALA-1098,141.6,-1.32,Aero-Vectoring Right,73.7,29.1
LAMBO-ALA-1099,187.2,-0.81,Aero-Vectoring Right,108.7,38.7
LAMBO-ALA-1100,184.5,0.78,Aero-Vectoring Right,92.4,59.8
LAMBO-ALA-1101,334.6,1.33,Low Drag (Flaps Open),154.2,69.1
LAMBO-ALA-1102,218.4,1.1,High Downforce (Flaps Closed),221.4,65.3
LAMBO-ALA-1103,260.2,0.26,Aero-Vectoring Right,212.9,52.9
LAMBO-ALA-1104,277.1,0.04,Low Drag (Flaps Open),113.6,47.3
LAMBO-ALA-1105,201.8,0.54,Low Drag (Flaps Open),59.6,54.8
LAMBO-ALA-1106,259.4,1.07,Aero-Vectoring Right,208.0,65.3
LAMBO-ALA-1107,290.5,-0.13,High Downforce (Flaps Closed),356.3,47.4
LAMBO-ALA-1108,249.3,1.33,High Downforce (Flaps Closed),263.4,68.2
LAMBO-ALA-1109,186.2,-0.74,High Downforce (Flaps Closed),131.9,37.5
LAMBO-ALA-1110,165.3,-1.41,Aero-Vectoring Left,84.3,30.3
LAMBO-ALA-1111,321.7,0.52,Low Drag (Flaps Open),148.2,61.0
LAMBO-ALA-1112,203.9,1.11,Low Drag (Flaps Open),48.8,63.0
LAMBO-ALA-1113,247.2,-1.43,High Downforce (Flaps Closed),268.1,31.8
LAMBO-ALA-1114,273.5,0.84,High Downforce (Flaps Closed),334.1,60.7
LAMBO-ALA-1115,300.4,1.1,High Downforce (Flaps Closed),409.2,67.0
LAMBO-ALA-1116,266.4,-0.43,Aero-Vectoring Right,236.2,43.7
LAMBO-ALA-1117,194.3,-0.22,Low Drag (Flaps Open),59.7,47.8
LAMBO-ALA-1118,223.3,-0.05,Aero-Vectoring Left,141.7,52.4
LAMBO-ALA-1119,245.1,0.35,Low Drag (Flaps Open),77.2,54.4
LAMBO-ALA-1120,337.7,-0.82,Aero-Vectoring Left,367.4,35.5
LAMBO-ALA-1121,255.2,1.35,Aero-Vectoring Right,211.4,70.1
LAMBO-ALA-1122,162.6,0.72,Aero-Vectoring Right,74.7,62.7
LAMBO-ALA-1123,322.2,-0.66,Low Drag (Flaps Open),138.5,39.3
LAMBO-ALA-1124,256.0,0.62,Aero-Vectoring Right,202.9,58.1
LAMBO-ALA-1125,132.1,0.61,Aero-Vectoring Left,61.4,55.1
LAMBO-ALA-1126,133.9,-0.13,Low Drag (Flaps Open),13.2,46.5
LAMBO-ALA-1127,195.8,-0.66,Aero-Vectoring Right,123.7,40.6
LAMBO-ALA-1128,304.1,-1.11,High Downforce (Flaps Closed),413.3,31.6
LAMBO-ALA-1129,187.6,-0.38,Aero-Vectoring Right,111.8,43.8
LAMBO-ALA-1130,337.3,1.34,Aero-Vectoring Left,349.9,69.0
LAMBO-ALA-1131,301.4,-0.13,Aero-Vectoring Right,302.4,48.0
LAMBO-ALA-1132,215.2,-0.15,Aero-Vectoring Left,141.2,46.5
LAMBO-ALA-1133,129.8,0.63,Aero-Vectoring Right,72.2,52.4
LAMBO-ALA-1134,181.0,-1.11,High Downforce (Flaps Closed),159.3,33.7
LAMBO-ALA-1135,203.7,-1.34,Aero-Vectoring Left,121.1,32.2
LAMBO-ALA-1136,200.2,0.73,High Downforce (Flaps Closed),194.3,58.9
LAMBO-ALA-1137,149.5,0.29,High Downforce (Flaps Closed),111.6,50.7
LAMBO-ALA-1138,160.3,0.49,High Downforce (Flaps Closed),100.8,57.7
LAMBO-ALA-1139,123.3,1.27,High Downforce (Flaps Closed),61.6,68.3
LAMBO-ALA-1140,186.0,0.93,High Downforce (Flaps Closed),146.5,64.9
LAMBO-ALA-1141,177.4,-0.43,Low Drag (Flaps Open),38.4,46.4
LAMBO-ALA-1142,325.9,1.13,Aero-Vectoring Right,342.7,67.5
LAMBO-ALA-1143,181.6,-0.42,High Downforce (Flaps Closed),152.9,42.3
LAMBO-ALA-1144,320.3,-1.3,Aero-Vectoring Left,332.5,31.4
LAMBO-ALA-1145,303.6,0.06,High Downforce (Flaps Closed),430.1,48.4
LAMBO-ALA-1146,322.6,-0.32,Aero-Vectoring Left,334.3,47.0
LAMBO-ALA-1147,305.3,0.19,High Downforce (Flaps Closed),436.1,55.1
LAMBO-ALA-1148,139.7,-0.22,High Downforce (Flaps Closed),92.7,45.9
LAMBO-ALA-1149,155.8,0.6,High Downforce (Flaps Closed),94.0,58.0
LAMBO-ALA-1150,132.7,0.27,Aero-Vectoring Left,46.7,54.3
LAMBO-ALA-1151,263.8,0.37,Aero-Vectoring Left,227.8,54.5
LAMBO-ALA-1152,331.6,0.83,High Downforce (Flaps Closed),484.3,62.9
LAMBO-ALA-1153,137.2,-0.35,High Downforce (Flaps Closed),83.2,46.1
LAMBO-ALA-1154,321.7,-0.85,Low Drag (Flaps Open),139.3,42.9
LAMBO-ALA-1155,236.8,0.62,High Downforce (Flaps Closed),250.2,58.1
LAMBO-ALA-1156,209.9,-0.91,Aero-Vectoring Right,136.1,39.9
LAMBO-ALA-1157,165.4,0.49,High Downforce (Flaps Closed),137.7,54.1
LAMBO-ALA-1158,287.0,1.42,Low Drag (Flaps Open),127.9,71.3
LAMBO-ALA-1159,208.6,1.31,High Downforce (Flaps Closed),208.6,67.6
LAMBO-ALA-1160,162.9,1.45,Aero-Vectoring Right,102.6,69.0
LAMBO-ALA-1161,145.2,-0.64,High Downforce (Flaps Closed),90.3,41.8
LAMBO-ALA-1162,227.2,-1.19,Aero-Vectoring Right,155.1,33.6
LAMBO-ALA-1163,286.7,-1.27,Aero-Vectoring Right,276.4,31.1
LAMBO-ALA-1164,238.6,0.08,Low Drag (Flaps Open),82.6,50.4
LAMBO-ALA-1165,276.0,-1.28,Aero-Vectoring Left,222.3,33.0
LAMBO-ALA-1166,139.4,-0.5,Low Drag (Flaps Open),20.0,43.9
LAMBO-ALA-1167,226.0,-0.22,Aero-Vectoring Left,154.2,46.0
LAMBO-ALA-1168,279.9,0.78,Aero-Vectoring Right,251.7,62.8
LAMBO-ALA-1169,144.9,1.09,Aero-Vectoring Right,61.9,65.8
LAMBO-ALA-1170,139.2,0.1,Aero-Vectoring Right,59.5,50.1
LAMBO-ALA-1171,149.1,-1.23,Aero-Vectoring Left,75.1,28.0
LAMBO-ALA-1172,161.3,-0.6,High Downforce (Flaps Closed),117.1,38.4
LAMBO-ALA-1173,135.5,-1.23,Low Drag (Flaps Open),17.9,31.0
LAMBO-ALA-1174,257.1,0.99,Aero-Vectoring Right,226.8,65.9
LAMBO-ALA-1175,216.0,-0.81,High Downforce (Flaps Closed),216.8,41.3
LAMBO-ALA-1176,273.1,1.44,Aero-Vectoring Left,236.6,71.7
LAMBO-ALA-1177,226.0,1.18,High Downforce (Flaps Closed),226.6,68.0
LAMBO-ALA-1178,195.8,-1.12,High Downforce (Flaps Closed),179.1,32.3
LAMBO-ALA-1179,185.4,-1.26,High Downforce (Flaps Closed),160.6,30.8
LAMBO-ALA-1180,319.4,1.1,Aero-Vectoring Right,313.3,66.5
LAMBO-ALA-1181,330.9,-0.88,Aero-Vectoring Left,348.7,37.1
LAMBO-ALA-1182,327.2,-0.57,High Downforce (Flaps Closed),468.3,45.2
LAMBO-ALA-1183,331.5,-0.97,Low Drag (Flaps Open),159.9,36.2
LAMBO-ALA-1184,250.0,0.05,Aero-Vectoring Left,200.1,49.5
LAMBO-ALA-1185,300.8,-0.13,Aero-Vectoring Left,283.5,47.8
LAMBO-ALA-1186,298.0,0.27,High Downforce (Flaps Closed),408.3,54.3
LAMBO-ALA-1187,214.8,-1.15,Aero-Vectoring Left,150.8,33.0
LAMBO-ALA-1188,320.2,0.41,Aero-Vectoring Left,335.0,55.1
LAMBO-ALA-1189,283.9,-0.96,Aero-Vectoring Left,250.6,35.3
LAMBO-ALA-1190,248.8,1.24,High Downforce (Flaps Closed),283.8,64.1
LAMBO-ALA-1191,162.1,-1.45,High Downforce (Flaps Closed),110.6,28.7
LAMBO-ALA-1192,147.4,1.0,High Downforce (Flaps Closed),88.9,62.5
LAMBO-ALA-1193,159.2,1.45,Aero-Vectoring Left,70.9,72.0
LAMBO-ALA-1194,199.4,0.78,Low Drag (Flaps Open),50.9,59.9
LAMBO-ALA-1195,264.3,-0.98,Aero-Vectoring Left,219.4,35.8
LAMBO-ALA-1196,288.3,-1.1,Aero-Vectoring Left,279.8,40.1
LAMBO-ALA-1197,162.4,-0.73,Aero-Vectoring Right,85.0,39.6
LAMBO-ALA-1198,164.0,-1.44,High Downforce (Flaps Closed),111.5,31.2
LAMBO-ALA-1199,320.3,1.17,High Downforce (Flaps Closed),447.2,64.8
LAMBO-ALA-1200,180.9,-1.21,Aero-Vectoring Right,99.1,34.7
LAMBO-ALA-1201,185.2,-1.38,Aero-Vectoring Right,107.1,33.1
LAMBO-ALA-1202,304.6,0.59,High Downforce (Flaps Closed),402.8,59.6
LAMBO-ALA-1203,143.4,0.67,High Downforce (Flaps Closed),84.7,59.1
LAMBO-ALA-1204,150.1,1.02,High Downforce (Flaps Closed),111.3,63.2
LAMBO-ALA-1205,220.5,-0.97,Low Drag (Flaps Open),70.2,37.4
LAMBO-ALA-1206,284.3,0.39,Low Drag (Flaps Open),112.9,53.3
LAMBO-ALA-1207,311.6,0.81,High Downforce (Flaps Closed),431.7,62.9
LAMBO-ALA-1208,162.4,-1.04,Low Drag (Flaps Open),35.4,33.7
LAMBO-ALA-1209,278.9,0.64,Aero-Vectoring Left,230.2,57.9
LAMBO-ALA-1210,159.6,0.19,Aero-Vectoring Left,83.4,51.8
LAMBO-ALA-1211,182.1,-0.3,Low Drag (Flaps Open),47.0,47.0
LAMBO-ALA-1212,138.1,1.47,High Downforce (Flaps Closed),79.1,71.5
LAMBO-ALA-1213,316.6,0.15,High Downforce (Flaps Closed),453.2,52.6
LAMBO-ALA-1214,303.5,0.58,High Downforce (Flaps Closed),422.2,56.3
LAMBO-ALA-1215,151.2,-1.17,Aero-Vectoring Left,83.2,34.7
LAMBO-ALA-1216,296.1,-0.64,Aero-Vectoring Right,275.9,42.0
LAMBO-ALA-1217,162.3,1.39,Low Drag (Flaps Open),39.5,67.9
LAMBO-ALA-1218,325.2,0.11,Aero-Vectoring Right,311.3,56.1
LAMBO-ALA-1219,265.0,0.4,High Downforce (Flaps Closed),313.4,56.4
LAMBO-ALA-1220,303.5,-0.07,Aero-Vectoring Right,295.6,50.0
LAMBO-ALA-1221,177.1,0.78,Low Drag (Flaps Open),46.4,62.8
LAMBO-ALA-1222,151.7,-0.08,Aero-Vectoring Right,60.4,50.0
LAMBO-ALA-1223,149.0,-0.64,High Downforce (Flaps Closed),89.3,44.4
LAMBO-ALA-1224,281.3,0.36,Aero-Vectoring Right,259.1,54.4
LAMBO-ALA-1225,173.1,0.87,Aero-Vectoring Right,106.0,61.3
LAMBO-ALA-1226,174.6,-0.33,High Downforce (Flaps Closed),148.1,44.4
LAMBO-ALA-1227,296.9,-0.64,High Downforce (Flaps Closed),389.8,38.4
LAMBO-ALA-1228,170.0,-0.16,High Downforce (Flaps Closed),125.0,48.5
LAMBO-ALA-1229,218.8,0.58,Aero-Vectoring Right,152.9,60.6
LAMBO-ALA-1230,205.9,1.03,Aero-Vectoring Right,140.2,61.6
LAMBO-ALA-1231,288.1,1.5,High Downforce (Flaps Closed),372.7,68.2
LAMBO-ALA-1232,326.8,1.34,Aero-Vectoring Left,328.0,71.3
LAMBO-ALA-1233,201.9,0.16,Aero-Vectoring Right,123.9,53.4
LAMBO-ALA-1234,337.0,0.65,Aero-Vectoring Left,365.6,60.1
LAMBO-ALA-1235,134.3,1.44,Aero-Vectoring Right,60.6,72.0
LAMBO-ALA-1236,122.7,-0.81,Aero-Vectoring Right,53.8,42.9
LAMBO-ALA-1237,276.0,0.73,Aero-Vectoring Left,227.4,60.9
LAMBO-ALA-1238,160.9,0.74,Aero-Vectoring Left,93.4,58.4
LAMBO-ALA-1239,139.3,0.34,Low Drag (Flaps Open),25.1,53.1
LAMBO-ALA-1240,179.4,1.24,High Downforce (Flaps Closed),141.5,69.3
LAMBO-ALA-1241,275.7,-1.26,High Downforce (Flaps Closed),333.8,32.1
LAMBO-ALA-1242,153.2,-0.28,High Downforce (Flaps Closed),106.9,49.6
LAMBO-ALA-1243,218.2,-0.81,High Downforce (Flaps Closed),213.0,39.3
LAMBO-ALA-1244,151.5,-0.43,Low Drag (Flaps Open),34.1,45.6
LAMBO-ALA-1245,245.7,-1.31,Low Drag (Flaps Open),95.7,29.8
LAMBO-ALA-1246,214.3,0.73,High Downforce (Flaps Closed),220.0,56.9
LAMBO-ALA-1247,205.6,-1.41,High Downforce (Flaps Closed),166.1,30.7
LAMBO-ALA-1248,199.0,0.11,High Downforce (Flaps Closed),178.4,52.5
LAMBO-ALA-1249,131.2,0.59,Aero-Vectoring Right,39.1,58.7
LAMBO-ALA-1250,146.4,-0.89,Low Drag (Flaps Open),30.9,35.9
LAMBO-ALA-1251,265.5,-0.34,Low Drag (Flaps Open),94.6,45.0
LAMBO-ALA-1252,330.6,0.94,Low Drag (Flaps Open),153.3,66.7
LAMBO-ALA-1253,175.2,1.35,Low Drag (Flaps Open),37.6,70.5
LAMBO-ALA-1254,296.9,1.3,Aero-Vectoring Right,277.4,68.8
LAMBO-ALA-1255,205.8,-0.44,Low Drag (Flaps Open),64.3,41.6
LAMBO-ALA-1256,127.7,-0.56,High Downforce (Flaps Closed),88.2,42.2
LAMBO-ALA-1257,247.6,0.65,High Downforce (Flaps Closed),265.2,59.4
LAMBO-ALA-1258,271.5,1.25,High Downforce (Flaps Closed),340.8,68.1
LAMBO-ALA-1259,202.4,0.24,High Downforce (Flaps Closed),197.0,53.3
LAMBO-ALA-1260,303.6,1.38,High Downforce (Flaps Closed),397.8,66.5
LAMBO-ALA-1261,257.6,-1.39,High Downforce (Flaps Closed),290.6,28.9
LAMBO-ALA-1262,148.3,-0.75,Aero-Vectoring Left,81.8,35.9
LAMBO-ALA-1263,309.4,-0.53,Aero-Vectoring Right,315.3,44.0
LAMBO-ALA-1264,249.7,1.17,Aero-Vectoring Right,207.2,71.3
LAMBO-ALA-1265,156.5,0.56,Aero-Vectoring Left,89.2,56.5
LAMBO-ALA-1266,260.4,-0.37,Low Drag (Flaps Open),81.9,44.4
LAMBO-ALA-1267,262.2,-0.8,High Downforce (Flaps Closed),310.0,36.8
LAMBO-ALA-1268,125.1,0.04,High Downforce (Flaps Closed),67.1,47.5
LAMBO-ALA-1269,227.9,0.47,Aero-Vectoring Left,168.6,60.6
LAMBO-ALA-1270,220.5,-1.31,Aero-Vectoring Left,150.1,30.2
LAMBO-ALA-1271,254.1,0.35,Aero-Vectoring Left,200.8,54.9
LAMBO-ALA-1272,193.8,-1.14,High Downforce (Flaps Closed),166.5,35.2
LAMBO-ALA-1273,142.7,0.45,Low Drag (Flaps Open),29.3,55.6
LAMBO-ALA-1274,261.3,1.29,Aero-Vectoring Right,218.8,64.3
LAMBO-ALA-1275,124.4,-1.23,Aero-Vectoring Right,51.7,32.2
LAMBO-ALA-1276,327.6,1.1,High Downforce (Flaps Closed),478.6,66.5
LAMBO-ALA-1277,223.4,-1.25,Low Drag (Flaps Open),70.0,34.6
LAMBO-ALA-1278,322.6,-0.53,Aero-Vectoring Left,336.2,46.0
LAMBO-ALA-1279,242.5,-1.08,Low Drag (Flaps Open),87.2,34.4
LAMBO-ALA-1280,330.7,-0.76,Low Drag (Flaps Open),154.1,38.8
LAMBO-ALA-1281,338.1,-1.05,Low Drag (Flaps Open),154.5,34.1
LAMBO-ALA-1282,154.6,-0.15,Low Drag (Flaps Open),35.4,50.3
LAMBO-ALA-1283,151.3,0.91,Aero-Vectoring Left,73.9,66.2
LAMBO-ALA-1284,308.6,0.04,Aero-Vectoring Left,297.5,51.0
LAMBO-ALA-1285,175.1,1.43,Low Drag (Flaps Open),46.7,65.5
LAMBO-ALA-1286,265.0,-0.93,Low Drag (Flaps Open),100.8,40.5
LAMBO-ALA-1287,246.8,-0.35,Aero-Vectoring Right,192.4,43.0
LAMBO-ALA-1288,177.1,-1.37,Low Drag (Flaps Open),43.5,33.6
LAMBO-ALA-1289,282.7,1.28,Aero-Vectoring Right,257.3,68.2
LAMBO-ALA-1290,147.6,-1.09,Low Drag (Flaps Open),32.0,36.3
LAMBO-ALA-1291,181.2,1.09,Low Drag (Flaps Open),46.7,64.5
LAMBO-ALA-1292,135.8,-0.59,Aero-Vectoring Left,57.6,43.6
LAMBO-ALA-1293,181.9,1.3,Aero-Vectoring Left,108.5,67.5
LAMBO-ALA-1294,132.0,-1.16,High Downforce (Flaps Closed),88.2,35.8
LAMBO-ALA-1295,127.2,-0.37,Low Drag (Flaps Open),22.7,46.0
LAMBO-ALA-1296,171.9,-1.37,Aero-Vectoring Left,90.9,28.6
LAMBO-ALA-1297,172.1,-1.35,Aero-Vectoring Right,94.9,31.9
LAMBO-ALA-1298,327.7,-0.02,Aero-Vectoring Left,347.6,46.5
LAMBO-ALA-1299,206.6,-0.2,Aero-Vectoring Right,145.1,47.4
LAMBO-ALA-1300,330.1,-1.13,High Downforce (Flaps Closed),468.7,35.7
LAMBO-ALA-1301,339.1,-0.36,Aero-Vectoring Right,368.1,44.7
LAMBO-ALA-1302,124.1,-0.65,High Downforce (Flaps Closed),65.5,35.1
LAMBO-ALA-1303,216.7,0.12,Aero-Vectoring Left,156.0,52.3
LAMBO-ALA-1304,231.4,0.77,Aero-Vectoring Right,179.2,61.9
LAMBO-ALA-1305,120.4,1.49,High Downforce (Flaps Closed),71.4,72.0
LAMBO-ALA-1306,210.3,-0.51,Aero-Vectoring Left,138.5,43.4
LAMBO-ALA-1307,243.4,0.78,High Downforce (Flaps Closed),258.6,59.4
LAMBO-ALA-1308,271.7,0.96,Aero-Vectoring Left,237.4,62.7
LAMBO-ALA-1309,124.2,1.14,High Downforce (Flaps Closed),68.8,67.3
LAMBO-ALA-1310,136.6,-1.34,Aero-Vectoring Left,61.7,28.2
LAMBO-ALA-1311,316.3,1.4,High Downforce (Flaps Closed),464.4,68.5
LAMBO-ALA-1312,233.9,1.02,High Downforce (Flaps Closed),238.9,66.3
LAMBO-ALA-1313,138.2,1.09,High Downforce (Flaps Closed),72.4,63.9
LAMBO-ALA-1314,309.4,-1.29,Aero-Vectoring Right,310.9,35.5
LAMBO-ALA-1315,281.0,0.19,Aero-Vectoring Right,260.9,51.6
LAMBO-ALA-1316,216.6,1.35,Aero-Vectoring Left,161.5,70.7
LAMBO-ALA-1317,250.5,1.03,High Downforce (Flaps Closed),287.9,62.9
LAMBO-ALA-1318,312.6,0.4,High Downforce (Flaps Closed),420.3,56.7
LAMBO-ALA-1319,159.7,1.17,Aero-Vectoring Left,88.3,71.0
LAMBO-ALA-1320,335.3,1.19,Aero-Vectoring Right,370.0,65.1
LAMBO-ALA-1321,216.4,0.3,High Downforce (Flaps Closed),223.3,54.4
LAMBO-ALA-1322,269.2,-1.46,Low Drag (Flaps Open),103.8,29.6
LAMBO-ALA-1323,180.8,-0.99,High Downforce (Flaps Closed),162.0,35.4
LAMBO-ALA-1324,319.3,-1.02,Aero-Vectoring Left,329.7,36.3
LAMBO-ALA-1325,310.0,0.84,Low Drag (Flaps Open),127.3,64.4
