Combustion_Cycle_ID,Engine_Speed_RPM,Twin_Turbo_Boost_Bar,Pre_Chamber_Temp_C,Turbulent_Jet_Velocity_m_s,Knock_Sensor_Volts,Combustion_State
MASERATI-MC20-1018,7568,3.12,828.3,97.6,0.96,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1019,7799,2.85,891.3,101.0,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1020,6213,2.69,825.8,92.9,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1021,4809,2.36,821.9,87.6,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1022,2736,1.7,733.5,74.8,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1023,2611,1.77,807.5,75.6,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1024,2245,1.6,802.3,69.6,0.66,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1025,3416,2.35,788.5,91.3,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1026,2415,1.61,783.6,72.7,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1027,7774,3.23,913.2,109.1,0.93,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1028,3168,1.94,787.3,79.7,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1029,7118,2.76,879.9,94.1,0.85,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1030,3422,2.12,804.0,81.0,0.85,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1031,2670,1.73,809.5,71.6,0.56,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1032,5435,2.39,805.6,87.1,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1033,6108,2.64,843.1,92.1,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1034,2756,1.9,794.5,73.6,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1035,2687,1.86,805.6,73.9,0.7,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1036,2022,1.47,761.5,71.6,0.49,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1037,5303,2.2,842.6,84.4,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1038,4795,2.36,809.0,87.4,0.64,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1039,3979,2.16,823.1,79.2,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1040,3535,1.99,779.5,75.4,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1041,4017,2.09,837.2,80.9,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1042,7340,2.81,860.4,97.0,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1043,7702,3.22,864.4,101.4,0.89,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1044,7664,3.12,860.5,96.8,0.91,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1045,2248,1.72,761.1,78.4,0.6,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1046,6687,2.72,832.3,98.6,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1047,7027,2.8,840.1,95.0,0.9,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1048,5004,2.36,790.4,89.7,0.85,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1049,6149,2.56,844.5,91.2,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1050,3105,1.89,748.3,79.3,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1051,5733,2.64,812.7,87.7,0.9,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1052,5171,2.54,822.9,92.6,0.92,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1053,5246,2.36,844.0,89.6,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1054,3121,1.52,773.6,79.5,0.7,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1055,3882,2.1,811.2,78.9,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1056,3055,1.86,780.1,80.7,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1057,5581,2.54,859.5,89.2,0.9,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1058,3670,1.85,737.9,74.9,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1059,2779,1.7,750.6,71.6,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1060,3895,2.2,802.5,76.1,0.68,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1061,3035,2.0,816.7,91.5,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1062,4421,2.06,824.4,69.1,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1063,4184,2.1,805.5,87.9,0.98,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1064,4646,2.18,813.5,83.2,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1065,3420,1.98,780.1,85.3,0.59,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1066,6089,2.67,873.2,89.6,0.87,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1067,2695,2.16,808.3,78.4,0.66,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1068,3850,2.0,824.0,79.0,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1069,6510,2.94,890.5,94.9,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1070,2373,1.66,794.0,73.0,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1071,7771,2.92,868.0,98.6,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1072,2542,1.64,744.6,74.4,0.68,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1073,6434,2.63,823.1,91.0,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1074,2897,1.68,758.5,72.0,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1075,5233,2.42,807.1,91.2,0.85,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1076,5383,2.23,832.8,92.7,0.93,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1077,5238,2.51,810.1,89.3,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1078,6191,2.64,834.3,94.5,0.95,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1079,6051,2.65,834.0,95.1,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1080,2395,1.76,799.5,81.6,0.63,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1081,5433,2.36,825.4,84.7,0.64,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1082,6059,2.38,859.1,90.1,0.85,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1083,5582,2.18,820.9,82.6,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1084,6223,3.01,870.3,105.7,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1085,3080,2.06,811.5,81.4,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1086,2521,1.85,764.9,71.8,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1087,4313,2.59,834.6,87.3,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1088,3352,1.88,799.6,77.6,0.57,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1089,6442,2.66,835.1,95.7,0.88,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1090,4452,2.15,825.4,81.8,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1091,6648,2.69,865.3,91.0,0.88,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1092,4466,2.24,806.6,89.4,0.65,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1093,5006,2.6,824.9,92.2,0.88,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1094,4674,2.31,824.2,90.1,0.88,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1095,4783,2.35,835.2,81.6,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1096,2815,2.17,764.9,77.6,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1097,6444,2.34,847.8,89.3,0.97,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1098,7123,2.81,860.5,89.5,0.9,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1099,6958,2.77,848.2,93.4,0.88,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1100,7334,3.04,858.7,103.4,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1101,3133,2.05,747.6,84.1,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1102,7376,2.79,847.4,94.3,0.93,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1103,4066,2.2,809.9,93.3,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1104,2513,1.67,793.5,72.1,0.57,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1105,6841,2.83,853.4,95.0,0.94,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1106,2561,1.89,771.7,82.2,0.61,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1107,2272,1.78,809.5,84.0,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1108,6011,2.65,873.4,86.5,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1109,7372,2.99,857.8,100.9,0.85,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1110,3868,1.93,780.2,81.7,0.66,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1111,7712,2.85,877.6,88.9,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1112,5397,2.49,829.2,89.2,0.88,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1113,6911,2.76,874.0,103.2,0.91,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1114,2145,1.57,731.2,82.3,0.54,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1115,3014,1.85,804.9,80.8,0.66,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1116,6589,2.79,866.1,99.5,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1117,2691,1.98,771.2,80.7,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1118,7232,3.12,871.4,95.1,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1119,6661,2.78,860.1,90.6,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1120,4667,2.17,791.1,87.7,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1121,6267,2.69,867.4,98.7,0.93,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1122,3738,1.95,798.3,85.8,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1123,3642,2.21,831.0,81.8,0.85,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1124,3765,2.45,830.4,90.5,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1125,6102,2.76,844.0,95.8,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1126,5863,2.64,842.1,92.1,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1127,4781,2.43,838.6,93.4,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1128,2790,1.66,775.3,72.7,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1129,7113,2.85,867.2,95.4,0.99,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1130,7138,2.98,854.5,101.3,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1131,6223,2.51,820.4,90.0,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1132,2259,1.62,799.8,80.8,0.85,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1133,6424,2.99,870.0,102.0,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1134,5429,2.5,841.4,95.2,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1135,4907,2.05,777.4,87.2,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1136,2479,1.79,825.6,68.1,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1137,5290,2.28,838.8,83.1,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1138,6226,2.8,868.4,92.5,0.81,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1139,2530,1.87,799.7,79.6,0.89,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1140,4894,2.39,801.0,85.9,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1141,4075,2.03,830.9,84.9,0.59,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1142,7757,3.14,890.1,105.6,0.9,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1143,3202,2.37,798.9,92.0,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1144,2884,1.91,818.2,76.5,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1145,5942,2.6,829.3,86.9,0.95,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1146,4442,2.22,841.5,84.0,0.88,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1147,6145,2.45,847.1,91.7,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1148,5896,2.65,822.5,91.4,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1149,6417,2.48,834.4,84.5,0.89,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1150,3675,1.81,801.9,77.5,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1151,6834,2.83,871.6,100.4,0.91,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1152,3525,1.58,811.3,74.2,0.71,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1153,7355,2.99,885.2,105.3,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1154,4002,2.04,789.6,79.7,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1155,3593,1.77,821.6,76.9,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1156,2391,1.77,746.0,76.3,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1157,5674,2.57,858.0,93.1,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1158,2445,2.03,791.6,75.8,0.85,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1159,2509,1.79,785.6,76.8,0.62,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1160,6349,2.7,866.0,88.1,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1161,5274,2.23,819.5,81.6,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1162,3115,1.85,835.8,75.7,0.64,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1163,6243,2.58,824.3,92.2,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1164,2326,1.7,796.2,81.9,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1165,4669,2.13,827.7,92.5,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1166,2109,1.79,754.5,77.1,0.7,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1167,2185,1.93,794.3,81.9,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1168,6177,2.37,828.7,91.7,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1169,2347,1.74,806.3,76.2,0.7,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1170,4751,2.34,796.6,87.8,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1171,6561,2.62,849.1,91.9,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1172,2457,1.83,788.5,75.5,0.54,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1173,6489,2.78,866.1,94.4,1.0,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1174,4380,2.15,794.0,81.2,0.68,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1175,4790,2.32,818.3,88.5,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1176,5668,2.58,823.4,91.8,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1177,6086,2.67,859.3,94.3,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1178,5732,2.53,801.9,96.2,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1179,2334,1.58,805.1,70.5,0.59,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1180,4635,2.17,813.1,88.7,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1181,3764,1.91,810.7,80.0,0.74,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1182,7296,2.96,877.1,103.2,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1183,5582,2.25,788.7,82.9,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1184,3637,2.1,846.0,80.1,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1185,2870,1.81,811.6,73.2,0.62,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1186,6592,2.56,843.1,92.4,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1187,7320,2.98,841.2,103.5,0.99,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1188,3438,1.93,792.1,82.7,0.55,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1189,4662,2.29,813.0,89.7,0.66,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1190,2973,1.86,797.0,80.0,0.65,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1191,6276,2.55,831.1,91.7,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1192,5691,2.65,857.6,92.0,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1193,3220,1.69,726.4,73.8,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1194,6169,2.68,853.0,88.4,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1195,3899,1.97,813.2,80.3,0.65,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1196,2150,1.64,786.6,74.6,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1197,4077,2.42,804.6,91.1,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1198,2393,1.63,776.2,76.4,0.8,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1199,2268,1.7,778.1,80.0,0.64,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1200,6325,2.5,837.2,85.5,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1201,5138,2.12,835.4,87.9,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1202,7510,2.91,879.6,94.3,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1203,3978,2.19,828.9,88.7,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1204,7641,2.99,860.6,93.6,0.67,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1205,6333,2.69,841.5,94.8,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1206,4328,2.1,784.8,81.7,0.85,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1207,6658,2.77,850.2,95.2,0.79,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1208,7095,2.83,865.4,96.3,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1209,2059,1.64,799.8,74.6,0.58,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1210,4707,2.42,834.2,91.5,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1211,5246,2.55,833.8,92.2,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1212,5182,2.3,825.5,89.3,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1213,7174,2.96,895.8,96.9,1.0,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1214,5708,2.43,890.4,85.1,0.76,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1215,2511,2.02,793.6,81.4,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1216,7540,2.72,866.3,90.5,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1217,3093,2.01,790.3,83.2,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1218,4917,2.6,836.4,94.5,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1219,7659,2.84,855.9,102.5,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1220,7098,3.06,900.2,94.6,0.96,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1221,6298,2.83,848.3,97.4,0.95,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1222,2004,1.71,792.0,79.3,0.73,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1223,6835,2.74,835.3,95.9,0.91,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1224,6920,2.97,869.1,100.5,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1225,4612,2.49,857.2,91.5,0.91,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1226,6265,2.6,838.3,86.6,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1227,2471,1.82,801.2,77.3,0.72,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1228,3299,1.77,799.7,71.3,0.62,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1229,5394,2.17,799.7,82.2,0.68,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1230,2922,1.92,793.8,81.2,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1231,7783,3.05,878.2,96.7,0.78,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1232,5690,2.39,823.0,92.4,0.86,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1233,6604,2.71,834.2,88.4,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1234,2643,1.95,795.0,83.8,0.89,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1235,2715,1.93,778.2,82.9,0.88,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1236,6099,2.43,840.2,90.3,0.82,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1237,4832,2.4,856.6,92.7,0.83,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1238,6916,2.95,875.6,95.4,1.01,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1239,4330,2.22,794.9,85.3,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1240,2241,1.62,759.1,74.4,0.68,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1241,5309,2.43,795.7,90.9,0.91,Micro-Knock Ingestion / Spark Retard
MASERATI-MC20-1242,2937,1.79,790.0,80.6,0.6,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1243,3760,2.07,831.5,75.6,0.77,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1244,7375,3.01,906.9,108.8,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1245,2370,1.87,788.8,79.1,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1246,3057,1.67,776.1,77.0,0.75,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1247,6977,2.63,829.3,90.9,0.84,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1248,4249,2.22,845.1,85.7,0.69,Stable Pre-Chamber Turbulent Jet Ignition
MASERATI-MC20-1249,3509,1.86,754.9,81.6,0.77,Stable Pre-Chamber Turbulent Jet Ignition
