Regera_Telemetry_ID,Vehicle_Speed_kmh,Engine_Speed_RPM,HydraCoup_Slip_pct,Freevalve_Intake_Lift_mm,Powertrain_Mode
KOENIG-KDD-1066,169.0,3627,0.0,6.81,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1067,51.8,1113,81.0,3.12,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1068,62.9,1388,60.0,3.09,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1069,340.7,7101,0.0,9.9,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1070,342.3,6930,0.0,10.5,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1071,267.0,5273,0.0,8.56,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1072,84.1,1534,45.9,4.11,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1073,187.3,3861,0.0,6.33,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1074,331.8,6795,0.0,9.87,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1075,108.7,2089,18.3,4.2,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1076,74.4,1142,55.0,3.06,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1077,146.2,2932,0.0,5.6,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1078,102.6,1883,26.3,3.73,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1079,64.7,1531,62.6,3.62,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1080,87.9,2010,36.8,4.45,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1081,238.6,5173,0.0,8.4,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1082,321.5,6429,0.0,10.04,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1083,242.9,4919,0.0,8.22,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1084,388.2,8191,0.0,11.62,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1085,72.6,1466,58.1,4.14,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1086,389.7,7920,0.0,11.24,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1087,180.1,3612,0.0,5.96,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1088,264.5,5405,0.0,8.34,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1089,209.7,4337,0.0,6.58,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1090,270.8,5880,0.0,8.62,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1091,236.8,4930,0.0,8.3,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1092,297.9,6113,0.0,9.09,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1093,161.6,2982,0.0,5.81,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1094,268.8,5653,0.0,8.15,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1095,75.1,1760,58.7,3.83,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1096,350.0,7221,0.0,10.36,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1097,173.0,3657,0.0,6.6,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1098,363.7,7235,0.0,10.02,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1099,222.7,4642,0.0,6.9,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1100,170.3,3193,0.0,5.51,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1101,246.0,4727,0.0,7.91,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1102,384.4,8019,0.0,12.09,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1103,169.2,3605,0.0,6.28,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1104,223.4,4289,0.0,6.67,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1105,54.2,1159,69.4,3.26,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1106,194.2,4099,0.0,7.54,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1107,71.3,1206,59.1,3.96,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1108,314.2,6376,0.0,9.67,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1109,57.0,902,66.3,2.79,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1110,142.3,2793,0.0,5.84,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1111,400.3,7761,0.0,10.94,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1112,378.7,7691,0.0,11.68,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1113,119.4,2379,8.2,4.51,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1114,153.1,3030,0.0,5.25,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1115,115.1,2469,11.2,5.15,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1116,358.5,7213,0.0,11.16,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1117,333.7,7007,0.0,10.07,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1118,44.9,800,79.3,3.1,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1119,184.6,4002,0.0,6.04,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1120,173.7,3618,0.0,6.23,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1121,119.9,2531,2.2,4.7,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1122,220.4,4578,0.0,7.82,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1123,88.5,1851,42.0,4.28,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1124,65.0,1437,63.8,3.42,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1125,79.9,1723,47.2,4.17,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1126,258.8,5547,0.0,8.46,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1127,389.1,7965,0.0,11.17,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1128,167.6,3474,0.0,6.32,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1129,231.2,4716,0.0,7.48,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1130,31.8,800,87.1,2.42,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1131,287.4,5993,0.0,8.98,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1132,339.8,6779,0.0,9.24,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1133,150.9,2933,0.0,5.45,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1134,353.9,7459,0.0,10.7,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1135,344.3,6894,0.0,10.25,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1136,240.0,4859,0.0,8.24,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1137,390.7,8019,0.0,11.76,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1138,187.9,4169,0.0,6.34,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1139,400.1,8043,0.0,11.78,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1140,293.8,6308,0.0,9.67,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1141,73.9,1421,51.6,3.99,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1142,297.9,5806,0.0,8.57,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1143,206.6,3869,0.0,6.41,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1144,45.6,1099,78.4,2.87,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1145,373.0,7524,0.0,11.58,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1146,52.0,1180,73.0,3.63,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1147,307.9,6004,0.0,9.05,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1148,266.6,5358,0.0,8.56,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1149,340.7,7087,0.0,10.36,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1150,343.3,7133,0.0,11.14,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1151,341.5,6704,0.0,9.85,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1152,258.6,5758,0.0,8.57,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1153,318.5,6275,0.0,9.35,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1154,338.7,7116,0.0,10.56,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1155,311.8,6630,0.0,9.76,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1156,167.5,3371,0.0,5.82,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1157,211.4,4245,0.0,6.27,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1158,59.3,1035,66.7,3.03,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1159,166.6,3216,0.0,5.46,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1160,380.1,7608,0.0,11.6,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1161,56.5,1073,71.1,3.24,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1162,236.1,4884,0.0,7.4,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1163,259.4,5213,0.0,8.25,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1164,195.2,4094,0.0,6.62,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1165,196.0,3960,0.0,6.58,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1166,134.0,2630,0.0,5.16,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1167,181.4,3645,0.0,6.17,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1168,380.9,7675,0.0,10.89,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1169,124.9,2571,3.1,5.15,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1170,350.4,7259,0.0,10.31,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1171,249.5,5005,0.0,7.64,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1172,283.0,5622,0.0,8.91,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1173,213.2,4179,0.0,6.82,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1174,338.4,6949,0.0,9.9,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1175,407.5,8500,0.0,12.24,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1176,239.1,4965,0.0,8.12,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1177,270.1,5607,0.0,9.86,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1178,308.5,6031,0.0,8.98,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1179,65.0,1080,60.1,3.76,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1180,65.5,1145,58.3,2.97,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1181,247.4,4822,0.0,7.28,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1182,372.9,7406,0.0,10.37,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1183,199.7,4264,0.0,7.1,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1184,41.4,823,79.0,3.12,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1185,119.7,2628,5.3,5.01,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1186,130.8,2761,0.0,4.93,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1187,245.7,5044,0.0,8.06,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1188,333.3,6710,0.0,9.41,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1189,109.1,2003,25.6,3.99,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1190,231.4,4624,0.0,7.44,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1191,174.1,3651,0.0,6.26,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1192,108.3,2460,24.6,4.73,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1193,326.7,6745,0.0,10.07,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1194,33.7,800,87.6,2.63,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1195,133.8,2915,0.0,5.46,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1196,385.1,7685,0.0,10.57,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1197,308.9,6165,0.0,9.38,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1198,41.2,800,74.6,2.7,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1199,250.4,4951,0.0,8.25,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1200,290.9,5886,0.0,9.07,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1201,399.8,8002,0.0,11.38,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1202,387.4,8198,0.0,11.45,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1203,194.5,4024,0.0,6.6,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1204,315.0,6226,0.0,8.92,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1205,302.6,6330,0.0,9.84,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1206,323.4,7096,0.0,9.58,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1207,384.2,8015,0.0,11.25,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1208,294.8,6166,0.0,9.7,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1209,55.4,1058,69.9,3.08,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1210,261.8,5409,0.0,9.55,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1211,261.7,5366,0.0,8.51,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1212,408.9,8364,0.0,12.2,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1213,323.6,6638,0.0,10.4,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1214,340.0,6634,0.0,10.03,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1215,93.7,1837,42.3,3.72,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1216,114.1,2413,12.5,5.19,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1217,107.0,2270,21.0,4.79,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1218,390.3,8114,0.0,12.16,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1219,79.4,1478,48.5,3.53,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1220,268.1,5532,0.0,8.0,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1221,374.3,7497,0.0,10.46,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1222,320.7,6587,0.0,9.75,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1223,137.6,2863,0.0,5.15,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1224,302.6,6124,0.0,9.34,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1225,224.4,4450,0.0,6.35,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1226,67.7,1513,54.8,3.6,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1227,157.0,2978,0.0,5.36,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1228,396.0,8106,0.0,11.2,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1229,35.9,878,79.6,2.85,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1230,381.1,7765,0.0,10.55,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1231,215.2,4603,0.0,7.31,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1232,150.2,2741,0.0,5.27,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1233,306.6,6320,0.0,9.45,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1234,153.7,3270,0.0,6.38,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1235,49.2,936,73.2,3.16,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1236,31.7,800,85.8,2.79,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1237,106.8,2367,16.5,4.29,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1238,33.6,800,81.5,3.41,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1239,136.1,2537,0.0,5.06,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1240,147.0,2854,0.0,5.18,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1241,275.2,5462,0.0,9.02,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1242,109.6,2236,22.3,4.49,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1243,339.2,6859,0.0,10.59,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1244,106.2,2174,22.3,4.72,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1245,179.0,3517,0.0,6.19,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1246,243.1,4683,0.0,6.62,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1247,102.8,1997,27.4,3.93,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1248,393.0,8156,0.0,11.29,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1249,75.9,1661,50.9,4.02,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1250,173.9,3462,0.0,6.05,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1251,311.8,6134,0.0,9.02,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1252,261.8,5426,0.0,8.25,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1253,67.7,1172,60.8,3.99,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1254,164.1,3640,0.0,6.69,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1255,262.4,5337,0.0,8.74,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1256,288.9,5956,0.0,9.04,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1257,195.5,3915,0.0,6.03,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1258,308.3,6462,0.0,10.01,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1259,316.3,6559,0.0,10.09,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1260,316.7,6584,0.0,9.65,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1261,135.5,2764,0.0,5.9,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1262,183.5,3866,0.0,6.79,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1263,171.8,3673,0.0,6.41,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1264,294.5,6231,0.0,8.73,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1265,267.4,5556,0.0,7.94,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1266,149.7,3012,0.0,5.65,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1267,271.8,5486,0.0,8.28,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1268,108.9,2261,23.6,4.84,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1269,132.5,2785,0.0,4.92,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1270,303.8,6206,0.0,9.52,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1271,187.6,4028,0.0,7.2,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1272,206.4,4174,0.0,7.26,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1273,122.7,2475,8.4,4.94,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1274,191.9,3850,0.0,6.81,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1275,275.3,5772,0.0,8.8,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1276,175.4,3634,0.0,6.27,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1277,223.2,4558,0.0,7.24,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1278,199.4,3723,0.0,6.72,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1279,310.3,6325,0.0,9.54,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1280,127.8,2279,0.0,4.67,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1281,35.5,927,83.6,3.05,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1282,299.6,6102,0.0,8.71,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1283,251.0,5439,0.0,8.26,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1284,337.4,6924,0.0,10.01,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1285,186.4,4152,0.0,6.73,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1286,207.9,4514,0.0,7.37,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1287,218.0,4232,0.0,6.84,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1288,39.5,831,84.9,2.42,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1289,130.5,2620,0.0,5.11,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1290,78.5,1811,53.7,4.56,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1291,113.4,2397,16.3,4.36,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1292,304.9,6316,0.0,9.02,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1293,165.9,3419,0.0,5.61,100% Direct Drive Hydraulic Lockup
KOENIG-KDD-1294,124.9,2436,3.7,4.66,HydraCoup Torque Multiplication Slip
KOENIG-KDD-1295,62.6,1174,70.2,3.04,HydraCoup Torque Multiplication Slip
