Timestamp_s,True_X_m,True_Y_m,LiDAR_X_m,LiDAR_Y_m,Radar_X_m,Radar_Y_m,Fused_Track_X_m,Fused_Track_Y_m,Tracking_Error_m
3.13,7.83,3.358,7.65,3.385,8.522,2.984,7.822,3.408,0.0515
3.23,8.063,3.48,8.168,3.522,8.202,3.795,8.082,3.499,0.0267
3.33,8.295,3.607,8.136,3.75,8.616,3.386,8.163,3.657,0.1416
3.43,8.528,3.738,8.395,3.789,8.034,3.589,8.429,3.718,0.1015
3.54,8.762,3.873,8.888,3.946,8.99,3.573,8.835,3.912,0.0828
3.64,8.996,4.012,8.873,3.88,9.507,4.224,9.162,4.032,0.1673
3.74,9.231,4.154,9.245,4.093,9.602,3.786,9.298,4.073,0.1045
3.84,9.468,4.299,9.638,4.21,9.298,3.856,9.466,4.192,0.1074
3.94,9.705,4.448,9.595,4.45,9.173,3.718,9.597,4.342,0.1513
4.04,9.944,4.599,9.79,4.597,9.934,4.713,9.874,4.612,0.0719
4.14,10.185,4.754,10.366,4.755,10.394,5.5,10.253,4.959,0.2159
4.24,10.428,4.91,10.214,5.008,10.387,5.553,10.329,5.069,0.187
4.34,10.672,5.068,10.657,5.099,10.617,5.336,10.632,5.136,0.0795
4.44,10.918,5.227,10.735,5.341,10.343,5.496,10.788,5.352,0.18
4.55,11.166,5.388,11.303,5.353,10.543,5.857,11.138,5.519,0.1343
4.65,11.417,5.549,11.803,5.542,11.564,5.235,11.743,5.498,0.3305
4.75,11.669,5.711,11.342,5.913,12.658,5.799,11.753,5.832,0.1474
4.85,11.923,5.872,11.99,5.987,11.529,6.261,11.927,5.947,0.0751
4.95,12.179,6.033,12.261,6.019,11.945,5.908,12.129,5.923,0.1215
5.05,12.438,6.193,12.644,6.114,12.402,6.136,12.563,6.072,0.1744
5.15,12.698,6.352,12.653,6.508,12.969,6.695,12.662,6.488,0.1405
5.25,12.96,6.509,12.861,6.521,12.705,6.052,12.937,6.496,0.0256
5.35,13.224,6.663,13.117,6.542,12.975,6.501,13.113,6.633,0.115
5.45,13.489,6.816,13.457,6.811,13.314,6.714,13.451,6.817,0.0376
5.56,13.756,6.965,13.695,7.079,13.681,6.945,13.642,7.114,0.1867
5.66,14.024,7.112,13.938,7.169,14.262,6.859,14.106,6.92,0.2083
5.76,14.294,7.255,14.439,7.188,14.167,6.714,14.338,7.044,0.2161
5.86,14.564,7.395,14.634,7.633,14.944,7.558,14.572,7.573,0.1787
5.96,14.835,7.531,14.837,7.701,14.891,7.845,14.874,7.766,0.2385
6.06,15.107,7.663,15.042,7.525,14.698,8.161,14.88,7.721,0.2342
6.16,15.38,7.791,15.422,7.831,15.175,7.702,15.324,7.781,0.0572
6.26,15.652,7.915,15.828,7.811,15.798,8.214,15.699,7.851,0.0788
6.36,15.925,8.035,15.76,8.073,16.241,8.379,15.936,8.161,0.1268
6.46,16.198,8.151,16.092,8.207,16.211,8.827,16.157,8.259,0.1154
6.57,16.47,8.263,16.525,8.309,16.892,8.095,16.618,8.185,0.1674
6.67,16.741,8.371,16.575,8.395,16.695,7.862,16.655,8.405,0.0927
6.77,17.012,8.475,16.999,8.365,16.46,8.89,16.9,8.472,0.1127
6.87,17.282,8.576,17.407,8.468,17.638,8.756,17.488,8.518,0.2137
6.97,17.551,8.673,17.715,8.529,17.521,8.177,17.742,8.547,0.2289
7.07,17.818,8.767,17.846,8.894,17.404,9.197,17.801,8.916,0.1504
7.17,18.085,8.858,18.185,8.904,18.055,8.818,18.025,8.945,0.1052
7.27,18.349,8.947,18.255,9.211,18.606,8.657,18.318,8.996,0.0586
7.37,18.612,9.033,18.544,8.996,19.312,9.124,18.805,9.057,0.1949
7.47,18.873,9.118,18.978,9.17,18.831,9.171,18.865,9.27,0.1519
7.58,19.132,9.201,19.083,9.164,18.762,8.78,19.014,8.995,0.2371
7.68,19.389,9.283,19.233,9.399,19.685,9.516,19.349,9.425,0.1478
7.78,19.644,9.364,19.77,9.421,19.404,9.677,19.744,9.484,0.1561
7.88,19.897,9.445,19.711,9.263,20.108,8.869,19.919,9.271,0.175
7.98,20.148,9.526,20.121,9.433,20.752,9.424,20.169,9.446,0.0828
8.08,20.397,9.607,20.173,9.591,20.732,9.686,20.321,9.713,0.1305
8.18,20.644,9.689,20.791,9.906,20.488,9.599,20.588,9.876,0.1952
8.28,20.889,9.773,20.959,9.755,20.99,10.498,20.968,9.792,0.0809
8.38,21.132,9.858,21.205,9.607,20.624,9.823,20.992,9.653,0.2484
8.48,21.374,9.946,21.39,9.975,22.084,10.09,21.587,9.885,0.2215
8.59,21.613,10.036,21.593,9.929,22.012,10.504,21.837,9.891,0.2659
8.69,21.852,10.128,21.788,10.017,21.502,10.518,21.706,10.148,0.1474
8.79,22.089,10.224,22.282,10.502,21.544,10.013,22.057,10.434,0.2126
8.89,22.324,10.323,22.332,10.156,23.042,11.255,22.504,10.388,0.1912
8.99,22.559,10.425,22.651,10.621,22.492,10.4,22.575,10.537,0.1128
9.09,22.793,10.531,22.671,10.528,23.131,9.93,22.778,10.413,0.1193
9.19,23.026,10.641,23.17,10.465,22.6,10.115,23.017,10.413,0.2278
9.29,23.259,10.755,23.114,10.676,23.489,9.985,23.36,10.602,0.1839
9.39,23.491,10.873,23.639,10.896,23.363,10.588,23.543,10.832,0.0659
9.49,23.723,10.995,23.907,10.955,23.778,11.001,23.731,10.923,0.0723
9.6,23.956,11.121,24.093,10.9,24.252,11.063,24.003,11.048,0.0872
9.7,24.189,11.251,24.126,11.373,23.848,11.003,24.028,11.207,0.1664
9.8,24.422,11.385,24.402,11.316,23.924,11.383,24.288,11.301,0.1582
9.9,24.656,11.523,24.795,11.512,24.982,11.509,24.855,11.527,0.1986
10.0,24.891,11.664,24.863,11.684,24.483,11.45,24.716,11.597,0.1871
