Claim_ID,Dealership_ID,Replaced_Component,Claim_Amount_USD,Labor_Hours_Billed,Parts_Quantity,Vehicle_Age_Months,True_Fraud_Flag,Anomaly_Flag,Audit_Status
CLAIM-80028,Dealership-D031,Turbocharger Assembly,1436.6,11.5,5,34,0,1,Approved Standard Claim
CLAIM-80029,Dealership-D026,Brake Caliper Kit,595.47,6.4,5,8,0,1,Approved Standard Claim
CLAIM-80030,Dealership-D010,Turbocharger Assembly,2877.52,20.6,5,15,0,1,Approved Standard Claim
CLAIM-80031,Dealership-D033,Transmission Valve Body,2097.99,21.3,6,39,0,1,Approved Standard Claim
CLAIM-80032,Dealership-D034,Battery Module,1830.67,20.2,6,21,1,1,Approved Standard Claim
CLAIM-80033,Dealership-D023,Infotainment Head Unit,865.13,6.6,6,34,0,1,Approved Standard Claim
CLAIM-80034,Dealership-D037,Transmission Valve Body,889.05,6.5,5,24,0,1,Approved Standard Claim
CLAIM-80035,Dealership-D035,Infotainment Head Unit,1527.49,11.9,3,31,0,1,Approved Standard Claim
CLAIM-80036,Dealership-D014,Transmission Valve Body,859.87,7.7,4,46,0,1,Approved Standard Claim
CLAIM-80037,Dealership-D001,Brake Caliper Kit,545.02,4.0,2,19,0,1,Approved Standard Claim
CLAIM-80038,Dealership-D014,Turbocharger Assembly,432.27,3.7,1,35,0,1,Approved Standard Claim
CLAIM-80039,Dealership-D008,Infotainment Head Unit,1124.72,10.5,3,8,0,1,Approved Standard Claim
CLAIM-80040,Dealership-D027,Brake Caliper Kit,1541.44,11.7,4,21,0,1,Approved Standard Claim
CLAIM-80041,Dealership-D001,Infotainment Head Unit,1242.16,9.9,4,32,0,1,Approved Standard Claim
CLAIM-80042,Dealership-D005,Inverter ECU,3539.18,26.5,2,25,0,1,Approved Standard Claim
CLAIM-80043,Dealership-D031,Turbocharger Assembly,1072.26,8.2,3,33,0,1,Approved Standard Claim
CLAIM-80044,Dealership-D008,Transmission Valve Body,902.98,7.5,3,40,0,1,Approved Standard Claim
CLAIM-80045,Dealership-D024,Turbocharger Assembly,2967.97,28.2,4,41,0,1,Approved Standard Claim
CLAIM-80046,Dealership-D024,Transmission Valve Body,976.52,7.8,2,21,0,1,Approved Standard Claim
CLAIM-80047,Dealership-D017,Brake Caliper Kit,521.92,4.9,1,37,0,1,Approved Standard Claim
CLAIM-80048,Dealership-D020,Infotainment Head Unit,781.53,8.6,4,19,0,1,Approved Standard Claim
CLAIM-80049,Dealership-D017,Transmission Valve Body,2342.22,17.3,3,29,0,1,Approved Standard Claim
CLAIM-80050,Dealership-D021,Turbocharger Assembly,1585.57,13.1,2,9,0,1,Approved Standard Claim
CLAIM-80051,Dealership-D034,Brake Caliper Kit,8538.14,61.7,5,27,1,-1,High-Risk (Flagged for Audit)
CLAIM-80052,Dealership-D039,Transmission Valve Body,1866.38,17.4,3,8,0,1,Approved Standard Claim
CLAIM-80053,Dealership-D032,Transmission Valve Body,986.58,10.6,2,38,0,1,Approved Standard Claim
CLAIM-80054,Dealership-D021,Brake Caliper Kit,1449.67,13.5,6,42,0,1,Approved Standard Claim
CLAIM-80055,Dealership-D033,Transmission Valve Body,483.05,3.6,5,32,0,1,Approved Standard Claim
CLAIM-80056,Dealership-D020,Transmission Valve Body,1710.18,17.0,6,40,0,1,Approved Standard Claim
CLAIM-80057,Dealership-D025,Transmission Valve Body,1963.87,16.2,1,13,0,1,Approved Standard Claim
CLAIM-80058,Dealership-D012,Infotainment Head Unit,695.97,6.5,2,13,0,1,Approved Standard Claim
CLAIM-80059,Dealership-D036,Transmission Valve Body,1240.94,10.5,3,29,0,1,Approved Standard Claim
CLAIM-80060,Dealership-D025,Inverter ECU,994.03,9.9,4,42,0,1,Approved Standard Claim
CLAIM-80061,Dealership-D005,Battery Module,521.65,4.2,3,22,0,1,Approved Standard Claim
CLAIM-80062,Dealership-D032,Transmission Valve Body,2056.01,21.4,2,36,0,1,Approved Standard Claim
CLAIM-80063,Dealership-D026,Infotainment Head Unit,4337.35,33.5,3,47,0,1,Approved Standard Claim
CLAIM-80064,Dealership-D002,Transmission Valve Body,1129.31,8.6,4,13,0,1,Approved Standard Claim
CLAIM-80065,Dealership-D013,Inverter ECU,2612.63,23.1,1,28,0,1,Approved Standard Claim
CLAIM-80066,Dealership-D035,Battery Module,1681.95,17.0,4,10,0,1,Approved Standard Claim
CLAIM-80067,Dealership-D032,Inverter ECU,3869.32,39.5,7,47,0,-1,High-Risk (Flagged for Audit)
CLAIM-80068,Dealership-D011,Turbocharger Assembly,2012.25,17.4,4,19,0,1,Approved Standard Claim
CLAIM-80069,Dealership-D043,Inverter ECU,1067.17,8.6,2,27,0,1,Approved Standard Claim
CLAIM-80070,Dealership-D015,Brake Caliper Kit,1580.69,15.2,3,33,0,1,Approved Standard Claim
CLAIM-80071,Dealership-D040,Transmission Valve Body,953.53,8.4,3,29,0,1,Approved Standard Claim
CLAIM-80072,Dealership-D043,Brake Caliper Kit,2807.69,26.1,3,10,0,1,Approved Standard Claim
CLAIM-80073,Dealership-D010,Battery Module,824.05,6.0,5,19,0,1,Approved Standard Claim
CLAIM-80074,Dealership-D018,Inverter ECU,830.01,7.4,3,6,0,1,Approved Standard Claim
CLAIM-80075,Dealership-D004,Brake Caliper Kit,973.09,9.4,2,36,0,1,Approved Standard Claim
CLAIM-80076,Dealership-D025,Infotainment Head Unit,2852.0,23.2,6,21,0,1,Approved Standard Claim
CLAIM-80077,Dealership-D035,Battery Module,1759.08,17.5,1,38,0,1,Approved Standard Claim
CLAIM-80078,Dealership-D042,Battery Module,707.54,7.5,3,30,0,1,Approved Standard Claim
CLAIM-80079,Dealership-D033,Inverter ECU,1452.88,11.2,3,11,0,1,Approved Standard Claim
CLAIM-80080,Dealership-D042,Battery Module,4095.27,39.6,2,16,0,-1,High-Risk (Flagged for Audit)
CLAIM-80081,Dealership-D028,Battery Module,1418.53,10.7,2,37,0,1,Approved Standard Claim
CLAIM-80082,Dealership-D012,Turbocharger Assembly,1474.39,15.1,4,47,0,1,Approved Standard Claim
CLAIM-80083,Dealership-D016,Transmission Valve Body,3332.23,30.8,5,14,0,1,Approved Standard Claim
CLAIM-80084,Dealership-D023,Inverter ECU,787.9,6.5,1,13,0,1,Approved Standard Claim
CLAIM-80085,Dealership-D042,Transmission Valve Body,774.7,8.3,1,36,0,1,Approved Standard Claim
CLAIM-80086,Dealership-D035,Transmission Valve Body,1555.55,11.8,4,17,0,1,Approved Standard Claim
CLAIM-80087,Dealership-D012,Turbocharger Assembly,1982.03,20.4,1,16,0,1,Approved Standard Claim
CLAIM-80088,Dealership-D032,Brake Caliper Kit,504.42,5.2,3,44,0,1,Approved Standard Claim
CLAIM-80089,Dealership-D015,Infotainment Head Unit,891.87,7.6,3,47,0,1,Approved Standard Claim
CLAIM-80090,Dealership-D017,Infotainment Head Unit,1667.47,15.9,2,18,0,1,Approved Standard Claim
CLAIM-80091,Dealership-D012,Brake Caliper Kit,834.68,9.3,2,8,0,1,Approved Standard Claim
CLAIM-80092,Dealership-D015,Inverter ECU,3227.47,31.0,2,15,0,1,Approved Standard Claim
CLAIM-80093,Dealership-D039,Infotainment Head Unit,925.25,10.0,1,33,0,1,Approved Standard Claim
CLAIM-80094,Dealership-D043,Transmission Valve Body,753.75,6.2,4,6,0,1,Approved Standard Claim
CLAIM-80095,Dealership-D037,Battery Module,499.23,5.2,3,26,0,1,Approved Standard Claim
CLAIM-80096,Dealership-D031,Transmission Valve Body,589.43,4.6,2,28,0,1,Approved Standard Claim
CLAIM-80097,Dealership-D012,Battery Module,1543.48,11.3,2,13,0,1,Approved Standard Claim
CLAIM-80098,Dealership-D014,Transmission Valve Body,1821.6,15.9,2,26,0,1,Approved Standard Claim
CLAIM-80099,Dealership-D001,Brake Caliper Kit,556.4,4.9,1,43,0,1,Approved Standard Claim
CLAIM-80100,Dealership-D033,Transmission Valve Body,1505.3,15.9,4,14,0,1,Approved Standard Claim
CLAIM-80101,Dealership-D017,Inverter ECU,3804.13,33.5,1,28,0,1,Approved Standard Claim
CLAIM-80102,Dealership-D015,Transmission Valve Body,572.68,6.0,5,15,0,1,Approved Standard Claim
CLAIM-80103,Dealership-D018,Battery Module,770.77,5.9,5,33,0,1,Approved Standard Claim
CLAIM-80104,Dealership-D040,Brake Caliper Kit,1319.44,11.1,1,14,0,1,Approved Standard Claim
CLAIM-80105,Dealership-D007,Transmission Valve Body,2594.76,23.1,4,16,0,1,Approved Standard Claim
CLAIM-80106,Dealership-D042,Brake Caliper Kit,438.31,4.1,3,32,0,1,Approved Standard Claim
CLAIM-80107,Dealership-D021,Infotainment Head Unit,2320.4,23.5,2,38,0,1,Approved Standard Claim
CLAIM-80108,Dealership-D041,Inverter ECU,3895.28,34.0,1,34,0,1,Approved Standard Claim
CLAIM-80109,Dealership-D003,Transmission Valve Body,1594.77,14.9,3,14,0,1,Approved Standard Claim
CLAIM-80110,Dealership-D013,Transmission Valve Body,2583.44,21.9,3,33,0,1,Approved Standard Claim
CLAIM-80111,Dealership-D004,Brake Caliper Kit,542.56,5.6,3,21,0,1,Approved Standard Claim
CLAIM-80112,Dealership-D023,Turbocharger Assembly,1298.16,12.7,3,11,0,1,Approved Standard Claim
CLAIM-80113,Dealership-D027,Turbocharger Assembly,504.75,4.1,5,22,0,1,Approved Standard Claim
CLAIM-80114,Dealership-D031,Turbocharger Assembly,1231.11,9.1,3,14,0,1,Approved Standard Claim
CLAIM-80115,Dealership-D033,Inverter ECU,2474.01,21.8,2,20,0,1,Approved Standard Claim
CLAIM-80116,Dealership-D033,Brake Caliper Kit,1353.72,11.9,4,18,0,1,Approved Standard Claim
CLAIM-80117,Dealership-D017,Brake Caliper Kit,1207.53,11.6,7,8,0,1,Approved Standard Claim
CLAIM-80118,Dealership-D032,Inverter ECU,578.04,4.8,2,20,0,1,Approved Standard Claim
CLAIM-80119,Dealership-D033,Brake Caliper Kit,1134.93,11.2,1,15,0,1,Approved Standard Claim
CLAIM-80120,Dealership-D036,Inverter ECU,1225.98,10.6,7,21,0,1,Approved Standard Claim
CLAIM-80121,Dealership-D008,Infotainment Head Unit,491.79,3.8,3,28,0,1,Approved Standard Claim
CLAIM-80122,Dealership-D035,Brake Caliper Kit,557.25,5.1,2,12,0,1,Approved Standard Claim
CLAIM-80123,Dealership-D013,Brake Caliper Kit,860.7,8.6,5,18,0,1,Approved Standard Claim
CLAIM-80124,Dealership-D024,Inverter ECU,1102.4,9.9,4,17,0,1,Approved Standard Claim
CLAIM-80125,Dealership-D042,Infotainment Head Unit,700.2,5.3,5,28,0,1,Approved Standard Claim
CLAIM-80126,Dealership-D026,Transmission Valve Body,2306.01,19.9,5,9,0,1,Approved Standard Claim
CLAIM-80127,Dealership-D038,Infotainment Head Unit,1198.57,9.5,1,31,0,1,Approved Standard Claim
CLAIM-80128,Dealership-D026,Inverter ECU,518.86,5.3,4,45,0,1,Approved Standard Claim
CLAIM-80129,Dealership-D008,Inverter ECU,2045.26,20.3,5,47,0,1,Approved Standard Claim
CLAIM-80130,Dealership-D011,Turbocharger Assembly,599.83,4.4,5,16,0,1,Approved Standard Claim
CLAIM-80131,Dealership-D035,Inverter ECU,764.06,5.7,5,37,0,1,Approved Standard Claim
CLAIM-80132,Dealership-D041,Turbocharger Assembly,3094.96,27.2,3,27,0,1,Approved Standard Claim
CLAIM-80133,Dealership-D038,Infotainment Head Unit,1097.53,11.2,4,23,0,1,Approved Standard Claim
CLAIM-80134,Dealership-D033,Transmission Valve Body,1792.21,15.4,1,36,0,1,Approved Standard Claim
CLAIM-80135,Dealership-D006,Inverter ECU,504.69,4.0,3,11,0,1,Approved Standard Claim
CLAIM-80136,Dealership-D044,Turbocharger Assembly,1742.24,13.0,3,22,0,1,Approved Standard Claim
CLAIM-80137,Dealership-D002,Brake Caliper Kit,936.22,7.5,4,18,0,1,Approved Standard Claim
CLAIM-80138,Dealership-D035,Infotainment Head Unit,711.55,6.3,5,20,0,1,Approved Standard Claim
CLAIM-80139,Dealership-D041,Battery Module,1284.99,9.2,4,11,0,1,Approved Standard Claim
CLAIM-80140,Dealership-D042,Turbocharger Assembly,1084.91,10.6,4,41,0,1,Approved Standard Claim
CLAIM-80141,Dealership-D035,Inverter ECU,1028.88,9.5,4,9,0,1,Approved Standard Claim
CLAIM-80142,Dealership-D041,Transmission Valve Body,5431.27,40.5,4,25,0,-1,High-Risk (Flagged for Audit)
CLAIM-80143,Dealership-D025,Brake Caliper Kit,2217.13,23.3,4,30,0,1,Approved Standard Claim
CLAIM-80144,Dealership-D009,Battery Module,1403.26,10.0,3,30,0,1,Approved Standard Claim
CLAIM-80145,Dealership-D023,Brake Caliper Kit,2543.41,19.3,6,25,0,1,Approved Standard Claim
CLAIM-80146,Dealership-D039,Turbocharger Assembly,455.9,4.2,1,38,0,1,Approved Standard Claim
CLAIM-80147,Dealership-D003,Inverter ECU,1305.21,9.6,5,45,0,1,Approved Standard Claim
CLAIM-80148,Dealership-D022,Transmission Valve Body,1131.57,8.8,2,31,0,1,Approved Standard Claim
CLAIM-80149,Dealership-D023,Transmission Valve Body,823.44,9.0,2,8,0,1,Approved Standard Claim
CLAIM-80150,Dealership-D024,Infotainment Head Unit,1074.02,8.0,3,35,0,1,Approved Standard Claim
CLAIM-80151,Dealership-D035,Infotainment Head Unit,914.99,7.0,3,21,0,1,Approved Standard Claim
CLAIM-80152,Dealership-D030,Transmission Valve Body,765.21,7.7,1,30,0,1,Approved Standard Claim
CLAIM-80153,Dealership-D024,Turbocharger Assembly,1022.83,10.7,4,41,0,1,Approved Standard Claim
CLAIM-80154,Dealership-D012,Inverter ECU,1372.23,10.1,1,6,0,1,Approved Standard Claim
CLAIM-80155,Dealership-D002,Turbocharger Assembly,1137.74,9.9,2,27,0,1,Approved Standard Claim
CLAIM-80156,Dealership-D041,Turbocharger Assembly,1136.43,8.9,4,6,0,1,Approved Standard Claim
CLAIM-80157,Dealership-D023,Brake Caliper Kit,1612.06,16.6,2,36,0,1,Approved Standard Claim
CLAIM-80158,Dealership-D001,Turbocharger Assembly,989.13,10.9,2,13,0,1,Approved Standard Claim
CLAIM-80159,Dealership-D006,Battery Module,672.58,4.8,2,43,0,1,Approved Standard Claim
CLAIM-80160,Dealership-D019,Battery Module,978.02,7.7,1,10,0,1,Approved Standard Claim
CLAIM-80161,Dealership-D038,Turbocharger Assembly,1585.09,12.8,4,43,0,1,Approved Standard Claim
CLAIM-80162,Dealership-D015,Brake Caliper Kit,487.03,3.8,4,6,0,1,Approved Standard Claim
CLAIM-80163,Dealership-D013,Brake Caliper Kit,665.12,6.1,6,12,0,1,Approved Standard Claim
CLAIM-80164,Dealership-D002,Transmission Valve Body,1619.81,11.9,3,30,0,1,Approved Standard Claim
CLAIM-80165,Dealership-D031,Turbocharger Assembly,1065.73,9.8,3,46,0,1,Approved Standard Claim
CLAIM-80166,Dealership-D028,Turbocharger Assembly,1426.5,13.6,2,38,0,1,Approved Standard Claim
CLAIM-80167,Dealership-D011,Transmission Valve Body,1480.61,12.4,1,15,0,1,Approved Standard Claim
CLAIM-80168,Dealership-D019,Inverter ECU,1921.72,19.0,2,18,0,1,Approved Standard Claim
CLAIM-80169,Dealership-D027,Inverter ECU,7043.14,50.8,4,33,0,-1,High-Risk (Flagged for Audit)
CLAIM-80170,Dealership-D032,Turbocharger Assembly,403.83,3.5,5,17,0,1,Approved Standard Claim
CLAIM-80171,Dealership-D037,Brake Caliper Kit,544.89,5.9,4,12,0,1,Approved Standard Claim
CLAIM-80172,Dealership-D044,Turbocharger Assembly,598.1,4.3,4,20,0,1,Approved Standard Claim
CLAIM-80173,Dealership-D042,Turbocharger Assembly,1063.02,8.0,5,35,0,1,Approved Standard Claim
CLAIM-80174,Dealership-D006,Transmission Valve Body,1079.86,8.6,3,19,0,1,Approved Standard Claim
CLAIM-80175,Dealership-D038,Inverter ECU,2080.85,15.7,4,16,0,1,Approved Standard Claim
CLAIM-80176,Dealership-D009,Transmission Valve Body,939.02,8.1,2,10,0,1,Approved Standard Claim
CLAIM-80177,Dealership-D033,Transmission Valve Body,2317.28,19.3,1,19,0,1,Approved Standard Claim
CLAIM-80178,Dealership-D008,Transmission Valve Body,2557.71,23.0,3,24,0,1,Approved Standard Claim
CLAIM-80179,Dealership-D021,Transmission Valve Body,763.97,7.5,1,16,0,1,Approved Standard Claim
CLAIM-80180,Dealership-D024,Turbocharger Assembly,2266.66,23.1,3,18,0,1,Approved Standard Claim
CLAIM-80181,Dealership-D044,Turbocharger Assembly,3472.21,30.2,5,13,0,1,Approved Standard Claim
CLAIM-80182,Dealership-D001,Infotainment Head Unit,2371.15,17.1,2,42,0,1,Approved Standard Claim
CLAIM-80183,Dealership-D042,Brake Caliper Kit,1111.28,8.5,5,23,0,1,Approved Standard Claim
CLAIM-80184,Dealership-D040,Battery Module,2185.86,20.3,3,40,0,1,Approved Standard Claim
CLAIM-80185,Dealership-D031,Infotainment Head Unit,5447.44,47.0,2,10,0,-1,High-Risk (Flagged for Audit)
CLAIM-80186,Dealership-D015,Transmission Valve Body,1031.87,7.6,3,46,0,1,Approved Standard Claim
CLAIM-80187,Dealership-D039,Battery Module,754.48,5.9,6,13,0,1,Approved Standard Claim
CLAIM-80188,Dealership-D034,Turbocharger Assembly,1855.72,22.0,5,38,1,1,Approved Standard Claim
CLAIM-80189,Dealership-D030,Brake Caliper Kit,466.78,3.3,1,36,0,1,Approved Standard Claim
CLAIM-80190,Dealership-D018,Inverter ECU,1348.73,10.2,2,45,0,1,Approved Standard Claim
CLAIM-80191,Dealership-D041,Transmission Valve Body,761.09,5.7,4,25,0,1,Approved Standard Claim
CLAIM-80192,Dealership-D028,Brake Caliper Kit,569.24,4.3,3,10,0,1,Approved Standard Claim
CLAIM-80193,Dealership-D042,Infotainment Head Unit,2559.99,21.1,4,34,0,1,Approved Standard Claim
CLAIM-80194,Dealership-D020,Transmission Valve Body,871.74,6.4,2,36,0,1,Approved Standard Claim
CLAIM-80195,Dealership-D005,Inverter ECU,668.22,6.7,6,45,0,1,Approved Standard Claim
CLAIM-80196,Dealership-D030,Brake Caliper Kit,1214.73,12.6,2,38,0,1,Approved Standard Claim
CLAIM-80197,Dealership-D018,Infotainment Head Unit,1677.0,17.0,1,9,0,1,Approved Standard Claim
CLAIM-80198,Dealership-D039,Turbocharger Assembly,2878.72,31.2,4,44,0,1,Approved Standard Claim
CLAIM-80199,Dealership-D044,Transmission Valve Body,2743.79,21.7,4,17,0,1,Approved Standard Claim
CLAIM-80200,Dealership-D031,Transmission Valve Body,645.3,6.6,2,19,0,1,Approved Standard Claim
CLAIM-80201,Dealership-D035,Transmission Valve Body,1862.17,17.2,2,16,0,1,Approved Standard Claim
CLAIM-80202,Dealership-D024,Inverter ECU,602.24,4.7,6,20,0,1,Approved Standard Claim
CLAIM-80203,Dealership-D032,Battery Module,1350.37,9.8,2,6,0,1,Approved Standard Claim
CLAIM-80204,Dealership-D037,Brake Caliper Kit,1480.09,11.4,2,17,0,1,Approved Standard Claim
CLAIM-80205,Dealership-D038,Transmission Valve Body,2007.61,15.1,3,24,0,1,Approved Standard Claim
CLAIM-80206,Dealership-D013,Turbocharger Assembly,2117.39,17.7,2,19,0,1,Approved Standard Claim
CLAIM-80207,Dealership-D017,Transmission Valve Body,2446.76,22.0,1,12,0,1,Approved Standard Claim
CLAIM-80208,Dealership-D033,Transmission Valve Body,775.12,5.8,2,30,0,1,Approved Standard Claim
CLAIM-80209,Dealership-D044,Turbocharger Assembly,2892.46,21.1,6,40,0,1,Approved Standard Claim
CLAIM-80210,Dealership-D005,Infotainment Head Unit,1480.73,10.7,3,16,0,1,Approved Standard Claim
CLAIM-80211,Dealership-D038,Inverter ECU,3911.73,32.8,2,46,0,1,Approved Standard Claim
CLAIM-80212,Dealership-D037,Turbocharger Assembly,2128.54,20.5,1,9,0,1,Approved Standard Claim
CLAIM-80213,Dealership-D013,Battery Module,558.99,5.0,2,15,0,1,Approved Standard Claim
CLAIM-80214,Dealership-D034,Infotainment Head Unit,2186.36,23.7,4,29,0,1,Approved Standard Claim
CLAIM-80215,Dealership-D007,Turbocharger Assembly,2901.24,15.1,11,44,1,-1,High-Risk (Flagged for Audit)
CLAIM-80216,Dealership-D030,Turbocharger Assembly,3739.84,39.4,2,14,0,1,Approved Standard Claim
CLAIM-80217,Dealership-D041,Battery Module,606.89,4.6,5,20,0,1,Approved Standard Claim
CLAIM-80218,Dealership-D039,Infotainment Head Unit,900.82,7.4,2,15,0,1,Approved Standard Claim
CLAIM-80219,Dealership-D027,Inverter ECU,442.59,4.7,3,31,0,1,Approved Standard Claim
CLAIM-80220,Dealership-D043,Transmission Valve Body,1837.72,19.6,4,29,0,1,Approved Standard Claim
CLAIM-80221,Dealership-D009,Inverter ECU,543.92,5.9,1,42,0,1,Approved Standard Claim
CLAIM-80222,Dealership-D029,Inverter ECU,451.02,4.4,2,21,0,1,Approved Standard Claim
CLAIM-80223,Dealership-D028,Infotainment Head Unit,2329.52,18.6,3,10,0,1,Approved Standard Claim
CLAIM-80224,Dealership-D032,Inverter ECU,611.55,4.8,2,28,0,1,Approved Standard Claim
CLAIM-80225,Dealership-D044,Inverter ECU,715.68,6.4,2,43,0,1,Approved Standard Claim
CLAIM-80226,Dealership-D015,Inverter ECU,1418.53,14.3,3,29,0,1,Approved Standard Claim
CLAIM-80227,Dealership-D040,Turbocharger Assembly,4930.25,40.7,4,30,0,1,Approved Standard Claim
CLAIM-80228,Dealership-D039,Battery Module,3318.86,33.5,3,37,0,1,Approved Standard Claim
CLAIM-80229,Dealership-D005,Brake Caliper Kit,474.59,3.9,2,42,0,1,Approved Standard Claim
CLAIM-80230,Dealership-D018,Infotainment Head Unit,1360.62,14.1,2,12,0,1,Approved Standard Claim
CLAIM-80231,Dealership-D033,Inverter ECU,625.38,5.7,8,21,0,-1,High-Risk (Flagged for Audit)
CLAIM-80232,Dealership-D028,Brake Caliper Kit,1221.93,9.8,5,44,0,1,Approved Standard Claim
CLAIM-80233,Dealership-D019,Turbocharger Assembly,955.14,7.4,7,32,0,1,Approved Standard Claim
CLAIM-80234,Dealership-D001,Inverter ECU,1587.88,16.3,4,32,0,1,Approved Standard Claim
CLAIM-80235,Dealership-D044,Turbocharger Assembly,962.87,9.7,3,24,0,1,Approved Standard Claim
CLAIM-80236,Dealership-D043,Turbocharger Assembly,2542.46,23.2,3,17,0,1,Approved Standard Claim
CLAIM-80237,Dealership-D014,Transmission Valve Body,1385.28,12.5,3,15,0,1,Approved Standard Claim
CLAIM-80238,Dealership-D043,Turbocharger Assembly,1583.29,16.5,4,40,0,1,Approved Standard Claim
CLAIM-80239,Dealership-D011,Brake Caliper Kit,3054.15,32.5,3,8,0,1,Approved Standard Claim
CLAIM-80240,Dealership-D042,Brake Caliper Kit,1162.4,8.5,2,42,0,1,Approved Standard Claim
CLAIM-80241,Dealership-D041,Inverter ECU,1310.28,9.8,1,14,0,1,Approved Standard Claim
CLAIM-80242,Dealership-D005,Transmission Valve Body,1122.49,8.6,1,18,0,1,Approved Standard Claim
CLAIM-80243,Dealership-D018,Transmission Valve Body,2247.07,20.3,4,11,0,1,Approved Standard Claim
CLAIM-80244,Dealership-D037,Turbocharger Assembly,1747.31,18.1,4,18,0,1,Approved Standard Claim
CLAIM-80245,Dealership-D035,Turbocharger Assembly,502.15,3.9,4,11,0,1,Approved Standard Claim
CLAIM-80246,Dealership-D040,Battery Module,2825.57,24.7,3,17,0,1,Approved Standard Claim
CLAIM-80247,Dealership-D018,Turbocharger Assembly,4146.33,33.7,3,26,0,1,Approved Standard Claim
CLAIM-80248,Dealership-D022,Transmission Valve Body,1583.87,16.8,2,46,0,1,Approved Standard Claim
CLAIM-80249,Dealership-D022,Turbocharger Assembly,1353.76,10.0,2,41,0,1,Approved Standard Claim
CLAIM-80250,Dealership-D006,Inverter ECU,1339.1,10.2,4,43,0,1,Approved Standard Claim
CLAIM-80251,Dealership-D026,Inverter ECU,947.08,8.0,2,23,0,1,Approved Standard Claim
CLAIM-80252,Dealership-D021,Transmission Valve Body,2053.49,16.6,3,35,0,1,Approved Standard Claim
CLAIM-80253,Dealership-D012,Inverter ECU,594.54,5.1,3,12,0,1,Approved Standard Claim
CLAIM-80254,Dealership-D015,Infotainment Head Unit,813.92,7.2,3,38,0,1,Approved Standard Claim
CLAIM-80255,Dealership-D028,Infotainment Head Unit,1491.07,13.2,5,8,0,1,Approved Standard Claim
CLAIM-80256,Dealership-D015,Transmission Valve Body,3010.99,26.0,2,38,0,1,Approved Standard Claim
