Telemetry_Timestamp_ms,Speed_kmh,Lateral_Acceleration_G,Longitudinal_Accel_G,Active_Wing_Angle_deg,Aerodynamic_Downforce_kg,Tire_Tread_Temp_C
9500,191.4,-1.5,0.47,9.7,215.8,108.2
9600,242.8,0.22,0.51,10.5,366.3,81.9
9700,139.6,0.45,-0.25,6.9,91.2,82.9
9800,166.4,0.71,0.18,7.0,131.1,80.4
9900,211.3,0.24,0.7,10.8,283.0,86.4
10000,256.0,0.07,0.8,12.7,468.0,85.9
10100,123.5,-1.25,-0.08,4.8,58.3,98.5
10200,279.0,-0.16,0.32,15.8,655.3,75.7
10300,173.0,-1.3,-0.06,8.3,158.5,101.1
10400,224.2,0.33,-0.03,10.8,319.5,76.1
10500,245.6,0.29,0.76,11.4,397.5,81.5
10600,242.6,-0.97,-0.0,11.7,394.6,90.0
10700,63.3,-0.1,0.39,2.4,11.2,77.8
10800,268.4,0.94,-0.4,12.3,501.2,91.8
10900,117.7,0.82,0.3,6.1,60.4,87.7
11000,161.2,0.55,-0.57,8.8,143.1,78.6
11100,93.8,0.76,0.22,2.5,25.2,83.1
11200,194.8,0.59,-0.14,7.6,189.0,83.3
11300,153.3,-0.17,1.2,9.9,139.8,96.8
11400,70.8,0.69,0.41,2.8,15.0,84.6
11500,135.1,-0.29,-0.58,7.4,89.6,80.9
11600,98.9,0.29,1.7,6.3,43.3,117.7
11700,279.3,0.71,-0.07,13.5,581.6,81.0
11800,237.2,-0.43,-0.35,11.3,367.8,78.3
11900,126.2,0.1,0.97,5.8,67.6,88.1
12000,247.5,-0.67,0.14,12.1,420.7,81.8
12100,138.0,-0.09,0.26,8.1,98.9,76.8
12200,253.2,0.68,-0.26,13.1,467.8,78.2
12300,152.4,-0.48,-0.04,8.2,122.2,79.5
12400,88.2,-0.37,0.5,3.2,24.5,80.8
12500,280.5,0.6,-0.01,13.2,579.1,80.3
12600,77.0,-0.05,0.56,4.2,21.1,78.2
12700,234.2,0.04,-0.23,11.8,369.5,73.4
12800,122.1,-0.17,0.27,5.0,58.1,77.9
12900,100.7,-0.2,0.16,4.1,35.9,76.2
13000,104.2,-0.11,-0.26,5.5,44.6,75.9
13100,244.0,0.51,0.09,12.7,425.2,72.6
13200,217.1,0.18,-0.2,9.9,280.2,72.4
13300,273.0,0.22,0.08,14.8,596.0,73.6
13400,284.8,1.46,-0.25,13.4,603.8,108.6
13500,91.6,-0.08,-0.98,4.5,30.9,88.9
13600,157.7,-0.63,-0.3,8.9,137.4,79.5
13700,66.0,-1.88,-0.47,3.3,13.8,126.6
13800,90.0,0.38,-0.95,5.9,34.7,86.9
13900,268.3,0.03,-0.42,10.6,450.2,77.9
14000,117.2,0.27,0.01,3.1,42.6,78.9
14100,236.2,1.35,-0.5,10.6,349.3,104.7
14200,277.7,-1.15,-0.1,15.3,635.6,93.5
14300,222.8,0.22,0.34,10.5,307.9,74.6
14400,61.0,-0.53,0.35,3.5,12.2,77.1
14500,104.5,-0.34,-0.02,4.2,39.1,72.2
14600,254.3,-0.58,0.25,12.0,443.0,80.6
14700,79.5,-0.03,-0.35,5.4,25.8,79.1
14800,180.6,0.02,0.07,10.0,195.6,81.5
14900,168.2,0.87,-0.07,7.5,140.5,91.8
15000,204.2,-0.53,-0.7,10.5,258.8,91.1
15100,160.8,0.99,0.43,7.0,122.3,93.3
15200,288.2,-0.48,0.27,15.4,685.3,81.2
15300,203.7,0.88,-0.39,11.0,267.0,84.6
15400,126.3,0.51,0.75,5.2,63.7,87.8
15500,218.7,0.23,-0.06,12.6,339.2,76.5
15600,177.1,0.08,-0.42,7.6,156.8,77.6
15700,259.1,-0.21,-0.91,11.8,454.9,82.4
15800,195.4,1.13,0.28,10.0,228.3,100.8
15900,171.9,-0.04,0.36,9.4,170.4,78.1
16000,66.3,-0.47,-0.25,4.7,16.6,82.3
16100,211.2,0.01,0.92,10.8,282.2,87.3
16200,119.5,0.96,-0.31,4.9,55.3,90.3
16300,115.4,-0.25,0.42,5.9,56.8,78.9
16400,264.0,-0.31,0.4,13.8,529.0,70.5
16500,135.3,-0.34,-1.06,6.4,82.1,91.3
16600,245.2,0.33,0.02,12.8,431.9,80.5
16700,229.8,0.31,-0.56,14.3,411.5,80.7
16800,229.0,-0.56,-0.29,8.8,289.3,79.4
16900,243.6,-0.82,-0.28,12.2,412.1,85.6
17000,243.5,0.49,-0.48,12.0,406.7,80.7
17100,64.9,1.08,-0.32,1.9,10.9,92.8
17200,102.3,-0.44,0.19,8.9,57.9,79.9
17300,190.7,-0.26,-0.86,9.5,211.2,88.7
17400,272.0,-0.09,-0.5,13.7,559.2,75.8
17500,141.3,-0.36,0.58,7.5,98.4,82.5
17600,127.9,-0.02,0.04,5.5,67.2,72.7
17700,241.8,-1.09,0.32,11.3,382.7,96.4
17800,96.6,0.32,0.55,3.5,30.4,78.3
17900,239.8,-0.74,-0.87,12.0,393.8,93.8
18000,164.0,0.38,0.53,7.9,137.2,81.4
18100,88.7,1.43,0.54,5.9,33.6,110.9
18200,246.7,0.53,-0.21,10.0,365.0,79.0
18300,200.0,-0.01,0.39,7.8,203.2,75.4
18400,168.9,0.21,0.23,9.7,167.5,77.5
18500,112.8,0.01,0.4,2.7,37.3,76.3
18600,287.7,-0.71,0.39,12.7,590.9,80.5
18700,277.4,0.5,0.58,13.2,563.5,84.4
18800,268.7,-0.46,1.02,12.3,502.3,91.2
18900,275.2,-0.2,-0.32,13.1,553.2,79.9
19000,200.3,-1.24,0.45,9.8,238.1,98.0
19100,243.6,0.08,-0.56,13.1,432.3,83.4
19200,163.2,1.86,0.07,10.7,168.0,124.2
19300,92.6,-0.05,0.3,7.4,42.2,71.7
19400,89.5,0.29,-0.24,6.4,35.9,74.3
19500,269.3,0.36,0.1,14.2,561.6,74.2
19600,121.7,-0.06,0.11,5.5,61.1,74.7
19700,123.2,-0.32,-0.43,6.4,68.1,80.6
19800,157.2,-0.88,0.16,5.1,97.6,84.0
19900,97.8,0.3,-0.33,5.4,38.7,81.6
20000,186.4,-0.43,0.42,9.1,195.6,80.6
20100,211.3,0.13,0.3,11.1,288.1,78.0
20200,160.9,-0.17,-0.81,7.4,127.4,86.3
20300,266.7,-0.24,-0.17,11.4,468.1,74.1
20400,125.8,0.77,0.41,7.0,74.8,79.0
20500,179.1,-0.16,0.12,8.1,166.5,72.0
20600,156.6,-0.12,-0.46,8.5,131.9,76.2
20700,107.9,-0.19,0.38,4.0,40.3,81.3
20800,106.7,-0.27,0.02,4.9,44.0,77.2
20900,77.7,-0.24,-0.5,4.8,23.1,83.4
21000,245.1,-0.09,0.88,11.9,408.4,89.9
21100,248.4,0.11,-0.35,10.6,386.4,76.8
21200,184.2,0.11,-1.64,8.4,180.2,106.2
21300,268.1,0.79,0.66,14.2,557.2,91.0
21400,250.6,-0.55,-0.5,12.2,435.7,78.9
21500,288.9,0.41,0.03,13.7,630.4,76.7
21600,177.1,-0.13,-1.11,9.1,177.0,89.9
21700,64.4,-0.57,-0.73,4.1,14.7,86.4
21800,201.2,0.13,0.04,8.4,214.9,73.1
21900,195.4,-0.95,0.36,7.4,186.7,89.3
22000,257.4,-0.05,-0.41,11.9,450.7,80.6
22100,228.0,-0.28,-0.55,11.0,334.5,79.7
22200,187.2,-0.07,-0.75,9.5,202.3,82.0
22300,175.1,-0.59,0.14,9.5,177.6,81.8
22400,259.5,-0.27,-1.14,9.9,400.8,92.9
22500,236.2,0.08,0.64,11.4,368.0,80.7
22600,276.2,-0.05,0.16,11.9,519.1,76.2
22700,289.8,0.24,-0.6,12.8,601.2,80.8
22800,245.7,-0.1,0.73,10.9,386.3,82.6
22900,156.5,-0.09,0.09,6.1,107.0,76.9
23000,184.9,0.27,-0.63,7.8,174.0,82.1
23100,65.7,-0.08,0.08,3.8,14.6,76.2
23200,228.4,0.62,-0.4,12.3,363.2,77.8
23300,174.5,-0.08,0.75,7.1,146.0,83.0
23400,141.2,0.45,0.43,9.5,115.2,83.4
23500,270.3,-0.89,-0.45,12.9,526.6,89.3
23600,130.8,0.75,-1.01,8.2,90.0,95.5
23700,89.2,0.77,-0.36,1.8,20.4,81.4
23800,100.9,0.76,-0.7,5.7,42.9,88.7
23900,213.0,0.68,-0.34,11.1,293.0,82.3
24000,261.1,-0.31,-0.06,10.3,418.1,77.5
24100,268.0,0.03,0.34,13.6,540.7,75.0
24200,223.6,0.42,1.09,11.2,325.8,96.5
24300,68.0,-0.76,-0.9,4.3,16.7,96.0
24400,156.5,-0.36,-0.17,4.4,89.3,80.8
24500,189.6,-0.72,0.1,11.9,244.9,81.5
24600,162.4,0.67,0.25,5.6,109.8,86.5
24700,77.7,-0.17,0.02,5.9,25.7,69.8
24800,177.5,-0.64,-0.38,8.6,170.8,83.3
24900,177.2,-0.97,-0.72,8.9,174.1,93.5
25000,114.6,-0.83,-0.75,4.6,48.9,93.4
25100,209.5,0.02,-0.19,12.0,299.4,77.5
25200,134.6,-0.26,-0.09,6.2,79.4,73.5
25300,246.8,-0.39,-0.65,11.9,413.6,85.6
25400,121.3,0.56,-0.07,5.9,62.7,77.7
25500,103.2,-0.32,0.17,4.6,39.7,75.6
25600,84.4,-0.44,1.13,4.1,25.2,96.7
25700,260.9,-0.26,0.14,11.5,450.5,77.2
25800,219.4,0.17,-0.34,11.5,318.7,83.0
25900,179.9,1.16,0.12,8.8,178.3,87.5
26000,75.7,-0.72,-0.38,2.9,17.4,83.3
26100,144.0,-1.01,-0.06,5.9,88.8,86.0
26200,197.7,0.99,-0.29,8.6,211.1,87.0
26300,284.4,-0.69,-0.91,13.3,598.8,92.7
26400,235.8,0.69,0.53,11.2,361.0,87.0
26500,214.8,0.25,0.31,10.0,276.3,79.5
26600,160.9,-0.05,0.02,8.5,139.1,75.4
26700,275.9,0.69,-0.56,12.8,545.0,84.8
26800,127.5,0.1,-0.12,7.3,79.1,74.7
26900,198.0,0.23,0.13,9.1,220.1,75.9
27000,103.5,-1.61,0.13,5.0,41.8,108.3
27100,88.8,-0.19,0.37,4.0,27.4,78.2
27200,223.1,-0.88,0.09,11.1,321.9,86.5
27300,288.4,-0.17,-0.25,13.9,636.4,73.3
27400,92.9,0.9,-0.49,3.1,26.7,91.3
27500,90.2,0.03,0.02,6.1,35.4,75.5
27600,145.5,0.5,0.81,4.2,75.1,87.8
27700,216.5,0.01,0.03,10.4,289.7,73.6
27800,118.4,0.03,0.56,5.3,56.2,77.7
27900,213.1,0.48,0.95,11.9,308.3,90.6
28000,229.3,0.12,1.15,10.1,317.0,90.9
28100,250.2,0.45,-0.14,14.2,486.0,76.2
28200,140.1,-0.21,0.05,6.8,91.4,79.5
28300,142.0,0.04,0.05,7.2,97.3,75.3
28400,114.5,-2.0,0.04,6.8,61.2,131.2
28500,92.8,0.87,0.31,5.8,36.5,90.8
28600,71.9,-0.59,0.16,5.1,20.4,83.9
28700,286.8,-0.24,-0.33,12.6,584.1,81.8
28800,128.5,1.26,-0.16,6.6,75.8,95.0
28900,206.3,-0.52,-0.11,10.3,261.2,76.9
29000,153.8,0.62,0.7,4.8,90.3,88.1
29100,251.5,-0.23,0.1,11.6,423.4,72.8
29200,195.6,0.74,0.09,8.9,211.0,78.3
29300,170.7,0.48,0.33,9.3,166.6,78.8
29400,73.1,-0.42,-0.25,2.8,16.0,75.1
29500,87.2,0.43,0.88,4.6,28.5,89.9
29600,85.1,-0.03,0.19,1.0,16.0,75.8
29700,247.7,-0.21,0.43,10.7,385.6,75.3
29800,144.0,-0.7,-0.47,6.5,93.9,84.7
29900,213.6,0.06,-0.67,10.3,279.0,75.2
30000,256.9,0.87,-1.2,12.8,472.6,105.1
30100,80.5,0.64,-0.25,4.4,23.7,81.2
30200,131.6,0.3,0.55,6.9,81.2,77.6
30300,121.6,-0.83,0.68,7.1,70.7,90.3
30400,121.1,0.49,-0.21,6.1,63.8,75.0
30500,159.3,-0.24,0.94,7.1,121.4,89.1
30600,221.0,-1.06,0.25,10.9,311.0,92.2
30700,263.5,0.28,-0.42,12.0,475.1,79.1
30800,70.2,-1.38,0.66,2.6,14.3,107.7
30900,213.4,0.5,-0.2,11.4,300.9,77.4
31000,167.2,0.73,0.08,10.3,171.5,81.3
31100,66.1,-0.72,-0.16,2.6,12.7,83.1
31200,126.3,0.3,0.34,5.8,67.8,76.5
31300,275.4,0.35,0.01,11.5,504.3,80.1
31400,132.8,-1.64,1.58,5.3,71.1,143.7
31500,272.9,-0.99,-0.72,16.0,635.6,96.9
31600,217.2,0.14,-0.26,11.2,307.2,74.1
31700,273.9,0.65,-0.35,10.3,460.4,86.2
31800,102.2,0.95,-0.79,3.3,33.2,90.1
31900,102.5,0.28,-0.66,4.9,40.5,82.0
32000,179.3,-1.01,0.22,8.4,170.7,91.5
32100,263.7,-1.18,0.7,12.2,480.6,102.9
32200,72.1,0.43,-0.38,1.9,13.5,74.8
32300,274.8,-0.08,1.12,12.2,523.5,89.0
32400,226.8,-0.94,-0.3,10.0,307.5,88.0
32500,140.4,-0.5,1.01,7.8,100.2,95.2
32600,193.8,-1.03,0.17,6.5,170.4,87.7
32700,80.8,-0.22,0.07,3.0,19.9,77.1
32800,102.7,0.05,0.04,6.2,46.6,75.7
32900,67.9,-0.13,-0.63,4.4,16.9,82.0
33000,88.0,0.19,0.65,3.3,24.8,82.3
33100,121.8,-0.08,-1.19,6.1,64.5,90.9
33200,161.8,-0.11,0.4,9.8,154.3,77.9
33300,211.0,0.37,-0.46,11.5,295.6,75.6
33400,236.7,0.29,0.36,10.1,338.6,78.3
33500,130.8,-0.03,-0.35,5.2,68.2,76.4
33600,229.7,0.84,-0.46,12.2,365.8,89.2
33700,248.1,-0.09,-0.18,12.5,433.8,75.5
33800,143.4,-0.3,-0.0,6.4,92.7,75.6
33900,146.9,0.5,0.28,8.0,111.0,81.1
34000,284.1,0.19,-0.62,13.7,609.6,86.0
34100,211.1,-0.26,-0.41,8.5,239.1,79.2
34200,115.9,-0.01,0.42,6.6,61.3,75.4
34300,243.1,-1.35,-0.55,12.0,404.3,106.1
34400,117.9,0.18,0.5,6.1,60.6,80.4
34500,284.4,0.49,0.31,13.2,595.1,78.2
34600,213.9,-0.14,0.07,10.1,276.3,76.1
34700,279.0,0.38,-0.23,14.1,601.4,74.7
34800,227.5,0.25,-0.03,10.0,311.4,76.6
34900,164.4,0.37,0.37,7.5,133.7,82.6
35000,276.8,-0.06,0.29,15.3,631.2,77.2
35100,231.0,0.01,0.42,10.1,321.7,75.9
35200,249.6,0.71,-0.37,13.2,457.8,81.7
35300,174.4,0.52,0.7,8.8,167.2,84.5
35400,270.7,0.78,-0.45,12.8,526.5,83.4
35500,217.5,-1.08,-0.83,10.0,283.7,101.9
35600,103.3,-0.29,-1.24,4.6,39.6,99.4
35700,85.0,0.83,0.07,4.3,26.2,89.4
35800,221.5,-0.57,-0.33,12.2,339.4,82.7
35900,219.6,-0.08,1.16,12.0,329.7,93.9
36000,135.7,-0.44,0.63,5.5,75.6,84.6
36100,176.3,-0.17,-0.68,6.7,143.3,79.4
36200,135.4,0.26,1.05,5.8,77.8,94.3
36300,248.9,-0.16,0.48,10.3,379.4,76.5
36400,60.6,1.36,0.32,2.2,10.1,106.7
36500,110.3,-0.83,-0.2,6.0,52.5,93.1
36600,177.2,-0.02,-0.21,9.6,183.1,78.5
36700,243.1,-1.04,-0.06,12.4,413.7,94.9
36800,77.3,-0.48,0.32,2.1,16.1,82.2
36900,203.7,0.49,-0.34,9.7,244.4,80.7
37000,184.1,0.83,-0.29,7.6,169.4,87.5
37100,256.1,0.05,-0.25,10.0,392.8,75.3
37200,195.1,-0.07,0.09,8.4,203.3,76.3
37300,121.2,1.52,0.02,4.7,55.5,108.3
37400,140.1,0.61,-0.54,8.1,102.0,84.5
37500,141.4,-0.4,0.76,6.9,93.8,86.7
37600,85.6,-1.19,0.65,5.7,30.6,99.7
37700,127.4,-0.89,0.35,4.1,57.0,84.3
37800,191.5,-0.07,-0.89,10.2,222.7,85.6
37900,270.3,1.37,-0.03,14.2,567.5,98.8
38000,106.4,-0.05,-0.39,5.7,47.5,78.7
38100,127.3,0.22,0.75,6.9,76.3,87.5
38200,149.6,-0.35,0.43,5.5,92.0,81.4
38300,159.4,-0.58,2.14,6.9,119.5,145.9
38400,108.3,1.4,-0.6,7.6,58.8,105.4
38500,65.4,-1.16,0.76,2.9,12.9,103.7
38600,129.3,-0.54,-0.55,5.6,69.4,88.3
38700,287.1,-0.21,0.17,14.0,633.2,76.7
38800,133.2,0.5,0.72,7.1,85.1,81.6
38900,225.3,0.72,0.22,10.3,311.5,83.8
39000,166.1,1.24,0.2,9.2,156.8,95.1
39100,122.8,-0.43,-0.02,5.0,58.5,80.0
39200,103.0,0.06,-0.78,4.5,39.0,81.1
39300,130.7,-0.03,-0.54,6.4,76.6,79.4
39400,244.0,0.28,0.54,9.5,345.8,80.9
39500,64.0,0.18,-0.42,4.9,15.8,76.8
39600,118.2,-0.15,-0.85,6.4,62.7,84.1
39700,121.9,1.16,0.56,7.0,70.2,98.7
39800,289.3,0.12,-0.68,15.5,695.9,82.2
39900,286.9,0.09,-0.49,12.8,591.3,75.7
40000,247.7,0.21,0.38,12.9,443.3,78.0
40100,166.8,-0.1,0.28,8.5,149.1,77.9
40200,71.2,-0.26,-0.16,3.1,15.7,74.2
40300,172.1,0.17,0.45,9.6,173.4,78.6
40400,159.2,0.59,-0.09,7.3,123.3,80.2
40500,72.8,0.24,0.47,3.7,17.8,78.6
40600,73.5,-0.51,-0.16,4.0,18.8,76.4
40700,126.9,-0.64,-0.65,4.5,59.6,85.3
40800,73.9,0.29,0.88,3.5,17.8,91.0
40900,115.6,0.24,0.61,5.1,52.5,84.6
41000,269.7,-0.58,0.11,12.1,500.9,82.8
41100,238.2,-0.39,0.57,10.7,356.5,81.7
41200,162.6,-0.98,0.23,8.0,137.0,94.7
41300,102.1,-1.03,0.33,5.9,44.7,89.5
41400,210.6,0.49,0.3,10.4,274.1,77.2
41500,77.7,-1.21,1.37,3.2,19.0,122.6
41600,213.8,-0.86,0.79,11.2,298.0,95.0
41700,216.8,0.61,-0.91,10.7,296.3,97.2
41800,155.5,-1.3,0.3,8.7,132.0,101.0
41900,96.1,0.61,-0.76,2.5,26.5,84.1
42000,238.2,0.48,0.24,9.3,323.1,75.7
42100,251.8,-0.72,-0.26,12.2,440.0,82.1
42200,82.5,0.5,0.08,2.0,17.9,81.3
42300,189.7,0.62,-0.1,10.4,221.9,81.2
42400,166.7,0.25,0.8,6.3,123.9,86.4
42500,134.2,-0.54,-0.08,5.4,73.0,78.7
42600,120.9,-0.39,0.01,7.3,70.9,75.5
42700,261.3,-0.57,0.48,13.8,519.6,80.1
42800,230.1,-0.79,-0.48,10.0,317.1,84.2
42900,141.2,-0.45,-0.58,5.8,84.3,82.4
43000,278.6,-0.21,0.18,12.8,557.2,76.1
43100,159.7,-0.62,-0.27,7.0,121.1,79.0
43200,124.3,-0.74,-0.51,6.5,70.2,82.3
43300,146.3,-0.01,0.46,6.7,99.2,79.5
43400,207.8,0.16,0.03,10.0,258.8,76.4
43500,102.1,-0.22,-0.15,6.1,45.4,73.9
43600,79.9,1.07,0.25,4.0,22.1,88.0
43700,171.6,-0.7,0.82,7.9,151.1,89.6
43800,162.5,0.05,1.46,8.4,140.4,102.3
43900,282.4,0.9,-0.61,12.6,567.3,93.4
44000,206.8,-0.37,-0.28,10.4,263.7,77.9
44100,118.1,-1.35,-0.27,4.9,53.9,103.0
44200,256.4,-0.03,0.34,12.9,475.4,75.9
44300,63.6,0.57,0.12,3.7,13.6,82.7
44400,243.8,0.62,0.14,10.1,360.0,78.4
44500,217.3,1.03,-0.69,10.8,298.9,94.4
44600,262.9,0.53,-0.24,12.8,497.1,82.2
44700,64.2,1.12,-0.7,5.0,16.1,100.1
44800,190.6,-0.12,-1.14,9.6,211.4,99.5
44900,216.3,0.22,0.17,8.6,252.5,74.5
45000,196.9,1.05,-0.7,10.3,237.4,95.6
45100,146.3,0.3,0.8,6.5,97.1,87.0
45200,144.7,0.63,-0.36,8.6,112.9,83.0
45300,210.2,0.23,-0.64,11.9,299.8,82.1
45400,236.3,0.71,-0.1,13.4,415.6,83.1
45500,83.5,-0.36,0.56,3.3,22.2,82.6
45600,118.5,-1.22,-0.61,5.9,60.3,102.1
45700,233.5,0.34,0.55,10.8,346.4,80.9
45800,141.7,-0.6,-0.02,6.1,87.8,77.8
45900,183.5,0.61,-0.77,10.4,208.0,90.7
46000,132.7,-0.47,-0.22,6.1,77.0,79.4
46100,200.8,-0.17,-0.08,10.6,252.7,79.2
46200,102.8,0.03,-0.14,5.5,43.6,75.6
46300,265.2,-0.21,-1.01,13.7,531.2,89.0
46400,257.7,-0.39,-0.04,12.0,454.7,75.3
46500,95.3,0.73,0.29,4.7,34.2,80.5
46600,269.8,0.38,0.38,14.7,580.7,78.8
46700,101.1,-0.14,-0.59,3.3,32.6,81.0
46800,202.4,-0.28,0.04,11.3,268.0,73.2
46900,143.6,0.64,-0.1,8.2,108.2,82.8
47000,219.1,-0.12,0.22,8.0,248.4,74.9
47100,128.7,0.93,-0.78,3.5,54.4,92.3
47200,230.1,0.33,-1.11,10.3,324.5,93.1
47300,134.2,1.4,-0.64,4.7,68.1,106.8
47400,239.0,0.39,0.13,10.3,348.6,78.3
47500,271.4,-0.5,-0.35,13.5,550.7,78.1
47600,167.4,-1.93,0.44,8.6,151.9,129.5
47700,156.0,-0.55,0.23,7.8,123.2,81.4
47800,73.6,-0.55,-0.41,3.1,16.7,81.4
47900,278.5,0.2,-0.33,15.1,631.8,78.8
48000,152.4,-0.94,-0.17,8.3,123.3,90.6
48100,95.5,-0.54,1.49,4.4,33.1,108.7
48200,122.5,-0.32,-0.64,4.5,55.5,77.0
48300,262.3,0.02,-0.75,14.0,528.9,80.4
48400,80.6,-0.43,0.42,4.2,23.0,81.3
48500,214.4,-0.92,0.02,10.5,286.0,86.6
48600,179.8,-0.46,-0.06,8.5,173.4,75.0
48700,247.7,0.38,1.05,11.6,409.0,91.8
48800,140.7,0.84,0.02,6.9,92.9,84.1
48900,270.5,0.16,-0.46,12.7,521.7,78.5
49000,201.7,0.63,0.27,10.0,244.5,81.9
49100,122.0,0.58,-0.07,5.6,62.0,81.8
49200,211.9,0.7,-0.42,9.5,259.9,79.3
