Packet_Stream_ID,Link_Bandwidth_Mbps,Micro_Burst_Size_kB,Packet_Latency_Microseconds,Gateway_Buffer_Util_pct,Network_QoS_Status
APTIV-ZONAL-1053,6033.4,76.0,474.9,67.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1054,5473.5,84.3,424.7,61.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1055,6290.0,83.9,457.7,62.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1056,8067.7,78.6,585.8,83.6,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1057,7877.2,29.3,502.9,77.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1058,8383.5,73.1,604.0,84.3,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1059,6914.8,59.2,487.7,65.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1060,4548.9,91.3,461.0,49.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1061,5649.3,143.9,473.7,67.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1062,3636.0,171.2,441.2,49.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1063,4682.2,165.4,565.1,58.1,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1064,7561.3,29.0,484.0,71.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1065,2461.2,148.4,379.1,40.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1066,8441.0,100.9,631.6,87.7,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1067,7703.6,18.1,462.6,73.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1068,1507.5,57.3,280.6,15.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1069,4803.2,151.6,509.8,61.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1070,6514.9,91.7,486.4,70.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1071,3100.2,41.2,315.8,25.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1072,7627.4,93.0,580.6,81.1,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1073,1410.8,147.2,357.3,26.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1074,4990.4,17.7,326.3,48.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1075,4567.1,122.8,445.7,51.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1076,8269.6,177.5,678.1,95.8,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1077,946.9,15.8,160.3,10.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1078,6595.0,123.2,589.7,68.7,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1079,4017.1,103.7,474.8,45.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1080,7460.8,22.8,468.1,71.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1081,6825.4,36.2,449.6,63.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1082,2721.7,44.7,236.5,30.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1083,1076.9,20.6,203.2,13.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1084,5841.9,55.6,414.8,57.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1085,2045.2,141.7,308.2,29.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1086,5518.7,172.9,539.3,71.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1087,7083.1,114.1,580.3,76.7,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1088,1614.3,36.6,214.3,19.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1089,1923.0,80.4,353.7,27.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1090,7628.9,141.3,620.6,85.4,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1091,4906.3,129.3,523.4,57.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1092,5616.8,90.6,463.0,56.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1093,4475.2,52.7,418.2,52.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1094,3999.3,17.4,391.1,45.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1095,5326.0,32.8,422.6,48.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1096,2796.2,14.6,266.1,26.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1097,6825.0,13.4,373.7,65.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1098,1023.9,69.0,243.5,13.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1099,4107.2,112.3,452.9,48.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1100,3580.6,158.3,467.4,47.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1101,3925.0,100.7,361.5,37.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1102,3652.8,157.8,456.6,37.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1103,2225.3,119.6,351.5,26.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1104,2946.4,144.9,489.3,38.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1105,6442.0,172.0,585.8,78.7,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1106,4451.4,33.7,358.5,45.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1107,1520.5,30.1,197.3,20.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1108,8513.2,12.5,489.7,82.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1109,7886.6,48.4,505.5,79.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1110,3128.5,161.1,457.9,41.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1111,7570.5,113.9,544.9,80.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1112,7852.1,145.6,595.3,87.9,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1113,5607.2,75.4,432.2,65.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1114,1000.0,16.1,142.8,10.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1115,4438.6,23.8,313.3,44.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1116,970.0,56.7,253.2,13.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1117,2577.3,154.6,410.3,38.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1118,3504.5,31.3,307.2,35.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1119,6168.2,160.6,600.4,74.3,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1120,4751.6,100.5,483.2,54.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1121,2259.1,148.9,419.2,35.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1122,5889.2,56.0,442.3,59.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1123,1891.8,130.8,357.4,31.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1124,6766.7,117.4,568.1,71.7,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1125,2406.9,156.4,409.5,40.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1126,6823.5,157.6,611.4,81.0,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1127,4294.5,122.3,436.6,53.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1128,1898.8,130.8,362.0,25.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1129,8609.5,134.9,648.5,92.6,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1130,2382.9,75.3,362.2,28.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1131,2128.4,73.8,340.9,28.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1132,8688.3,77.8,572.8,92.7,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1133,7061.1,143.9,592.6,79.7,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1134,8658.8,44.9,526.6,82.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1135,1366.2,171.0,369.5,30.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1136,1459.4,101.0,231.7,23.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1137,6552.5,29.9,434.1,60.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1138,842.8,101.6,296.7,21.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1139,3772.1,28.1,311.5,36.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1140,1723.6,146.0,389.8,27.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1141,8622.0,113.5,570.4,85.4,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1142,7902.4,49.7,544.6,78.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1143,7995.3,120.9,623.8,86.6,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1144,4362.7,48.2,379.1,42.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1145,5308.3,145.8,525.7,57.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1146,7555.1,152.0,586.9,78.9,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1147,6018.3,67.3,464.3,62.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1148,6335.2,119.5,573.7,66.3,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1149,2156.6,130.5,376.8,31.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1150,2388.7,124.0,418.2,33.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1151,6678.0,33.4,477.2,66.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1152,8691.2,141.4,643.9,97.4,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1153,6346.5,63.6,483.4,63.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1154,7050.2,169.2,610.6,83.6,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1155,1629.0,41.7,230.3,21.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1156,2686.1,148.1,414.1,36.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1157,740.5,177.6,419.3,27.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1158,3594.8,129.2,451.3,45.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1159,1262.6,43.8,300.7,14.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1160,2938.5,154.0,417.0,39.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1161,5289.1,31.6,412.3,53.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1162,7351.4,170.6,606.6,83.5,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1163,1087.8,74.2,238.9,21.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1164,8012.3,172.9,677.8,94.4,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1165,7407.6,74.1,529.7,73.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1166,738.1,166.8,317.7,20.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1167,6659.7,111.3,527.4,77.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1168,1825.3,65.3,320.8,21.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1169,6895.0,44.1,496.3,66.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1170,7092.5,41.6,507.5,68.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1171,4715.6,145.4,562.6,57.9,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1172,2839.9,68.2,309.5,35.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1173,3200.4,122.7,398.2,37.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1174,7845.7,146.5,649.4,90.9,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1175,1404.6,104.4,317.7,23.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1176,4793.6,171.8,467.0,59.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1177,5087.8,18.6,362.3,54.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1178,1311.4,133.9,365.4,22.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1179,4322.4,139.6,483.3,50.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1180,1089.6,36.7,178.2,10.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1181,493.4,140.6,293.9,19.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1182,5966.2,73.0,471.4,63.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1183,7098.7,42.5,467.3,67.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1184,8690.9,80.8,593.5,89.7,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1185,4415.6,153.1,507.2,52.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1186,5713.6,100.4,465.9,65.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1187,786.7,55.8,222.6,12.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1188,4965.3,169.6,558.1,58.6,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1189,5929.8,172.8,617.9,67.7,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1190,3975.9,142.1,471.5,51.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1191,447.2,135.8,314.8,13.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1192,1768.7,60.5,266.6,21.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1193,4564.0,107.8,450.8,53.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1194,6099.5,173.5,577.5,78.8,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1195,4206.0,165.8,483.4,56.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1196,3808.2,77.2,366.3,36.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1197,1465.6,161.0,378.9,26.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1198,3115.5,166.7,484.2,47.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1199,2657.6,62.0,256.6,25.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1200,1740.3,65.3,308.9,23.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1201,4009.0,50.7,353.5,43.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1202,636.1,13.5,119.7,13.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1203,7215.7,43.2,485.4,73.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1204,2602.2,14.9,218.8,26.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1205,6698.7,124.4,601.0,69.5,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1206,5745.4,119.8,536.4,65.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1207,2835.5,160.9,494.2,41.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1208,3546.2,75.2,365.5,36.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1209,5940.9,19.9,377.8,56.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1210,7530.6,36.0,428.1,73.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1211,4309.8,16.8,312.5,38.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1212,8452.3,106.9,626.1,91.9,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1213,4824.4,101.3,472.2,52.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1214,890.6,142.0,335.4,19.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1215,3894.7,100.4,422.2,46.9,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1216,2091.5,51.9,264.9,28.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1217,4603.3,147.8,476.9,56.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1218,3182.8,110.4,405.5,45.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1219,6298.8,160.8,599.8,71.8,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1220,7725.2,155.4,640.0,83.0,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1221,1441.1,79.5,256.5,24.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1222,4150.0,79.4,431.2,47.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1223,6739.2,139.2,577.8,74.5,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1224,6348.2,41.9,528.5,59.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1225,6830.9,29.2,434.1,68.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1226,7090.8,13.0,430.4,70.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1227,1468.2,142.7,401.8,26.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1228,1050.6,133.9,285.9,20.3,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1229,3680.0,92.9,379.8,41.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1230,7227.4,173.2,647.1,84.2,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1231,4408.3,35.3,342.5,46.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1232,2896.6,167.7,430.4,40.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1233,3695.9,147.1,474.7,46.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1234,2758.2,161.6,455.1,41.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1235,1706.7,25.6,251.4,17.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1236,4672.8,78.2,430.0,47.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1237,4591.8,25.2,333.7,45.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1238,8714.9,27.7,545.5,83.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1239,2386.6,133.6,348.6,35.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1240,8084.2,104.4,582.1,89.6,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1241,7354.1,143.8,609.0,76.8,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1242,3939.4,156.1,489.8,51.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1243,7372.9,15.8,513.1,69.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1244,6184.2,24.8,348.9,56.6,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1245,497.4,97.6,224.5,12.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1246,3303.0,129.1,474.3,44.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1247,459.3,140.4,325.8,14.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1248,6706.1,17.3,401.5,62.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1249,8276.5,107.9,649.6,90.5,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1250,812.9,33.9,155.8,10.0,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1251,8612.4,176.3,667.2,99.0,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1252,1951.5,43.1,248.7,20.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1253,7967.0,166.6,637.6,93.7,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1254,1008.4,122.9,308.4,17.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1255,614.8,17.5,212.6,10.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1256,1801.1,114.1,353.4,29.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1257,3208.2,175.6,491.7,46.8,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1258,1635.5,58.5,226.1,19.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1259,7674.2,89.7,583.6,81.2,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1260,1613.1,56.4,266.4,20.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1261,6431.3,67.8,521.6,67.4,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1262,7296.8,20.8,461.7,75.2,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1263,4900.4,41.4,391.6,53.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1264,5279.2,57.7,425.8,56.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1265,4427.0,171.6,532.1,55.1,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1266,4071.9,110.2,407.0,44.7,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1267,6353.6,117.5,554.0,70.7,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1268,4922.6,61.1,449.4,54.5,Time-Sensitive Network (TSN) Compliant
APTIV-ZONAL-1269,7968.2,94.7,556.7,82.6,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1270,6601.6,150.8,615.7,75.0,Micro-Burst Buffer Congestion Alert
APTIV-ZONAL-1271,3763.2,42.7,356.4,36.4,Time-Sensitive Network (TSN) Compliant
