Nevera_Run_ID,Vehicle_Speed_kmh,Lateral_Acceleration_G,Vehicle_Yaw_Rate_deg_s,Left_Right_Torque_Delta_Nm,Inverter_Response_Latency_us,Vectoring_Status
RIMAC-RAWTV-1028,174.9,-0.18,-2.8,-169.9,131,Balanced All-Wheel Traction
RIMAC-RAWTV-1029,68.9,0.03,0.9,56.6,104,Balanced All-Wheel Traction
RIMAC-RAWTV-1030,296.8,-0.57,-7.5,-453.5,144,Balanced All-Wheel Traction
RIMAC-RAWTV-1031,253.7,0.44,4.4,358.8,125,Balanced All-Wheel Traction
RIMAC-RAWTV-1032,134.3,0.88,11.6,783.4,150,Balanced All-Wheel Traction
RIMAC-RAWTV-1033,243.1,-0.26,-3.2,-173.7,127,Balanced All-Wheel Traction
RIMAC-RAWTV-1034,318.6,0.68,10.3,552.9,130,Balanced All-Wheel Traction
RIMAC-RAWTV-1035,126.0,-0.64,-8.8,-566.1,140,Balanced All-Wheel Traction
RIMAC-RAWTV-1036,173.4,1.33,19.4,1031.6,162,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1037,171.6,0.44,7.7,421.3,136,Balanced All-Wheel Traction
RIMAC-RAWTV-1038,211.2,-0.43,-6.3,-347.2,124,Balanced All-Wheel Traction
RIMAC-RAWTV-1039,272.8,0.14,2.3,162.5,116,Balanced All-Wheel Traction
RIMAC-RAWTV-1040,291.6,0.94,12.0,755.9,164,Balanced All-Wheel Traction
RIMAC-RAWTV-1041,102.4,-0.53,-7.9,-460.4,133,Balanced All-Wheel Traction
RIMAC-RAWTV-1042,243.2,0.52,6.3,488.7,133,Balanced All-Wheel Traction
RIMAC-RAWTV-1043,285.8,-1.52,-23.6,-1232.9,167,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1044,255.4,1.1,16.4,1010.1,170,Balanced All-Wheel Traction
RIMAC-RAWTV-1045,266.3,-1.49,-20.4,-1299.9,177,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1046,237.4,-0.71,-9.6,-617.0,138,Balanced All-Wheel Traction
RIMAC-RAWTV-1047,308.6,0.11,3.4,22.8,108,Balanced All-Wheel Traction
RIMAC-RAWTV-1048,125.8,0.78,10.5,611.0,143,Balanced All-Wheel Traction
RIMAC-RAWTV-1049,124.6,-0.97,-13.9,-781.9,136,Balanced All-Wheel Traction
RIMAC-RAWTV-1050,175.3,-0.93,-14.4,-822.3,162,Balanced All-Wheel Traction
RIMAC-RAWTV-1051,156.1,-1.41,-20.7,-1203.6,164,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1052,83.2,1.13,16.3,1011.2,159,Balanced All-Wheel Traction
RIMAC-RAWTV-1053,230.7,0.13,1.4,24.2,123,Balanced All-Wheel Traction
RIMAC-RAWTV-1054,69.7,0.21,2.1,156.4,114,Balanced All-Wheel Traction
RIMAC-RAWTV-1055,152.8,1.56,26.7,1400.0,181,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1056,197.0,-0.57,-8.7,-531.4,138,Balanced All-Wheel Traction
RIMAC-RAWTV-1057,75.8,0.09,1.1,128.5,121,Balanced All-Wheel Traction
RIMAC-RAWTV-1058,87.5,0.62,8.8,483.3,143,Balanced All-Wheel Traction
RIMAC-RAWTV-1059,268.3,1.41,18.0,1192.0,166,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1060,302.3,1.47,23.2,1261.3,175,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1061,170.4,0.67,8.8,560.1,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1062,298.7,0.41,3.4,379.9,141,Balanced All-Wheel Traction
RIMAC-RAWTV-1063,274.7,-1.13,-19.0,-902.7,160,Balanced All-Wheel Traction
RIMAC-RAWTV-1064,249.2,1.18,17.6,902.5,180,Balanced All-Wheel Traction
RIMAC-RAWTV-1065,276.5,-0.97,-13.7,-722.5,157,Balanced All-Wheel Traction
RIMAC-RAWTV-1066,226.4,-1.31,-19.1,-1035.2,153,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1067,77.8,-0.74,-11.4,-648.1,136,Balanced All-Wheel Traction
RIMAC-RAWTV-1068,143.8,-0.66,-9.3,-510.2,142,Balanced All-Wheel Traction
RIMAC-RAWTV-1069,286.9,-0.79,-10.2,-642.8,139,Balanced All-Wheel Traction
RIMAC-RAWTV-1070,311.3,-0.37,-6.3,-343.4,124,Balanced All-Wheel Traction
RIMAC-RAWTV-1071,183.8,-0.22,-4.1,-254.9,138,Balanced All-Wheel Traction
RIMAC-RAWTV-1072,77.4,1.04,14.4,862.2,149,Balanced All-Wheel Traction
RIMAC-RAWTV-1073,276.8,1.2,18.0,1063.8,162,Balanced All-Wheel Traction
RIMAC-RAWTV-1074,255.4,-0.27,-6.3,-79.8,128,Balanced All-Wheel Traction
RIMAC-RAWTV-1075,197.4,0.06,1.5,72.9,141,Balanced All-Wheel Traction
RIMAC-RAWTV-1076,295.0,0.19,2.4,112.0,129,Balanced All-Wheel Traction
RIMAC-RAWTV-1077,106.1,-0.03,0.7,-5.0,123,Balanced All-Wheel Traction
RIMAC-RAWTV-1078,258.5,1.14,16.5,965.4,148,Balanced All-Wheel Traction
RIMAC-RAWTV-1079,225.2,-0.48,-8.4,-277.2,141,Balanced All-Wheel Traction
RIMAC-RAWTV-1080,72.7,-0.53,-7.0,-458.7,125,Balanced All-Wheel Traction
RIMAC-RAWTV-1081,296.5,1.08,15.2,872.6,141,Balanced All-Wheel Traction
RIMAC-RAWTV-1082,274.1,0.76,9.9,618.3,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1083,127.3,-1.07,-16.0,-873.6,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1084,101.0,-0.28,-4.7,-255.8,141,Balanced All-Wheel Traction
RIMAC-RAWTV-1085,140.1,0.49,10.9,365.0,144,Balanced All-Wheel Traction
RIMAC-RAWTV-1086,260.9,1.04,14.6,858.9,167,Balanced All-Wheel Traction
RIMAC-RAWTV-1087,273.8,1.15,17.0,1012.9,162,Balanced All-Wheel Traction
RIMAC-RAWTV-1088,283.5,-1.55,-19.8,-1212.4,181,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1089,279.9,0.94,13.3,809.3,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1090,297.8,0.92,14.6,847.5,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1091,66.4,-0.83,-10.7,-667.2,135,Balanced All-Wheel Traction
RIMAC-RAWTV-1092,264.7,0.7,11.5,606.6,142,Balanced All-Wheel Traction
RIMAC-RAWTV-1093,285.1,-0.93,-13.1,-755.7,148,Balanced All-Wheel Traction
RIMAC-RAWTV-1094,181.1,0.39,7.9,450.1,135,Balanced All-Wheel Traction
RIMAC-RAWTV-1095,217.9,-0.73,-9.6,-573.8,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1096,78.2,0.26,5.3,225.1,135,Balanced All-Wheel Traction
RIMAC-RAWTV-1097,315.5,0.65,9.6,550.9,154,Balanced All-Wheel Traction
RIMAC-RAWTV-1098,305.5,-0.03,-1.5,-32.7,115,Balanced All-Wheel Traction
RIMAC-RAWTV-1099,179.0,-1.27,-17.3,-1075.8,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1100,109.7,1.37,21.8,1099.1,157,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1101,201.2,-0.14,-2.7,-121.9,122,Balanced All-Wheel Traction
RIMAC-RAWTV-1102,71.8,1.22,17.4,1062.4,149,Balanced All-Wheel Traction
RIMAC-RAWTV-1103,281.7,-0.95,-15.0,-790.6,159,Balanced All-Wheel Traction
RIMAC-RAWTV-1104,68.9,0.21,4.5,159.5,127,Balanced All-Wheel Traction
RIMAC-RAWTV-1105,122.9,0.09,1.7,10.0,124,Balanced All-Wheel Traction
RIMAC-RAWTV-1106,203.3,-0.33,-4.7,-236.8,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1107,290.3,0.01,-0.7,36.7,108,Balanced All-Wheel Traction
RIMAC-RAWTV-1108,209.5,1.2,15.7,1043.2,169,Balanced All-Wheel Traction
RIMAC-RAWTV-1109,93.2,-0.96,-13.6,-799.9,160,Balanced All-Wheel Traction
RIMAC-RAWTV-1110,116.7,-0.86,-11.0,-668.9,155,Balanced All-Wheel Traction
RIMAC-RAWTV-1111,295.3,-0.32,-2.9,-256.8,134,Balanced All-Wheel Traction
RIMAC-RAWTV-1112,102.5,-0.4,-5.5,-396.0,128,Balanced All-Wheel Traction
RIMAC-RAWTV-1113,185.9,-0.36,-5.5,-169.9,122,Balanced All-Wheel Traction
RIMAC-RAWTV-1114,270.6,-0.48,-6.6,-370.1,155,Balanced All-Wheel Traction
RIMAC-RAWTV-1115,129.7,0.95,14.6,760.2,166,Balanced All-Wheel Traction
RIMAC-RAWTV-1116,276.7,-0.98,-15.1,-788.4,167,Balanced All-Wheel Traction
RIMAC-RAWTV-1117,300.7,0.27,3.7,261.5,122,Balanced All-Wheel Traction
RIMAC-RAWTV-1118,115.0,-0.42,-6.5,-416.1,130,Balanced All-Wheel Traction
RIMAC-RAWTV-1119,142.6,-1.46,-22.1,-1240.9,162,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1120,74.2,0.42,7.0,458.8,130,Balanced All-Wheel Traction
RIMAC-RAWTV-1121,301.4,-0.79,-13.0,-712.9,150,Balanced All-Wheel Traction
RIMAC-RAWTV-1122,318.0,0.31,2.2,218.0,128,Balanced All-Wheel Traction
RIMAC-RAWTV-1123,256.7,-0.39,-5.5,-298.9,130,Balanced All-Wheel Traction
RIMAC-RAWTV-1124,109.0,-1.48,-20.6,-1243.3,177,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1125,233.7,0.39,6.4,368.8,139,Balanced All-Wheel Traction
RIMAC-RAWTV-1126,210.7,1.43,20.6,1193.1,149,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1127,144.7,1.38,19.1,1151.0,155,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1128,270.4,-0.28,-4.6,-309.8,128,Balanced All-Wheel Traction
RIMAC-RAWTV-1129,311.9,-0.41,-6.3,-359.5,130,Balanced All-Wheel Traction
RIMAC-RAWTV-1130,285.8,-0.49,-8.9,-463.6,143,Balanced All-Wheel Traction
RIMAC-RAWTV-1131,108.4,-0.65,-9.3,-512.7,122,Balanced All-Wheel Traction
RIMAC-RAWTV-1132,146.1,-0.59,-9.4,-485.8,143,Balanced All-Wheel Traction
RIMAC-RAWTV-1133,196.2,1.45,21.1,1265.2,176,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1134,230.4,0.76,11.1,661.1,125,Balanced All-Wheel Traction
RIMAC-RAWTV-1135,84.2,0.84,13.9,729.0,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1136,301.8,0.71,8.5,563.3,127,Balanced All-Wheel Traction
RIMAC-RAWTV-1137,70.0,-0.62,-8.2,-521.6,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1138,79.9,0.26,2.7,248.2,128,Balanced All-Wheel Traction
RIMAC-RAWTV-1139,99.6,-0.81,-11.7,-650.6,138,Balanced All-Wheel Traction
RIMAC-RAWTV-1140,208.8,1.12,17.4,907.3,165,Balanced All-Wheel Traction
RIMAC-RAWTV-1141,104.3,0.37,5.0,282.9,125,Balanced All-Wheel Traction
RIMAC-RAWTV-1142,222.8,0.11,3.7,128.7,121,Balanced All-Wheel Traction
RIMAC-RAWTV-1143,63.9,-1.02,-15.8,-889.2,159,Balanced All-Wheel Traction
RIMAC-RAWTV-1144,252.0,1.54,23.0,1198.9,180,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1145,69.0,-1.04,-17.9,-857.9,166,Balanced All-Wheel Traction
RIMAC-RAWTV-1146,283.9,0.23,3.7,160.6,123,Balanced All-Wheel Traction
RIMAC-RAWTV-1147,154.1,-0.61,-8.7,-600.5,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1148,175.6,1.19,16.7,1003.7,169,Balanced All-Wheel Traction
RIMAC-RAWTV-1149,271.6,-0.75,-12.1,-611.3,154,Balanced All-Wheel Traction
RIMAC-RAWTV-1150,93.8,-0.95,-14.9,-801.5,163,Balanced All-Wheel Traction
RIMAC-RAWTV-1151,181.3,-0.8,-11.0,-649.0,138,Balanced All-Wheel Traction
RIMAC-RAWTV-1152,104.3,0.67,10.6,629.0,166,Balanced All-Wheel Traction
RIMAC-RAWTV-1153,189.3,0.51,6.5,435.4,143,Balanced All-Wheel Traction
RIMAC-RAWTV-1154,72.7,1.3,20.0,1065.2,167,Balanced All-Wheel Traction
RIMAC-RAWTV-1155,176.1,1.54,24.0,1346.7,161,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1156,95.8,0.41,7.4,312.3,122,Balanced All-Wheel Traction
RIMAC-RAWTV-1157,269.8,0.92,12.4,691.7,150,Balanced All-Wheel Traction
RIMAC-RAWTV-1158,169.0,-0.94,-11.2,-816.9,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1159,306.6,-1.18,-15.2,-1030.9,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1160,285.6,0.76,10.9,668.0,154,Balanced All-Wheel Traction
RIMAC-RAWTV-1161,154.2,-0.23,-5.7,-189.8,126,Balanced All-Wheel Traction
RIMAC-RAWTV-1162,305.0,0.74,10.9,641.7,139,Balanced All-Wheel Traction
RIMAC-RAWTV-1163,311.9,-0.9,-14.5,-807.2,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1164,224.6,1.19,17.6,999.0,157,Balanced All-Wheel Traction
RIMAC-RAWTV-1165,171.6,0.68,9.8,617.8,132,Balanced All-Wheel Traction
RIMAC-RAWTV-1166,266.1,0.77,12.4,601.5,136,Balanced All-Wheel Traction
RIMAC-RAWTV-1167,238.0,-1.3,-17.5,-1109.1,157,Balanced All-Wheel Traction
RIMAC-RAWTV-1168,275.6,-1.16,-17.3,-1008.4,154,Balanced All-Wheel Traction
RIMAC-RAWTV-1169,199.7,-0.91,-14.5,-776.9,154,Balanced All-Wheel Traction
RIMAC-RAWTV-1170,241.0,0.41,4.6,289.0,135,Balanced All-Wheel Traction
RIMAC-RAWTV-1171,190.5,0.08,1.3,127.1,120,Balanced All-Wheel Traction
RIMAC-RAWTV-1172,205.4,0.61,8.3,585.4,141,Balanced All-Wheel Traction
RIMAC-RAWTV-1173,210.8,-1.13,-16.7,-887.2,167,Balanced All-Wheel Traction
RIMAC-RAWTV-1174,120.2,-1.19,-18.7,-1022.2,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1175,271.4,-0.46,-7.9,-421.9,141,Balanced All-Wheel Traction
RIMAC-RAWTV-1176,234.0,0.25,5.7,256.8,127,Balanced All-Wheel Traction
RIMAC-RAWTV-1177,148.5,1.57,23.5,1370.8,167,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1178,165.2,1.23,17.1,1027.2,162,Balanced All-Wheel Traction
RIMAC-RAWTV-1179,164.3,-0.44,-5.9,-386.0,135,Balanced All-Wheel Traction
RIMAC-RAWTV-1180,64.7,-1.3,-18.8,-1128.6,173,Balanced All-Wheel Traction
RIMAC-RAWTV-1181,179.9,-1.15,-17.5,-963.4,159,Balanced All-Wheel Traction
RIMAC-RAWTV-1182,240.8,-0.66,-9.0,-656.9,142,Balanced All-Wheel Traction
RIMAC-RAWTV-1183,201.7,0.99,13.8,856.8,161,Balanced All-Wheel Traction
RIMAC-RAWTV-1184,61.5,0.64,7.2,518.0,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1185,176.1,-1.13,-16.3,-985.0,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1186,243.9,0.9,12.7,773.7,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1187,170.7,0.64,10.0,544.1,129,Balanced All-Wheel Traction
RIMAC-RAWTV-1188,289.8,0.23,2.8,256.7,131,Balanced All-Wheel Traction
RIMAC-RAWTV-1189,180.4,-0.42,-5.6,-354.3,140,Balanced All-Wheel Traction
RIMAC-RAWTV-1190,113.3,-0.11,-1.1,-10.7,104,Balanced All-Wheel Traction
RIMAC-RAWTV-1191,179.1,-0.09,-3.6,-29.4,122,Balanced All-Wheel Traction
RIMAC-RAWTV-1192,235.2,1.03,15.2,900.3,160,Balanced All-Wheel Traction
RIMAC-RAWTV-1193,241.6,-1.53,-22.0,-1315.3,178,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1194,109.3,0.28,5.6,258.5,139,Balanced All-Wheel Traction
RIMAC-RAWTV-1195,153.6,1.07,14.3,932.5,149,Balanced All-Wheel Traction
RIMAC-RAWTV-1196,261.2,-1.28,-18.2,-1016.9,158,Balanced All-Wheel Traction
RIMAC-RAWTV-1197,134.0,-0.58,-9.9,-492.1,142,Balanced All-Wheel Traction
RIMAC-RAWTV-1198,125.8,0.73,11.2,649.5,157,Balanced All-Wheel Traction
RIMAC-RAWTV-1199,307.2,-1.35,-18.3,-1097.1,175,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1200,137.7,0.83,10.2,670.6,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1201,223.2,-0.5,-5.4,-454.3,135,Balanced All-Wheel Traction
RIMAC-RAWTV-1202,262.0,0.03,-1.0,29.9,110,Balanced All-Wheel Traction
RIMAC-RAWTV-1203,313.7,-1.57,-22.2,-1322.8,195,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1204,253.4,-0.41,-4.9,-378.2,126,Balanced All-Wheel Traction
RIMAC-RAWTV-1205,90.9,-1.1,-15.0,-883.9,168,Balanced All-Wheel Traction
RIMAC-RAWTV-1206,316.1,0.18,1.0,146.1,124,Balanced All-Wheel Traction
RIMAC-RAWTV-1207,171.6,0.22,3.0,168.3,123,Balanced All-Wheel Traction
RIMAC-RAWTV-1208,229.7,1.03,14.4,909.9,153,Balanced All-Wheel Traction
RIMAC-RAWTV-1209,262.3,-0.84,-12.5,-748.1,145,Balanced All-Wheel Traction
RIMAC-RAWTV-1210,287.5,-1.01,-15.9,-895.9,155,Balanced All-Wheel Traction
RIMAC-RAWTV-1211,97.4,0.16,4.4,152.7,113,Balanced All-Wheel Traction
RIMAC-RAWTV-1212,97.6,1.53,22.9,1332.8,163,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1213,127.9,-1.25,-20.1,-955.4,170,Balanced All-Wheel Traction
RIMAC-RAWTV-1214,190.8,-1.53,-22.3,-1271.5,169,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1215,217.2,-1.21,-16.1,-1017.6,168,Balanced All-Wheel Traction
RIMAC-RAWTV-1216,201.2,0.79,9.4,610.9,142,Balanced All-Wheel Traction
RIMAC-RAWTV-1217,111.5,0.95,15.1,850.4,160,Balanced All-Wheel Traction
RIMAC-RAWTV-1218,239.8,0.78,12.3,617.8,137,Balanced All-Wheel Traction
RIMAC-RAWTV-1219,73.5,1.37,18.7,1129.2,154,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1220,290.1,1.29,18.2,1064.4,153,Balanced All-Wheel Traction
RIMAC-RAWTV-1221,203.0,-1.29,-18.5,-1123.1,153,Balanced All-Wheel Traction
RIMAC-RAWTV-1222,72.1,-0.94,-12.0,-828.4,156,Balanced All-Wheel Traction
RIMAC-RAWTV-1223,79.5,-0.37,-4.5,-309.5,138,Balanced All-Wheel Traction
RIMAC-RAWTV-1224,233.8,-0.99,-13.5,-840.9,153,Balanced All-Wheel Traction
RIMAC-RAWTV-1225,147.4,0.14,2.1,119.4,129,Balanced All-Wheel Traction
RIMAC-RAWTV-1226,313.2,1.04,15.6,868.0,142,Balanced All-Wheel Traction
RIMAC-RAWTV-1227,316.0,-0.49,-7.3,-289.4,130,Balanced All-Wheel Traction
RIMAC-RAWTV-1228,290.6,-1.28,-16.0,-1101.4,154,Balanced All-Wheel Traction
RIMAC-RAWTV-1229,60.4,-0.91,-13.1,-771.3,124,Balanced All-Wheel Traction
RIMAC-RAWTV-1230,96.0,0.87,12.8,772.7,147,Balanced All-Wheel Traction
RIMAC-RAWTV-1231,104.9,-1.6,-21.2,-1344.0,164,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1232,239.3,-0.54,-7.3,-489.6,128,Balanced All-Wheel Traction
RIMAC-RAWTV-1233,259.0,-1.31,-17.9,-1147.7,172,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1234,241.7,0.46,8.4,388.9,146,Balanced All-Wheel Traction
RIMAC-RAWTV-1235,259.0,0.29,5.2,204.7,133,Balanced All-Wheel Traction
RIMAC-RAWTV-1236,154.8,0.98,12.8,865.0,175,Balanced All-Wheel Traction
RIMAC-RAWTV-1237,192.7,-0.37,-5.6,-263.5,120,Balanced All-Wheel Traction
RIMAC-RAWTV-1238,214.6,-0.93,-10.7,-766.5,152,Balanced All-Wheel Traction
RIMAC-RAWTV-1239,208.8,0.86,12.2,829.2,155,Balanced All-Wheel Traction
RIMAC-RAWTV-1240,315.6,1.45,21.6,1297.6,182,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1241,214.5,1.33,19.6,1086.5,165,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1242,308.4,1.27,17.7,1129.8,163,Balanced All-Wheel Traction
RIMAC-RAWTV-1243,169.8,-0.84,-12.6,-731.2,140,Balanced All-Wheel Traction
RIMAC-RAWTV-1244,294.9,0.71,9.0,681.4,170,Balanced All-Wheel Traction
RIMAC-RAWTV-1245,219.9,0.03,0.9,46.1,97,Balanced All-Wheel Traction
RIMAC-RAWTV-1246,165.6,0.69,12.0,540.9,151,Balanced All-Wheel Traction
RIMAC-RAWTV-1247,290.0,-0.87,-13.7,-742.9,160,Balanced All-Wheel Traction
RIMAC-RAWTV-1248,162.5,1.6,23.0,1400.0,191,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1249,249.1,-1.21,-18.3,-975.8,161,Balanced All-Wheel Traction
RIMAC-RAWTV-1250,199.3,-1.53,-23.2,-1288.2,182,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1251,263.5,1.1,16.6,872.8,171,Balanced All-Wheel Traction
RIMAC-RAWTV-1252,73.1,0.85,10.9,822.4,144,Balanced All-Wheel Traction
RIMAC-RAWTV-1253,76.5,-0.37,-5.5,-290.6,128,Balanced All-Wheel Traction
RIMAC-RAWTV-1254,85.6,0.29,5.2,164.9,140,Balanced All-Wheel Traction
RIMAC-RAWTV-1255,138.3,-1.4,-21.4,-1216.2,169,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1256,151.4,-0.15,-0.8,-147.0,107,Balanced All-Wheel Traction
RIMAC-RAWTV-1257,169.7,-0.83,-13.0,-767.0,154,Balanced All-Wheel Traction
RIMAC-RAWTV-1258,127.3,-1.31,-18.3,-1056.3,154,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1259,68.5,-0.86,-10.4,-725.8,160,Balanced All-Wheel Traction
RIMAC-RAWTV-1260,206.1,-0.35,-6.2,-300.9,155,Balanced All-Wheel Traction
RIMAC-RAWTV-1261,238.9,0.15,1.3,92.3,139,Balanced All-Wheel Traction
RIMAC-RAWTV-1262,273.8,1.37,18.6,1229.7,179,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1263,150.6,0.09,-0.4,75.7,120,Balanced All-Wheel Traction
RIMAC-RAWTV-1264,309.7,0.17,3.0,211.1,118,Balanced All-Wheel Traction
RIMAC-RAWTV-1265,89.1,-0.81,-12.9,-744.5,140,Balanced All-Wheel Traction
RIMAC-RAWTV-1266,160.4,0.55,7.8,414.3,137,Balanced All-Wheel Traction
RIMAC-RAWTV-1267,314.0,1.59,21.4,1333.5,181,Active R-AWTV High-G Yaw Vectoring
RIMAC-RAWTV-1268,193.2,-0.16,-2.9,-133.3,123,Balanced All-Wheel Traction
RIMAC-RAWTV-1269,265.7,-1.27,-18.6,-1172.7,150,Balanced All-Wheel Traction
RIMAC-RAWTV-1270,131.0,1.05,16.9,854.5,163,Balanced All-Wheel Traction
RIMAC-RAWTV-1271,234.1,-0.83,-12.8,-713.0,150,Balanced All-Wheel Traction
RIMAC-RAWTV-1272,195.5,-0.14,-2.0,-104.1,129,Balanced All-Wheel Traction
RIMAC-RAWTV-1273,211.9,0.92,13.7,830.0,155,Balanced All-Wheel Traction
RIMAC-RAWTV-1274,302.3,1.25,16.9,1034.7,149,Balanced All-Wheel Traction
RIMAC-RAWTV-1275,110.1,1.17,15.4,869.0,160,Balanced All-Wheel Traction
RIMAC-RAWTV-1276,131.8,1.22,18.1,1030.6,169,Balanced All-Wheel Traction
